,별점,주문메뉴,리뷰,사진
0,5,['오리지널 부대찌개'],대박 가성비 짱이네요맛있고 푸짐하게 잘먹었습니다번창하세요!,"['https://rev-static.yogiyo.co.kr/e1c74106ad50566843c1f5cf451c9201_tn.jpg', 'https://rev-static.yogiyo.co.kr/58bb00295e2b49121cf61f90be9cec41_tn.jpg']"
1,5,['오리지널 부대찌개'],비오는데 15분만에배달왓어요맛잇고 양도 푸짐합니다,['https://rev-static.yogiyo.co.kr/8f25fe3a5566e5584a604952b28b4d7d_tn.jpg']
2,5,['오리지널 부대찌개'],굿,['https://rev-static.yogiyo.co.kr/a4923d444864475da06d4cb9599954f7_tn.jpg']
3,4,['모듬 부대찌개'],맛있게 잘 먹었습니다,[]
4,5,['오리지널 부대찌개'],근래 먹었던 부대찌개중에 제일 맛있었네요 ㅎㅎ배달도 거의 20분만에 왔던거같아요근데 리뷰이벤트로 만두 썼는데 안주셨네요ㅠㅠ다음에 또 시키면 그땐 꼭 챙겨주세요~,['https://rev-static.yogiyo.co.kr/938fcc7a74d9b7dd30ddedfbac1b95c0_tn.jpg']
5,5,['오리지널 부대찌개'],가성비 짱입니다 양도 푸짐하고 맛도 있고 배달도 빨라요 서비스로 주신 옹심이도 맛있게 잘먹었습니다 자주 주문할꺼 같네요번창하세요~,[]
6,4,['오리지널 부대찌개'],맛있게 잘 먹었습니다.,[]
7,5,['오리지널 부대찌개'],대박 완전 맛있고 양도 많아요 배달 십오분 만에 왓어요 굿굿,[]
8,5,['오리지널 부대찌개'],점심에 한식쿠폰을 쓰고 정말 저렴하게 구매해서 냉장고에 넣어놓고 저녁에 끓어먹었어요진짜 푸짐하고 맜있어요,['https://rev-static.yogiyo.co.kr/4f8810ceca226debe3ccf85bd2aaa45f_tn.jpg']
9,5,['오리지널 부대찌개'],타브랜드에 비해 가성비도 좋고 맛도 뒤처지지 않아요 양이 정말 많아서 대식가 둘이 먹어도 남았어요 배달하시는 분이 유머도 있으시고 되게 친절하십니다 이런 기사님 처음봤어요 번창하세요~,['https://rev-static.yogiyo.co.kr/ae346e2342ab62230fd6a840b1bb73e8_tn.jpg']
10,5,['오리지널 부대찌개'],배달도 완전 빠르고 맛도 짱이고 양도 짱짱이에요!,['https://rev-static.yogiyo.co.kr/b40e2f9ac91e17dff95ae6a291e48917_tn.jpg']
11,5,['오리지널 부대찌개'],집에 있는 제일 큰 냄비에 재료가 다 안들어가서 라면사리 나중에 먹어야겠네요.잘먹고있습니다.,[]
12,5,['오리지널 부대찌개'],가격대비 맛과 양이 훌륭합니다. 아이들과 저녁 한끼 편하게 해결했어요.,[]
13,5,['오리지널 부대찌개'],배달 시간도 맞춰주시고 양도 많고 맛있었어요,['https://rev-static.yogiyo.co.kr/8f45f1808e93f351148ccfba4f6c6bcd_tn.jpg']
14,5,['모듬 부대찌개'],리뷰보고 시켰는데 정말 배달도빠르고 양도 많고~일단 재료하나하나씩 포장되서깔끔하게 와서 너무좋더라구요지금 보글보글 끓이고 있는데어서 먹고싶네요~^^,['https://rev-static.yogiyo.co.kr/25d6cfafc73d945e1a5977bb646c9b0c_tn.jpg']
15,5,['오리지널 부대찌개'],너무 맛있게 먹었습니다~~,[]
16,5,['오리지널 부대찌개'],배달 엄청 빨리와서 깜짝 놀랬네요역시 두번째 주문인데진짜 칭찬 많이 많이 해요~잘 먹었습니다,[]
17,4,"['오리지널 부대찌개', '음료 추가 선택(칠성사이다 1.25L 추가)']",배달이 좀 늦었지만 그래도.. 맛있어서 자주 시켜먹고 있습니다~~~ 리뷰 이벤트로 먹은 옹심이? 너무 맛있어유 ㅜㅜ,[]
