,별점,주문메뉴,리뷰,사진
0,5,"['떡갈비', '송탄부대찌개', '계란후라이 2개', '콜라 355mL', '사이다 355mL']",양이 너무 많아서 놀랬어요ㅠㅠ,[]
1,3,['전주콩나물국밥'],반찬 정갈하게 배달해 주네요..,[]
2,5,['콩나물 비빔밥'],굿,[]
3,3,"['떡갈비', '김치전']",도대체 왜 나무젓가락은 안주시는건가요,[]
4,2,"['떡갈비', '오징어숙회']",배달은 빠른데 맛은 그저그럿네요,[]
5,5,"['떡갈비', '김치전', '공기밥', '콜라 355mL']",생각보다 더맛있었구 양도많고 좋았어요ㅎ 다먹느라 메뉴사진은없네요 ㅎ 번창하세여ㅎ,[]
6,5,['떡갈비'],맛잇게잘먹엇어요 재구매의향있음요,[]
7,5,"['떡갈비（200g）', '콩나물 비빔밥', '오징어젓갈 500g']",맛있게 잘 먹었습니다...*^^*,[]
8,5,"['떡갈비（200g）', '김치전']",떡갈비 최근 사먹었던데 보다 맛있네요ㅋ,[]
9,5,"['떡갈비（200g）', '계란후라이 2개']",맛있어서 2틀후 또시켜먹음ㅋㅋ,[]
