,별점,주문메뉴,리뷰,사진
0,5,[],배달빠르고 핵졸맛 ㅎㅎ,[]
1,5,"['불떡볶이', '찰순대（내장포함）', '스팸김밥（6개）', '사이다 355mL']",다른것도 다 맛있는데순대양이 엄청많아요... 맛있습니다,['https://rev-static.yogiyo.co.kr/d68b762bb0484751fd1981cdbe88f7b5_tn.jpg']
2,5,"['불떡볶이', '부산오뎅（4개）', '불닭꼬치（1개）', '사이다 355mL']",맛있어요 화이팅,[]
3,5,['세트1（불떡＋찰순대＋수제튀김6개＋부산오뎅4개）'],맛도 만족 양도 만족,[]
4,5,[],양도 푸짐하고 맛있어요,[]
5,5,[],떡볶이...묘한매력이...처음엔별루라고생각해는데...국물과함깨먹으니까 묘한 매력이 있네요ㅋ,[]
6,4,['세트1（불떡＋찰순대＋수제튀김6개＋부산오뎅4개）'],맛나요,[]
7,1,['세트1（불떡＋찰순대＋수제튀김6개＋부산오뎅4개）'],포장이 최악 다 터져서와서 바로 버렸네요,[]
8,1,"['세트1（불떡＋찰순대＋수제튀김6개＋부산오뎅4개）', '콜라 1.25L']","예전엔 순대 봉지에 엄청많이, 떡볶이도 봉지에 엄청많이 왔었는데  지금은 다 용기 포장으로 바뀌어서  양이 확 줄었네요그리고 떡이 썩은건지 저런게있었고요",['https://rev-static.yogiyo.co.kr/146368e00f89174986db90787c127c27_tn.jpg']
9,4,[],맛좋고 배달 빠름,[]
10,3,[],맛있음 어묵 튀김,[]
11,5,[],잘먹었습니다,[]
12,5,['세트1（국물떡볶이＋찰순대＋수제튀김6개＋부산오뎅4개）'],혼자 절 때 다 못먹을 정도로 양이 많아요~~ 떡볶이 소스가 쫌 더 있으면 최고일듯,[]
13,5,['세트1（국물떡볶이＋찰순대＋수제튀김6개＋부산오뎅4개）'],배송정말 빠르구요 15분안에 받은듯하네요 일단양은 너무푸짐해서 넘좋았어요 튀김도재래식??느낌 근데 약간아쉬운게 ..떡볶이가뿔어서 오래된느낌ㅠ이어서.근데순대는 내장진짜많이주셔서 만족스러웠어요 감사합니다ㅎ,"['https://rev-static.yogiyo.co.kr/9e7ebedc8b153d7f3bbbea7008b6ae9b_tn.jpg', 'https://rev-static.yogiyo.co.kr/18c9e54f098425a72780ccd155d56b44_tn.jpg']"
14,4,"['국물떡볶이', '찰순대（내장포함）', '수제튀김（6개）', '불닭꼬치（1개）', '스팸김밥（6개）']",맛있게 잘먹었네요~ 순대내장도많구~ 순대도 꼬들꼬들맛있었어요~스펨김밥은 간이약해서 아가가거의다먹었어요.튀김도 바삭하니 좋았습니다^^,['https://rev-static.yogiyo.co.kr/a14e7fd6debc7976e8e895d520614207_tn.jpg']
15,4,[],양은 다른데보다 많았고 맛은괜찬음,[]
16,4,"['참치왕주먹밥', '세트1（국물떡볶이＋찰순대＋수제튀김6개＋부산오뎅4개）', '사이다 1.25L']",순대 진짜 양 대박!보통 배달떡볶이집에선 염통 잘 안주는데염통까지 들어있어서 진짜 맛있게 먹었어요~오징어튀김이랑 김말이 튀김도 맛있음!근데 떡볶이는 양이 조금 적은듯한 느낌.......그리고 떡이 좀 딱딱해요ㅠㅠ,"['https://rev-static.yogiyo.co.kr/b4e37b34a3ed9f7730fe80d3b49fc1c4_tn.jpg', 'https://rev-static.yogiyo.co.kr/98ff7575c61e20cf4b10b68d68eb4142_tn.jpg']"
17,3,[],맛있음,[]
18,5,"['스팸반＋땡초반（6개）', '세트1（국물떡볶이＋찰순대＋수제튀김6개＋부산오뎅4개）']",다른곳 시키려다 평이 갠찮아 주문했는데 생각보다 실해서 놀랬네요ㅋ 순대랑 내장이 신선한 편이구 오뎅두 꼬치4개라 실해요ㅋ떡볶이양이 적은듯한데 세트로 먹다보면 적당하구요. 튀김은 그럭저럭 괜찮아요.떡볶이 땡겨서 주문했는데 순대/오뎅/스팸김밥이 더 맛나네요.김밥포함 따뜻하게 배달왔어요^^,['https://rev-static.yogiyo.co.kr/15c67b4106fa3b39bd9bf157577bdbfc_tn.jpg']
19,3,"['세트3（국물떡볶이＋찰순대＋수제튀김6개＋부산오뎅4개＋왕주먹밥＋닭꼬치）', '닭꼬치 맛 선택(데리야끼맛)']",그냥그래요.,[]
20,5,[],점심에 대성각서 짜장면시키고 맛진짜없어서 화 잔뜩나있었는데 여기 순대 냄새하나안나고 진짜맛있네요^^애용할게요,[]
21,4,"['국물떡볶이', '찰순대（내장포함）', '스팸반＋땡초반（6개）']",음식 맛 괜찮고 양도 넉넉합니다.앞으로 떡볶이는 여기서 시켜먹을듯 ㅎㅎ,[]
