,별점,주문메뉴,리뷰,사진
0,4,['삼선간짜장'],"이사 온 후 배달음식이 번번히 실패했는데요,다음에 한번 더 시켜먹을게요~^^짜장 한 그릇이 먹고 싶었는데 가격대가 맞아서시킨건데 배달도 나쁘지 않고 맛있어요푸짐한 해물과 약간의 고기, 야채들이 괜찮았네요 ㅎ다만 간짜장 특유의 아삭한 식감이나 춘장의 향이 좀 약해요 ㅎㅎ번창하시고요~잘먹었습니다^^","['https://rev-static.yogiyo.co.kr/8f2e9d816051152f9eaad261fbc5b79b_tn.jpg', 'https://rev-static.yogiyo.co.kr/30b0503ac0253914ef76acceeaae88e1_tn.jpg']"
1,4,['알뜰세트1（탕수육＋짜장1）'],배달이 좀 늦게 와서 성질내면서 받았지만 양도 맛도 괜찮았어요 정말 주문이 많았나봐요짜장면 꼽배기로 시켜서 아주 배부르게 맛있게 먹었네요 ㅋ ㅋ ㅋ 면도 안퍼지고 잘 먹었네요 ㅋ ㅋ ㅋ,['https://rev-static.yogiyo.co.kr/8eb7d4f2f27df3ddde8c1e59bb827bfc_tn.jpg']
2,5,[],맛있어요 일인분시키기 좋아서 시켰는데 배달도 빨리 왔던거 같숩니당,[]
3,4,['새우볶음밥'],새우볶음밥 추천합니다 새우도 많고 진짜 맛있어요,[]
4,1,['알뜰세트5（탕수육＋쟁반짜장 2인＋만두）'],비오는날이라 그런지 주문한지 한시간 넘어서 받았어요.늦게 오는건 이해하는데 쟁반짜장이 팅팅 불어서 왔네요중국집에서 주문하면서 환불하고 싶다는 생각을 처음할정도 팅팅 불어서 왔습니다 ㅜㅜ 탕수육은 소스랑 고기도 차갑게 배달되고..환불하려다가 날씨가 안좋아서 그냥 참고 먹었어요. 맛은 있던데 .. 음식을 따뜻하게 받았으면 맛있게 먹었을텐데 .. 아쉽네요 ㅜㅜ,['https://rev-static.yogiyo.co.kr/0202c0943e56c7acf609d7f5e882b5e0_tn.jpg']
5,5,['알뜰세트1（탕수육＋짜장1）'],"이근처에서 몇군데 먹어보곤...하 중국집 먹을만한곳 없구나..했어요 근데 티비서 탕슉, 짜장이 나오는데 혹시나하고 리뷰가 몇개없지만 주문했더니오오 문앞에 둬달라했더니 고이 신문지를 까시고 놓고 가주셨고요짜장면 딱 맛있게 면도 좋고 탕수육 배달중 냄새 안나는곳 처음입니다 계속 이대로만 부탁드려요아 근데 50분 정도 걸려요 그건 조금 걸립니다",[]
6,5,"['간짜장', '볶음밥']",맛있게 잘 먹었습니다간짜장이나 볶음밥이나 둘 다 맛있는데소스양을 조금만 더 주시면 더 좋을것같습니다,['https://rev-static.yogiyo.co.kr/994e9da490ebfd5acb65fdf625db59eb_tn.jpg']
7,5,"['탕짜면', '콜라 1.25L']",맛있네요~ 1인분주문하기도 딱좋고 정말맛있어요,[]
8,5,['볶짬면'],곱배기 먹었다가 배 찢어질뻔했네요ㅎ만족 스러웠고 다음에도 다른 메뉴 먹어볼께요,[]
9,5,['탕짬면'],여기 처음 시켜봤는데 주변 중국집들중에 제일 맛있네요,[]
10,3,['삼선볶음밥'],볶음밥 맛있습니다.,[]
11,5,['탕볶밥'],맛있게 잘먹었습니다.,[]
12,3,"['간짜장', '짬뽕']",예상시간보다 배달이느렸어요 ㅠㅠ 간짜장은 소스가 적은건지 맛이 심심한편. 짬뽕은 국물이 깔끔했지만 해물이 적었어요. 전체적으로 맛은 보통인것 같습니다.,[]
13,5,"['간짜장', '콜라 500mL']",맛있네요ㅎㅎ,[]
14,5,"['삼선간짜장', '삼선짬뽕밥']",맛있어요! 근데 짬뽕밥에 당면이 없어서 아쉽네영 ㅜㅜ,['https://rev-static.yogiyo.co.kr/07027e3893ec6237af9048a841ee367c_tn.jpg']
15,5,"['삼선간짜장', '삼선우동', '고추잡채밥']",처음 시켜먹어봤는데 맛있게 잘 먹었어요서비스로 주신 군만두가 진짜 맛있네요ㅋㅋ자주 시켜먹게될듯~,[]
16,3,"['간짜장', '해물고추짬뽕']",짬뽕면이 밥공기로 하나 나오네요해물짬뽕은 원래 이렇게 면 양이 작나요?면좋아하는 분들은 곱빼기 시켜야할듯...간짜장은 양파천국에 너무 달아요전체적으로 맛은 실망입니다.배달은 빨라요,[]
17,5,['탕볶밥'],양 많이드시는분은 곱빼기추천 전 맛잇게 먹음,[]
18,5,"['고추잡채밥', '탕짜면']",고추잡채 밥 따로 담아주신거 감사해요~ 덕분에 잘 먹었어요,[]
19,5,"['간짜장', '탕짬면']",잘 먹었습니다~~,[]
20,5,"['볶음밥', '탕짬면']",깔끔하고 정말 맛있어요~~~,[]
21,4,"['짜장면', '짬짜면']",배달이 빨라서 좋아요~~~,[]
22,5,['짬짜면'],맛있게 잘먹었습니다.추천합니다,[]
