,별점,주문메뉴,리뷰,사진
0,5,[],살코기도 많고 정말 맛있어요,[]
1,5,[],믿고 먹는 갈릭플러스,[]
2,1,[],완전늦게옵니다,[]
3,3,[],양념치킨 맛은 그닥. 배달은 신속,[]
4,4,[],맛있었어요,[]
5,5,['갈릭반＋핫양념반'],짱 맛있어요!!배달도 오래걸린다고 하길래 고민했는데25분밖에 안걸리고,[]
6,5,['갈릭반＋핫양념반'],맛있어요!!,[]
7,4,[],잘먹었습니다.갈릭맛은좀싱겁네요,[]
8,3,[],갈릭맛이 많이안느껴지네요..닭이야항상맛있지만..갈릭치킨이아나후라시드치킨먹는느낌이었어요ㅠ,[]
9,5,['갈릭반＋핫양념반'],"배달 예상시간보나 빠른 30분걸렸고, 요기요 주문인데도 쿠폰 주네요! 굿굿!",[]
10,4,['갈릭반＋핫양념반'],굿 테이스트,[]
11,3,[],바싹한 맛이 좀 떨어지네요.,[]
12,4,[],먹을만했어요,[]
13,4,[],"맛있어요""~~",[]
14,5,['양념반＋갈릭반'],친절하고 또래오래는 늘 맛이쪄용,[]
15,5,['후라이드반＋갈릭반'],사장님이 직접 배달하시는듯! 확실한건 영통에서 배달은 여기가 제일 빠릅니다. 맛도 있구요ㅎㅎ,[]
16,5,['갈릭반＋핫양념반'],갈릭반 핫양념반 달콤 쫍조름하고 맵삭하니 맛있네요,['https://rev-static.yogiyo.co.kr/6d6ffd1dde01de39612ddc460d00175d_tn.jpg']
17,4,['갈릭반＋핫양념반'],맛있게 잘먹었습니다,[]
18,5,['갈릭플러스치킨'],조어욜,[]
19,4,['갈릭반＋핫양념반'],둘이 먹으면 짤거라고 생각했는데 매우면 갈릭 먹고 다시 매운거 먹고 맛있었어요 ㅋㅋㅋㅋ 친구도 만족함,['https://rev-static.yogiyo.co.kr/b4dcff43d4325661f9b983edd13bb0e8_tn.jpg']
20,5,[],잘먹었어요~~^^,[]
21,5,[],또레오래는 국산닭이라그런지 육질도부드럽고 튀김옷이바삭해서자주이용하고있습니다 어메이찡치킨처음먹어봣는데 맛있네요 따로나오는소스가 더 찡~한맛이있네요 ㅎ 오랜만에맛있는치킨먹었습니다,['https://rev-static.yogiyo.co.kr/1ad6a5655e19ea7572cd450b343617fe_tn.jpg']
22,5,['후라이드반＋양념반'],양념치킨의 진리  전통의 맛 히트다히트,[]
23,5,['양념반＋갈릭반'],항상 시켜먹는곳 맛있어요,[]
24,5,['갈릭반＋핫양념반'],갈반핫반은 진리요.,[]
25,4,['갈릭반＋핫양념반'],닭도 신선하고 맛있었어요. 베스트 메뉴인 이유가 있음ㅋㅋ 다만 배달이 오래걸려서...주문 들어가고 80분 기다린..ㅠㅠ 배달이 밀려있었나봐요. 그치만 닭은 따끈따끈하고 아주 맛있었어요! 많이 파시고 즐거운 한가위 보내세요:D,['https://rev-static.yogiyo.co.kr/6f057cbb34e32796b7546e87e30d0844_tn.jpg']
26,5,['양념반＋갈릭반'],예상시간보다 빨리오셧구 친절하세용😁 매운거못먹어서 양념반 갈릭반햇는데 넘나맛난것 ㅎ 또시켜먹을거에용,['https://rev-static.yogiyo.co.kr/edb07b5cbbc06bd40e37986279a5b878_tn.jpg']
27,5,['갈릭반＋핫양념반'],맛있어요,[]
28,5,['핫양념치킨'],맛있게 매운맛~ 배달도 생각보더 빨랐음 ㅎ,[]
29,5,['후라이드반＋핫양념반'],와! 배달 초빠름!마싯음ㅋ,['https://rev-static.yogiyo.co.kr/b267a92e150934d78ee65a39c553296c_tn.jpg']
30,3,['갈릭반＋핫양념반'],양념이 좀달아요...그거 빼고는 맛나용,[]
31,5,['오곡후라이드'],꿀맛임ㅋ,[]
32,5,[],맛잇어요,[]
33,4,['양념치킨'],맛이써요,[]
34,5,['메이플치킨'],주소 잘못기입했는데도 배달 진짜 빠르고 배달아저씨가 착하셨어요 ㅠ.ㅠ 메이플 시럽 짱 맛있고요!! 자주 시켜먹을게요~,['https://rev-static.yogiyo.co.kr/7cbcf85600f523c664f318674a65a135_tn.jpg']
35,5,[],배달 빠르구 치킨 맛있어요^^갈릭 치킨 달달하고 좋네요~ 핫치킨은 많이 매운편이니 드실분들 참고하세용ㅋ,[]
36,4,['갈릭반＋핫양념반'],괜춘함,[]
37,5,[],원래 순살 시켯다가 순살이 다 떨어져서 뼈잇는걸로 먹게됫는데 맛있었어요 ㅎㅎ,[]
38,2,[],먹고난 후기요!! 원래는 1개 반이지만 반은 보너스^^ 종합적인 평가입니다~,[]
39,5,['순살치킨（양념）'],순살양념 진짜 맛있어요 이틀연속으로 먹음,[]
40,5,['순살치킨（양념）'],연속3일째 묵어버렸어요 짱맛,[]
41,3,[],닭이 크고 살색깔이 짙었어요 ᆢ그냥그래요,[]
42,1,['양념반＋갈릭반'],간징 양념시켰는데 후라이드 매운양념 왔구요 이렇게 식은 치킨은 두번 먹고 싶지 않네요,[]
43,5,['마왕치킨'],오..마왕치킨 맛있어요.할인받아 저렴하게먹었네요.첫맛은 달콤 끝맛은 매콤ㅋ 맛있게매워서 많이먹었어요~~근데 쌀준다더니 안왔네용,['https://rev-static.yogiyo.co.kr/200644738cc1d02130da05d9a5da60c6_tn.jpg']
44,3,[],쏘쏘ㅋㅋ먹을만했어요쌀이벤트하길래시켰는데 안왔음..ㅜ,[]
45,5,['마왕치킨'],"마왕치킨""맛있어요!!사진찍는다는걸배고픔에 다 먹어버렷네요ㅋㅋㅋ따듯하게배달되서  맛있게 잘 먹었습니다!",[]
46,3,[],맛있었어요.,[]
47,5,['핫후라이드치킨'],배달도 빠르고 맛도 좋아요~~신랑이랑 둘이서 한마리를 첨으로 뚝딱 해치웠네요~~,[]
48,5,['마왕치킨'],"요즘 식욕포텐이 터져서 야식삼매경인데 맛초x에 꽂혀서 맨날먹다가 할인 되는 마왕치킨 시켰네요리뷰 안쓰는편인데 배달시간 20분 음식상태 최상 배달하시는사장님 친절도 최상이네요제가 소스 많이 버무려달라고 했는데 매울꺼까지 걱정해주시면서 가셨어요~ 콜라,쌀까지 와서 너무 좋아요ㅎㅎ또 시켜먹을께요~~",['https://rev-static.yogiyo.co.kr/21a2fcbadf42e9eff5dfb8955780a28f_tn.jpg']
49,5,['마왕치킨'],꽃샘추위로 허전한마음에 무심코시킨 치킨한마리...배달오신 사장님의 오늘쌀쌀하네요...이한마디가가슴에 와닫습니다....감사합니다...,[]
50,4,['마왕치킨'],맛있습니다.,[]
51,4,['후라이드반＋핫양념반'],후라이드 매운양념 반반 시켰는데양도 많고 매운 양념도 마니 맵지 않고딱 좋네요 앞으로 자주 시켜먹을게요,['https://rev-static.yogiyo.co.kr/1326f8fd5f1c5f20e892e30d5e66cb4e_tn.jpg']
52,4,[],맛있어요~~ 배달도 빠르고,[]
53,5,[],맛있어요ㅎ갈릭반양념반,[]
54,5,['양념반＋핫양념반'],잘먹음,[]
55,5,[],배달이 조금 오래걸려서ㅠ 그것만 빼면 치킨 밋있네요,[]
56,4,[],닭 맛있네요,[]
57,3,[],핫양념은 맛 있는데 갈릭은 너무 느끼 하네요. 조합이 옛날 같지가 않네요,[]
58,5,[],너무 편하고 좋아요~~,[]
59,5,['후라이드반＋양념반'],양념간도 딱이고튀김도 바삭바삭해서 맛있네요!,[]
60,5,['양념치킨'],핵존맛 여기이제 고정이다,[]
61,5,[],맛있어요,[]
62,5,[],맛있습니다,[]
63,5,[],맛있어요,[]
64,3,[],아무리 개취라지만 나는 아니요 그렇다고 모든 매뉴가 맛없다는건 아님,[]
65,5,[],맛있었습니다!,[]
66,5,['메이플치킨'],맛있어요,[]
67,5,[],양념맛남,[]
68,4,['갈릭반＋핫양념반'],맛있습니다,[]
69,5,['순살파닭'],맛있어요,[]
70,5,['오곡후라이드'],마싯어요ㅋ,[]
71,5,[],ㄱㄷㄱ시시시,[]
72,1,['순살치킨（양념）'],ㅠㅠ..순살양념 시켰는데.... 튀김양념이 왔네요.... 살은 어딨을까요..,[]
73,5,['마왕치킨'],배달도 빠르고 맛있네요,[]
74,4,['후라이드반＋양념반'],후라이드 고급져요...인삼넣은것같아서 좋아요양념이 좀더 매콤해도 좋을것같아요.. 고소하고 살도 포동포동했습니다 잘먹었어요,"['https://rev-static.yogiyo.co.kr/4cb2ec85d61cd6dc182092cffebe811d_tn.jpg', 'https://rev-static.yogiyo.co.kr/283c0b41a46a35b3ab843fff70beca1c_tn.jpg']"
75,3,['순살갈릭반＋순살핫양념반'],괜찮아요,[]
76,1,['갈릭반＋핫양념반'],할인 요일이라서 참으려고 했지만..저번에는 메뉴를 바꿔 오시더니(참고 먹었습니다.) 오늘은 예상 배달시간 65분을 넘겨 90분이 넘어도 아직 안오네요...맛을 떠나 손님에 대한 기본적인 배려가 없는것같네요.!다음부터는 조금 더 신경써주시면 좋겠습니다.,[]
77,1,['오곡후라이드'],8시20분에 주문하고 10시에 도착 1시간40분만에 배달되다니..1시간 넘으면 주문을 받지를 마세요,[]
78,4,['갈릭반＋핫양념반'],좀 오래걸렸어용 맛있어요~~,[]
79,5,['갈릭반＋핫양념반'],맛있어요,[]
80,5,[],맛나용,[]
81,1,['순살치킨（후라이드）'],할인해서 시켜봤는데..대실망...튀김옷두 엄청 굵고 튀기고 상자에둔지오래된듯 다눅눅해져서오고배달직원이 저희집 멍멍이가 짖는거보고 인상찌뿌리고 시끄럽다고그러고..아니 제가 비싼돈주고 개인주택서 개키우는데 배달하는사람한테 기분나쁜소릴 들어야합니까?배달직원한테 기분도드러운데 음식까지 별로여서 솔직히 별1개도 아깝네요,[]
82,2,[],조금느끼하네요도ㆍ,[]
83,4,['양념반＋갈릭반'],배달도 빠르고 친절하세요~,[]
84,4,['양념치킨'],90분걸렸는데 그래도맛있네요,[]
85,4,['갈릭플러스치킨'],여긴 믿고 먹습니다,[]
86,4,['후라이드반＋양념반'],배달빠르고 맛있게 먹었습니다.,[]
87,5,['오곡후라이드'],신선하고 깨끗한 기름 맛이라 여기서만 주문해요. 아이들과 함께 먹기 안매워 좋아요,[]
88,5,['양념치킨'],넘맛있어요~^^허겁지겁먹다 생각나서 찍어네요~,['https://rev-static.yogiyo.co.kr/d658a1f01cecf8bb83b88390db61f24b_tn.jpg']
89,5,['후라이드반＋핫양념반'],후라이드 맛 지리구요 핫 양념은 그냥저냥 먹을만,[]
