,별점,주문메뉴,리뷰,사진
0,1,[],온 고기들 반이상이 뼈고 고기의절반이 뼈여서 먹기힘듬니다,[]
1,4,[],"보쌈에 파도같이 있어 느끼함도 좀 덜하고 맛있네요보쌈김치도 맛있구요~ 상추,배추도 싱싱해서 좋았어요아쉬운건 막국수가 좀더 새콤달콤했으면 ㅎ",[]
2,4,[],깔끔,[]
3,4,[],다시는 안시켜요 감자김치전도 안오고,[]
4,1,['족발 小'],저는 왼만해서 비린냄새를 못 맏는데 거의 코가 막혀서  이건심하네요 몇몇조각에서 발냄새 씹을 때 그런걸 느낌내 평생 이런 족발은 첨입니다 편의점 족발보다 못한게 있다는게 오래된 고기또는 족발을 재대로 안씻을거죠?,[]
5,5,['삼겹보쌈 小'],"보쌈 소 짜리로 시켰는데음식도 깔끔하고 좋았고, 배달 해 주시는 분도 친절하셨습니다!",['https://rev-static.yogiyo.co.kr/f6af8aa67337f2392f64757323b34139_tn.jpg']
6,4,['족발 小'],항상 여기서 시켜먹어요 깨끗하고 맛있고 빨라요~~,['https://rev-static.yogiyo.co.kr/626fb74604ea40579cc3a147d58a06b0_tn.jpg']
7,5,['명태양념조림 小'],항상잘시켜먹고있습니다.,[]
8,3,['족발 小'],소 자 인데도 3명에서도 가능할정도로 양도많고 저렴하게 잘먹었습니다,[]
9,1,['삼겹보쌈 大'],대자 시켜도 콜라1.25안주면서 왜 1.25준다고했는지 알수가없네요,[]
10,3,"['삼겹보쌈 中', '공기밥', '콜라 500mL']",고기는 냄새도 없고 적당한데보쌈 김치가 짜네요... 밥이랑 국은 정말 괜찮은데야채쌈도 적고 마늘도 몇조각 안되고 아쉽네요,[]
11,4,['족발 小'],족발 할상 여기서 시켜 먹어요 느끼하지 않고 쫄깃해요,[]
12,5,['삼겹보쌈 中'],배달도 빠르고 맛도 있어요 양은 약간 아쉽지만 전체적으론 만족입니다,[]
13,4,['족발 小'],느끼하지 않고 맛있지만 양이 다소 적어요~~,['https://rev-static.yogiyo.co.kr/a90f214b271075edf3c062d8cf5646ba_tn.jpg']
14,4,['삼겹보쌈 小'],주로 여기서 많이 배달하는편인데 양이 좀 줄은듯하네요~ 맛은 좋아요,[]
15,1,['족발 小'],진짜 너무 하신거 아닌가요 누가보면 먹다 찍은줄알겠네요고기찾느냐고 뒤적인거예요아무리 소자라고하지만 무슨 미니족시킨것도아니고고기도없고 다 뼈에다 뼈에 고기도 안붙어있고고기먹고싶어서족발시킨거지뼈먹을려고시켰나요? 맛있어서자주 시켜 먹었는데 오늘 완전 실망이네요,['https://rev-static.yogiyo.co.kr/612a6ad435eb3542ff5f950401ae7176_tn.jpg']
16,1,['왕골뱅이'],사기임 절대 시키지 마세요. 양도 적고 골뱅이 5~6개밖에 없고 골뱅이가 작다. 사기 당했다.,[]
17,3,['삼겹보쌈 中'],잘먹었습니다. 다음에또 먹을게요,[]
18,3,"['마늘보쌈 小', '추가 선택(보쌈속（무채） 추가)']",다음에 또 먹을게요,[]
19,5,['반반보쌈 中（보쌈＋매운족발）'],배달도 빠르고 맛있어용! 먹다보니 양도 많은거같아요>< 매운족발도 매콤해서 정말 맛있어요ㅋㅋㅋ막국수도 존맛탱...! 양파절임마저 맛있네용,['https://rev-static.yogiyo.co.kr/e3c6b69d1411fb84b9abb5b59ab6f541_tn.jpg']
