,별점,주문메뉴,리뷰,사진
0,5,"['락곱새', '맛 선택(기본맛', '조리 선택(조리후 배달', '추가 선택(참치마요주먹밥 추', '마카로니 샐러드 추', '닭껍질튀김 추가)']",배달도 빠르고 양도 많고 너무 맛있었어요!ㅋㅋㅋ,[]
1,5,"['락곱새', '맛 선택(기본맛', '조리 선택(조리전 배달)']",사장님친절하시고 배달도빠르고요 맛있게잘먹었습니다~,"['https://rev-static.yogiyo.co.kr/c409517bdb24cef28963e469e7443d12_tn.jpg', 'https://rev-static.yogiyo.co.kr/ae12232b41cdd88f32f6033898afe9f9_tn.jpg', 'https://rev-static.yogiyo.co.kr/54f9fc54d9dd2ff3aaea0cdadfe5e7d0_tn.jpg']"
2,5,"['락곱새', '맛 선택(기본맛', '조리 선택(조리후 배달)']",요청사항 확인좀해주세요 애가깨서 식은거먹었어요 번창하세요,[]
3,5,"['락곱', '맛 선택(매운맛', '조리 선택(조리후 배달)']",당면이 너무 불어서 속상ㅜ담부턴 안 익혀 받는걸로♡,[]
4,5,"['락곱새', '맛 선택(기본맛', '조리 선택(조리후 배달)']",낙곱새두 계란찜도 다 맛있네용!덤으로 마카로니까지!배달도 너뮤 늦지않게 잘왔습니다 :)잘먹겠습니다!,['https://rev-static.yogiyo.co.kr/7f19c6aa7502f5dcd2fefe922019afd9_tn.jpg']
5,1,"['락차새', '맛 선택(기본맛', '조리 선택(조리후 배달)']",하…사장님? 여기 백종원의 솔루션이 정말 긴급하네요 골목식당 프로 신청하는것을 진지하게 고민해 보는게 어떠실까요? 해물들이 얼마나 긴 긴 밤을 냉동실에서 보냈는지 저세상 가기 직전 꺼내져서 조리된 것 처럼 신선하지 못해 나는 상한 비린내가 나요 한입 먹고 도저히 못 먹겠어서 다 버렸네요 입맛 버리고 돈도 버리고 기분이 몹시 불쾌합니다😡😠👿,['https://rev-static.yogiyo.co.kr/3e889de6d3b9c49ec5ac083fd20c2456_tn.jpg']
6,4,"['락곱새', '맛 선택(매운맛', '조리 선택(조리후 배달)']",기대됩니다 콜라요!,[]
7,3,"['락곱새', '맛 선택(기본맛', '조리 선택(조리전 배달)', '선비밥（일반공기밥）', '카스']",이거 낙지 맞쥬? 오징어 아니쥬? 처음 조리전해서 먹어보는데 설명이 없어서 난감하네요 재료들이 너무 질겨요ㅠㅠ 배달은 빠르네여,"['https://rev-static.yogiyo.co.kr/d4897bed3f5a5bbaa36884469f766684_tn.jpg', 'https://rev-static.yogiyo.co.kr/a632bc52dac0c819b4846922e18e9d22_tn.jpg']"
8,1,"['락곱', '맛 선택(기본맛', '조리 선택(조리전 배달', '추가 선택(건달밥（깍두기비빔） 추가)']",낙지가 넘 질겨요.. 곱창도 아니고 대창이 들어있고.. 대창도 질겨요.깍두기볶음밥도 시켰는데 이건 모 그냥 깍두기덮밥인가요??황당......,['https://rev-static.yogiyo.co.kr/6d53fdde014ce7f7e068a4effca51599_tn.jpg']
9,5,"['락곱새', '맛 선택(기본맛', '조리 선택(조리전 배달)']",넘 맛있어요~~~예전 리뷰는 좋은데 최근 리뷰가 좀 그래서 걱정했는데너무 맛있게 잘 먹었어요~다 먹고 신랑이랑 밥까지 볶아 먹었네요ㅎㅎㅎ,['https://rev-static.yogiyo.co.kr/d9020b01ebe85f4e0c3567c337c316e1_tn.jpg']
10,4,"['락곱새', '맛 선택(기본맛', '조리 선택(조리전 배달)', '처음처럼']",맛있고 금방 옵니다,[]
11,5,"['락곱새', '맛 선택(기본맛', '조리 선택(조리후 배달)']","넘 맛있다리,,,,",[]
