,별점,주문메뉴,리뷰,사진
0,5,['낙곱새 中'],여기 낙곱새는 처음 시켜봤는데 대창말고 곱창이있어서 더맛있게먹었네요 간도딱맞는거같구요 다음에또시켜먹을거같네요,['https://rev-static.yogiyo.co.kr/8b2d95f264e62cb038bbeec34a11405c_tn.jpg']
1,4,['꼬막비빔밥'],맛있어용ㅎㅎ 꼬막두 많고..담번에또시켜먹으려구요,[]
2,5,['낙곱새 中'],맛있어요! 제가 좋아하는 해산물이랑 곱창이 같이 있어서 안사먹을수가 없는 조합이네요 ㅎㅎ 곱창이 좀 더 많길 바랬는데 아쉽 다음에는 추가해야겟어요ㅠㅠ,[]
3,4,"['낙곱새 中', '미린다파인  500mL']",맛은 와 맛있다는 아니었고 그냥 보통..저한테는 좀 맵더라구요..서비스로 주신 계란찜 아니었음..휴맵기조절 할 수 있었으면 좋겠다 싶어요배달은 1시간이 조금 넘어서 왔어요오래 걸리는거 미리 생각하고 주문하시는게 좋은듯 싶어요,['https://rev-static.yogiyo.co.kr/796597bf0c43e0fe63d15adf7bdb0e97_tn.jpg']
4,3,['낙곱 '],저번 양이 좀 적었던것 같아서 대자로 시켰는데 왠지 수제비랑 떡 양이 상대적으로 비중을 많이 차지하는것 같네요 아쉽습니다 배송비까지 별도라서 부담도 되는데 음식점을 찾아가는게 나을듯 해요.. 좋은평 드리고싶은데 솔직히 아쉽습니다,[]
5,1,"['낙곱 ', '추가 선택(소곱창 100g 추', '낙지 100g 추가)']",대창이 아니라 곱창인 점에서 1번 실망대짜에 사리추가까지 했는데 양이 적어서 2번 실망낙곱새 집에서 시켰는데 곱창전골이 와서 3번 실망다시는 안 먹을랍니다..,['https://rev-static.yogiyo.co.kr/1a562713dd531441002ef5cdb9be30f5_tn.jpg']
6,1,['낙곱새 '],기존에 매콤하고 맛있던 낙곱새를 생각했다가 전혀 다른...주문서에 주소도 다른 동으로 찍어주어서 배달하시는 분에게 주소 알려달라고 전화도 왔었네요.,[]
7,5,['낙곱새 '],맛있어요부산에서 먹은것보다 더 맛있게 잘먹은것같아요!강추!,[]
8,5,['낙곱새 '],오늘도 맛있습니다존맛탱♡,['https://rev-static.yogiyo.co.kr/3badb1dd4b30b49c0947ec030c17c79d_tn.jpg']
9,5,['낙곱새 '],처음 시켜서 먹어봤는데 배송도 빠르고 맛있어요!!!,['https://rev-static.yogiyo.co.kr/7c230efffb6eb355808114175251a344_tn.jpg']
10,1,['낙곱새 '],배달은 예정시간안에 왓구요 배달하시는분도 친절하셧지만!!맛이 니맛도 내맛도 아닌..곱창은 너무 작게 잘려잇고 질기고 어쩌다 곱이들어잇는것쓴맛나고대창은 곱이 다 흘러내려서 국물이 걸죽한데 느끼하고 새우랑 낙지는 멀쩡한편..결론적으로 이돈내고서는 도저히 다음에 또시킬 마음이없음 이돈보다 싸도 뭐..왠만해선 이렇게까지 후기안쓰는데..ㅈㅅㅇ,['https://rev-static.yogiyo.co.kr/03095b9f2df6934a5127648ab642842c_tn.jpg']
11,4,['낙곱새 '],맛있내요 다음에도 주문할정도로 ㅎ,['https://rev-static.yogiyo.co.kr/88510ad0e3d918c158486719cd701fee_tn.jpg']
12,5,"['낙곱새 ', '추가 선택(공기밥 1개 추가)']",맛도 있었고 양도 딱 중간정도라서 좋네요 앞으로 가끔 주문해서 먹을 것 같네요,['https://rev-static.yogiyo.co.kr/80a9d29044069dddb2cff3db8fdfe29f_tn.jpg']
13,5,['낙곱새 '],맛잇어요~ 나중에 또 시켜먹을게요,[]
14,4,"['낙곱새 ', '추가 선택(소대창 100g 추가', '사리 추가 선택(당면사리)']",너무 빨리 도착해서 감동했으요~맛은 괜찮은데 조금만 덜 느끼하면 별 5개인뎅~ 서비스도 조금 챙겨주심 더 좋고용^^; 하지만 전체적으로 맛났습니다~,['https://rev-static.yogiyo.co.kr/3b7f4dbfef438722078a1ccdc437fd05_tn.jpg']
