,별점,주문메뉴,리뷰,사진
0,5,['숯불야채순대곱창볶음세트 2人（숯불야채＋순대＋곱창볶음2人＋계란찜＋주먹밥＋쿨피스180mL）'],진짜 혜자예요 곱창순대볶음이랑 주먹밥이랑 계란찜 오는거세트 시켯는데 2인분 시켯거든요? 4인분 온지 알았어용그만큼 양이 많아요 ㅋㅋㅋㅋ 밑에 리뷰 처럼 저희도 리뷰없어서 걱정햇는데 보고나서 리뷰 무조건 써야겟드 햇어요 ㅋㅋㅋㅋㅋ여러분들도 마니 시켜드세요 ~~~,[]
1,5,['숯불야채막창세트 2人（숯불야채＋막창볶음2人＋계란찜＋주먹밥＋쿨피스180mL）'],처음시켜서먹어봣는데.. .  맛도배달도짱이였어요!!! 잡내도없고 야채가달달하면서막창이씹하는질감짱이였어요 ㅎㅎㅎ,[]
2,5,['숯불야채막창세트 2人（숯불야채＋막창볶음2人＋계란찜＋주먹밥＋쿨피스180mL）'],여기 와 맛있어요양도많고요앞으로 자주시키겠습니다!!!!!,[]
3,5,['숯불야채막창세트 2人（숯불야채＋막창볶음2人＋계란찜＋주먹밥＋쿨피스180mL）'],너무맛있어요~^^ 앞으로 자주자주 먹고싶은 맛입니다. ㅎ,['https://rev-static.yogiyo.co.kr/af9bb402aeaa004c16e48aa597718f23_tn.jpg']
4,4,['숯불야채곱창세트 2人（숯불야채＋곱창볶음2人＋계란찜＋주먹밥＋쿨피스180mL）'],곱창을 너무 좋아해서 주문해봤습니다..곱창은 냄새도 안나고 적당히 맵고 맛있네요..다만 양배추가 너무 익어서 식감이 좀 그렇고..불맛이 좀 나줬음 하는 아쉬움이;;;양배추는 약간씩 탄것이 불맛을  내신건가 아니신건가....하는 생각을 하며 맛있게 먹었습니다..번창하세요~^^,['https://rev-static.yogiyo.co.kr/cddb228e4db485a9a7257b4dcef0454a_tn.jpg']
5,5,['숯불야채막창세트 2人（숯불야채＋막창볶음2人＋계란찜＋주먹밥＋쿨피스180mL）'],"오!! 처음 시켜봤는데 맛도 있고 양도 많고 너무 좋았어요!! 막창이랑 야채 말고도 부가적으로 소세지와 수제비, 떡도 들어있어서 귯귯👍👍 계란찜이랑 주먹밥도 맛있더라구요!! ㅎㅎㅎㅎ담에도 또 시켜먹을께영 귯~~~",['https://rev-static.yogiyo.co.kr/fb9ae0c56bc3f21d97fd5e242cd783e2_tn.jpg']
6,5,['숯불야채순대곱창볶음세트 2人（숯불야채＋순대＋곱창볶음2人＋계란찜＋주먹밥＋쿨피스180mL）'],별로 기대하지않았는데 완죤 맘에들어요.담에 또 시켜먹어야겠어요,['https://rev-static.yogiyo.co.kr/82f5719f8e2b3fb850a22868a70c6eda_tn.jpg']
7,4,['숯불야채순대곱창막창볶음세트 2人（숯불야채＋순대＋곱창볶음1人＋막창볶음1人＋계란찜＋주먹밥＋쿨피스180mL）'],숯불구이 맛 마니나여 양은 짱많움..!,[]
8,5,['숯불야채순대곱창막창볶음세트 2人（숯불야채＋순대＋곱창볶음1人＋막창볶음1人＋계란찜＋주먹밥＋쿨피스180mL）'],재주문 하였는데 변함없이역시 여기는 명불허전 입니다!!!!야채 순대곱창 막창 세트시켰는데순대도 터지지않고  맛있습니다^^,[]
9,1,['숯불야채순대곱창볶음세트 2人（숯불야채＋순대＋곱창볶음2人＋계란찜＋주먹밥＋쿨피스180mL）'],다시는 안시켜먹을듯 싶어요...순대에서 냄새나네요...,[]
