,별점,주문메뉴,리뷰,사진
0,5,"['T-REX버거', '새우버거', '클래식치즈버거']",이열 티렉스 첨먹어봤는데 통다리살에 두툼하고 맘터 싸이버거랑 다르게 달지않고 후추맛나서 좋네여배달도 피크타임 감안하면 빨리왔고 예상시간 이내 도착했습니다많이 좋아졌네 롯데리아,[]
1,5,"['새우버거세트', '드링크 선택(선택 콜라（L）)', '치킨 1조각']",잘먹엇습니가! 맛잇네여,[]
2,5,"['와규오리지널세트', '드링크 선택(세트 콜라（R）', '토핑 추가(L치즈 토핑)', '치킨 1조각']",햄버거가 약간 식은거 빼곤 좋아요~다음엔 따듯한거로 배달부탁해요,['https://rev-static.yogiyo.co.kr/6ef46782eb24787920a8a399be06d4b6_tn.jpg']
3,4,"['T-REX버거 세트', '드링크 선택(세트 콜라（R）)', '새우버거세트', '드링크 선택(세트 콜라（R）)']",배달이 예상보다 빨리왔고 포장도 꼼꼼하고 맛있었어요 ㅎㅎ 그런데 버거 안에 소스가 많아서 좀 짰어요 ㅜㅡㅜ,[]
4,5,"['와규오리지널세트', '드링크 선택(세트 콜라（R）)', '새우버거세트', '드링크 선택(선택 사이다（R）)']",맛있고 빠르네요 생각보다 괜찮아요,[]
5,4,"['모짜렐라인더 버거-베이컨 세트', '드링크 선택(선택 사이다（R）)', '양념감자']",아주 맛나네요 근데 버거가 많이 식었어요ㅜㅜ,[]
6,5,"['T-REX버거', '치킨버거', '핫크리스피버거']",배달 빠르고 맛있게 먹었어요~ 다음에 또 주문할게요 ~~,[]
7,5,"['모짜렐라인더 버거-더블 세트', '드링크 선택(선택 사이다（R）)', '치킨 1조각']",치즈가 살짝 부적하긴 했는데 괜찮었오요,['https://rev-static.yogiyo.co.kr/833f1b820266e3c9522f340cd481c185_tn.jpg']
8,5,"['AZ오리지널세트', '드링크 선택(선택 아이스카페라떼)', '새우버거세트', '드링크 선택(선택 아메리카노)']",롯데리아 최근에 먹을만 해짐...,[]
9,5,"['새우버거세트', '드링크 선택(선택 사이다（R）)', '치킨휠레 4조각', '휠레소스 선택2(휠레소스_스위트앤샤워)']",이제는 맥날보단 롯데리아인듯.. 가성비도 좋고 빠르고 굳,['https://rev-static.yogiyo.co.kr/92e2743559f571e0b3268f82b5a5e530_tn.jpg']
10,5,['순살치킨 하프팩'],자주 시켜 먹어야겠다고 다짐했다!ㅋㅋ,[]
11,5,"['불고기버거', '치킨휠레 4조각', '휠레소스 선택2(휠레소스_허니머스타드)']",정말 맛있고 빠릅니다 강추,[]
12,5,['불고기버거'],정말 맛있고 빠릅니다 강추,[]
13,5,"['불고기버거', '불고기버거세트', '드링크 선택(세트 콜라（R）)', '치즈스틱']",배달도빠르고 좋아요,[]
14,1,[],버거에서 이상한거 나온지가 언제인데.....결과나오면 전화준다는게 저번주인데 아직까지 연락 없고..... 리뷰 쓰라는데 고생한 얘기 써야하나요,['https://rev-static.yogiyo.co.kr/ae060469f989adc30a354688786c0b72_tn.jpg']
15,5,"['모짜렐라인더 버거-더블 세트', '드링크 선택(선택 콜라（L）', '토핑 추가(베이컨 토핑)', '클래식치즈버거 세트', '드링크 선택(선택 사이다（R）)']",맛나염 ㅇㅇㅎㅎㅎㅎㅎㅎ,[]
16,5,"['모짜렐라인더 버거-더블 세트', '드링크 선택(선택 콜라（L）', '토핑 추가(베이컨 토핑)', '클래식치즈버거 세트', '드링크 선택(선택 사이다（R）)']",굿굿 ㅎㅎㅎㅎㅎㅎㅎ,[]
