,별점,주문메뉴,리뷰,사진
0,5,['핫크리스피버거'],가까운곳에 매장이 생긴걸 오늘 알았네요 ~~ 배달도 빨리 와주셔서 따뜻하게 잘 먹었어요 ^^ 맛도 물론 있구요 👍👍 앞으로 자주 주문할게요 ~~^^ 배달하시는분도 친절하시고 감사했어요 😊,"['https://rev-static.yogiyo.co.kr/bf1f6dcb988957776e69e2b1520fff34_tn.jpg', 'https://rev-static.yogiyo.co.kr/86fb0396e47e649da3752d586f67432a_tn.jpg', 'https://rev-static.yogiyo.co.kr/e431e1b4ca4fc00e4a2f65985c3da7cd_tn.jpg']"
1,5,"['데리버거', '클래식치즈버거 세트', '드링크 선택(선택 사이다（L）)', '시즈닝_칠리맛']",배달도 빠르고 맛있게 먹었어요,[]
2,5,"['치킨버거', '새우버거', '치킨 1조각']",그녕 응으으으으응으,[]
3,5,[],배달도 빠르고 맛있게 먹었습니다. 감사합니다.,[]
4,4,"['불고기버거세트', '드링크 선택(세트 콜라（R）)']",롯데리아는 늘 먹는 버거로 타 버거 보다 정말 맛있습니다,[]
5,5,"['콘샐러드', '포테이토（L）', '베리베리 팥빙수', 'ICE아메라지']",배달도 빠르고 맛있게 먹었습니다. 감사합니다.,[]
6,5,['DoubleX2버거'],맥날보다 훨나음 ㅋㅋ,[]
7,5,"['데리버거', '핫크리스피버거세트', '드링크 선택(선택 사이다（R）)']",다른지점에 비해 정말 맛나요,['https://rev-static.yogiyo.co.kr/a690d71619731e19c2a6d2201347a099_tn.jpg']
8,5,"['데리버거', 'DoubleX2세트', '드링크 선택(선택 사이다（R）)']",더블x2 맛있네요,['https://rev-static.yogiyo.co.kr/fde145caceed785f77c8b00d09155a31_tn.jpg']
9,5,"['비프바베큐버거', 'DoubleX2세트', '드링크 선택(선택 ICE아메라지)']",롯데리아행사하기에 시켜본 첫주문이였어요음료배달 몇번해보니 날이 더워 얼음이 다 녹아 밍밍해서 따로 부탁드렸더니 들어주셨어요넘나 감동^^그런데 오다가 커피가 샌건지 양이ㅜㅜ햄버거도 너무 맛있지만 야채가 부실해서 아쉬웠지만 너무 맛있었어요 애들도 신나하고감사합니다,"['https://rev-static.yogiyo.co.kr/704e4b96ee9fb525a67f1e850d545dc7_tn.jpg', 'https://rev-static.yogiyo.co.kr/3ef17d8ac25c7cbe3edace7b711bc574_tn.jpg', 'https://rev-static.yogiyo.co.kr/274e350422ce3768e420cd609fc4dc36_tn.jpg']"
