,별점,주문메뉴,리뷰,사진
0,1,"['양념감자', '싱글A세트']",토마토는 얼어있구 고기도 이렇게 퍽퍽할수가..배달하나는 빠르네요,[]
1,5,"['치즈버거', 'AZ（아재）버거 베이컨콤보']",빠르고 좋아용,[]
2,5,"['유러피언스모크치즈버거세트', '<드링크 선택>(선택 스파클링아이스티)', '콘샐러드']",굿,[]
3,5,[],빠르고 좋네요^^,[]
4,5,"['핫크리스피버거세트', '<드링크 선택>(세트 콜라（R）)', '콘샐러드', '치킨 1조각', '휠레소스_허니머스타드']",맛있어요,[]
5,4,[],배송받아먹으니좋네요~잘먹었어요,[]
6,4,[],치킨퍽퍽해,[]
7,5,[],👍,[]
8,5,"['데리버거', '새우버거', '핫크리스피버거세트', '<드링크 선택>(세트 콜라（R）)', '해쉬 브라운', '휠레소스_스위트앤샤워']",빨라서좋네요,[]
9,4,[],믿고먹는 롯데리아,[]
10,5,[],맛나요♡,[]
11,4,[],배송은 좁 느린데 맛은 있메요.. 근데 프렌치프라이를 1팩만 주네요..,[]
12,1,[],햄버거는 다 찌그러지고 콜라에는 얼음도 없고..알바생이 포장하기 싫었던건지 배달하시는분이 배달하기 싫었던건지..다시는 여기서 안시키고 옆동네 롯데리아에서 시키렵니다,[]
13,1,[],다른집과 배달을 헷갈리셔서 잘못 왔는데 왜 사과조차 하지 않으시는거죠..사과만 한마디 하셔도 충분히 기다릴 마음이 있는데..콜라도 김 다 빠지고..에휴 그래서 제가 주문한건 얼마나 기다려야 다시 받아볼수 있는건지.. 말도 안해주시고 바꿔준다는 말만 하시고.. 다 식어서 받으면 진짜 화날것 같아요..아..정말 이번엔 너무하셨어요,[]
14,1,[],AZ베이컨 버거 시켰는데 베이컨이 안들어있는데요?왜죠??도대체 왜 베이컨이 없나요 오ㅐ?????????????????왜죠? 아 ㅡㅡ 진짜 정신 차리고 버거 좀 만들어주세요 진짜 이럴거면 오리지널 시키지 돈도 차이가 나는데 ㅡㅡ,[]
15,5,[],빠름,[]
16,1,['한우연인팩'],"최악이다.. 감자는 다 식어서 말라비틀어져서 내가 생감자를 씹는건지 프렌치프라이를 먹는건지 모를정도고, 햄버거 역시 다 식어서 마치 3일된 빵을 굽지 않고 먹는것 같으며 같이 온 치즈스틱은 무난했지만 집에서 걸어서 20분 거리인 곳을 배달로 50분이 걸렸다는게 그저 놀라울따름.. 왜냐? 음식을 새로해서 따끈따끈하게 갔다준거면 이해가 되는데 망할 음식 상태로 보아 포장된걸 그냥 갔다준건데 이런 시간이라니.. 소크라테스 왈 ""답이 없다""",[]
17,2,[],진짜 배달속도는 최악ㅋㅋ,[]
18,5,"['모짜새우버거세트', '<드링크 선택>(세트 콜라（R）)', '화이어윙 4조각']",👍,[]
19,2,"['와일드쉬림프세트', '<드링크 선택>(선택 사이다（R）)', '치킨 1조각']",일단배달은 45분걸린다고했는데 42분정도 걸린것같아요 버거킹에비하면 빠름. . ㅋ.ㅋ.ㅋ.햄버거는 와일드쉬림프버거. .맛있었어요 소스도 듬뿍넣어달라고했는데 요청사항에맞게옴.  야채는많이달라고햇는데 썩은양상추들이 먹다보니나옴. . 내생각엔 그썩은양배추 몇개먹은듯. .근데 지금 속이 니글거리는게 영 그러함. . 왠만하면안가리고먹는성격이라서 잘먹는데 . .닭다리냄새 고약해요비릿내. . 치킨휠레는 너무너무퍽퍽하고. .설명에는매콤하고담백하다고나와있는데.매콤은전혀없구요 그냥 후라이드인데 기름많은? 그래도배달그럭저럭만족하고 음료수도 닝닝하지않게 얼음빼고주시고햄버거먹을만해서 3개 썩은양상추넣은거생각하면 별두개도아깝지만. . 사이다에성 이빨냄새남 치과냄새,['https://rev-static.yogiyo.co.kr/80686646bf9e5a202963ea3925c5acda_tn.jpg']
20,4,"['모짜렐라 인더 버거-해쉬', '모짜렐라 인더 버거-베이컨 세트', '<드링크 선택>(세트 콜라（R）)', '양념감자', '포테이토', '치킨 1조각']",마이따 모짜렐라 주문은 45분안이라하지만 50분 넘게 걸림,['https://rev-static.yogiyo.co.kr/3cafadf27cedf3aba9ac01b4b8cb34de_tn.jpg']
21,5,"['양념감자', '한우연인팩']",전 집이 가까워서 그런지 빠르고 좋아요 근데 감자튀김은 좀 미리 안튀겼으면..,[]
22,5,"['불고기버거세트', '<드링크 선택>(세트 콜라（R）)', '핫크리스피버거세트', '<드링크 선택>(세트 콜라（R）)']",배달이 빨라서 좋아요 ㅋ,[]
23,1,"['양념감자', '트윈B팩']",아무리 미리 만들어놔도 그렇지  식디식어 맛이 너무없어요,[]
24,4,"['불고기버거', '치킨 패밀리팩', '<소스 선택2>(머스타드소스)']",버거에 소스가 엄청 조금 묻어있네요.,[]
25,4,"['와규오리지널세트', '<드링크 선택>(세트 콜라（R）)']",맛있어요 배달조심하세요,[]
26,5,"['모짜렐라인더 버거-베이컨 세트', '<드링크 선택>(세트 콜라（R）)', '콜라1.25L（PET）']",맛있게 잘먹었어요~,[]
27,5,"['불고기버거', '새우버거', '불고기버거세트', '<드링크 선택>(오렌지쥬스（400ml）)']",깔끔하고 맛있어요~~,[]
28,4,"['불고기버거세트', '드링크 선택(세트 콜라（R）)', '불고기버거세트', '드링크 선택(세트 콜라（R）)']",롯데리아는 다들 잘 아시다 시피 중간 이상은 합니다.양이 먹을때 마다 부족 하다고 느낄 뿐 맛은 평타 이상!,[]
29,5,"['모짜렐라인더 버거-베이컨 세트', '드링크 선택(세트 콜라（R）)', '맥앤치즈스틱1조각', '콘샐러드']",배달시간은 나쁘지않았는데뚜껑이 제대로 안 닫혀서 콜라가 다 흘렀어요..잘 닫아주시길;; 그리고 감자튀김은 식어서 아쉽네요 ㅠ 그래도 버거 맛 자체는 나쁘지 않았습니다,['https://rev-static.yogiyo.co.kr/8082a6e8007c698eb94b9bfc054cb43b_tn.jpg']
30,4,"['모짜렐라인더 버거-베이컨 세트', '드링크 선택(선택 사이다（R）)', '데리세트', '드링크 선택(선택 사이다（R）)']",배달은엄청빠르네요 그냥롯데리아맛,['https://rev-static.yogiyo.co.kr/cc34d92fcab21eb40787ab7d12fcd2d4_tn.jpg']
31,5,"['치킨버거 세트', '드링크 선택(세트 콜라（R）)', '치킨휠레 2조각']",엄청 빨리와서 좋았어요,[]
32,5,"['모짜새우버거', '맥앤치즈스틱1조각', '순살치킨 하프팩']",완전 맛있었고 배달 빠르고 좋아용,[]
33,5,"['핫크리스피버거', '포테이토']",굳~~~~~~~~~,[]
34,5,"['불고기버거', '모짜렐라인더 버거-더블 세트', '드링크 선택(선택 사이다（R）)', '콘샐러드']",맛있어요!!!!~~~~~~~~~~~~,[]
35,3,"['해쉬브라운', '양념감자', '롱치즈스틱', '콜라（R）', '치킨 1조각', '휠레소스_스위트앤샤워', '시즈닝_치즈맛', '시즈닝_오니언맛']",굳궁굳굳궁굳굳궁굳굳궁굳,[]
