,별점,주문메뉴,리뷰,사진
0,5,"['양지 쌀국수', '칠리소스)', '소고기파인애플 볶음밥', '미린다 파인']",사진은 먹느라 못 찍었습니다.소고기파인애플볶음밥이랑 양지쌀국수 시켰습니다.친구가 쌀국수 극찬하네요. 배달도 빠르고 괜찮습니다.양도 많아요다음번에는 쌀국수 먹어보려 합니다.번창하세요.,['https://rev-static.yogiyo.co.kr/382e195c255c145df127c5873458398b_tn.jpg']
1,4,"['차돌 쌀국수', '칠리소스)', '야채춘권 6p']",쌀국수는 양많고 맛잇었어요 ~ 칠리소스는 좀 마니맵소 해선장이랑 섞어먹으면 괜찮앗어요 ~ 담엔 해선장만 추가할듯! 배달이 근데 너무 늦어졋고... 춘권은 5천원이 파시기엔 양도 퀄리티도 너무 떨어지네요... 그냥 파는 냉동춘권 돌려서 주시는듯.... 담부턴 사이드는 안먹겟네요,[]
2,5,"['1인 쌀국수 set（쌀국수 택1＋사이드 택1）', '메뉴 선택(소고기 쌀국수', '사이드 선택(핫윙)', '카스병맥주']",쌀국수랑 윙 둘다 맛있네요면이 좀만 더 있으면 좋겠어요~다음에 또 시킬게요.. 번창하세요!^^,[]
3,5,"['베트남해물쌀국수', '미린다 파인']",양 미쳤어욬ㅋㅋㅋ맛도 맛인데 와 국물진짜 최고에요👍🏻👍🏻해장으로 최고인거같아요,[]
4,5,"['세트（쌀국수＋볶음밥 택1＋음료수 택1）', '메뉴 선택(소고기 쌀국수', '메뉴 선택(소고기파인애플볶음밥', '음료수 선택(미린다 파인)']",맛있습니다 쌀국수가 따로 포장되어와서 너무 좋았고 볶음밥도 맛있었습니다,[]
5,5,"['세트 2人（월남쌈＋쌀국수 택1＋음료수 택1）', '고수 추가', '메뉴 선택(차돌 쌀국수', '음료수 선택(펩시)']",맛있어요 국물도 따뜻하고 고기도 맛있고.다만 채소를 채칼로 썰면 더 예쁘거나 식감이 좋을수도 있는데 칼질을 너무 투박하게하셔서 집에서 해먹는 자연스러움은 있습니다. 맛에는 차이가 없고요..집들이나 특별한날 음식에 적합할것같아요. 소스도 많이주시고 맛도있고. 완전 만족입니다.,"['https://rev-static.yogiyo.co.kr/705adc804af145c27a1b015fbc8e3529_tn.jpg', 'https://rev-static.yogiyo.co.kr/097032b7c983365d9eac966c5ca86364_tn.jpg', 'https://rev-static.yogiyo.co.kr/6e8e46b369988a3fb081b116c25a72dc_tn.jpg']"
6,5,"['세트（쌀국수＋볶음밥 택1＋음료수 택1）', '메뉴 선택(소고기볶음밥', '음료수 선택(칠성사이다)']",😆😆😆😆😆😆😆,[]
7,5,"['세트（쌀국수＋볶음밥 택1＋음료수 택1）', '메뉴 선택(소고기 쌀국수', '메뉴 선택(매콤소고기파인애플볶음밥', '음료수 선택(칠성사이다)']",맛잇고 양도 많아서 좋아요!!볶음밥도 불향많이나고 맛있어요!!근데 오늘도 배달할때 볶음밥 포장이 뜯어져서와서 좀 아쉬웟어요 ㅠ,[]
8,5,"['세트（쌀국수＋볶음밥 택1＋음료수 택1）', '메뉴 선택(소고기 쌀국수', '메뉴 선택(소고기볶음밥', '음료수 선택(펩시)']",잘 먹 었 습 니 다 !,[]
9,5,"['세트（쌀국수＋볶음밥 택1＋음료수 택1）', '메뉴 선택(소고기 쌀국수', '메뉴 선택(매콤새우소고기볶음밥', '음료수 선택(미린다 파인)', '야채춘권 6p']",고수 추가햇는데 아예없네요 새우... 비려요 안싱싱한맛나네요.,"['https://rev-static.yogiyo.co.kr/68e4eb11e10040f66bce342fd5a583ec_tn.jpg', 'https://rev-static.yogiyo.co.kr/e955cda89285ae12757ddf42c6aab144_tn.jpg', 'https://rev-static.yogiyo.co.kr/b780c4237870091660e989eb7aa5f754_tn.jpg']"
10,5,"['매콤해물쌀국수', '세트（쌀국수＋볶음밥 택1＋음료수 택1）', '메뉴 선택(새우소고기볶음밥', '음료수 선택(미린다 파인)']",양도많고배불리잘먹었습니다,[]
11,5,"['세트（쌀국수＋볶음밥 택1＋음료수 택1）', '메뉴 선택(소고기 쌀국수', '메뉴 선택(소고기볶음밥', '음료수 선택(펩시)']",맛도좋고 양도푸짐합니다.배달이 많이느려서 아쉬웠습니다.,[]
12,5,"['양지 쌀국수', '칠리소', '숙주 조리 전 배달)', '베트남해물쌀국수', '숙주 조리 전 배달)', '새우소고기 볶음밥', '월남쌈 2人']",와이프가 정말정말 맛있다고 또 시키자고 하네요~^^,[]
13,5,"['세트 2人（월남쌈＋쌀국수 택1＋음료수 택1）', '메뉴 선택(양지 쌀국수', '음료수 선택(펩시)']",배달도 빠른편이고 맛도 너무 좋아요^^자주 시켜먹을께오^^아이가 자고있어서 메모했는데 배달후 문자도 주셔서 너무 감사해요~~작은배려 너무 고맙습니다^^,['https://rev-static.yogiyo.co.kr/a1ada818db09660e1c7cb094cf45fbfb_tn.jpg']
14,5,"['차돌 쌀국수', '핫윙 6p', '야채춘권 6p']",정말 맛있게 잘 먹엇어요,[]
15,5,"['세트（쌀국수＋볶음밥 택1＋음료수 택1）', '메뉴 선택(매콤소고기파인애플볶음밥', '음료수 선택(펩시)']",배달도 빠르고 그냥 포00같은곳보다 훨 나아요,[]
16,5,"['세트（쌀국수＋볶음밥 택1＋음료수 택1）', '메뉴 선택(소고기파인애플볶음밥', '음료수 선택(미린다 파인)']",배달 지역이 아니라고 하시면서 가시네요..그럼 미리 연락주시죠,[]
17,5,"['매콤소고기쌀국수', '1인 볶음밥 set（볶음밥 택1＋사이드 택1）', '사이드 선택(핫윙)']",맛있어여맛있어여맛있어여맛있어여,[]
18,5,"['매콤소고기파인애플 볶음밥', '핫윙 6p']",맛 참좋네요. 배달비만 아니였어도 맨날 시켜먹는건데 ㅜ 잘먹었습니다^^,[]
19,5,"['1인 쌀국수 set（쌀국수 택1＋사이드 택1）', '사이드 선택(새우롤)']",양진짜많네요잘먹었습니다,[]
20,5,"['매콤새우소고기 볶음밥', '꽃게롤 4p']",밤인데 배달도 빠르고 볶음밥이 정말 간도 잘되고 밥알도 맛있게 됐네요.,[]
