,별점,주문메뉴,리뷰,사진
0,5,"['반반 탕수육', '메뉴 선택(흑', '핫킹양념)']","탕수육 맛있어서 며칠째 계속 주문해요! 이번에 서비스로 주신 만두, 사실 크게 기대 안했는데 나무 알차고 크고, 김치 고기만두 하나씩 주셔서 정말 맛있게 먹었어요!! 따로 또 주문하고 싶을정도에요ㅎㅎ 소스 조랍은 핫킹+흑초가 베스트인 것 같아요:)",['https://rev-static.yogiyo.co.kr/c1cd23559bbbd3ec22ba61fd686b20e9_tn.jpg']
1,5,"['반반 탕수육', '메뉴 선택(흑', '핫킹양념)']",중국집 탕수육보다 훠얼씬 맛있어요! 마라탕이랑 같이 먹었는데 꿔바로우 안부러울 정도로 쫄깃하고 맛있네요:),['https://rev-static.yogiyo.co.kr/1f5e6b06f6e731f191028c15c0f74cf2_tn.jpg']
2,4,"['반반 탕수육', '메뉴 선택(간', '레몬)']",맛있는데 양이 적네요 ㅠㅠ,[]
3,5,"['반반 탕수육', '메뉴 선택(매콤양', '흑초)']",맛있게 잘먹었습니다,['https://rev-static.yogiyo.co.kr/d0d516cff46fb64c593485afad019869_tn.jpg']
4,5,['김치 치즈 탕수육'],배달은 생각보다 오래 걸렸네요. 배고파서 주문했는데 계속 꼬르륵 ㅠ 그런데 맛은 진짜 기가 막힙니다. 일단 치즈 특유의  맛이 확 퍼지는데 그 순간 살짝 느끼함을 김치가 잡아주고 탕수육 고기의 두툼함 때문에 씹는 식감도 최고에요 :)  다음에도 주문해서 먹을래여,['https://rev-static.yogiyo.co.kr/506302d2b59207591c44182234ca1fb7_tn.jpg']
5,3,"['반반 탕수육', '메뉴 선택(오리지', '핫킹양념)']",탕수육 좋아하는 우리딸..아들~근데 맛없는 탕수육은 안먹어요-.-;;그래서 탕수육전문점이니..맛있겠다..하고 시켜줬는데 금새 게눈감추듯이 없어졌네요ㅎ근데 가격에비해 ..양이 넘 적어요ㅜㅜ음식 퀄리티는 넘 좋구요..가끔 시켜먹어야겠어요 부담스러워서..,[]
6,5,['오리지날'],맛있게 잘먹었습니다,[]
7,5,['김치 치즈 탕수육'],맛있어요~~~~~~~,[]
8,5,"['반반 탕수육', '메뉴 선택(오리지', '양념)']",탕슉전문점인만큼 마싯어요 다음에 또 주문할께요!,[]
9,4,"['반반 탕수육', '메뉴 선택(오리지', '매콤양념)']",맛있어요 맛있어요 맛있어요,[]
10,5,"['반반 탕수육', '메뉴 선택(오리지', '매콤양념)']",진짜 안심으로 튀긴거 같이 튀김은 바삭하고 고기는 부드럽네요. 오리지날은 케챱베이스 소스네요. 맛있어요.,[]
