,별점,주문메뉴,리뷰,사진
0,5,"['2인 냉면 마니 세트（냉면 택2＋구운삼겹살 250g＋쌈채소＋파절이＋음료 택1）', '세트 메뉴 냉면 1 선택(비빔냉면', '세트 메뉴 냉면 2 선택(물냉면)']",집에서먹는건데도 너무맛있음.. 물냉이 굿..비냉은 약간싱겁..가격대비 만족도 갑입니다♡♥,['https://rev-static.yogiyo.co.kr/d316af0296e30ca68d734ca77151640c_tn.jpg']
1,4,"['구운 삼겹살 1인분（200g）', '2인 냉면 마니 세트（냉면 택2＋구운삼겹살 250g＋쌈채소＋파절이＋음료 택1）', '세트 메뉴 냉면 1 선택(물냉면', '세트 메뉴 냉면 2 선택(비빔냉면)']",냉면도먹고싶고 고기도 먹고싶으면 주문하면 됩니당나름 괜차났어여 가격대비 퀄리티가 떨어지지 않아여,[]
2,5,"['2인 배터져 세트（냉면 택2＋구운삼겹살 2인분 400g＋쌈채소＋파절이＋음료 택1）', '세트 메뉴 냉면 1 선택(물냉면', '세트 메뉴 냉면 2 선택(비빔냉면)']","오 생각보다 고기도 맛있고 냉면도 맛있었어요남편이 오이 알르레기 있는데 전화해서 꼭빼달라고 하니까 친절하게 말해주시고, 맛도 괜찮았어요~담에 또 시켜먹을게요^^",['https://rev-static.yogiyo.co.kr/914c87fc9f88553753259bf80007d846_tn.jpg']
3,2,"['2인 냉면 마니 세트（냉면 택2＋구운삼겹살 250g＋쌈채소＋파절이＋음료 택1）', '세트 메뉴 냉면 1 선택(물냉면', '세트 메뉴 냉면 2 선택(물냉면)', '파절이 추가', '콜라 1.25L']",리뷰보고 시켰는데 생각보단 평범.콜라시켰는데 스프라이트옴,[]
4,5,"['1인 냉면세트（냉면 택1＋구운삼겹살 250g＋쌈채소＋파절이＋음료 택1）', '세트 메뉴 음료 선택(스프라이트 500mL)', '계란찜', '구운마늘 추가']",고기 주는 냉면집찾다가 주문햇는데왠만한 고깃집보다 고기가 맛잇네요파절이도 맛잇고 물냉면도 맛잇어요~!,[]
5,4,"['함흥물냉면', '함흥비빔냉면', '구운 삼겹살 3＋1인분（800g）']",고기 양 많고 냉면도 맛있고  배송까지 빨랐어요.,[]
6,2,[],고기는 먹을만했어요 근데 냉면 면이 아예 떡져서 나오네요.보통 냉면처럼 후루룩 먹다가 식도막혀서 죽을뻔 했습니다.냉떡이네요 아주?,['https://rev-static.yogiyo.co.kr/d40829af51362eb32dfd72288157928b_tn.jpg']
7,1,[],배달 늦고 냉면은 떡이고 맛없네요...,[]
8,4,[],"예정 보다 빠른 배송, 평균적인 맛 좋아요. 기대 이상이네요. 막 야식 배달 하고는 달라요.",[]
9,5,"['1인 냉면세트（냉면 택1＋구운삼겹살 250g＋쌈채소＋파절이＋음료 택1）', '세트 메뉴 음료 선택(스프라이트 500mL)']",점심 덕분에 맛나게먹엇어용 저녁에 신랑이랑 또시키네요 ~고기 넘 맛나요 냉면도 사진이랑틀리게칡냉면 맛잇엇어요~,[]
10,5,"['고기마니아 세트 One（냉면 택1＋구운삼겹살 3＋1인분 800g＋쌈채소＋파절이＋음료 택1）', '세트 메뉴 음료 선택(스프라이트 500mL)']",저녁에도맛나게 잘먹엇어요~,[]
11,5,"['2인 냉면 마니 세트（냉면 택2＋구운삼겹살 250g＋쌈채소＋파절이＋음료 택1）', '세트 메뉴 냉면 1 선택(물냉면', '세트 메뉴 냉면 2 선택(비빔냉면)', '구운마늘 추가']",맛있음,[]
12,5,"['1인 냉면세트（냉면 택1＋구운삼겹살 250g＋쌈채소＋파절이＋음료 택1）', '세트 메뉴 음료 선택(스프라이트 500mL)']",언제나시켜먹는데고기도맛잇고냄새도안나요,[]
13,5,"['1인 냉면세트（냉면 택1＋구운삼겹살 250g＋쌈채소＋파절이＋음료 택1）', '세트 메뉴 음료 선택(스프라이트 500mL)']",거의매일먹는다는ㅋ질리지가않아요ㅋ,[]
14,5,"['1인 냉면세트（냉면 택1＋구운삼겹살 250g＋쌈채소＋파절이＋음료 택1）', '세트 메뉴 음료 선택(스프라이트 500mL)']",파절이양념빼고는 나무랄데없는 환상,[]
