,별점,주문메뉴,리뷰,사진
0,4,['후라이드＋간장치킨 1마리'],배달은 빠른편이고요 배달비 1천원맛은 중상양은 좀 적어요콜라는 펩시,['https://rev-static.yogiyo.co.kr/25c28747d2be9990dafc89f1c1c05f11_tn.jpg']
1,4,"['일반탕수육', '양념치킨＋간장치킨 1마리']","양 이 조금 모자라지만, 바삭바삭하고 맛있어요",[]
2,4,['후라이드＋양념＋간장 3마리'],빨리 배달도 오고 서비스도 좋아서 엄청 좋았어요!! 양도 많아서 좋았어요,[]
3,4,"['반반탕수육', '눈꽃치즈탕수육（체다치즈）', '사이즈 선택(中（콜라 500mL제공）)']",사장님 잘먹었습니다,[]
4,5,"['김치피자탕수육', '맛 선택(매운맛)']",생각보다 맛있었어요,[]
5,5,['순살후라이드＋양념파닭 2마리'],야외에서 시켜먹었는데 배달도 빠르고 맛있네요~~ 배달원분께서 너무 친절하셔서 좋았어요~~,['https://rev-static.yogiyo.co.kr/667fc232d3aeddaaf6fa8376e882605c_tn.jpg']
6,5,['스페셜파닭（4가지맛） 3마리'],맛있었습니다아아아으으,[]
7,5,"['김치피자탕수육', '맛 선택(중간맛)']",맛잇어여 배달도빠르고,[]
8,5,"['김치피자탕수육', '맛 선택(순한맛)']","별5개 이유: 남은거 냉장고 넣어놓고 하루반뒤에 먹어봤는데 고기,치즈 잡내 없었음. 추천합니다.",[]
9,5,['순살양념 파닭 2마리'],굿굿 맛있음!!!!!!,[]
10,5,['피자탕수육'],완전 맛있었어요  굳굳굳,[]
11,5,"['김치피자탕수육', '맛 선택(순한맛)']",배달도 빠르고 맛있습니다,[]
12,5,['일반탕수육'],바삭하니 맛있습니다,[]
13,4,['순살후라이드＋양념파닭 2마리'],무난한 파닭 튀깁옷이 좀 많음,[]
14,4,"['일반탕수육', '사이즈 선택(中（콜라 500mL제공）)', '생맥주 1000cc']",맛은잇는데 튀김옷이 좀많습니다. 맛이나 배달은 만족스럽습니다.,[]
15,1,"['반반탕수육', '눈꽃치즈탕수육（체다치즈）', '사이즈 선택(中（콜라 500mL제공）)']",김피치 맛있게먹어서 또 주문한건데반반탕수육은 스노윙은 너무 짜고 고기가 너무 적고 튀김옷만크네요..다음엔안시킬듯,['https://rev-static.yogiyo.co.kr/b759388c542630d070141d8fad283403_tn.jpg']
16,4,['순살후라이드＋간장파닭 2마리'],자주 시켜먹음. 후라이드도 맛 괜찮음.,[]
17,5,['피자탕수육'],피자탕수육 완전 좋아요,[]
18,4,['피자탕수육'],넘 맛져용~~~~~~,[]
19,4,"['김치피자탕수육', '맛 선택(순한맛)']",배달 참 빠릅니다,[]
20,4,"['김치피자탕수육', '맛 선택(중간맛)']",마시내 김피탕은 처음 먹어보는데 느끼하지도 않고 맛나네요 ㅎㅎ,[]
21,5,"['김치피자탕수육', '맛 선택(순한맛)']",양이 좀 부족했지만 맛있게 잘 먹었습니다,[]
22,5,"['깐풍기', '사이즈 선택(中)', '생맥주 1000cc']",항상 탕수육만 먹다가 첨으로 깐풍기 시켜봤어요~ 매운맛도 괜찮고 좋은데~ 탕수육이랑은 다르게 튀김이좀 두껍더라고요~~ 그부분 제외하고는 고기질도 괜찮고 양념고 맛나고 좋아요~~,[]
23,5,"['김치피자탕수육', '맛 선택(순한맛)']",맛나요맛나오맛나요맛나요,[]
24,5,"['반반탕수육', '눈꽃치즈탕수육（체다치즈）', '사이즈 선택(中（콜라 500mL제공）)']",맛있었어요! 또 주문하겠습니다!,[]
25,5,['일반탕수육'],맛있게 먹었어요~배달도 빠르게왔어요,[]
26,3,['깐풍육'],여긴 항상 느끼는거지만 가격에비해 양이 너무적어요.. 재료가 그렇다고 비싼재료도 아닌거같은데..,[]
27,4,"['반반탕수육', '쩐더탕수육', '사이즈 선택(中（콜라 500mL제공）)']",양념이랑 간장 맛있어요,[]
28,3,"['반반탕수육', '양념탕수육', '사이즈 선택(中（콜라 500mL제공）)']",제 입맛에는 별로였어요 양은 많아요!,[]
29,5,"['김치피자탕수육', '맛 선택(순한맛)']",믿고 시켜요ㅠ 맛나,[]
30,5,"['반반탕수육', '일반탕수육', '사이즈 선택(中（콜라 500mL제공）)']",깔끔합니다. 맛이있다,[]
31,4,"['김치피자탕수육', '맛 선택(순한맛)']",먹을만합니다 그래도 오리지널이 제일좋네요,[]
32,5,"['김치피자탕수육', '맛 선택(순한맛)']",맛있고 배달도 빨라요~~ 치즈가 많아서 좋았어요,[]
33,3,"['반반탕수육', '눈꽃치즈탕수육（체다치즈）', '사이즈 선택(中（콜라 500mL제공）)']",쩐더탕수육 그냥 일반탕수육이랑 큰 차이점 모르겠어요 ㅋㅋ 찍먹으로 온건 좋아여 ㅋㅋㅋ눈롳치즈탕수육은 체다치즈 가루가 많아서 조금 짰어요 ㅋㅋ,[]
34,5,"['불피탕수육', '맛 선택(순한맛)']",양이 많진않지만 맛있어요~~,[]
35,5,"['김치피자탕수육', '맛 선택(중간맛)']",맛있어여 김치가 좀더많앗으면 좋겟네여,[]
36,4,['간장＋양념 파닭 2마리'],"맛있어요. 역시 마시내.근데 5년전에 먹었던 그 맛이 안나요.지금 맛이 더 맛있는데, 예전의 그 찐한 맛이 그립네요.",[]
