,별점,주문메뉴,리뷰,사진
0,5,"['마왕통구이', '맛 선택(순한맛)', '족발볶음밥（1인）']",예전 경희족발일때 부터 미니족을 많이 먹었는데..체인샵으로 바뀌어서 살짝걱정했는데 맛있네요...족발통구이는 납짝당면도 있고 족발볶음밥과 함께먹으니 맛있어요!!!!,['https://rev-static.yogiyo.co.kr/8d34277615aa76330db5676fa07b4929_tn.jpg']
1,3,[],먹을만,[]
2,4,[],"배달도 좋고,  포장도 깔끔해요",[]
3,4,"['보쌈구이', '맛 선택(중간맛)']",평타 치는 무난한맛입니다.,[]
4,5,"['미니족구이', '사이즈 선택(小)', '마왕국수（1인）']",국수 양이 마왕스럽네요ㅎㅎ맛있게잘먹었습니다,['https://rev-static.yogiyo.co.kr/1252c969dd6da008083dc0493acf5317_tn.jpg']
5,4,"['마왕통구이', '맛 선택(순한맛)']",맛있어요...배송도 좋아요,[]
6,4,['마왕통구이 中'],족발 안 좋아하는데 한번 시켜봤어요~ 포장 뜯는데 냄새가 너무 맛있게 나서 보니 소스가 정말 맛있더라고요~ 달지도 짜지도 않고 딱 좋았습니다. 양도 푸짐하고 서비스로 주신 쟁반국수도 맛있어요!!  그런데 족발인데 왜 새우젓이 없나요ㅠㅠ 한가지 더.. 안에 든 당면이 잘 안 익은건지 뻣뻣하고 고무줄같은 식감이라 별 하나 뺐어요. 정말 오랜만에 맛있게 잘 먹어서 다음에 또 시켜먹기로 했습니다^^,"['https://rev-static.yogiyo.co.kr/010568a353a53a1f8d690d2d298a2433_tn.jpg', 'https://rev-static.yogiyo.co.kr/8b9e9dc4b64e984a62d590db6bbee9a5_tn.jpg', 'https://rev-static.yogiyo.co.kr/fc1ad39818bb1e7f1d3a635d2f1817a1_tn.jpg']"
7,5,['마왕통구이 大'],양도 많고 맛있어요 잘먹었습니다!,['https://rev-static.yogiyo.co.kr/0a263d7f90e88e428ef1c24e46c07713_tn.jpg']
8,4,"['마왕통구이', '맛 선택(순한맛)']",맛있어요 한번 구워서 양념한거라 색달라요당면도 맛나구요,[]
9,5,['마왕통구이 中'],막국수 서비스 너무 맛나요  막국수 좋아하는데 족발과 궁합너무 좋아요 족발도 맛있고 족발안에 네모당면 특이했어요 배달도 빨라요 2558,"['https://rev-static.yogiyo.co.kr/0b8e12830b66f06837de3ff4d6ec2726_tn.jpg', 'https://rev-static.yogiyo.co.kr/2d09a398aa0a33714f371f974461e7e1_tn.jpg']"
10,4,['마왕통구이 中'],맛좋고 양갠춘 배달좋고..하지만 사진리뷰 찍으면 준다던..막국수가..없어서 별하나 뺏어요..그리고 주소 다 찍어줬는데 중간에 짤려서 배달하시는분이 좀 헤매신거 같던데..불쌍..국수대신 콜라주신거 같은데..1.5사놓고 기다렸다능..ㅠㅠ암튼 막국수때문에 별 하나 뺏어여 전화로 다시 주셔서 물어보시든가 하시지..그런 정신은 없으신거 같네여..사사로운거 하나라도 신경써주시는 업주님이 되시길 바랄께요..,"['https://rev-static.yogiyo.co.kr/d878f3055cc4408d91cc9b55921bd314_tn.jpg', 'https://rev-static.yogiyo.co.kr/8ab47ea00c8a0dbd79760a6057b35637_tn.jpg']"
11,5,['마왕통구이 中'],맛남ㅇㅇㅇㅇㅇㅇㅇㅇ,[]
12,4,['마왕통구이 小'],평범한 족발 맛이었던 것 같아요~ 반찬은 맛있았고 양은 둘이 적당히 먹을 정도네요!,[]
13,5,['마왕통구이 中'],처음 맛은 일품허나 먹다보면 물릴지도?,[]
14,5,['보쌈구이 中'],보쌈 양념되어서 독특해요. 아이들은 갈비양념 맛이라고 좋아하네요. 맛있는데 양념맛이 약간 강하다 느낄수도 있어요.막국수도 야채도 많고 푸짐해요 양념도 맛있고요. 다음엔 족발도 시켜먹어야겠어요(4942),['https://rev-static.yogiyo.co.kr/ad491f27c5f9c87e62792357c77a8b79_tn.jpg']
