,별점,주문메뉴,리뷰,사진
0,3,['매콤국물떡볶이'],치즈 없구 당면 고구마 들어있어요 당면에 간이 베서 맛있었어요 떡볶이는 맵진 않아요,['https://rev-static.yogiyo.co.kr/b0c4e8210efa5fab929d7c2671de32f7_tn.jpg']
1,2,"['매콤치즈국물떡볶이', '사리 추가(오뎅 추가)', '셀프주먹밥']",음식은 깔끔하게 잘 왔는데 맛이없어요...아주매운맛 시켰는데 맵지도 않고 국물도 너무 묽어요...,['https://rev-static.yogiyo.co.kr/bf42dbf54e49fc81baca1f25f2884a4c_tn.jpg']
2,1,[],sns보고 함 시켜봤는데 제 입맛엔...너무느끼..튀김도 기름이 좔좔.. .,[]
3,5,['매콤치즈국물떡볶이'],맛있어요! 리뷰가 안좋아서 고민하다가 시켰는데 괜찮아요~ 배달해주시는분도 친절하셔서 좋았습니다ㅎ 매운맛은 생각한것보다 한단계 높여서 주문하세요,[]
4,5,"['매콤국물떡볶이', '사리 추가(당면사리 추가)']",양은 대식가 둘이 먹고 2/3 남을정도로 많아요맛도 개 만 족 입니다 추천꾹후추 맛이 많이 난다는 말이 있던데 저희는 후추 말 없이 굉장히 만족스럽게 잘 먹었습니다,[]
5,3,"['매콤국물떡볶이', '사리 추가(당면사리 추가)']",매운맛 시켰는데 상당히 매워요...그냥  평범한 맛이네요,['https://rev-static.yogiyo.co.kr/82c97012b97f0051db13369f40438719_tn.jpg']
6,4,['매콤국물떡볶이'],배달이 많이 늦었던것만  아쉽습니다,[]
7,4,['매콤국물떡볶이'],맛잇어요!근데 아주매운맛주문햇는데 막 맵진않거군요,[]
8,4,"['매콤국물떡볶이', '모듬튀김（6개）']",..........,[]
9,1,"['매콤치즈국물떡볶이', '사리 추가(치즈 추', '치즈떡 추가)', '모듬튀김（6개）']",바쁘셨나봐요.튀김이 안튀기고 완전 차갑네요.서비스로오는 오뎅은 여름이라 차갑게 해서 오는건가요? 이건 안짜고 맛있네요.떡볶이 떡은 쫄긴한게없고 뚝뚝 끊어지네요.떡복이국물도 거의다 말라왔네요.,[]
10,1,['Set 2（떡볶이＋계란찜＋주먹밥＋튀김＋단무지）'],마지막 주문이 될 듯,[]
11,5,"['매콤국물떡볶이', '사리 추가(당면사리 추가)']",맛나게 잘먹었어요섭스도 좋구요,['https://rev-static.yogiyo.co.kr/ded13039d820280e2987f4946ac9c6ab_tn.jpg']
12,5,"['매콤치즈국물떡볶이', '모듬튀김（6개）', '콜라 1.25L']",배달 해주시는 분도 친절하셨고... 저는 마초 떡볶이 좋아해요~   두끼 떡볶이 좋아하는데... 배달시킬때는 여기만 시켜요.  엽떡은 멸치냄새 많이나서 별로 안좋아하는데 여긴 맛있어요~  자극적이지만 가벼운 맛 아니라서 좋아용!!,[]
13,3,"['매콤국물떡볶이', '모듬튀김（6개）']",떡볶이는 맛있는데 튀김이 김말이 4개 고구마튀김 2개네요 사진보고 종류 다양하겠지하고 모듬튀김 2개시켰더니 김말이만 8개 먹었습니다 떡볶이는 맛있었으나 튀김은 아쉽네요,"['https://rev-static.yogiyo.co.kr/bfe8805eed07e460451853d269490774_tn.jpg', 'https://rev-static.yogiyo.co.kr/7265a83913ad1bb77f827c27580a2a55_tn.jpg', 'https://rev-static.yogiyo.co.kr/a8f560ba50f2ef36e9fb9bc6e29f3449_tn.jpg']"
14,5,"['오뎅 추가', '모듬튀김（6개）', '셀프주먹밥', '계란찜']",맛있게 잘 먹었습니당,[]
15,3,['매콤국물떡볶이'],당면때문인지 국물이 넘 쫄았네요떡은 밀떡도 섞였음 하고 아쉬워요,['https://rev-static.yogiyo.co.kr/f8535dd908d055a61dae051216adc893_tn.jpg']
