,별점,주문메뉴,리뷰,사진
0,4,['미니세트5（국물떡볶이＋주먹밥＋모듬튀김＋납작당면＋햄＋계란＋치즈떡＋쿨피스 930mL）'],배달도 빠르고 맛도 좋고 좋아용!!,['https://rev-static.yogiyo.co.kr/e907d2fe0991f23568c1b196d7c64a89_tn.jpg']
1,4,['미니세트4（국물떡볶이＋계란찜＋주먹밥＋납작당면＋햄＋계란＋치즈떡＋쿨피스 930mL）'],주먹밥이랑 계란찜은 맛있었는데 떡볶이가 좀 그냥 그랬어요. 매운맛을 시켜서 맵긴 매운데 감칠맛이 부족하달까... 떡볶이 소스가 좀 애매한 맛이라 조금만 바뀌면 더 맛있을 거 같아요. 약간 아쉬운 점이 있긴 했지만 음식도 정갈하고 양도 푸짐하고 잘 먹었습니다!,[]
2,5,[],맛잇음ㅋㅋㅋ,[]
3,3,[],맛있어여,[]
4,5,[],"신랑이 떡볶이 시켜먹자고하면 싫어하는데, 이 집 먹어본 후로는 여기서만 먹자네요ㅎㅎ 너무 맛있고, 구성이 참 좋습니다.",[]
5,4,[],매운맛 시켰는데 캡사이신 맛이 강한 듯해요. 맛은 괜찮았습니다.,[]
6,5,[],양이 아주 마음에 듭니다. 여러가지 먹을 수있어서 좋았습니다. 주먹밥도 날치알인데 2인분 정도 됩니다 다음에도 시켜 먹을게요 근데 하나도 안맵네요 제가 허세가 아니라 가장매운맛이 불닭볶음면정도? 별로안맵습니다,[]
7,5,[],여기 진짜 너무하네요 양이 너무많은거같음배터져죽으라고 이렇게 주신건가..^^;5번세트혼자먹다 give up..처음엔맛있는데 배가불러오면서 맛보다는오기로 먹다가 포기하게됨 진짜 양많음주먹밥도맛있음 아쉬운점은 오뎅튀김이 없다는점과  건더기가 너무 많아 국물이적어보임  무튼  잘먹었습니다,[]
8,5,['미니세트5（국물떡볶이＋주먹밥＋모듬튀김＋납작당면＋햄＋계란＋치즈떡＋쿨피스 930mL）'],맛잏어요!,[]
9,4,[],늘 그렇듯 맛있게 먹었습니다~ 다만 주먹밥에 기름이 너무 많았어요ㅠㅠ,[]
10,5,['미니세트5（국물떡볶이＋주먹밥＋모듬튀김＋납작당면＋햄＋계란＋치즈떡＋쿨피스 930mL）'],맛있네요~,[]
11,5,['미니세트5（국물떡볶이＋주먹밥＋모듬튀김＋납작당면＋햄＋계란＋치즈떡＋쿨피스 930mL）'],엄청맛있어요!!!!!!,[]
12,5,['미니세트4（국물떡볶이＋계란찜＋주먹밥＋납작당면＋햄＋계란＋치즈떡＋쿨피스 930mL）'],항상 푸짐하고 맛있는곳 ㅎㅎ,[]
13,5,['미니세트5（국물떡볶이＋주먹밥＋모듬튀김＋납작당면＋햄＋계란＋치즈떡＋쿨피스 930mL）'],비오는날인데 배달도 빨리오고 튀김도맛있거 떡볶이도맛있고 밥도맛있어여 ㅠㅠㅠㅠㅠㅠ 행복함니당 두명이서 먹기 괜찮은거같아여 ㅠㅠㅠㅠㅜㅜ 감사함당 ㅠㅠㅠㅠㅠㅠ♡,[]
14,3,"['미니세트4（국물떡볶이＋계란찜＋주먹밥＋납작당면＋햄＋계란＋치즈떡＋쿨피스 930mL）', '사리 추가(삶은달걀（2개） 추가)']",많이맵네요. .둘이먹었는데 양이모자라서 떡볶이국물에 밥까지말아먹었답니다. .맛이있었어요,[]
15,2,[],떢볶이 맛이 애매해요,[]
16,4,"['미니세트5（국물떡볶이＋주먹밥＋모듬튀김＋납작당면＋햄＋계란＋치즈떡＋쿨피스 930mL）', '사리 추가(삶은달걀（2개） 추가)', '콜라 1.25L']",맛있어요.  기대했던것보다 맛있고 양도 푸짐해요,[]
17,2,['미니세트5（국물떡볶이＋주먹밥＋모듬튀김＋납작당면＋햄＋계란＋치즈떡＋쿨피스 930mL）'],저번엔 맛있었는데이번엔 그닥,[]
18,4,[],맛있긴 한데 넘 늦게옴 배달,[]
19,5,"['미니세트3（국물떡볶이＋계란찜＋모듬튀김＋납작당면＋햄＋계란＋치즈떡＋쿨피스 930mL）', '사리 추가(오뎅 추가)']",양이 엄청 많네요 ㅋㅋㅋ 성인 남녀 둘이서 먹어도 양이 많아요! 맛있고 배달도 빠르고 매우 만족입니당👍,['https://rev-static.yogiyo.co.kr/88b9874474a35ffa271ee3591ce7bcd1_tn.jpg']
20,5,[],리뷰보고 시켰는데  역시 실망시키지 않고맛있었습니다~튀김도 바삭하고계란찜까지떡복이도 맛있어요,[]
21,3,[],소소~가격대비 실망은 안함,[]
22,5,"['미니세트4（국물떡볶이＋계란찜＋주먹밥＋납작당면＋햄＋계란＋치즈떡＋쿨피스 930mL）', '계란찜']",역시 마퐁 최애 존맛 ㅜㅜㅜㅜㅜ ❤️❤️❤️❤️❤️,['https://rev-static.yogiyo.co.kr/edbced9fb29ba79a8e6b4e639070b7ab_tn.jpg']
23,5,"['미니세트4（국물떡볶이＋계란찜＋주먹밥＋납작당면＋햄＋계란＋치즈떡＋쿨피스 930mL）', '사리 추가(치즈 추가)']",맛잇어여 배달느린거빼고,[]
24,5,['미니세트3（국물떡볶이＋계란찜＋모듬튀김＋납작당면＋햄＋계란＋치즈떡＋쿨피스 930mL）'],두번째 배달시켰는데 맛있습니다 강추,[]
25,4,['미니세트3（국물떡볶이＋계란찜＋모듬튀김＋납작당면＋햄＋계란＋치즈떡＋쿨피스 930mL）'],가격이좀비싸네요떡볶이치고는,[]
26,5,"['미니세트5（국물떡볶이＋주먹밥＋모듬튀김＋납작당면＋햄＋계란＋치즈떡＋쿨피스 930mL）', '계란찜']",맛있게  잘 먹었습니다,[]
27,5,"['미니세트5（국물떡볶이＋주먹밥＋모듬튀김＋납작당면＋햄＋계란＋치즈떡＋쿨피스 930mL）', '김말이（4개）']",늘 맛있어요다음에도 또시켜먹습니다,[]
28,5,['마퐁치즈떡볶이'],맛있습니다^^!!!,[]
29,5,['미니세트4（국물떡볶이＋계란찜＋주먹밥＋납작당면＋햄＋계란＋치즈떡＋쿨피스 930mL）'],진짜 맛있어요ㅋㅋㅋㅋㅋㅋ!! 리뷰가 얼마 없어서 좀 걱정했는데 양도 많고 다맛있어요 배달해주시는분도 친절하세요ㅎㅎ 번창하시길,['https://rev-static.yogiyo.co.kr/52db21f8c5d75c79d239d611dba31314_tn.jpg']
30,5,['미니세트5（국물떡볶이＋주먹밥＋모듬튀김＋납작당면＋햄＋계란＋치즈떡＋쿨피스 930mL）'],배달도 정말 빨리오고 양도 완전 많았어요~~ 납작당면 삶은 달걀 치즈떡 다 만족해요!! 주먹밥이 특히 맛있네요~~~~ 추천추천,[]
31,5,['미니세트5（국물떡볶이＋주먹밥＋모듬튀김＋납작당면＋햄＋계란＋치즈떡＋쿨피스 930mL）'],맛있어용!! 튀김도 괜찮구 주먹밥도 김가루랑 날치알 짱많아서 넘 잘먹었어요ㅎㅎㅎㅎ또시켜먹어양,[]
32,4,['마퐁국물떡볶이'],잘먹었습니다 세트로안했더니 더 푸짐에서 좋았습니다 ㅎㅎ 매운걸 잘 못먹어서 순한맛먹어봤는데 담엔 2단계로 먹어봐야겠네요 ㅎㅎ,['https://rev-static.yogiyo.co.kr/fc49189fa0627f75c7bcdb738d952b49_tn.jpg']
33,5,['미니세트3（국물떡볶이＋계란찜＋모듬튀김＋납작당면＋햄＋계란＋치즈떡＋쿨피스 930mL）'],양 적당하고 둘이서먹기 배부르네요 ㅎㅎ 배송은 빠른편이에요,['https://rev-static.yogiyo.co.kr/63ab045df10b4409e81df8ca8a0b3d0f_tn.jpg']
34,5,['미니세트5（국물떡볶이＋주먹밥＋모듬튀김＋납작당면＋햄＋계란＋치즈떡＋쿨피스 930mL）'],괜찮은곳입니다.마으에들어요,[]
35,5,['미니세트4（국물떡볶이＋계란찜＋주먹밥＋납작당면＋햄＋계란＋치즈떡＋쿨피스 930mL）'],친절하시고 양도 많고 맛도있음 강츄,[]
36,4,"['미니세트4（국물떡볶이＋계란찜＋주먹밥＋납작당면＋햄＋계란＋치즈떡＋쿨피스 930mL）', '사리 추가(햄 추가)']",전체적으로 맛있었어요 담에 매콤한 떡볶이 생각날 때 또 시켜먹을거에요,[]
37,5,['미니세트5（국물떡볶이＋주먹밥＋모듬튀김＋납작당면＋햄＋계란＋치즈떡＋쿨피스 930mL）'],양도괜찮고 배달도갠찮고 맛도갠찮아요,[]
38,4,['미니세트5（국물떡볶이＋주먹밥＋모듬튀김＋납작당면＋햄＋계란＋치즈떡＋쿨피스 930mL）'],양도괜찮고 배달도갠찮고 맛도갠찮아요,[]
39,4,['미니세트5（국물떡볶이＋주먹밥＋모듬튀김＋납작당면＋햄＋계란＋치즈떡＋쿨피스 930mL）'],잘먹었습니다. 맛잇네요,[]
40,5,['세트1（떡볶이＋계란찜＋모듬튀김＋납작당면＋햄＋계란＋치즈떡＋쿨피스 930mL）'],맛있게 매운 떡볶이..치즈떡골라먹는 재미도 있네요,[]
41,3,['미니세트5（국물떡볶이＋주먹밥＋모듬튀김＋납작당면＋햄＋계란＋치즈떡＋쿨피스 930mL）'],매워요.        ㅠㅠ,[]
42,4,['미니세트5（국물떡볶이＋주먹밥＋모듬튀김＋납작당면＋햄＋계란＋치즈떡＋쿨피스 930mL）'],맛있어요2명까지도 충분해요,[]
43,5,['미니세트5（국물떡볶이＋주먹밥＋모듬튀김＋납작당면＋햄＋계란＋치즈떡＋쿨피스 930mL）'],역시 최고~^^ 맨날 여기서만 시켜먹어요~^^,[]
44,5,['미니세트5（국물떡볶이＋주먹밥＋모듬튀김＋납작당면＋햄＋계란＋치즈떡＋쿨피스 930mL）'],양도 많아요. 천천히 먹다가 식어도 맛있구요배달도 항~~~상 넘 친절하세요. 짱!,[]
45,5,['미니세트4（국물떡볶이＋계란찜＋주먹밥＋납작당면＋햄＋계란＋치즈떡＋쿨피스 930mL）'],인생 떡볶이 집 bbbbㅐ,[]
46,5,['마퐁국물떡볶이'],"두번째 시켜먹는건데. 이번도 만족스러워요^^2단계로하니 맛있게매운맛인데, 담번엔 주먹밥이랑 세트있는걸로도 시켜봐야겠어요^-^배달도 빠르고 양도 많고 무엇보다 맛있어요~ㅎ",[]
