,별점,주문메뉴,리뷰,사진
0,5,"['마피아 세트2（떡볶이＋명품김말이2＋갈비만두2＋계란or메추리알中택1＋당면＋쿨피스450mL）', '맛선택(1단계（전치1주）', '메뉴선택(계란', '토핑추가선택(비엔나 추', '치즈 추', '단무지 추가', '튀김 추가선택(명품 김말이튀김 1개 추', '오징어튀김 1개 추', '갈비만두튀김 1개 추', '치즈스틱 1개 추가', '음료추가선택(쿨피스 450mL 추가)']",엽떡이 초심을 잃어서 정말 떡볶이 유목생활이였는데 마피아를 먹어보았습니다 비교하여 서운할 엽떡에게누미안하지만 세상에 처음 초심의 엽떡보가 비교가안될만쿰 맛이있었어요 남자친구랑 세상 맛잇게먹고 튀김은 어찌나 깨끗하고 아삭바삭 사과같구 ㅋ덕볶이 말랑 말랑 뜨거움과 계속먹을것 생각하면 매움은 1단계입니다 이히 또 먹고 또먹을꺼에요 사장님 지금상태의 마피아면 평생먹을거에요' 감사합니다🤗,[]
1,5,"['마피아 세트1（떡볶이＋명품김말이2＋갈비만두2＋계란or메추리알中택1＋쿨피스450mL）', '맛선택(1단계（전치1주）', '메뉴선택(계란', '튀김 추가선택(치즈볼 1개 추가)']",완전 맛있습니당 ㅎㅎ,['https://rev-static.yogiyo.co.kr/bb90d8d07e1d2a33a0228c238289ce91_tn.jpg']
2,5,"['마피아 세트2（떡볶이＋명품김말이2＋갈비만두2＋계란or메추리알中택1＋당면＋쿨피스450mL）', '맛선택(3단계（전치5주）', '메뉴선택(메추리알)']",너무좋아요 맛있어요,['https://rev-static.yogiyo.co.kr/2e0e1ac32d3c4d988fdf153f7eb2f5a5_tn.jpg']
3,5,"['마피아 세트1（떡볶이＋명품김말이2＋갈비만두2＋계란or메추리알中택1＋쿨피스450mL）', '맛선택(1단계（전치1주）', '메뉴선택(메추리알', '튀김 추가선택(치즈볼 5개 추가)']",떡볶이는 늘 시키던곳에서만 시켜먹다가마피아 떡볶이는 처음 도전해 봤거든요후기만 보고 주문했는데와..!! 진짜 맛있었어요!! 🥺👍👍 1단계 전치1주맛은 맛있게 매워용매운거에 약해도 먹을수 있는 수준입니다치즈도 많이주셨구요 말랑한 밀떡이라 굿굿튀김도 예술입니다 튀김이 정말 맛있더라구여 추천!!치즈볼도 추가로 시키길 잘했어요 완전 별미네요센스있는 얼음과 음료 서비스까지 감사합니다^^까탈스러운 저희 엄마께서도 넘 잘드셔서 ㅋㅋㅋ자주 주문하게될것 같아요:)잘먹었습니당,"['https://rev-static.yogiyo.co.kr/7ba06af5a6289b8d4b725d75b6f0ff63_tn.jpg', 'https://rev-static.yogiyo.co.kr/bb28a76f15cfd7d4fb9a7bde904d97b5_tn.jpg', 'https://rev-static.yogiyo.co.kr/237b0e422104b0635f583c0fdc85b065_tn.jpg']"
4,5,"['마피아 세트1（떡볶이＋명품김말이2＋갈비만두2＋계란or메추리알中택1＋쿨피스450mL）', '맛선택(1단계（전치1주）', '메뉴선택(계란', '토핑추가선택(비엔나 추', '치즈 추', '단무지 추가)']",저 매운거 잘 못먹는데 1단계도 매워요~ 근데 맛있게 맵네요 ㅎㅎ 신랑이랑 둘이 국물 계속 떠먹었네요~다음에 또 시켜먹을래요^^,[]
5,5,"['마피아 세트1（떡볶이＋명품김말이2＋갈비만두2＋계란or메추리알中택1＋쿨피스450mL）', '맛선택(1단계（전치1주）', '메뉴선택(계란', '토핑추가선택(메추리알 추가)']",ㅗㅜㅑ,['https://rev-static.yogiyo.co.kr/1c5084f08a60c5461b07c4d3d3a7feb5_tn.jpg']
6,5,"['마피아 세트2（떡볶이＋명품김말이2＋갈비만두2＋계란or메추리알中택1＋당면＋쿨피스450mL）', '맛선택(1단계（전치1주）', '메뉴선택(메추리알', '토핑추가선택(치즈 추가)']",분식집중에 대박이네요!! 많이 맵지않고 맛도 좋은데 양도 너무많아서 둘이서 다 못먹었어요ㅠ 서비스음료까지... 추천합니다!!,[]
7,5,"['마피아 세트3（떡볶이＋명품김말이2＋갈비만두2＋계란or메추리알中택1＋당면＋셀프 주먹밥＋쿨피스450mL）', '맛선택(1단계（전치1주）', '메뉴선택(메추리알)']","배달 빠르고, 떡볶이 양이 상당히 많아요.당면도 불지 않아서 쫄깃하고 맛있어요.서비스로 주신 환타도 잘 먹었습니다.",[]
8,5,"['마피아 세트1（떡볶이＋명품김말이2＋갈비만두2＋계란or메추리알中택1＋쿨피스450mL）', '맛선택(2단계（전치3주）', '메뉴선택(계란', '튀김 추가선택(치즈볼 1개 추가)']",지금 먹고 있는데 너무 맛있어요. 2단계 시켰는데 매운 거 먹고 싶다 할 때 먹기 매우 적당한 맵기예요. 만두도 피는 바삭하고 안은 촉촉해서 만족스럽습니다. 갈비 만두 맛있어요. 나중엔 추가로 더 시켜서 먹고 싶을 정도로. 서비스로 주신 음료도 감사해여!,[]
9,5,"['마피아 세트2（떡볶이＋명품김말이2＋갈비만두2＋계란or메추리알中택1＋당면＋쿨피스450mL）', '맛선택(1단계（전치1주）', '메뉴선택(계란', '토핑추가선택(단무지 추가)']",맛도보기전에 기분이 좋아지졌습니다~맛없어도 맛있게 먹을거 같네요~^^,['https://rev-static.yogiyo.co.kr/cde6359026c1ecff1005fe1233dfd383_tn.jpg']
10,5,"['마피아 세트1（떡볶이＋명품김말이2＋갈비만두2＋계란or메추리알中택1＋쿨피스450mL）', '맛선택(1단계（전치1주）', '메뉴선택(계란', '추가선택(셀프 주먹밥 추가)']",떡볶이는 맛있는데 주먹밥은 가격에 비해 너무 별로네요 김가루만 있는데 3천원은..,['https://rev-static.yogiyo.co.kr/7dd5c48b24a12d913380667932e1df33_tn.jpg']
11,5,"['마피아 세트1（떡볶이＋명품김말이2＋갈비만두2＋계란or메추리알中택1＋쿨피스450mL）', '맛선택(1단계（전치1주）', '메뉴선택(계란', '토핑추가선택(메추리알 추가)']",점심으루 먹었는데 맛있었어요ㅎㅎ,"['https://rev-static.yogiyo.co.kr/9438428d7e0162742991b7e1ea26ef4d_tn.jpg', 'https://rev-static.yogiyo.co.kr/4c1a206acad1cd47f8cdea4347aabe91_tn.jpg']"
12,5,"['마피아 떡볶이', '맛선택(1단계（전치1주）', '토핑추가선택(당면 추가', '튀김 추가선택(오징어튀김 1개 추', '고구마튀김 1개 추가)']",1단계도 살짝 매콤하니 맛있네용,[]
13,5,"['마피아 세트3（떡볶이＋명품김말이2＋갈비만두2＋계란or메추리알中택1＋당면＋셀프 주먹밥＋쿨피스450mL）', '맛선택(2단계（전치3주）', '메뉴선택(메추리알', '토핑추가선택(비엔나 추', '치즈 추', '단무지 추가', '추가선택(계란찜 추가)']",리뷰가 좋아서 맨날 엽떡만 먹다가 마피아 첨 시켜봤어요!양도 많고 맛있게 맵고 튀김도 깨끗하고 실하네요♥ 같이 먹은 친구들도 이제 앞으로는 무조건 마피아만 먹겠다며ㅋㅋ,"['https://rev-static.yogiyo.co.kr/b29da97a9530debda747374808111406_tn.jpg', 'https://rev-static.yogiyo.co.kr/c6a761329085a721f5d21885015d4324_tn.jpg', 'https://rev-static.yogiyo.co.kr/ef1a179167bc043ad55727366131272e_tn.jpg']"
14,5,"['마피아 떡볶이', '맛선택(1단계（전치1주）', '토핑추가선택(치즈 추가', '추가선택(셀프 주먹밥 추가)']","맛있어요^^근데 셀프주먹밥은 약간 죽을 뭉쳐놓은것 같은 느낌?밥이 질은건지 ..ㅎㅎ김가루도 듬뿍올려주셔야할듯요, ..너무부족..ㅎㅎ어쨋든 잘먹었습니다~!^^",[]
15,5,"['마피아 떡볶이', '맛선택(1단계（전치1주）', '토핑추가선택(당면 추가', '튀김 추가선택(명품 김말이튀김 1개 추', '치즈볼 1개 추가)']",양도 푸짐하고 맛있게맵고 서비스도 좋아요 왜 평점이 높은지 알겠네요 ㅎㅎ 잘 먹었습니다,[]
16,5,"['마피아 세트1（떡볶이＋명품김말이2＋갈비만두2＋계란or메추리알中택1＋쿨피스450mL）', '맛선택(5단계（저승사자）', '메뉴선택(계란', '튀김 추가선택(오징어튀김 1개 추가', '음료추가선택(쿨피스 450mL 추가)']","와우ㅠㅡㅠ 너무 매워요.. 매운거 진짜 잘먹는 편인데 진짜지금 저승사자 만나고있어요ㅋㅋㅋㅋ김말이 좋아하는데 왕 커서좋고 갈비만두랑 오징어튀김, 단무지마저 맛있는데 정작 떡볶이는 너무 매워서 무슨 맛인지 모르겠어요ㅠㅡㅠ우리신랑이 이건 음식이 아니래요ㅋㅋㅋㅋ",['https://rev-static.yogiyo.co.kr/57376ca3617e52092ae8d6e0dc688318_tn.jpg']
17,5,"['마피아 세트2（떡볶이＋명품김말이2＋갈비만두2＋계란or메추리알中택1＋당면＋쿨피스450mL）', '맛선택(1단계（전치1주）', '메뉴선택(메추리알)']",배달도 빠르고 요청사항도잘들어주시구맛 퍼펙트입니다ㅎㅎ튀김은 바삭 떡볶이는 맛있고얼음까지주셔서 음료수시원하게먹었습니다!감사합니다~~,['https://rev-static.yogiyo.co.kr/c05e766a386c2dd9fcebb5cdc687f1c5_tn.jpg']
18,5,"['마피아 세트2（떡볶이＋명품김말이2＋갈비만두2＋계란or메추리알中택1＋당면＋쿨피스450mL）', '맛선택(1단계（전치1주）', '메뉴선택(메추리알)']",일주일에 한번은 시켜먹고있어요 완전 맛있어요 구욷❤️떡볶이 양도 정말 많아요~!! 떡도 치즈도 최고😎(마피아는 튀김도 진짜 맛있어요)이번엔 당면들어간 세트로 시켜봤는데요요 세트도 좋네요 ^^당면 짱짱>.<,"['https://rev-static.yogiyo.co.kr/d11e6c6fea724ce559e52f59ccebf8f0_tn.jpg', 'https://rev-static.yogiyo.co.kr/b92aa1a40a49a51c7c5ffb3061b82404_tn.jpg', 'https://rev-static.yogiyo.co.kr/da1e600789cc4c4030b62698288e94e9_tn.jpg']"
19,5,"['마피아 세트1（떡볶이＋명품김말이2＋갈비만두2＋계란or메추리알中택1＋쿨피스450mL）', '맛선택(1단계（전치1주）', '메뉴선택(메추리알', '토핑추가선택(비엔나 추', '치즈 추', '단무지 추가', '추가선택(셀프 주먹밥 추가', '음료추가선택(쿨피스 450mL 추가)']",지난주 수요일에 시켜먹고 또 일주일만에 시켰어요ㅠㅠ 존맛탱!!!!!JMT!!!!! 사장님 어느쪽에 계시나요 제가 그쪽으로 큰절 한번 올리겠습니다ㅠㅠㅠㅠㅠㅠ 치즈 넘실넘실 튀김 바삭바삭 지난번과 다른 파티원들과 먹는 중인데 이 친구들도 다 엽떡 보다 마피아가 짱이라며👍🏻👍🏻👍🏻👍🏻👍🏻 지금 친구 한명은 팔에 소오름이 돋았다며 팔을 내미네요^^ 담주에 또 시킬듯ㅋㅋㅋ,"['https://rev-static.yogiyo.co.kr/4fa863644f261c567a862a2d81999dae_tn.jpg', 'https://rev-static.yogiyo.co.kr/93cf80b84d22e3ea20c09992a721313f_tn.jpg']"
20,5,"['마피아 세트2（떡볶이＋명품김말이2＋갈비만두2＋계란or메추리알中택1＋당면＋쿨피스450mL）', '맛선택(3단계（전치5주）', '메뉴선택(메추리알)']",양도 푸짐하고 너무 맛있었는데 저희가 매운것을 잘 못먹나봐요ㅠ 앞으로는 쫌 더 낮은 단계를 시켜야할것같아요ㅎㅎ 그래도 맛있었어요,['https://rev-static.yogiyo.co.kr/286cc90b330cc2dea3a3d10956e8b262_tn.jpg']
21,5,"['마피아 떡볶이', '맛선택(1단계（전치1주）', '튀김 추가선택(오징어튀김 5개 추가)']",서비스로 아이스에 음료까지! 감사합니다~~^^맛있게 너무 잘 먹었습니다!! 번창하세요~~~^^,[]
22,5,"['마피아 세트1（떡볶이＋명품김말이2＋갈비만두2＋계란or메추리알中택1＋쿨피스450mL）', '맛선택(2단계（전치3주）', '메뉴선택(계란', '토핑추가선택(비엔나 추가)']",또 시켜먹어요 잘먹을게요^^,['https://rev-static.yogiyo.co.kr/c30660e512abc00cef34946c69097ced_tn.jpg']
23,5,"['마피아 떡볶이', '맛선택(1단계（전치1주）', '튀김 추가선택(명품 김말이튀김 1개 추', '오징어튀김 1개 추', '고구마튀김 1개 추', '고추튀김 1개 추가)']",서비스음료와 얼음컵까지 세심하게 챙겨주셔서 맛있게 잘 먹었습니다그런데 매운걸 잘 못먹어서 1단곈데도 넘 매웠어요 담에는 좀 덜맵게 부탁드려야겟어요,[]
24,5,"['마피아 세트1（떡볶이＋명품김말이2＋갈비만두2＋계란or메추리알中택1＋쿨피스450mL）', '맛선택(1단계（전치1주）', '메뉴선택(계란', '튀김 추가선택(오징어튀김 1개 추가)']",오자마자 흡입하느라. ㅠ 사진이 읍네요처음시켰는데... 맛나요~~~ 또 주문할게요,[]
25,5,"['마피아 떡볶이', '맛선택(2단계（전치3주）', '토핑추가선택(비엔나 추가', '튀김 추가선택(고구마튀김 1개 추', '야채튀김 1개 추', '고추튀김 1개 추가)']",우선 여기 서비스가 정말 좋아요!!! 얼음컵 너무 센스 있어요~~~ 그리고 떡볶이 2단계 했는데 음 조금 단 편인데 맛있어요!! 엽떡 보통 바로 아래단계 먹는데 담에 여기서 3단계 시키려구요! 그럼 매운 단계 비슷할 거 같아요~~그리고 튀김이 진짜 맛있...!! 진짜 따뜻하고 바삭하고 고구마튀김 특히 껍질 안 두껍고 너무 맛있었어요 ♡,['https://rev-static.yogiyo.co.kr/dfb426ef6e4cd769acb6e920014a3307_tn.jpg']
26,5,"['마피아 떡볶이', '맛선택(1단계（전치1주）', '토핑추가선택(비엔나 추', '치즈 추가', '튀김 추가선택(고구마튀김 1개 추', '단호박튀김 1개 추가', '추가선택(스팸 셀프 주먹밥 추가', '음료추가선택(쿨피스 450mL 추가)']",배달 5-60분이라고 써있지만 늘 35분 내외로 걸렸어요. 국물도 넉넉해요. 맛있게 맵고 칼칼해서 주먹밥이랑 튀김 국물에 푹 찍어 먹으면 천국갑니다ㅋㅋㅋ 치즈를 좋은거 쓰시는지 엄청 부드럽게 쭉쭉 늘어나요! 비엔나 소세지는 무조건 추가 하세요~ 존맛탱사장님 감사히 잘 먹었습니다~~◡̈,"['https://rev-static.yogiyo.co.kr/a31c425bc0f8c5bb2ed07a6933bbf97c_tn.jpg', 'https://rev-static.yogiyo.co.kr/b94b4ddddd4dd1542a050d56adff86aa_tn.jpg', 'https://rev-static.yogiyo.co.kr/228e49484a058262eddee818729d86c6_tn.jpg']"
27,5,"['마피아 세트2（떡볶이＋명품김말이2＋갈비만두2＋계란or메추리알中택1＋당면＋쿨피스450mL）', '맛선택(1단계（전치1주）', '메뉴선택(계란)']",맛있어요! 앞으로 떡볶이는 마피아 떡볶이에서 시킬 것 같아요 ㅋㅋ,[]
28,5,"['마피아 세트1（떡볶이＋명품김말이2＋갈비만두2＋계란or메추리알中택1＋쿨피스450mL）', '맛선택(1단계（전치1주）', '메뉴선택(계란', '토핑추가선택(단무지 추가', '튀김 추가선택(어묵튀김 1개 추가)']",안매운거 시킨다고 시켯는데도 살짝 맵네용 ㅎ맛잇게 매워요 굳굳!,[]
29,5,"['마피아 세트1（떡볶이＋명품김말이2＋갈비만두2＋계란or메추리알中택1＋쿨피스450mL）', '맛선택(2단계（전치3주）', '메뉴선택(계란', '토핑추가선택(비엔나 추가)']",배달도 빨리오고 사장님이 친절하시네요 물론 떡볶이도 맛있습니다^^1단계는 별로 안 매울거 같아 2단계 시켰는데좀 맵네용 딱 적당한 것 같아요^^사장님 잘 먹었습니다 다음에 또 떡볶이 생각나면 주문하겠습니다 장사 대박 나세요!!!,['https://rev-static.yogiyo.co.kr/0cc56de21589ecbe1793d1e856c48957_tn.jpg']
30,5,"['마피아 떡볶이', '맛선택(1단계（전치1주）', '토핑추가선택(떡 추', '당면 추가', '튀김 추가선택(치즈볼 1개 추가)']",일주일에 떡볶이 3번 먹는 떡볶이 악개에요 평소에 혼자 시켜먹을 때는 귀찮아서 후기 안올리는데 여기는 몇번 시켜먹고 올립니다일단 치즈가 다른 떡볶이 지점이랑은 맛도 양도 차원이 달라요 치즈만 먹어도 배부를 정도로 많이 오는데다가 어디치즈 쓰시는지는 모르겠지만 짜지도 않고 정말 맛있어요 떡볶이는 딱 제가 좋아하는 쫀득한 밀떡에 양 원래 많지만 떡추가했더니 넘쳐날것같이 많아요ㅋㅋ 매번 얼음음료수에 서비스 가져다주시는데 오늘은 갈비만두까지 서비스로 주셨네요 엽떡 버리고 여기 정착했습니다 달달한 떡볶이 좋아하시는 분은 1단계가 적당해요,"['https://rev-static.yogiyo.co.kr/125f786e14431b4e71310085c9abbfed_tn.jpg', 'https://rev-static.yogiyo.co.kr/d9626fa5b1189c60c4d95012e39b15d6_tn.jpg', 'https://rev-static.yogiyo.co.kr/b4a3d0a51e138bea30d9505982ce946b_tn.jpg']"
31,5,"['매운닭볶음탕（매운닭볶음탕＋계란찜＋쿨피스450mL）', '토핑추가선택(단무지 추가)']",닭도리탕 리뷰가없어서 고민하다시켯어요 ㅋㅋ감자가 하나도 안들어잇어서 그부분이 너무아쉽ㅠㅠㅠㅠㅠ....매운거 엄청좋아하는데 장난없네요 ㅋㅋㅋ담엔 떡볶이 먹어보고싶어요 ㅋㅋㅋ정말맛잇게 잘먹엇어요 ㅋㅋㅋ사장님 얼음컵 센스👍,"['https://rev-static.yogiyo.co.kr/74a33d15862dced428cc36eb6d310f75_tn.jpg', 'https://rev-static.yogiyo.co.kr/757cb30b3e4fa17bb3cd8968d3a3404a_tn.jpg']"
32,5,"['마피아 세트2（떡볶이＋명품김말이2＋갈비만두2＋계란or메추리알中택1＋당면＋쿨피스450mL）', '맛선택(1단계（전치1주）', '메뉴선택(메추리알)']",2단계 주문했는데 적당히 맵고 맛있네요!,['https://rev-static.yogiyo.co.kr/e09a2ff6d0fe411385e36c2ebbea42d7_tn.jpg']
33,5,"['마피아 세트1（떡볶이＋명품김말이2＋갈비만두2＋계란or메추리알中택1＋쿨피스450mL）', '맛선택(1단계（전치1주）', '메뉴선택(메추리알', '토핑추가선택(비엔나 추가)']",양도 많고 배달도 빨리와서 좋았어요♡ 또 먹고싶네요!!,['https://rev-static.yogiyo.co.kr/ba9d8666ecb1633d7378511b604929b2_tn.jpg']
34,4,"['마피아 세트1（떡볶이＋명품김말이2＋갈비만두2＋계란or메추리알中택1＋쿨피스450mL）', '맛선택(2단계（전치3주）', '메뉴선택(메추리알', '토핑추가선택(쫄면 추가)']",적당하네요 무난무난,['https://rev-static.yogiyo.co.kr/a6a1f669df1c9e91308b8d8f851e6798_tn.jpg']
35,5,"['마피아 세트3（떡볶이＋명품김말이2＋갈비만두2＋계란or메추리알中택1＋당면＋셀프 주먹밥＋쿨피스450mL）', '맛선택(2단계（전치3주）', '메뉴선택(메추리알)']",생각보다 엄청매운대 맛있는 매운맛이에용,['https://rev-static.yogiyo.co.kr/c3f0233d6ad65434e3bf0655d3954800_tn.jpg']
