,별점,주문메뉴,리뷰,사진
0,5,"['송어회세트 A세트（회2人＋비빔야채2개）', '오징어 김치부침개']",배고파소 몇개집어먹다 맛있어서 급사진찍고 남겨요 맛있었어요♥♥,['https://rev-static.yogiyo.co.kr/c8893b42c70079be6e05b5ed594b8ced_tn.jpg']
1,5,"['송어회세트 A세트（회2人＋비빔야채2개）', '송어튀김 12p', '오징어 김치부침개']",여름이라 불안하긴했지만 먹고나니 불안이 싹 사라졌습니다^^ 아이스팩위에 랩을싸서 신선하게 배달되었고 야채도 듬뿍주셔서 오히려 야채가남더라구요ㅎㅎ 송어튀김도 처음먹어보는데 고소하고 맛있어서 회가 불안하신분들은 튀김드셔도될것같아요~ 오징어김치전도 엄청 맛있지만 오징어 양이 생각보다 적어요! 맛있게 잘먹었습니당ㅎㅎ,"['https://rev-static.yogiyo.co.kr/de78597bd2816e75b874238a906b99b9_tn.jpg', 'https://rev-static.yogiyo.co.kr/52e9899a879e1f6f9cbc3d9a305a265a_tn.jpg']"
2,5,['송어회세트 A세트（회2人＋비빔야채2개）'],맛있어요 맛있어요 굿굿,[]
3,5,"['송어회세트 A세트（회2人＋비빔야채2개）', '새우튀김 12p']",너무맛있어서 또 시켜먹어요~~~^^,[]
4,5,"['송어회세트 E세트（회1人＋비빔야채1개）', '뼈매운탕 양념']",맛있는데여 처음 시켜먹는데 설명좀 매운탕 소스같이 왔는데 송어회 처음 먹어서 뭐가 뭔지 모르겠음 마늘 매운탕에 넣는건지 채소에 같이 섞는건지 소스 설명좀 해주세여,[]
5,5,"['송어회세트 A세트（회2人＋비빔야채2개）', '송어회1人（순살 180g）']",배달도빠르고 신선합니다맛있어요^^,[]
6,3,"['송어회1人（순살 180g）', '송어튀김 12p', '오징어 김치부침개']",상하지 않게 포장에 신경 써 주어 감사했습니다.,[]
7,5,['송어회1人（순살 180g）'],맛있어요 이사오고 안보였는데 오랜만에 시켜먹네요,[]
8,5,"['송어회1人（순살 180g）', '비빔야채 1개', '뼈매운탕 양념']",깔끔하게 와서 좋아요 ㅎㅎㅎ 맛이써용,['https://rev-static.yogiyo.co.kr/f635d63d876f5844222ac1eb2f1f547c_tn.jpg']
9,5,['송어회세트 G세트（회1人＋비빔야채1개＋초밥6개）'],여기는 시켜놓고 먹는데 정신이 팔려서 사진을 못찍네요... 매번 진짜 맛있어요! 비빔야채는 꼭 해드시길 권합니다.,[]
10,5,['송어회세트 A세트（회2人＋비빔야채2개）'],존맛탱 또시켜먹을게요,[]
11,5,"['송어회세트 E세트（회1人＋비빔야채1개）', '코카콜라 500mL']",맛있고 양많고 신선해요,['https://rev-static.yogiyo.co.kr/1221cdb47a480acdec9cb6eb3b35e117_tn.jpg']
12,5,['송어회세트 H세트（회1人＋비빔야채1개＋튀김6개＋초밥6개）'],배달도 빠르고 맛잇어요 배달하시는분도 친절해여,['https://rev-static.yogiyo.co.kr/85977dde5b1d5ecb298b33c8b8934064_tn.jpg']
13,5,['송어회세트 B세트（회2人＋비빔야채2개＋튀김8개）'],냠냠 잘먹었어요 가끔 한번씩  생각날때 또 주문할게요,['https://rev-static.yogiyo.co.kr/a251744f87604c9624ca29efe6d56360_tn.jpg']
14,3,['송어회세트 G세트（회1人＋비빔야채1개＋초밥6개）'],일단 초밥이 엎어져서왔습니다.그리고 분명 리뷰에 초인종누르지 말라고 썻는데 바로누르시네요 덕분에 애기깼네요,['https://rev-static.yogiyo.co.kr/d4991e367f97e38d198d8f048300b1c7_tn.jpg']
15,5,['송어회세트 F세트（회1人＋비빔야채1＋튀김6개）'],와 이전에 시켜먹던데보다 양도 많고 맛도 좋자너요요즘같이 스트레스 받고 그러면 송어 처방 받아야합니다,['https://rev-static.yogiyo.co.kr/1f9f271b634999b033f7f82e4c99b753_tn.jpg']
16,5,['송어회세트 G세트（회1人＋비빔야채1개＋초밥6개）'],맛 좋고 양도 적당히 많고 싱싱해서 좋네요.근데 마늘은 무슨 마늘인가요??ㅋㅋㅋ 청양고추보다 매움..,['https://rev-static.yogiyo.co.kr/e4f06d777b61a94dcc591ed0c9870308_tn.jpg']
17,5,['송어회세트 A세트（회2人＋비빔야채2개）'],서비스도 주시고 양도많고 넘조아요~,['https://rev-static.yogiyo.co.kr/8470e68a9563d6a23c91943402a3941b_tn.jpg']
18,5,['송어회세트 A세트（회2人＋비빔야채2개）'],송어회 처음 주문했는데 양념류도 디테일하게 챙겨주시고 양도 적당하니 좋네요저는 컨디션이 안좋은 관계로ㅡ배탈ㅡ몇점 못먹었지만 같이 먹은 언니가 엄지척이라고 써달래요^^,"['https://rev-static.yogiyo.co.kr/de6a0ad50b687d663e8eec117fdd01b4_tn.jpg', 'https://rev-static.yogiyo.co.kr/3ca2b2fd90a493c04d8260ab5a8e49f2_tn.jpg', 'https://rev-static.yogiyo.co.kr/d4d493198dcfad7cdb5617df4f02b2b1_tn.jpg']"
19,5,"['송어회세트 E세트（회1人＋비빔야채1개）', '뼈매운탕 양념']",배달빠르고송어회도 맛나고매운탕 비린내안나고 맛나네요,['https://rev-static.yogiyo.co.kr/3eec168ae62512c308019d81ee525433_tn.jpg']
20,5,['송어회세트 H세트（회1人＋비빔야채1개＋튀김6개＋초밥6개）'],양도 구성도 좋아요. 계속 벼르다 제철겸 시켜봤는데 맛있게 잘먹었어요.,[]
21,5,"['송어회세트 A세트（회2人＋비빔야채2개）', '공기밥', '칠성사이다 500mL', '코카콜라 500mL']",진짜 양도 짱많고 배달도 빠르고 약봉투 너무너무 귀엽고 맛있게 배부르게 잘 먹었어요 >◡<  담에 또 시킬게용 ☺️,[]
22,5,['송어회세트 G세트（회1人＋비빔야채1개＋초밥6개）'],항상굳굳^^^^^^,[]
23,5,"['송어회세트 E세트（회1人＋비빔야채1개）', '뼈매운탕 양념']",진짜 굳 진짜 굳 최고최고최고최고,['https://rev-static.yogiyo.co.kr/c7c568e0cbe8bfd080ff8795e10330e8_tn.jpg']
24,5,['송어회세트 B세트（회2人＋비빔야채2개＋튀김8개）'],조낸조낸몬나 존맛탱구리,[]
25,5,['송어회세트 F세트（회1人＋비빔야채1＋튀김6개）'],다음에 또 주문하겠습니다. 핵만족~☆☆☆,['https://rev-static.yogiyo.co.kr/c1640a62622ef35818152f20d9fa2c77_tn.jpg']
26,5,['송어회세트 D세트（회2人＋비빔야채2개＋튀김8개＋초밥6개）'],배달 빠르고 맛있어요,['https://rev-static.yogiyo.co.kr/72e24e6d55ffd2c7c34d0849b1d2d06f_tn.jpg']
27,3,['송어회세트 F세트（회1人＋비빔야채1＋튀김6개）'],맛은 괜찮으나 배달서비스가 영...,['https://rev-static.yogiyo.co.kr/a866180e3de1ae9c56345a52a3e14722_tn.jpg']
