,별점,주문메뉴,리뷰,사진
0,1,[],음식잘못왔어요 전화도 안받으시고,[]
1,5,[],잘 오네요~ 맛있기도 하고! 치즈 들어간거 시켰는데 뜨거울때 배달해줘서 좋았어요,[]
2,5,[],맛있어서 자주 시킵니다~ 뜨겁게 배달오네요ㅎㅎ,[]
3,5,[],"님들 진짜 이집 치즈떡볶이 국물맛이 제가 인제껏먹어본 것중에 최고입니다. 컵밥자체도 깔끔하고 맛있는데 , 와 진짜치즈떡볶이 한번 시켜드셔보세요 꼭 강추입니다 국물맛이 신세계",[]
4,5,[],어제 처음으로 시켜먹었는데 맛잇어요 ㅋㅋ 모짜렐라 치즈 추가로 주문했는데 치즈도 많이 들었어요!,[]
5,5,[],좋네요,[]
6,5,[],맛잇음!!,[]
7,5,[],맛과 서비스 좋아요,[]
8,5,[],배달하신분 친절하시네요 음식도 맛있어요ㅎ ^^,[]
9,4,[],맛잇긴한데 맘스컵밥 닭갈비컵밥 맛이 똑같아요 ..,[]
10,4,[],떡볶이맛나네요~^^ 스팸덮밥은 참치 스팸덮밥이라고 하는게 더 낫겠네요. 고추장불고기도 맛있네여~~,[]
11,5,[],늘 맛있다고 시켜달라고하네요. 불고기 제육이 맛있다고 합니다.,[]
12,5,[],가끔 차려먹기 귀찮을때 시켜먹어요! 맛있어용,[]
13,4,[],치즈떡복이 국물이 맛있네요!,[]
14,2,[],배고픈데 급하게 시켜야할때...만! 유용함,[]
15,5,[],이런 컵밥은 신세계네요진짜 진짜 빠르고 맛있어요,[]
16,5,[],죠음,[]
17,3,[],"배달은 그렇게빠르지도느리지도않았어요근대 모짜렐라치즈는 컵밥이든떡볶기에도어울리지않는것같아요 우선떡볶기치즈떡볶기시켰는데요완전국물이 넘실넘실 많았구요 맛은괜찮았는데모짜렐라치즈가떡볶기들틈에 덩어리로뭉쳐있어서  안어울리는것같아요 컵밥에도ㅜ모짜렐라가덩어리지고굳어서한뭉탱이 입안가득이라 모짜렐라 안어울리는것 빼곤 맛은 괜찮아요 ,,",[]
18,4,[],치즈떡볶이가 더 맛있는것 같아요.,[]
19,4,[],정말로맛있게 먹어서요~~~,[]
20,3,[],맛있어요,[]
21,1,[],정확하게말씀드리겠습니다절대시켜드시지마세요 5천원짜리스페셜컵밥 두개에 사골국시켰는데 밥양이정말2천원이라고해도 안먹을정도의양입니다 이건도대체 5천원이말이안됩니다 사골국도 조그만한컵에스프가들어있는데 뜨거운물넣고먹는건데 그냥 미원국입니다 아무튼 도대체여기는 무슨생각으로 이렇게장사를하는지 10이면10전부 한번시켜먹고 다신안시켜먹을거같네요 참고하세요.,[]
22,5,[],굿굿,[]
23,1,[],양이적어요,[]
24,4,[],가격도 저렴하고 가끔 나가서 사먹기 귀찮을때 괜찮은거같아요.한끼식사로 간편하고 딱이예여.그리고 맛도있어요,[]
25,2,[],맛은있어요....,[]
26,3,[],맛있게 먹어습니다,[]
27,4,[],그냥 컵밥은 비츄!,[]
28,5,[],좋아!,[]
29,4,[],떡복기 국물은 항상 좋네요,[]
30,4,[],치즈으으으으!,[]
31,4,[],항상 굿!,[]
32,2,[],전체적으로 짜네요,[]
33,2,[],리뷰가 좋아 시켜봤는데 맛이 별로네요ㅡㅡ모든컵밥에 김치가들어가서 별 차이가없게 느껴져요~,[]
34,5,[],주문했는데 45분 걸린데서 취소하까 말까 하다가 그냥 기달렸는데 25분? 그정도밖에 안걸렸고 리뷰에 양적다는 소리가 있어서 걱정했는데ㅋㅋㅋ엄청 양 많아요!!! 평상시에도 콩나물국밥에 밥2그릇말아먹고 디저트로 빵먹고 디저트 먹으러갈정도로 잘먹는데 컵밥이랑 떡볶이 나눠먹었는데 배불러영>_<  떡볶이가 맛있데서 시켰는데 원래 떡볶이 잘안먹고 안좋아하는데 진짜 엄청 맛있고 배달하는분도 되게 친절하고 하여튼 되게 만족ㅎ_ㅎ 집에있을때 오빠랑 자주시켜야징,[]
35,5,[],너무너무마싯네요^^ 떡볶이도 넘맛있구 제육컵밥도넘넘 마싯어요♡♡담에또 시켜먹어야겠네요~!,[]
36,3,[],맛있어요 다음에도 또 시켜먹을게요아 그런데 좀더 칼칼해도 좋을 것같아요 ㅎㅎ,[]
37,5,[],맛잇어요,[]
38,5,[],괜찮아요 맛있어용~,[]
39,5,[],맛있음,[]
40,5,[],역시맘스컵밥은사랑이지요,[]
41,3,[],편하게 빨리 맛있게 한 끼를 해결할 수 있어서 좋아요,[]
42,4,[],배달은 빠르고좋앗는데 국물떡볶이가 약간싱거워서 아쉬웟어여,[]
43,3,[],조미료 맛이 강해요,[]
44,5,[],가성비 굿 떡이 맛없지만 ㅠㅜ,[]
45,3,[],생각보다 배부름.,[]
46,4,[],간단하게 먹고 싶을 때 좋아요 배달도 따뜻할 때 늦지 않게 와서 만족합니다,[]
47,3,[],가성비 쩜,[]
48,4,[],떡볶이랑 스팸치즈컵밥은 진짜 개대박맛있음!근데 닭갈비컵밥은 닭갈비가 정말정말 없네요..김치컵밥인줄 알았어요.양만 좀 신경써주세요 떡볶이 매우 맛있습니다:),[]
49,5,[],정말 맛있게 잘먹었습니다!강추해용!,[]
50,4,[],맛있고 깔끔합니다. 원래 컵밥가격과 비교하기 히뜰정도의 가격입니다만 요즘 배달음식들이 대부분 저렴하진 않으니 비교적 나쁘진 않습니다.,[]
51,4,[],간편히 막기에 좋은거 같아요.,[]
52,3,[],밥은괜찬은데 떡볶이는별로..,[]
53,1,"['맘스 컵밥', '스팸치즈 컵밥', '후루룩 국물 떡볶이 （2인분）']",떡볶이떡이 매우작네요,[]
54,4,"['맘스 컵밥', '후루룩 국물 떡볶이 （2인분）']",이사짐 정리 하느라 간단히 먹을 꺼리를 찾다컵밥을 한번도 먹어 본적이 없어 시켜 봤는데맛있네요 근데 원래 가격이랑 요기요에 나온 가격이 다르네요.... 아마도 배달 가격 때문이 겠죠,['https://rev-static.yogiyo.co.kr/d68e79fb207038e8423f9619207655ff_tn.jpg']
55,4,"['제육 컵밥', '불고기 컵밥', '후루룩 국물 떡볶이 （2인분）']",떡볶이가맛있어요,[]
56,3,[],"맘스, 스팸컵밥은 애들이 맛있게 먹었는데 떡볶이는 정말 메뉴이름처럼 후루룩떡볶이 떡볶이 크기가 후루룩",[]
57,1,"['닭갈비 컵밥', '스팸치즈 컵밥', '후루룩 국물 떡볶이 （2인분）']",배달시 비닐 속에서 그릇이 넘어져서 밥이 흘러넘쳐 엉망이 되어 왔어요. 배달시 주의 부탁드려요^^,[]
58,4,"['스팸 컵밥', '곱배기)', '스팸 컵밥', '슬라이스 치즈 국물떡볶이（2인분）', '오란씨캔', '콜라캔']",국물 떡볶이 맛있었어요 진짜! 근데 밥은 뭔가..ㅠㅠ,[]
59,5,[],맛있어요 자주먹어요,[]
60,5,[],맛있어요^^,[]
61,5,[],잘 먹었어요^^,[]
62,5,[],맛있어요,[]
63,2,[],닭갈비컵밥이무난했습니다오리바베큐는 오리고기냄새가많이나서 먹기힘들었고떡볶이는 정말 비추합니다ㅜ떡이이상해요,[]
64,5,[],아는분이 배달오셔서 깜놀했지만ㅋㅋㅋ맛있었어요~,[]
65,4,"['맘스 컵밥', '스팸치즈 컵밥', '후루룩 국물 떡볶이 （2인분）']","맘스컵밥(+참치마요토핑추가) , 스팸치즈컵밥, 떡볶이 / 이렇게 처음으로 주문해서 먹었는데 맛있네요!그런데 제육이나 닭갈비같은건 안에 들어있는 김치때문에 조금 짤 수도 있을것같아요!다음에 또 주문해서 먹을께요",[]
66,5,[],맛있어요,[]
67,5,[],여기 양적다는 사람들 치킨 한마리 혼자 먹고도 배 안부를 사람들임 솔직히 양적다는거 오바인듯.가격이 조금 비싸게 느껴져서 그렇지. 근데 배달 분식 치고 싼편아닌가. 암튼 떡볶이는 나같이 매운거 못 먹는 사람들한텐 개맛있음 달짝지근하고 양도 절대 안 적음(떡 작다고 호로록 마시면 위장에서 떡 불어서 배겁나부름) 컵밥은 공기밥하나 양에 재료?소스?이런거 진짜 많이 들어감. 짜다고 느껴질 수도 있는데 요즘같은 창렬시대에 이정도 퀄리티면 칭찬받아 마땅하지않나 싶음. 별5개 주고 갑니다. 배 불러서 떡 남김,['https://rev-static.yogiyo.co.kr/6190a6a0963eba676a0aa65260177638_tn.jpg']
68,5,[],닭가비와 국물 떡볶이 너무 맛있어요.good good good,[]
69,5,[],ㄴᆞ,[]
70,3,[],양도 많이 주시고 배달도 대행쓰셔서 빨리 오셨더라구요. 근데 오늘은 밥이 된밥이 되셨는지 쌀알 씹는 느낌이라 먹을때 좋진 않았어요..ㅠ,[]
71,4,[],잘 먹었습니다.^^,[]
72,4,"['맘스 컵밥', '스팸치즈 컵밥']",맛있네요 ㅎㅎ,[]
73,5,"['맘스 컵밥', '참치마요 추가)', '스팸 컵밥', '후루룩 국물 떡볶이 （2인분）']",떡볶이 맛있네요밥종류가 좀 짜긴한대 역시 맛있습니다.,[]
74,5,"['제육 컵밥', '치즈닭갈비 컵밥', '후루룩 국물 떡볶이 （2인분）']",맛있어요!!ㅋㅋ,[]
75,1,[],너무 달고 느끼해요. 다시는 안시킬듯,[]
76,5,"['맘스떡 컵밥', '후루룩 국물 떡볶이 （2인분）', '오란씨캔']",상당히 맛있다고 전해라,[]
77,5,"['불고기 컵밥', '고추장 제육 컵밥', '사골국']",정말 맛있어요ㅋ,[]
78,1,[],밥도 다 안익어서 오고 닭갈비컵밥인데 내용물은 그냥 김치 컵밥인듯.. 그냥 밥도 제대로 안되서 온게 가장 별로임,[]
79,2,[],하...,[]
80,5,[],맛있게잘먹었숨니당,[]
81,5,[],맛있음 남김업이 먹응,[]
82,1,"['맘스 컵밥', '스팸 컵밥']",스팸이랑 맘스컵밥시켰는데 왜케 짠가요?가족들 한입먹고 맛없다네요 ㅜ전에는 짜지도않고 간도 딱맞고 맛있어서 가서도먹고 포장도해온적도있고 주문도 몇번했었는데 너무짜요 ㅡㅡ맛도 없어진거같아요 다시는 시켜먹고싶지않네요,[]
83,5,[],Good! Fast service!,[]
84,5,"['닭갈비 컵밥', '치즈제육 컵밥', '후루룩 국물 떡볶이 （2인분）']",다 맛있습니다,[]
85,2,[],된장국 창렬창렬창렬,[]
86,5,[],맛있어요,[]
87,5,[],맛잇어요,[]
88,5,"['모짜스팸 컵밥', '후루룩 국물 떡볶이 （2인분）']",비오는데 빠른배달 감사합니다 잘 먹었습니다,[]
89,4,"['맘스 컵밥', '제육 컵밥']",간단히 한끼해결할수있어요 맛도있고~~!,[]
90,2,"['불고기 컵밥', '고추장 오돌뼈 컵밥', '미역국']",배달도괜찮고배달온아저씨도친절해서좋았는데 먹다보니이런게나오네요 밑에는비닐같은거고요 위에오돌뼈에붙어있는건털이네요,['https://rev-static.yogiyo.co.kr/e95fc89b72f65996b185da9c7998db3b_tn.jpg']
91,5,"['스팸치즈 컵밥', '고추장 불고기 컵밥', '후루룩 국물 떡볶이 （2인분）']",간단히 먹기 넘 좋아요. 맛도 있고.,[]
92,5,[],맛있어요,[]
93,5,"['스팸 컵밥', '후루룩 국물 떡볶이 （2인분）']",굿굿,[]
94,4,"['스팸치즈 컵밥', '슬라이스 치즈 국물떡볶이（2인분）', '된장국']",양도 많구 맛나요 ㅋㅋ,[]
95,4,"['맘스치즈 컵밥', '맘스치즈 컵밥', '스팸 컵밥', '불고기 컵밥', '후루룩 국물 떡볶이 （2인분）']",떡볶이가 양이 좀 적은거 같기도 해요 ㅠㅠ 밥은 양이 적절해서 좋았어요,[]
96,4,[],저번에먹을때보다 덜짜네요..북엇국2개시켰는데 인스턴트로 하나만왔어요,[]
