,별점,주문메뉴,리뷰,사진
0,5,['차돌된장찌개세트（5종반찬＋쌈＋밥＋차돌된장찌개 中）'],맛있어요~ 담에는 김치찌개세트로 시켜먹어봐야겠어요.,[]
1,5,"['양념갈비세트（5종반찬＋쌈＋밥＋된장찌개 小 or 김치찌개 小）', '메뉴 선택(된장찌개 小)']",잘먹었습니다.,[]
2,5,"['맛나삼겹세트（5종반찬＋쌈＋밥＋된장찌개 小 or 김치찌개 小）', '메뉴 선택(된장찌개 小)']",명이나물이나 쌈이 넉넉히와서 좋아요고기양이 쬐끔아쉽고 나머지는 다 만족이용,['https://rev-static.yogiyo.co.kr/235dae16b24535b7084f9780c7a3d3b1_tn.jpg']
3,5,"['맛나삼겹세트（5종반찬＋쌈＋밥＋된장찌개 小 or 김치찌개 小）', '메뉴 선택(된장찌개 小)']",친구가 배고프데서 주문해줬는대 넘 맛있다고하네요^^,[]
4,4,"['생삽겹살（200g）', 'B（고추장삼겹살100g＋양념갈비100g＋김치찌개小）', '비빔칡냉면']",가성비 대박 맛집 이정도 퀄리티면 앞으로 집에서 밥 안해먹겠어요! 다만 배달비 별도인데 1인을 위해 최소 주문 금액 조금 더 낮춰주셨으면 해요!! 정말 감사히 먹었습니다,"['https://rev-static.yogiyo.co.kr/27e83126dce01f1db13bb55502fb5939_tn.jpg', 'https://rev-static.yogiyo.co.kr/0bd3763980128cf65ccc04298a1549c8_tn.jpg']"
5,5,"['고추장삼겹살（200g）', '쌈채소＋청양고추＋쌈', '쌈채', '파무', '구운마', '쌈장)']",굿굿이네용  너무잘먹었습니다,[]
6,5,"['양념갈비（200g）', 'A（생삼겹살100g＋양념갈비100g＋김치찌개小）', 'B（고추장삼겹살100g＋양념갈비100g＋김치찌개小）']",고기 먹고 싶으면 여기서 주문해 먹어야겠어요.양도 딱 적당하고 가격도 좋고 맛있고 만족스러워요,[]
7,4,['양념갈비（200g）'],"맛있게 잘 먹었습니다.배달도 빠르고 반찬류를 선택할 수 있어서 참 좋은데, 고기의 양이 조금 아쉽네요.",[]
8,1,"['A（생삼겹살100g＋양념갈비100g＋김치찌개小）', 'B（생삼겹살100g＋양념갈비100g＋된장찌개小）']",국은 따뜻한데 도시락은 차갑게식어서삼겹살기름이  하얗게 굳어서옴취소된 음식이 온듯그냥 편의점 도시락이 낳음,[]
9,4,"['생삽겹살（200g）', '차돌배기 된장찌개 中', '갈비＋비빔칡냉면']",맛있게 잘먹었슺니다 ㅎㅎㅎㅎㅎ,[]
10,5,"['A （생삼겹살200g ＋김치찌개小） ', 'E（고추장삼겹살100g＋양념갈비100g＋된장찌개小）']",아이들이 맛있게 잘 먹었어요.가격도 착하고 맛있어요,[]
11,5,"['A （생삼겹살200g ＋김치찌개小） ', 'C（생삼겹살100g＋양념갈비100g＋김치찌개小）', '콜라（250mL）']",가격도 저렴하고 양도 많고 너무 좋았어요!!! 딱 한가지 아쉬운건 비계부분이 너무 많았다는거ㅠ그거빼고는 다 맛있고 양도 많고 최고였습니다,[]
