,별점,주문메뉴,리뷰,사진
0,5,"['리뷰 떡볶이（안심번호 해제）', '현미베이크＋캔콜라＋소스2']",싸고 맛있게 잘 먹었습니다 ㅎㅎ,['https://rev-static.yogiyo.co.kr/57d993a187381b61099bcf0d2eed9729_tn.jpg']
1,5,"['리뷰 떡볶이（안심번호 해제）', '강정 현미베이크＋콜라500']",양도 적당하고 달달하니 맛잇어요! 떡볶이는 되게 쫀득합니다,['https://rev-static.yogiyo.co.kr/2984dd77cc683d864b0cf6d6ab493413_tn.jpg']
2,5,"['리뷰 떡볶이（안심번호 해제）', '강정 현미베이크＋콜라500']",진짜 너무 맛있어요.국물 떡복이도 맛있습니다 ㅎㅎ자주 이용할게요. 감사합니다.,['https://rev-static.yogiyo.co.kr/1428f67d03e2c109617f571d67bd041a_tn.jpg']
3,5,"['현미베이크＋캔콜라＋소스2', '국물떡볶이']","리뷰 첨 써봐요배달시키고, 사장님께 배송시작했다고 알림문자와서 놀라고 맛나서 놀랐어요? 떡볶이 떡도 얇고 매콤하니 맛나고요 치킨도 바삭바삭 현미 베이크가 와삭와삭 맛나요ㅎㅎ딴얘기지만 배달기사님도 친절쓰^^왕만족입니다요리뷰쓸까말까 고민하다 써요(나만알고싶은 그런 너낌적인 너낌 ~^-')b",['https://rev-static.yogiyo.co.kr/2b0541e4dbfead68e17720885992d60a_tn.jpg']
4,5,['현미베이크＋캔콜라＋소스2'],맛있어요~~~~또시켜먹을듯,[]
5,5,"['리뷰 떡볶이（안심번호 해제）', '현미베이크＋캔콜라＋소스2']",너무 맛있어요~~~,['https://rev-static.yogiyo.co.kr/ee46879b4bdd5a995efe194b8c3a0ff3_tn.jpg']
6,5,"['리뷰 떡볶이（안심번호 해제）', '현미베이크（반마리）＋한마리 선택']",배달도 빠르고 맛있어서 예전부터 직접가서 포장해왔었는데 요기요에 있길래 주문했어요~ 떡볶이도 맵지도않구 달달해서 제입맛에 딱맞았어요,['https://rev-static.yogiyo.co.kr/95dd04e8e078fd400ec1ba92be92ad55_tn.jpg']
7,5,"['리뷰 떡볶이（안심번호 해제）', '현미베이크＋캔콜라＋소스2']",프렌차이즈 치킨보다 저렴해서 주문해봤는데 너무 맛있어서 놀랐어요,['https://rev-static.yogiyo.co.kr/8dbec3109bcf5c6ebfa74b5fb5f3b498_tn.jpg']
8,5,"['리뷰 떡볶이（안심번호 해제）', '현미베이크＋캔콜라＋소스2']",양은 좀 적지만 넘 맛있었어요,['https://rev-static.yogiyo.co.kr/ae96dc83977048f919071e990c98a6cf_tn.jpg']
9,5,"['리뷰 떡볶이（안심번호 해제）', '베이크＋로스트', '메뉴 선택 2(뒤메뉴 뼈', '베이크 선택(현미 베이크', '로스트 선택(오리지날 로스트', '음료 추가선택(선택 안함)']",아이랑 같이 먹어서 로스트 시키는데..맵지 않고 짭짤해서 아이도 좋아해요^^베이크는 바삭해서 어른들 맥주 안주로♡사실 떡볶이는 참 뭐 들어간거 없고치킨 두마리로 충분히 배부른데 맛있어서 안시킬수도 없고 그런 존재 ㅋㅋㅋ,"['https://rev-static.yogiyo.co.kr/d581587b3dd65bda35f3d967903fc765_tn.jpg', 'https://rev-static.yogiyo.co.kr/ed9419f7d0ecb9f5f0cdcf6322981cac_tn.jpg']"
10,5,['갈릭 현미（달달한갈릭양념）＋콜라500'],예전에 몇번 먹어봤었는데 어플 뒤적이다가 요기요 배달 오픈한거 발견해서 시켜봤어요여전히 맛있네요 가족끼리 먹는데 다 맛있다고 했습니다 ^^,[]
11,5,"['리뷰 떡볶이（안심번호 해제）', '현미베이크（반마리）＋한마리 선택']",배달도 멋지고 맛도 멋집니다,['https://rev-static.yogiyo.co.kr/1df6dfe5b974ab83cd336b48405ff2df_tn.jpg']
12,5,"['리뷰 떡볶이（안심번호 해제）', '오리지날로스트（반마리）＋한마리 선택']",배달로 맛닭꼬 먹을 수 있어서 좋아요!!떡볶이와 치킨을 함께 즐길 수 있어서 일석이조 네요맛있어요 ^^,['https://rev-static.yogiyo.co.kr/4b032243313c29ee53cc5f02b524357d_tn.jpg']
13,5,"['리뷰 떡볶이（안심번호 해제）', '현미베이크＋캔콜라＋소스2']",최고에요 ㅎㅎㅎ 맨날 여기서만 먹을거에요,['https://rev-static.yogiyo.co.kr/5b43d9966e1a71c464bd02b013a98c5f_tn.jpg']
14,5,"['리뷰 떡볶이（안심번호 해제）', '현미베이크＋캔콜라＋소스2']",치킨은 담백하고 소스랑 먹으니까 맛있었어요떡볶이는 순한맛 정도?둘이먹기 적당한 양입니당다음엔 다른맛으로 먹어봐야겠네요 ㅎㅎ,['https://rev-static.yogiyo.co.kr/795b5e7d8dc0b65a6b31c3583850dcd5_tn.jpg']
15,5,"['리뷰 떡볶이（안심번호 해제）', '현미베이크＋캔콜라＋소스2']",처음 먹어봤는데 치킨도 떡볶이도 맛나네요,"['https://rev-static.yogiyo.co.kr/d20c2a01e7f8462767c8808f33814a2d_tn.jpg', 'https://rev-static.yogiyo.co.kr/b1981977dce6e21bdc9c75f1065b9b45_tn.jpg', 'https://rev-static.yogiyo.co.kr/3367d5cbddb95470beca84df3ed73e3d_tn.jpg']"
16,5,"['리뷰 떡볶이（안심번호 해제）', '로스트＋로스트', '메뉴 선택 2(뒤메뉴 뼈', '로스트 선택 1(오리지날 로스트', '로스트 선택 2(숯불 로스트（많이 매움）', '음료 추가선택(선택 안함)', '무 추가']",두번째에요!넘 맛있어요~^^,['https://rev-static.yogiyo.co.kr/57415690f1958d01e6dda991bb1b70d4_tn.jpg']
17,5,"['리뷰 떡볶이（안심번호 해제）', '현미베이크＋캔콜라＋소스2']",역시 믿고먹는 맛닭꼬!! 근ㄷ 떡볶이 국물이 너무 걸쭉해요원래 더 국물많고 맑았는데..원래대로 돌아와주세요ㅠㅠㅠ,['https://rev-static.yogiyo.co.kr/4bc56642e4dd226972354edbe0cf21cb_tn.jpg']
18,5,"['리뷰 떡볶이（안심번호 해제）', '현미베이크＋캔콜라＋소스2']",배달 진짜 빨리 왔어요!여기서 처음 주문해봤는데 너무 맛있어요구운 닭이어서 기름진 느낌도 없고 바삭해서 좋네요 ㅎㅎ떡볶이도 맛있어요! 긴 떡이고 쫄깃쫄깃하네요다음에 또 이용하겠습니다~~,['https://rev-static.yogiyo.co.kr/2237ce93e2b2417dc2c8d9e6191c0c7a_tn.jpg']
19,5,"['리뷰 떡볶이（안심번호 해제）', '현미베이크（반마리）＋한마리 선택', '사이드 추가선택(갈릭소스 추가)']",길가다 우연히 가게 발견하고 들어가 시킨 후로 여기만 먹어요 브랜드치킨보다 맛이 훨 좋아요. 그리고 4인가족 늘 양이 애매했는데 한마리반 메뉴가 생겨 기뻐요.,['https://rev-static.yogiyo.co.kr/8417be67d2618f2a44c01e0599e54fa1_tn.jpg']
20,5,['뼈치킨＋국물떡볶이 세트'],맛있게 잘 먹었습니다 훈제껍질맛이 일품,['https://rev-static.yogiyo.co.kr/d0973cc32483e1f246dd140d5f16ee13_tn.jpg']
21,2,"['리뷰 떡볶이（안심번호 해제）', '베이크＋로스트', '메뉴 선택 2(뒤메뉴 순살', '베이크 선택(현미 베이크', '로스트 선택(오리지날 로스트', '음료 추가선택(선택 안함)']",일단 엄청 맛있습니다. 너무 맛있어서 깜짝놀랐어요.떡볶이도 맛있구요.하지만!!! 양이 매우 적습니다. 2마리를 시켰는데.. 1마리가 작은 사이즈의 13조각.누가 빼먹은게 아닌가 싶을정도로 너무 적습니다. 치킨 케이스에 절반도 안차니... 거의 3만원주고 시켰는데 이게 그만한 가치가 있는지 모르겠네요.,['https://rev-static.yogiyo.co.kr/686926529dabb898fbe66056c0246a32_tn.jpg']
22,5,"['리뷰 떡볶이（안심번호 해제）', '로스트＋로스트', '로스트 선택 2(숯불 로스트（많이 매움）', '음료 추가선택(선택 안함)', '무 추가']",맛있게 잘먹었습니다,['https://rev-static.yogiyo.co.kr/98a73dab6d5952b33be6beaa39764f0c_tn.jpg']
23,5,"['리뷰 떡볶이（안심번호 해제）', '갈릭 현미（달달한갈릭양념）＋콜라500']",일주일 사이에 3번을 시켜먹었네요 존맛...,[]
24,5,"['리뷰 떡볶이（안심번호 해제）', '현미베이크（반마리）＋한마리 선택']","짹짹짹짹 포로로로오옹로로롱 냠냠냠냠냠냠만약 집을 이사가게 된다면맛닭꼬 영통점과 멀어진다는 사실이가장 슬플 것입니다.......현미 베이크도 이리 맛있다니 ....................... 혁명이에요 ...........왕소스 서비스와 음료수 사이즈 업 서비스 정말 감사합니다 오늘 정말 힘들고 지친 하루였는데.......,,,,너무너무너무너무 진짜로 맛있는 것을 먹는동안어느정도 힘듦을 잊을 수 있었어요 .......감사합니다큰 위로가 됩니다 ,,,, 사람은 먹고살아야 해요......기왕 맛있는거..맛닭꼬.,","['https://rev-static.yogiyo.co.kr/8cfb2f669dc8c1d2eb9fe171d9557c19_tn.jpg', 'https://rev-static.yogiyo.co.kr/5d68f1e36581b8191109d5380c1f9d29_tn.jpg', 'https://rev-static.yogiyo.co.kr/5a9daefa774a419317865fad0ea25ee7_tn.jpg']"
25,5,"['리뷰 떡볶이（안심번호 해제）', '현미베이크＋캔콜라＋소스2']",맛있어요 고기가 신선하고 촉촉하고 맛있네요 떡볶이도 괜찮아요,['https://rev-static.yogiyo.co.kr/b7f1a9cffca46d834e9cf6e7dc9ff6e6_tn.jpg']
26,5,['현미베이크＋캔콜라＋소스2'],"배달시간 준수, 맛있고 양도 괜찮아요!",['https://rev-static.yogiyo.co.kr/9040cfe137124ee3fecdac349a6f1d98_tn.jpg']
27,5,['오리지날로스트（반마리）＋한마리 선택'],튀긴거 별로 안 좋아해서 치킨 시킬때마다 구운거 찾느라고 귀찮았는데 여기 현미베이크 넘 맛있어요~ 닭고기 질도 좋은거 같아요 앞으로 치킨은 여기서만 시킬듯요!,['https://rev-static.yogiyo.co.kr/67205b69c7425c281bf5bb13292c373d_tn.jpg']
28,5,"['리뷰 떡볶이（안심번호 해제）', '현미베이크（반마리）＋한마리 선택']",솔직히 구운치킨은 굽네보다 여기가 더 맛있음 치킨집인데 떡볶이도 존맛탱임,['https://rev-static.yogiyo.co.kr/cc5825300cf780aa3b7c8504c4c47dfd_tn.jpg']
29,5,['뼈치킨＋국물떡볶이 세트'],치킨만 먹다가 떡볶이도 시켜봤어요. 국물떡볶이도 맛나네요,[]
30,5,"['리뷰 떡볶이（안심번호 해제）', '현미베이크＋캔콜라＋소스2']",와  이런 혜자스런 업소가 아직 남아있었네요 치킨 한마리가 이만원 가까이 도는 요즘 가성비와 맛 둘다 굿,['https://rev-static.yogiyo.co.kr/b724c86602e2adb0ae6cb9acbd4097e9_tn.jpg']
31,5,"['리뷰 떡볶이（안심번호 해제）', '현미베이크＋캔콜라＋소스2']",또 시켜먹었어요 맛있어요!,['https://rev-static.yogiyo.co.kr/8440a5909259fc4730eed8825fdcc19d_tn.jpg']
32,5,"['현미베이크＋캔콜라＋소스2', '머스타드 추가)']",여친이 좋아하는 집이라 시켜줬는데 엄청 좋아하네요ㅎㅎ,[]
33,5,"['리뷰 떡볶이（안심번호 해제）', '현미베이크＋캔콜라＋소스2']",잘먹었습니다 치킨소스 맛있네요,['https://rev-static.yogiyo.co.kr/f8eba8b5d9da351b47532f2a389a8238_tn.jpg']
34,5,"['리뷰 떡볶이（안심번호 해제）', '오리지날로스트（반마리）＋한마리 선택']",떡볶이 너무 맛나요 치킨도 맛나요,['https://rev-static.yogiyo.co.kr/2c082ab9b4c3ca553422abf427566f04_tn.jpg']
35,5,"['리뷰 떡볶이（안심번호 해제）', '현미베이크＋캔콜라＋소스2']",바삭하고 맛있네요~ 리뷰 떡볶이 완전 제스타일이에요~,['https://rev-static.yogiyo.co.kr/66230370e6fecb686a846c3fbd3e1a38_tn.jpg']
36,5,"['리뷰 떡볶이（안심번호 해제）', '갈릭 현미（달달한갈릭양념）＋콜라500']",닭이 겁나 촉촉함소스도 듬뿍 줘서 많이 남음다음엔 매콤한걸로 먹어보고 싶음,['https://rev-static.yogiyo.co.kr/5133a79abcc2d2e8e4893aa848b7aae1_tn.jpg']
37,5,"['리뷰 떡볶이（안심번호 해제）', '현미베이크＋캔콜라＋소스2']",맛집이라는 소문 듣고 주문합니다~오븐에 구워 아주 담백하고 맛있네요사장님 감사합니다~떡볶이는 아이에게는 좀 매운것 같네요,['https://rev-static.yogiyo.co.kr/4bee4582c849dce366c0ac2c60917bab_tn.jpg']
38,5,"['리뷰 떡볶이（안심번호 해제）', '현미베이크＋캔콜라＋소스2']",리얼 존맛...여기시키세요 가성비 오지네요,['https://rev-static.yogiyo.co.kr/5789d989fc306c5a8cf3d2fc8fb1f3bb_tn.jpg']
39,5,"['리뷰 떡볶이（안심번호 해제）', '마누라 현미베이크＋콜라500']",배달빨라요~ 요청사항도 잘 지켜주시고 확인문자도 보내주시고 감동이네요~ 맛은 뭐 이미 검증됐죠~ 마누라 현미베이크 리뷰 많이 없던데  마늘향 있는 달콤한 맛 좋아하시는 분들 추천해요 정말 맛나요~~ 저는 이것만 먹어요 핫소스랑 같이 먹으면 매운맛까지 정말 쵝오에요~ 강추해요 다음에 또 시켜먹을게요~~~^^,"['https://rev-static.yogiyo.co.kr/8219c72a7a8aeadf02ee4c1857e50614_tn.jpg', 'https://rev-static.yogiyo.co.kr/cc3602e44479ebc73e8362de9ec5bb53_tn.jpg']"
40,4,"['리뷰 떡볶이（안심번호 해제）', '현미베이크（반마리）＋한마리 선택']",치킨 기름기 쫘악 빠져서 맛있습니다! 현미베이크도 고소하고 맛나네요^^ 배달도 예상시간보다 빠르게 해주셔서 감사합니다! 다만 떡볶이는 저희 입맛에는 좀 싱거웠어요ㅎㅎ 그래도 입맛은 개인취향이니까요~ 전반적으로 맛나게 잘 먹었습니다^^,"['https://rev-static.yogiyo.co.kr/8fa8272c123c71212605418b93d87385_tn.jpg', 'https://rev-static.yogiyo.co.kr/ece4732c4cda7c657ae7a9cce73912e2_tn.jpg']"
41,5,"['리뷰 떡볶이（안심번호 해제）', '현미베이크＋캔콜라＋소스2']",맛있었습니다.곡물로 바삭하게 만드는 치킨 중 가장 괜찮았네요,['https://rev-static.yogiyo.co.kr/de616f283d7d8ff46a3dc27b1820995e_tn.jpg']
42,5,"['리뷰 떡볶이（안심번호 해제）', '현미베이크＋캔콜라＋소스2', '강정소스 추가)']",기대했던만큼 좋았습니다ㅋ자주시킬게요,['https://rev-static.yogiyo.co.kr/b87849a237ade54c05ca5568c2b89545_tn.jpg']
