,별점,주문메뉴,리뷰,사진
0,5,['젊은 통삼겹 2~3人 세트'],진짜맛있어요!!!짱짱,[]
1,1,['젊은 통삼겹 3~4人 세트'],고기가 맛있습니다 그런데 양이 점점 줄어드는 느낌이네요 이제는 반찬도 미니 사이즈로 바꿨습니다 3-4 인분 반찬은 아닌것 같네요 아르바이트의 실수로 생각 하겠습니다,['https://rev-static.yogiyo.co.kr/907525816d4cbbf5a867e8807d1f74de_tn.jpg']
2,5,['청춘 통삼겹 1~2人 세트（삼겹살 400g＋기본구성품）'],여기진짜 엄청 맛있어요!!!!이사와서도 꾸준히 여기만 시켜요.젊은 통삼겹 말고 꼭 청춘 시켜드세요 ㅠㅠ불맛쩔고 고기도 질기지 않고 45초 돌려먹으면 진짜 맛있어요!! 고기 시켜먹을땐 항상 여기 청춘 통삼겹 먹어요!! 저번에 젊은 통삼겹으로 한 번 시켜봤는데 클라스 차이 많이 납니다 ㅠㅠ양파랑 백김치 깻잎 진짜 잘어울리구요.파 반찬이 빠진게 아쉽긴 하지만 여기 만한 곳이 없어요!별 10개주고싶네요.,['https://rev-static.yogiyo.co.kr/a8d96c4a180f2f4bfd636c7638b6839a_tn.jpg']
3,4,['청춘 통삼겹 1~2人 세트（삼겹살 400g＋기본구성품）'],첫주문인데 맛있어요! 남편은 고기양이 살짝적은데?하긴했는데 먹다보니 괜찮내요 막엄청.넉넉하진않지만 맛이좋아요! 담에또 이용할거예요! 아그리고 밥 맛있어용 !,"['https://rev-static.yogiyo.co.kr/eae71d4a4327be0f277bdfa92560e42a_tn.jpg', 'https://rev-static.yogiyo.co.kr/b12a140689134d4907cd4f60568813fe_tn.jpg']"
4,5,['청춘 통삼겹 2~3人 세트（삼경살 600g＋기본구성품）'],귀찮아서 잘안쓰는데 써봅니다.고기 뜨끈하게 해서 옵니다. 여름이라 더워서 고기굽는것도 귀찮아서 시켰는데 만족스러웠습니다.주말마다 아들인 제가 밥한끼정도 요기요에서 시킵니다. 부모님 입맛에 맞았습니다.하나 쫌 보충하자면 음식시킬때 청춘이랑 젊은? 세트매뉴가 있는데 어떤면이 다른지 몰라서 일단 청춘을 시켰습니다. 좀더 명시된 차이점을 어플에서 알려 주시면 기호에 맞게 시키지 않을까 합니다.번창하세요. 술안주로도 좋네요.,"['https://rev-static.yogiyo.co.kr/7b421abad75bd472a5609d8dd0fd5d5d_tn.jpg', 'https://rev-static.yogiyo.co.kr/2612a23a97c799b4839d2df668796e66_tn.jpg', 'https://rev-static.yogiyo.co.kr/ed87634d8af9454a707d5841967f8e4c_tn.jpg']"
5,5,['청춘 통삼겹 1~2人 세트（삼겹살 400g＋기본구성품）'],배달포장 정말 깔끔해서 좋았어요~~ 지금까지 삼겹살 배달중에 최고입니다~~ 맛도 정말 좋아요~~ 배달아저씨가 초인종 누르신것만빼면 완벽해요~~ 반찬도 정말 깔끔하고 정갈합니다~~ 국내산이라서 더욱 좋아요~~,"['https://rev-static.yogiyo.co.kr/6d7a748a14c948ac0d7bbecadd1009b4_tn.jpg', 'https://rev-static.yogiyo.co.kr/6073b7a063a4327e8472cb2834dd5631_tn.jpg']"
6,5,['젊은 통삼겹 3~4人 세트'],고기맛도 사이드도 다 맛있어요 고기만큼이나 반찬도 좋아서 항상 만족하는거같아요,['https://rev-static.yogiyo.co.kr/ac23e384903da11be568bfd86717732e_tn.jpg']
7,5,['청춘 통삼겹 1~2人 세트（삼겹살 400g＋기본구성품）'],지나다니다가 너무 맛있어보여서 주문해봤어요고기 맛있어요담엔가서먹어야겠어요,['https://rev-static.yogiyo.co.kr/278dff5de8af7cd1b4b6d0c68efba5dc_tn.jpg']
8,5,['청춘 통삼겹 1~2人 세트（삼겹살 400g＋기본구성품）'],예상 시간보다 좀 늦긴했는데 태풍날 배달해주시는 것만으로도 감사합니다ㅠㅠ맛있는데 둘이 먹긴 양은 적은것 같아요 다음엔 큰걸로 ㅋㅋ,['https://rev-static.yogiyo.co.kr/41bfa4352079255cc95ddf93f0681fd8_tn.jpg']
9,5,['청춘 통삼겹 1~2人 세트（삼겹살 400g＋기본구성품）'],복음밥이 잇으면 정말 헤자인데 고기라우반찬 퀄리티는 좋은데 타브랜드에 비헤 비싼감이 잇네요,"['https://rev-static.yogiyo.co.kr/46800215c5f9180cc35b3c68aab90c3d_tn.jpg', 'https://rev-static.yogiyo.co.kr/cf9da65398e38d91c6edd4899dd44696_tn.jpg']"
10,4,['청춘 통삼겹 1~2人 세트（삼겹살 400g＋기본구성품）'],무난한 것 같습니다. 매장에서 먹는게 더 맛있네요~,['https://rev-static.yogiyo.co.kr/a66ff47bff342d1218b2b875aa8d9109_tn.jpg']
11,5,['청춘 통삼겹 1~2人 세트（삼겹살 400g＋기본구성품）'],맛있게 잘 먹었습니다.,['https://rev-static.yogiyo.co.kr/ab808736df47d45385adde2846e8ca92_tn.jpg']
12,5,['젊은 통삼겹 2~3人 세트'],고기를 잘구워주셔서 맛도났구요다른 고기집에서 시킬때보다 반찬 하나하나 정갈하고 맛있어서 굉장히 만족했습니다🤗,['https://rev-static.yogiyo.co.kr/f3760384455056eebcde01679421dcfa_tn.jpg']
13,5,['젊은 통삼겹 1~2人 세트'],고기 배달이 맘에 안들어서 여기저기 전전했는데 정착하기로 했어요^^맛도 양도 아주 좋았습니다^^,['https://rev-static.yogiyo.co.kr/5df921567eabded2542ac5c539ee78fd_tn.jpg']
14,5,['젊은 통삼겹 1~2人 세트'],오 ㅎㅎ 이 집만의 특색있는 맛이 있네요. 불맛도 좋고 풍미가 좋습니다. 이벤트로 볶음밥 받은건 좋한데 기본세트는 가격이 좀 비싸긴합니다. 또 생각나면 시킬게욧!,[]
15,5,['청춘 통삼겹 1~2人 세트（삼겹살 400g＋기본구성품）'],믿고 먹는 그집돼지!!,['https://rev-static.yogiyo.co.kr/c6a091b7c5fdbf4c1aa3d35a3e4bea69_tn.jpg']
16,5,['청춘 통삼겹 2~3人 세트（삼경살 600g＋기본구성품）'],오랜만에  배달시켰는데 엄청 맛있게 잘 먹었어요!,['https://rev-static.yogiyo.co.kr/6cce897af2549a8532d65813a674af2a_tn.jpg']
17,5,['청춘 통삼겹 1~2人 세트（삼겹살 400g＋기본구성품）'],비가 많이오는 날이라 배달이 좀 늦어서 식었지만 그래도 안전히 잘 가져다주셔서 나가지않고 맛있게 저녁먹네요~ 식어도 잡내 안나고 맛있습니다 볶음밥도 따뜻할때 먹으면 훨씬 맛있을거같아요! 양이 원래 적은 집이라 저희는 딱 맞았는데 보통 드시는 분들은 살짝 적을수도 있을거같아요~ 맛나게 잘먹었습니다!,['https://rev-static.yogiyo.co.kr/7428f3a81713e5cd0d53441f64a25c5f_tn.jpg']
