,별점,주문메뉴,리뷰,사진
0,5,"[""매콤's 국물닭볶음탕"", '매운맛 선택(1단계', '추가선택(넓적당면 추가)']",제가닭볶음탕킬러라 많은곳에서 주문해봤는데요근래에먹어봤던맛중 최고인거같네요첨엔 신규매장이라 반신반의하고주문했는데주문하길잘한거같아요 다음엔2단계도전할래요계란찜 쿨피수 감사함돠^^,"['https://rev-static.yogiyo.co.kr/f828e1fa9cb4803336102dac159f6e29_tn.jpg', 'https://rev-static.yogiyo.co.kr/d40316e6f9a2662303545f4a13d93679_tn.jpg', 'https://rev-static.yogiyo.co.kr/7b3a48e81afe4084cbfb65025552bffc_tn.jpg']"
1,5,"[""매콤's 국물닭발（통뼈）"", '매운맛 선택(1단계)']",말이 필요없네요존맛탱,['https://rev-static.yogiyo.co.kr/1921f5ce013ed269be32946b97d2fd22_tn.jpg']
2,3,"[""매콤's 국물닭볶음탕"", '매운맛 선택(1단계)']","일단 먹기전부터 기분좋은메모,♡맛잇게 잘먹엇어요~~1인 가구라 남으면 다음날 먹을수잇는데..바닥에 떡이랑 당면사리 잇는줄 몰랏어요...메뉴선택시 추가로 뜨길래 일부러 추가안햇는데..바닥에 뙇...(어쩐지 국물이 빠르게 사라지더라...)그리구...호박보다는 감자가 좀 들어갓으면좋겟어요..또...포장시 플라스틱 용기를 랩으로 감싼뒤 그후 뚜껑을 덮어주면 감사하겟어요..줄줄 샛어요::매운맛은 개인차가 크겟으나저에겐 2단계인데도 1도 안매워서...흠::담에 또먹게된다면당면,떡, 메추리알 호박대신 감자올인요청..","['https://rev-static.yogiyo.co.kr/8c39c1ba0a32ba982290292fa4532e1e_tn.jpg', 'https://rev-static.yogiyo.co.kr/08c377078d69841550753dedf7244dea_tn.jpg', 'https://rev-static.yogiyo.co.kr/3fc84ad9274e7c3ba76d870ee83847d8_tn.jpg']"
3,5,"['Set 2（국물닭발＋모듬튀김＋김가루주먹밥or계란찜＋콘샐러드＋단무지＋쿨피스）', '메뉴 선택(김가루주먹밥)']","ㄲ ㄱㄱㄱㄱㄱㄱㄱㄱ맛짱짱,.. ..",[]
4,5,"['Set 2（국물닭발＋모듬튀김＋김가루주먹밥or계란찜＋콘샐러드＋단무지＋쿨피스）', '메뉴 선택(김가루주먹밥', '추가선택(메추리알6개 추', '감자만두3개 추가)']",닭발 맛있어요!!!,['https://rev-static.yogiyo.co.kr/becaa8a957d5018e6b39adb56ce49573_tn.jpg']
5,5,"[""매콤's 국물닭발（통뼈）"", '매운맛 선택(2단계', '추가선택(넓적당면 추가', '사이드 메뉴 추가(물냉', '김치볶음밥)']",닭발스!! 맛났어요하지만 전 좀 더 끓여먹고 싶어요 너무 쫄깃했어요ㅎㅎ,['https://rev-static.yogiyo.co.kr/32f11789393fb46844f0feb6ae7d315a_tn.jpg']
6,3,"['Set 2（국물닭발＋모듬튀김＋김가루주먹밥or계란찜＋콘샐러드＋단무지＋쿨피스）', '매운맛 선택(2단계', '뼈 선택(무뼈', '메뉴 선택(김가루주먹밥', '사이드 메뉴 추가(계란찜)']",주메뉴가 닭발인데 닭발보다 튀김이 양이 더 많은것 같은 착각이 드네요,[]
7,5,"[""매콤's 국물닭발（통뼈）"", '매운맛 선택(3단계)', '모듬튀김（야채튀김2＋만두튀김3＋김말이튀김2）']",맛있어요~~~~~~~,[]
8,5,"[""매콤's 국물닭볶음탕"", '매운맛 선택(1단계', '추가선택(넓적당면 추', '감자만두3개 추가)']",진따 딱 45분걸림맛있구요 서비스도 굿!!자주 사먹을거같아요,[]
9,3,"[""매콤's 국물닭발（무뼈）"", '매운맛 선택(1단계', '추가선택(넓적당면 추가', '사이드 메뉴 추가(계란찜)']",계란찜이랑 닭발 둘다 양은 괜찮았는데 너무 싱거웠어요...ㅠㅠ밍밍한 느낌이었어요ㅜ,['https://rev-static.yogiyo.co.kr/46ba0b6fdd21d15e93b10df35ad1c9b6_tn.jpg']
10,5,"[""매콤's 국물닭볶음탕"", '매운맛 선택(2단계', '추가선택(넓적당면 추가', '사이드 메뉴 추가(김치볶음', '공기밥)', '야채튀김 3개', '물냉면', '공기밥']",맛잇었어요~ 제입맛에는 매운맛이 입맛 당기게 하네요~~,[]
11,5,"[""매콤's 국물닭발（무뼈）"", '매운맛 선택(2단계)', '김가루주먹밥']",하 나.. 사장님 진짜 배우신분👍주먹밥에 이렇게 김하고 단무지 많이 주는 곳 본적이 없어요 마요네즈 없이도 닭발에 완전 잘어울림!게다가 닭발에 계란 두개 센스 오지고 지리고 렛잇고찾기힘든 무뼈국물닭발 만드실때부터 알아봤어요리뷰 안남기려다가 너무 맛있는데다가 리뷰뇌물(쿨피스) 받고 입닦을 수 없어서 남깁니다(2단계는 저에게 좀 매워서 쿨피스없이는 힘들어ㅠ),"['https://rev-static.yogiyo.co.kr/b33ab469db379b5709e49dfc56d7147c_tn.jpg', 'https://rev-static.yogiyo.co.kr/ccde29aba0a37685554148b9f390a66a_tn.jpg']"
12,5,"[""매콤's 국물닭발（통뼈）"", '매운맛 선택(2단계)']",맛집입니다...닭발 닭도리탕 다먹어봤는데 진짜맛있어요 여긴 단무지까지 다맛있네요👍 항상맛있게해주셔서 감사합니다ㅎ,['https://rev-static.yogiyo.co.kr/98a267264f4907b007d5ccb3d9141d13_tn.jpg']
