,별점,주문메뉴,리뷰,사진
0,5,"['더블 불고기버거 세트', '사이드 선택（M）(후렌치 후라이-미디엄)', '단품-상하이 치킨 스낵랩Ⓡ', '맥너겟Ⓡ 4조각']",배달 대행 싸가지가참 손가락에 걸어서 콜라를 주고있네요라지세트는 왜주문안되나여양이점점주는거같네요,[]
1,5,['맥스파이시Ⓡ 상하이버거 싱글플러스 팩'],뭐 롯데리아보단 맛있고 버거킹보다는 가격대비 여러가지 맛을 느낄 수 있어요,[]
2,5,"['빅맥Ⓡ', '더블 불고기버거', '단품-상하이 치킨 스낵랩Ⓡ']",맥날은 뭐 과학아이겠싐니꺼..ㅎㅎ,[]
3,5,['빅맥Ⓡ 싱글플러스 팩'],맛있게 먹을 수 있었어요.,[]
4,4,"['에그 불고기 버거', '해피밀-불고기버거', '사이드 선택(후렌치 후라이-스몰)', '해피밀-불고기버거', '사이드 선택(골든 모짜렐라 치즈스틱 2조각)']",바쁘셨는지..장난감하나누락돼서 다시연락드려 뒤늦게받았아요ㅠ다식은 감자튀김..행사해서 그런가봅니다..,[]
5,5,"['더블 불고기버거 세트', '사이드 선택（M）(후렌치 후라이-미디엄)', '단품-상하이 치킨 스낵랩Ⓡ', '맥너겟Ⓡ 4조각']",맛,[]
6,4,"['맥너겟Ⓡ 20조각', '소스 （맥너겟／ 치킨텐더）(스위트칠리 소스', '소스 （맥너겟／ 치킨텐더）(스위트칠리 소스)', '맥스파이시 치킨텐더 8조각', '소스 （맥너겟／ 치킨텐더）(스위트칠리 소스)']",바사바삭한 맛에 반했네요.칠리소스도 달짝ㅉ근한게 맛 좋아요!,[]
7,5,"['빅맥Ⓡ 투게더팩', '음료 선택（M）(환타Ⓡ-미디엄', '소스 （맥너겟／ 치킨텐더）(스위트앤사워 소스)']",gooooooood,[]
8,5,['빅맥Ⓡ 싱글플러스 팩'],빠르고 좋아요! 굿굿굿,[]
9,5,['맥스파이시Ⓡ 상하이버거 싱글플러스 팩'],맛,[]
10,4,['맥스파이시Ⓡ 상하이버거 싱글플러스 팩'],라지사이즈옶어젺나요?,[]
11,5,"['슈슈버거 세트', '사이드 선택（M）(후렌치 후라이-미디엄)', '불고기버거', '애플파이']",맥딜리버리는 튕기기도 하고 선결제가 없는데 요기요 들어와서 좋앙요,[]
12,5,"['빅맥Ⓡ 세트', '사이드 선택（M）(후렌치 후라이-미디엄)', '맥스파이시Ⓡ 상하이버거 세트', '사이드 선택（M）(후렌치 후라이-미디엄)']",배달해서 먹으니.넘 편하고 좋네요,[]
13,5,"['치즈버거', '후렌치 후라이-라지']",편하고 좋아요~ <3,[]
14,1,"['빅맥Ⓡ 투게더팩', '음료 선택（M）(아이스커피（시럽없음）-미디엄', '소스 （맥너겟／ 치킨텐더）(스위트앤사워 소스)']",버거 하나 빠졌어요 ㅜㅜㅜㅜㅜㅜㅜ,[]
15,5,"['그릴드 머쉬룸 버거 세트', '사이드 선택（M）(후렌치 후라이-미디엄)', '해피밀-불고기버거', '사이드 선택(파인애플 후룻컵)']",새로나온 햄버거도맛나네요,[]
16,5,"['골든 에그 치즈버거', '후렌치 후라이-라지', '스프라이트Ⓡ-미디엄']",감자튀김이 따땃하고 맛있어용! 버거는 애매했지만 ㅠㅡㅜ.. 포장이랑 배달을 센스있게 잘 해주셨어용,[]
17,5,"['그릴드 머쉬룸 버거 세트', '사이드 선택（M）(골든 모짜렐라 치즈스틱 2조각)', '더블 1955 버거™ 세트', '사이드 선택（M）(골든 모짜렐라 치즈스틱 2조각)']",정말 맛있어요 역시 버거킹입니다,[]
18,5,"['그릴드 머쉬룸 버거 세트', '사이드 선택（M）(후렌치 후라이-미디엄)', '빅맥Ⓡ 세트', '사이드 선택（M）(후렌치 후라이-미디엄)', '골든 모짜렐라 치즈스틱 4조각']",새로운메뉴 나온거 맛나네요,[]
19,1,"['빅맥Ⓡ 세트', '사이드 선택（M）(골든 모짜렐라 치즈스틱 2조각)', '맥윙™ 세트']",주문한게 다오지않았어요 치즈스틱 어디간거죠??,['https://rev-static.yogiyo.co.kr/60b39b64a118cd97fe582681cb951950_tn.jpg']
20,5,"['에그 불고기 버거 세트', '사이드 선택（M）(후렌치 후라이-미디엄)', '단품-상하이 치킨 스낵랩Ⓡ', '맥너겟Ⓡ 4조각']",맛,[]
21,4,"['빅맥Ⓡ 세트', '사이드 선택（M）(후렌치 후라이-미디엄)', '맥너겟Ⓡ 4조각', '애플파이']",애플파이 맛좀 ㅠㅠ,[]
22,5,"['자두 칠러-라지', '딸기 쉐이크-미디엄', '초코 쉐이크-미디엄']",ㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇ,[]
23,5,"['후렌치 후라이-라지', '오레오 맥플러리Ⓡ', '청포도 칠러-라지']",어나ㅏ나카ㅏ카나니닌,[]
24,5,"['더블 치즈버거 세트', '사이드 선택（M）(후렌치 후라이-미디엄)', '골든 모짜렐라 치즈스틱 4조각']",마씨쩡,[]
