,별점,주문메뉴,리뷰,사진
0,4,"['메콩세트（12pcs）', '양지 쌀국수', '새우연필춘권（6pcs）']",포장 배달 맛 모두 훌륭합니다자주 애용할것 같아요,[]
1,5,"['양지 쌀국수', '매운해물 팟타이', '버팔로봉（4pcs）']",남편이랑 연애때랑 임신했을 때 여기 자주가서 먹었었는데 요기요에서 보니 반가워서 시켜봤어요여전히 맛있어요^^  치킨만 먹다가 배달로 이국음식 먹으니 색다르네요잘 먹었어요~,['https://rev-static.yogiyo.co.kr/8404f2dcdf5c2669c3265c4556c113f1_tn.jpg']
2,5,"['양지 쌀국수', '매운해산물볶음밥']",배달진짜 빨라요. 쌀국수를 배달해먹을수 있다니 너무 좋아요 배달도 빨라서 놀랐구요 ㅎㅎ,[]
3,4,"['양지 쌀국수', '팟타이', '짜조（4cut）']",배달 짱 빠르구요팟타이 맛납니다짜조는 가격 대비 양은 적은듯 하지만 맛있네요,[]
4,3,"['톰얌 쌀국수', '매운해산물볶음밥', '꼬이꾸온（4cut）']",두 번 시켜먹었는데 매번 고수 상태가 별로네요.벌레나오고 빨간점이랑 까맣게 짓무르고...식사시간 아닐때 시키니 배달은 빠르더군요. 맛도 좋습니다. 근데 고이꾸온은 매장마다 속재료가 다른가요? 타지역에서 메콩타이 줄기차게 먹으러 다녔는데 너무 달라서...,"['https://rev-static.yogiyo.co.kr/a9b997acc8d6bac66c0eb6d2075ef8f2_tn.jpg', 'https://rev-static.yogiyo.co.kr/2dace0ceab6a766a191a88e729abaadb_tn.jpg', 'https://rev-static.yogiyo.co.kr/fd5667c360efb7bdd082399f642a8de4_tn.jpg']"
5,5,"['양지 쌀국수', '매운소고기 쌀국수', '에그롤네트（6pcs）']",처음주문했는데 맛있었어요또시켜먹을게요~,[]
6,3,"['콤보 쌀국수', '톰얌 쌀국수', '스파이시 윙봉 세트']","생숙주, 고수추가, 단무지 제외 등을 일부러 글로 요청했으나 아예 확인 안 하고 30분만에 신속히 배달해 주심. 이후 전화로 상황설명했더니 다시 오겠다고 함. 2인이 시켰는데 한 명은 추가 배달 오는 사이에 다 먹고 더 배고파 했던 한 명은 30분 더 기다려서 먹음. 사장님이 미안해하시고 쌀국수 1인분 더 주심. 맛과 서비스는 만족스러우나 처음에 잘 가져다주셨다면 더 좋았을 것임.",[]
7,5,"['양지 쌀국수', '팟타이', '매운해산물볶음밥']","엄마께서 약속 나가신 저녁, 아빠께서 색다른 메뉴를 드시고 싶다고 하셔서 주문했어요! 저는 양지쌀국수L, 매운 해산물 볶음밥, 팟타이를 주문했어요! 양은 저와 아빠,남동생 성인 3명에서 먹기 딱 좋았습니다! 팟타이에서 나는 버섯향이 너무 좋았고, 양지가 무척 부드럽고 입에서 녹아요! 보내주신 양파피클과 매운 소스가 최고의 조합이더라구요. 반찬도 맛있어서 깜짝 놀랐어요! 매운 해산물 볶음밥이 많이 자극적이지 않을까 걱정했는데 고소하면서 매운맛이 올라와 정말 맛있었어요! 다른 메뉴들도 기대되네요^^ 매장에도 친구들과 방문해야겠어요!!","['https://rev-static.yogiyo.co.kr/fdf95562d24fe3ca7cc02450b1f8fc70_tn.jpg', 'https://rev-static.yogiyo.co.kr/b0a135960dd15a3d7cd2c549fac15dc4_tn.jpg', 'https://rev-static.yogiyo.co.kr/1953497e026be8ebb736863c0aca8936_tn.jpg']"
8,5,"['톰얌 쌀국수', '팟타이', '나시고렝', 'ARK생맥주 500cc']",배달진짜 빠르고 똠양꿈중독,[]
9,5,"['톰얌 쌀국수', '나시고렝']",팟타이도 넘맛잇도고 웬만한 식당가서먹는거랑 다르지도 않고 짱!,[]
10,3,"['양지 쌀국수', '차돌 쌀국수', '스파이시 포테이토', '환타（파인애플） 355ml']",환타를 시켰는데 안왔습니다..,[]
11,5,"['차돌 쌀국수', '미고렝']",친절하시고 맛있고 좋아요 ㅎㅎ,[]
12,4,"['톰얌 쌀국수', '매운해물 팟타이', '나시고렝', '에그롤네트（6pcs）', '콜라 355ml', '스프라이트 355ml']",언제먹어도 굿!!!!,[]
13,4,"['치킨 팟타이', '나시고렝', '꼬이꾸온（4cut）']","주문한 지 30분 쪼금 지나서 예상시간 문자 보다 훨씬 빠르게 왔습니다. 치킨팟타이, 나시고렝 모두 따뜻한 상태로 왔습니다. 고이꾸온도 적당한 새콤달콤한 맛이었고, 치킨팟타이는 상당히 고기가 풍성해서 놀랐습니다. 배달해서 오는 만큼 치킨팟타이는 드실 때 위아래 잘섞이게 비벼먹는 게 좋을 것 같아요. 다만 닭고기 특유의 육향이 부담스러운 분이라면 치킨팟타이 보다 그냥 팟타이나 매운해물팟타이를 드시는 게 더 좋을 것 같습니다.",['https://rev-static.yogiyo.co.kr/e6d11ecc3c58e4aec0e137d866dd2876_tn.jpg']
14,4,"['소고기 쌀국수', '매운해산물볶음밥', '꼬이꾸온（4cut）']",........ .......     .   . . . .,"['https://rev-static.yogiyo.co.kr/ab6bfda6a5afc76b3b26ec6cb201e35f_tn.jpg', 'https://rev-static.yogiyo.co.kr/9551f9468a4f0bd04fa6be0feb38eca3_tn.jpg', 'https://rev-static.yogiyo.co.kr/8dd2007322b15d59c11259e927f1b215_tn.jpg']"
15,5,"['매운소고기 쌀국수', '파인애플볶음밥', '에그롤네트（6pcs）']",맛있어서 자주 시켜먹고있네요,[]
16,5,"['콤보 쌀국수', '톰얌 쌀국수', '팟타이', '나시고렝']",너무 맛있었요~ 뜨끈뜨끈하게 배달와서 금방 다 먹었습니다 똠얌쌀국수는 정말 최고!! 술 마신 다음 날이면 꼭 생각 날꺼같아요~!!,[]
17,3,"['양지 쌀국수', '새우완탕쌀국수（매운맛）', '꼬이꾸온（4cut）']",맛괜찮았어요 양도많고^^,[]
18,5,"['팟타이', '나시고렝', '꼬이꾸온（4cut）']",배달도 빠르고 맛도 맛있었습니다~~,['https://rev-static.yogiyo.co.kr/9b0c2926d7fcc3bd7f6d2c35b9a9e2ff_tn.jpg']
19,1,"['소고기 쌀국수', '나시고렝', '버팔로봉（4pcs）']",2번 주문했었는데 왜 주문했을까하는 후회만 남음,[]
20,5,"['톰얌 쌀국수', '해산물볶음밥', '꼬이꾸온（4cut）']",톰얌쌀국수 생각날 때마다 가서 먹는 곳인데 이번엔 방문하기가 여의치 않아 배달을 부탁드렸어요~ 톰얌쌀국수도 해산물볶음밥도 꼬이꾸온도 너무 맛있었어요^^,[]
21,2,"['양지 쌀국수', '파인애플볶음밥', '짜조（6cut）']","동탄 센팍쪽 메콩타이에서만 먹어봤는데 영통점 배달된다해서 반가워서 시켰어요~ 쌀국수 맛은 쏘쏘, 양 많은데 좀 물리고 짜조는 느끼... 볶음밥만 아이가 잘먹긴 했네요~ 직접가서 먹는게 나은거 같아요~ 암튼 가격대비 썩 맘에 들진 않아서 다시 시킬꺼 같진 않아요.",[]
