,별점,주문메뉴,리뷰,사진
0,5,"['반반치킨', '마늘치킨 반)']",배송이빨라서너무좋네요❤맛있게잘먹겠습니당,['https://rev-static.yogiyo.co.kr/d05b46af5c8456caac78886252cfa511_tn.jpg']
1,4,['양념치킨'],맛은있습니다 그런데 평소닭먹던양이아니에요ㅠ몇몇맛있는부위가 빠진것같아요..하루이틀시켜먹는닭이아니니..그부위를찾았는데ㅠㅠ 실수로빠뜨리신거겠죠..담엔더신경써주세요ㅠㅠ,[]
2,5,"['순살세트', '순살선택 2(순살후라이드)']",잘 먹었습니다⃔ 맛있어요!,[]
3,5,"['반반치킨', '양념치킨 반)']","총알배송, 치킨 잇츠굳",[]
4,5,['양념치킨'],존맛존맛존맛존맛존맛,[]
5,5,['양념치킨'],양념치킨 맛있어요. 잘먹었습니다^^,[]
6,5,"['투마리세트', '치킨선택 2(마늘치킨)', '사이다 1.25L 변경', '소주', '생맥주 1000cc']",맛있게 잘먹없습니다,[]
7,5,"['반반치킨', '양념치킨 반)']",진짜 맛있어요!!!,[]
8,5,['순살골드치킨（간장）'],잘먹었습니다 냠냠~,['https://rev-static.yogiyo.co.kr/707350f6515415de135dcd47da7db2db_tn.jpg']
9,5,"['반반치킨', '땡초치킨 반)']",배달도 진짜 빠르고..!! 정말 맛있었어요 ㅠㅠ 잘 먹었습니다 ㅎㅎ,[]
10,4,"['반반치킨', '양념치킨 반)']",오랜만에 먹어보는데 맛있네요,[]
11,5,['순살양념치킨'],맛있고.. 빠르고.. 좋아요,[]
12,5,"['투마리세트', '치킨선택 2(후라이드)']",뼈닭 두마리 세트. 순하고 담백하니 맛있네요.닭 크기가 조금 작긴 하네요,[]
13,5,"['투마리세트', '치킨선택 2(후라이드)']",맛있게 먹었네요~ 바사삭,[]
14,4,"['투마리세트', '치킨선택 2(땡초치킨)']",땡초치킨 맛있게 매워서 좋았어요. 치즈치킨은 살짝 짠 맛이 있어서 아쉬웠어요. 잘 먹었습니다.,['https://rev-static.yogiyo.co.kr/1b3a0806ce374328f121252d989725c2_tn.jpg']
15,4,"['반반치킨', '골드（간장） 반)']",맛있어요 후라이드 간장 적당히,['https://rev-static.yogiyo.co.kr/44393c2d3602246cea1213a1a45567af_tn.jpg']
16,1,['순살골드치킨（간장）'],순살간장치킨시켰거든요...배달올때부터 소스국물이 줄줄...그것도괜찮아요.....열어고니 치킨이 물에젖은것처럼 되있더라구요...그래도 괜찮았어요 근데...치킨살이 퍽살인거에요퍽살먹기 싫어서 순살시킨건데...할인받아샀지만 할인안받고제대로된 다른집 치킨먹을걸 그랬어요3천원아끼려다가 망했내요,[]
