,별점,주문메뉴,리뷰,사진
0,5,"['국물떡볶이', '로제파스타', '오무라이스', '김치필라프']","파스타의 양에 깜짝 놀랐습니다.같이 보내주신 귤, 빵 등등 세심하게 신경써서 보내주셔서 홈파티때 이용하면 너무 좋을 듯 합니다*^^*",[]
1,5,"['국물떡볶이', '크림파스타', '김치필라프']",크림파스타가 좀 더 걸죽했으면 하는 아쉬움이 살짝 있었습니다. 간이 약간 진했어용--;그렇지만 역시 떡뽁이와 밥은 맛있었습시다^^,[]
2,4,"['크림떡볶이', '초코라떼', '크로와상 샌드위치（크래미or치즈）', '건포도스콘']",자주 가던 곳인데 배달도 되길래 시켜봤어요~ 양 푸짐하고 맛도 맛있어요ㅎㅎ 아이때문에 커피대신 초코라떼로 시켰는데 엄청 달달구리 하네요ㅠㅋㅋ 우유 엄청 타서 먹었어요. 이건 개취니까~ 달달한거 좋아하시는 분은 좋아하실듯,[]
3,5,"['크림떡볶이', '크림파스타']",와.. 진짜 양을 너무 푸짐하게 주셔요 맛도좋고 ㅠㅠㅠ 가성비는 짱인듯 👍👍👍,['https://rev-static.yogiyo.co.kr/8776ba5f8b3f6928b2fb368fa2e6fe40_tn.jpg']
4,4,"['오무라이스', '김치필라프', '건포도스콘']",항상 가서 먹는데 시키니까 양이 더욱 업그레이드ㅎㅎ서비스 감자튀김까지 넘나 잘 먹었어요^^,[]
5,5,"['로제파스타', '리코타치즈샐러드（수제치즈）']",맛있습니다 로제파스타 양이많다고는 리뷰로봤지만 너무 너무많아요 조금 줄여서주셔도될듯.. 아 빵 서비스도많이주셔서 맛있게먹었어요 사장님 인심이 후하세요,['https://rev-static.yogiyo.co.kr/b8e277e21f84369402ca7d70b065feb0_tn.jpg']
6,2,"['크림파스타', '김치필라프']",크림파스타가 너무 충격적인 맛이에요...ㅜ양은 진짜 많고 배달도 빨리왔는대우유에 파스타면 담궈놓은거같네요....,['https://rev-static.yogiyo.co.kr/13f1d88dd12b4dbfc4e8e54ff777417a_tn.jpg']
7,5,"['자몽에이드', '봉골레파스타']",너무 맛있어요ㅎㅎㅎ,['https://rev-static.yogiyo.co.kr/cc814cb9ea0cc5f19958491a58ca52fc_tn.jpg']
8,5,"['망고 스무디', '로제파스타', '리코타치즈샐러드（수제치즈）']",파스타 양이 진짜 대박적이더라고요ㅋㅋㅋㅋㅋ먹다가 남겼어욬ㅋㅋㅋ 근데 진짜 맛있었어요! 샐러드 치즈도 진짜 맛있었고 스무디도 진짜 너무 맛있었어요! 감사합니다!,['https://rev-static.yogiyo.co.kr/96e49a9baa2ee142f4050bc7e13421c4_tn.jpg']
9,5,"['녹차라떼', '로제파스타']",여기 믿고 시키셔도 됩니다 파스타 양 맛 미쳤구요 치킨무 센스하며 빵도 주시고...그린티라떼 맛있숩니다 다음주에 장기출장가서 당분간은 못사먹지만 돌아오면 바로 주문할랍니다,[]
10,5,"['국물떡볶이', '로제파스타']",맛있게 잘먹었습니다,['https://rev-static.yogiyo.co.kr/cd615338889d7728a5e849676fda7c3b_tn.jpg']
11,5,"['크림떡볶이', '로제파스타']",너무 맛있어요양도 엄청 많고요 바로 다 먹어버려서 사진은 없어요ㅠㅠ파스타 면이 조금 덜 익어서 별 하나는 뺐어요!그래도 맛있게 잘 먹었습니다,[]
12,5,"['로제파스타', '크로와상 샌드위치（크래미or치즈）']",양도푸짐하고 맛있어요사장님 샌스로  모닝빵까지넘 푸짐하게 잘먹었습니다~^^,[]
13,5,"['국물떡볶이', '크림파스타', '초코쿠키']",먹다가 아차 하고 찍었어요너무 맛있어요~!파스타 조금 걸죽하게 해달라고 요청사항에 적었는데와우 넘 맛있어요ㅠㅠ,['https://rev-static.yogiyo.co.kr/145e51ec3f4dcc245ed10f029a8c25a7_tn.jpg']
14,5,"['크림떡볶이', '봉골레파스타', '로제파스타', '리코타치즈샐러드（수제치즈）']",리뷰 보고 양이 많을거라 생각했는데 생각보다 더 많네요ㅎㅎ맛도있고요~~저녁까지 먹겠어요~크림떡볶이랑 리코타 치즈샐러드가 젤 맛있구요 봉골레랑 로제는 조금 짜긴했지만 맛있었어요!! 배달도 이정도면 빠른편이고 담에 파스타 먹고싶을때 또 주문할게요!!,['https://rev-static.yogiyo.co.kr/396046b2b289856bca0129ece0088ade_tn.jpg']
15,5,"['국물떡볶이', '크림파스타', '초코쿠키']",처음에 양보고 진짜 깜짝놀랐어요...크림스파게티 양이 1인분이 아닌 거의 여자 3명이서 먹어도 충분한양으로와서...ㅠㅠㅠ맛도 너무 맛있어서 점심에 시켜서 한번먹고 저녁에 또한번먹고.. 냉장고에 넣어뒀다 아침에 먹었는데도 남아서 결국 그건...ㅠㅠㅠ(제가 불어도 잘먹는 사람이라..)다음엔 로제나 봉골레로 시켜볼게요!아 그리고 떡볶이도 정말 맛있었어요 왠만한 떡볶이집보다 훨맛났어요 ㅋㅋㅋㅋ,[]
16,5,"['봉골레파스타', '오무라이스']",양도 많고 진짜 맛있습니다 ~~!!,[]
17,5,"['토마토모짜렐라파니니', '김치필라프']",대박대박 배달 받고 엄청 놀랐어요‼️ 서비스 정말 푸짐해서 감동🙊 김치필라프는 조금 싱거웠는데 파니니가 정말정말 쫀맛탱이었어요💘 이번 주문으로 처음 알게 됐는데 앞으로 매주 시켜먹을게요 잘 먹었습니당 번창하세요:),['https://rev-static.yogiyo.co.kr/5316004cf868b9d0753755afe50e81da_tn.jpg']
