,별점,주문메뉴,리뷰,사진
0,5,"['별미 부대찌개', '추가 선택(햄 추가)']",자주이용하던곳이었는데 요기요생겨서 바로 주문했어요~! 역시 맛있네요 ㅎㅎ 배불리 잘먹었습니다,[]
1,4,"['별미 부대찌개', '추가 선택(당면 추가)']",친오빠가 부대찌개를 많이 좋아해서 자주 먹는 편인데이 집 부대찌개 먹자마자 맛있다고 매장 가서 먹어보고싶다고 했어요 ! 육수도 라면사리 넣을 때 더 넣고도 남을 정도로 많이 주시고 맛있었어요 또 제가 당면을 좋아해서 추가 했는데  양도 많고 👍 비오는 날 배달도 빨리 해주셔서 감사합니다 아 ! 혹시 완두콩이랑 옥수수는 말하면 빼주시나요? 먹다보니 완두콩이 있어서 놀랐는데 찌개 맛에는 영향이 미치지는 않아 식감 때문에 넣는건가 했어요 🙃,[]
2,5,['별미 부대찌개'],정말 맛있었어요. 혼자 2인분 다먹으ㅁ..,[]
3,4,"['별미 부대찌개', '추가 선택(햄 추가)']",파가 마니들어가서 덜느끼한거같아요.맛있게 잘먹었습니당~^^,[]
4,5,"['별미 부대찌개', '추가 선택(공기밥 추가)', '공기밥']",맛있어여 양도많고 최고에여,[]
5,5,"['별미 부대찌개', '추가 선택(당면 추가)']",맛잇어요. will order again~,[]
6,5,['별미 부대찌개'],맛잇어요~푸짐하고 깔끔한포장도 좋앗어요 또시켜먹을게용,[]
7,5,"['별미 부대찌개', '공기밥']",두번째먹엇는데 담백하고 맛잇어요 또먹을게용♡,[]
8,5,['별미 부대찌개'],매장에서 먹을때와 같아서 좋네요^^사장님께서 직접 와주셔서 더 신뢰가 가네요^^,[]
9,5,['별미 부대찌개'],맛있고 배달도 빠름,[]
10,3,"['별미 부대찌개', '공기밥']",고기.. 햄 등이 좀 부족한 느낌이라서 집에 있는거 더 넣어서 먹었어요,[]
11,5,['별미 부대찌개'],맛있게 싹 다 먹었습니다,['https://rev-static.yogiyo.co.kr/96ec1bb3617e4c0f5fbeb1bb2920f6d4_tn.jpg']
12,5,['왕낙지부대찌개'],양이 많아 두번에 걸쳐 먹었어요.,[]
13,5,['별미 부대찌개'],너무 맛있게 잘 먹었습니다.김치없는 부대찌개인데 깊은 맛이 아주 훌륭합니다~!!,[]
14,5,"['별미 부대찌개', '추가 선택(소세지 추', '햄 추가)', '공기밥']",양도 많고 배달 무척빠르네요,[]
15,5,['별미 부대찌개'],회사다닐적에 많이 먹었었는데~ 혹시나하고 찾아보니...이렇게 배달되니 넘넘 좋아요~ 진한사골국물에 깊은맛과 알찬 건더기들 밥도둑이 따로없어용^^,['https://rev-static.yogiyo.co.kr/c2477f06472f94970b792df900d6e881_tn.jpg']
16,5,['소불고기부대찌개'],진짜 맛있었어요!!!,[]
17,5,['별미 부대찌개'],맛있어요 기존 부대찌개들보다 속이편하요!그리고 배달이진~짜빨라요!!!!!!잘먹겠습니다!!!,"['https://rev-static.yogiyo.co.kr/0b3dab734e61b31790b7b7d5e81060d7_tn.jpg', 'https://rev-static.yogiyo.co.kr/b4882a40e7b62455e2e45564a0d9c53e_tn.jpg', 'https://rev-static.yogiyo.co.kr/0135ff972352fb473a3516b459415932_tn.jpg']"
18,3,['별미 부대찌개'],첨 시켰는데 입에 맞지 않아서 비추천 합니다. 완두콩 캔옥수수는 부대찌개에 어울리지 않는듯 하고 국물도 느끼하고 두번은 시키지 않을거 같네요,[]
19,5,"['별미 부대찌개', '추가 선택(공기밥 추가)']",파랑 양파가 많아.. 전 다른 부대찌개집들 보다 더 맛났어요~~!!! 근데 배달이 늦어서ㅜㅜ 그게 좀 아쉽지만.. 맛으로 커버 되네요~~^^,[]
20,5,['별미 부대찌개'],진짜 맛있습니다 묵직하면서 깊은맛,[]
21,5,['별미 부대찌개'],정말 맛있어요 또 시켜 먹을게요,[]
22,5,['별미 부대찌개'],맛있게 잘먹었어요~배달도 빠르게 해주시고^^조금 아쉬운게 있다면 반찬이 없다는점?,"['https://rev-static.yogiyo.co.kr/a5e1dacdea4ff1844a2f32ac4239bb93_tn.jpg', 'https://rev-static.yogiyo.co.kr/2fa6affa745d10f2a20183bcdf5fb8cf_tn.jpg', 'https://rev-static.yogiyo.co.kr/64a32dad76ce9a891edc8ad7988d0055_tn.jpg']"
23,3,['별미 부대찌개'],제입맛에는 아니네요ㅠ 맛없어요,['https://rev-static.yogiyo.co.kr/d2c4e547707e4dfa95bac9450111f4cf_tn.jpg']
24,5,['별미 부대찌개'],배달 엄청 빠르고 맛있습니다,['https://rev-static.yogiyo.co.kr/f707a63c710a7703cc9c1aa75d59a93a_tn.jpg']
25,5,['별미 부대찌개'],배달 빠르고 양도 많고 맛있어요,['https://rev-static.yogiyo.co.kr/cb499ce9b1b4fc5b9f68b8c831258f74_tn.jpg']
26,5,['별미 부대찌개'],맛도아주좋구요ㅡ포장도잘되어있어서 캠핑갈때가도아주좋을것같아요,[]
27,5,['별미 부대찌개'],배달이 생각보다 일찍왔고 햄이 좀 적은것같지만 그 외의 것 특히 파가 많아서 맛있었습니다. 앞으로 부대찌개 먹고싶을 때마다 여기서 시킬 것 같습니다,[]
28,4,['별미 부대찌개'],모박사 부대찌개를 좋아해서 가끔 포장해서먹는데 배달메뉴에는 전골만 있네요전골도 맛있었습니다~~^^,[]
29,5,['별미 부대찌개'],맛있어요^^햄을 좋아해서 집에 있는거 추가해서 먹었어요~~~ 신랑이 2인분인데 양이 많다고ㅋㅋ맛난 부대찌개 잘먹었습니다^^,[]
30,5,"['별미 부대찌개', '공기밥']",양 엄청 많아요.. 맛도 좋구요 ㅎㅎ,[]
31,5,['별미 부대찌개'],양도 많고 맛있어요 햄도 여러종류 들어있어서 맛있어요,['https://rev-static.yogiyo.co.kr/19486100b3f8c157eea819f84984491c_tn.jpg']
32,5,"['별미 부대찌개', '추가 선택(소세지 추', '햄 추가)', '공기밥']",자주 시켜먹는 집입니다! 정말 맛있어요,[]
