,별점,주문메뉴,리뷰,사진
0,5,"['통오징어세트（통오징어2人＋김말이2개＋만두2개＋계란＋유부＋볶음밥＋쿨피스）', '사이다']",오징어가 통으로 들어 있어요!!! 유부랑 양배추도 많이 들어 있고요~^^ 잘 먹었습니다,['https://rev-static.yogiyo.co.kr/55d99226f556594559b540ddd1c1f2e4_tn.jpg']
1,5,['차돌세트（차돌2人＋김말이2개＋만두2개＋계란＋유부＋볶음밥＋쿨피스）'],존맛탱존맛탱존맛탱존맛탱개존맛,[]
2,5,"['차돌떡볶이', '추가 선택(만두사리 추', '김말이 2개 추가)']",넘맛있어요ㅜㅜ먹느라 사진도 못찍었네요,[]
3,5,"['차돌세트（차돌2人＋김말이2개＋만두2개＋계란＋유부＋볶음밥＋쿨피스）', '추가 선택(만두사리 추가)']",신랑도도좋아하고요너무맛있엉용,[]
4,5,"['차돌떡볶이', '추가 선택(삶은계란 추', '치즈사리 추가)']",매장에선 맛있지만 너~무 매웠는데 집에 온거는 적당히 맵고 맛있었어요. 재주문 메뉴추가,[]
5,5,"['차돌세트（차돌2人＋김말이2개＋만두2개＋계란＋유부＋볶음밥＋쿨피스）', '추가 선택(당면사리 추가)', '수제돈까스']",돈까스도 맜있고 떡볶이도 양겁나많고 맜있어요 저는 추천합니다!,['https://rev-static.yogiyo.co.kr/6026457c549b4fa9f1a6f461b45d56b5_tn.jpg']
6,5,"['차돌떡볶이', '추가 선택(볶음밥 추가)']",모떡 역시나 맛있네요 처음 배달시켜서 먹어보는데 비조리로 하니 불지도 않고 좋네요,[]
7,4,['차돌세트（차돌2人＋김말이2개＋만두2개＋계란＋유부＋볶음밥＋쿨피스）'],맛있게 잘 먹었습니다..,[]
8,5,"['차돌떡볶이', '떡사리']",조리로 먹어도 불지않고 맛나요~젤 좋아하는 떡볶이 모범떡볶이,"['https://rev-static.yogiyo.co.kr/b07bcd314524911557d73b9b33b5d5f2_tn.jpg', 'https://rev-static.yogiyo.co.kr/0da6aecf2e3759e9a099f3d6e49dffad_tn.jpg']"
9,5,['차돌세트（차돌2人＋김말이2개＋만두2개＋계란＋유부＋볶음밥＋쿨피스）'],역시 모범떡볶이 양도 많고 아주 맛있어요!,[]
10,5,"['차돌세트（차돌2人＋김말이2개＋만두2개＋계란＋유부＋볶음밥＋쿨피스）', '추가 선택(볶음밥 추가)']",엄청 맛있음 정말로다가 굿굿 👍👍,[]
11,5,"['차돌떡볶이', '당면모듬사리', '김말이（2개）']",맛있게 먹었어요 너무 맵지도 않고 즉석떡볶이 먹으려고 비조리로 주문했는데 포장도 튼튼하게 잘 오고 단무지도 넉넉하게 주셨네요 ㅎㅎ 잘먹었습니다,['https://rev-static.yogiyo.co.kr/086217ec1432b05aee5e819d86d1d669_tn.jpg']
12,5,"['통오징어떡볶이', '추가 선택(오뎅사리 추가)', '수제돈까스']",맛있었어요 중독성 있는듯^^,[]
13,5,"['차돌떡볶이', '추가 선택(오뎅사리 추가)']",와~진짜맛있어요^^차돌이도 마니들어있고 맵기도적당하고 완전반했어요떡도 제스탈입니다~손글씨도 감동입니다,['https://rev-static.yogiyo.co.kr/cdc14a6918dc10df901b558e75850fbb_tn.jpg']
14,5,"['통오징어떡볶이', '추가 선택(치즈사리 추가)']",두번째 주문이에요 너무 맛잇음 그냥 드세여 치즈 추가해서 드세용,[]
15,5,"['차돌떡볶이', '추가 선택(떡사리 추', '라면사리 추가)']",여기 정말 떡볶이 맛집이에요!,[]
16,4,"['차돌떡볶이', '김말이（2개）']",맛있어요~~^^잘먹었습니다,[]
17,5,"['차돌세트（차돌2人＋김말이2개＋만두2개＋계란＋유부＋볶음밥＋쿨피스）', '동글이주먹밥', '콜라']",완전 끝내줍니다. 완전 만족해요,[]
18,5,"['차돌떡볶이', '추가 선택(라면사리 추', '삶은계란 추', '김말이 2개 추가)', '볶음밥', '김말이（2개）']",항상 떡볶이가 먹고싶으면 여기서만 시켜먹습니다.너무 맛있어요💖💖,[]
19,5,"['차돌세트（차돌2人＋김말이2개＋만두2개＋계란＋유부＋볶음밥＋쿨피스）', '추가 선택(김말이 2개 추가)', '콜라']",매번 잘먹습니다!!!,[]
20,5,['차돌세트（차돌2人＋김말이2개＋만두2개＋계란＋유부＋볶음밥＋쿨피스）'],맨날 가서만 먹었는데 배달도 맛있네요ㅎ쿨피스 큰거 주셔서 넉넉하게 잘 먹었습니다.,['https://rev-static.yogiyo.co.kr/ea6200e413bcfa58d4e7d74b2323da27_tn.jpg']
21,5,"['차돌세트（차돌2人＋김말이2개＋만두2개＋계란＋유부＋볶음밥＋쿨피스）', '수제돈까스']","양이 적다는 리뷰가 많아서 돈까스까지 시켰는데 양이 많아서 둘이서 두끼를 먹었습니다. 쿨피스도 큰거라 좋았고 간단한 샐러드, 피클, 단무지에 손글씨 메모와 막대사탕 두개까지! 차돌도 너무 많이 들어서 첫 한끼에는 고기로만 배채운거 같아요. 맛도 무척 좋았어요. 잘 먹었습니다!",[]
22,5,"['차돌세트（차돌2人＋김말이2개＋만두2개＋계란＋유부＋볶음밥＋쿨피스）', '추가 선택(라면사리 추', '만두사리 추가)']",손글씨랑사탕으로 일단 기분이 좋았습니다.배가 너무 부르고 음료수가 커서 좋았어요,[]
23,5,"['차돌세트（차돌2人＋김말이2개＋만두2개＋계란＋유부＋볶음밥＋쿨피스）', '추가 선택(떡사리 추', '라면사리 추', '볶음밥 추가)']",잘 먹었습니다 :D,[]
24,5,"['차돌세트（차돌2人＋김말이2개＋만두2개＋계란＋유부＋볶음밥＋쿨피스）', '추가 선택(당면사리 추가)']",며칠전에시켯는데 이제쓰네요ㅜ나혜석거리 떡볶이집 가본데중 유일하게 만족했던 곳이라 어플첫주문인데 배달은 혹시나했는데 역시 진짜맛있어요..배달도 같은차돌시켜도  여기가 토핑 제일많은듯/ 떡볶이는 진짜 여기만한데 찾기힘든것같아요,[]
25,5,"['차돌세트（차돌2人＋김말이2개＋만두2개＋계란＋유부＋볶음밥＋쿨피스）', '동글이주먹밥', '쿨피스']",맛있어요 배달도빠르고 굿입니다요,[]
26,4,"['차돌세트（차돌2人＋김말이2개＋만두2개＋계란＋유부＋볶음밥＋쿨피스）', '추가 선택(김말이 2개 추가)']",다 좋은데 쿨피스 유통기한이 너무 짧네요.. 오늘 보니 어제까지였어요.. 쿨피스 유통기한이 일주일 정돈데 2일남은걸 주셨네요..,[]
27,5,['차돌세트（차돌2人＋김말이2개＋만두2개＋계란＋유부＋볶음밥＋쿨피스）'],맛있었어요. 사진은 못찍었네용ㅜ,[]
