,별점,주문메뉴,리뷰,사진
0,5,"['부대찌개 도시락', '제육볶음 도시락']",저녁차리기 귀찮아서 시켜봤는데 엄마가 해준 집밥느낌나고 맛있어요 :-) 새로생겨서 시켜봤는데 포장도 깔끔하네요부대찌개랑 제육 둘다 맛이랑 양이많아요무엇보다 부대찌개는 2인분은 정도되는 거 같아요 남겨서 내일 아침이 먹어도 될듯한? 이런 초심잃지마시구 계속번창하셨으면 좋겠네요.,"['https://rev-static.yogiyo.co.kr/39d1992a38b250019b938c1e7fb93caf_tn.jpg', 'https://rev-static.yogiyo.co.kr/04e4e9ef3ac89705fad66f0dd051affa_tn.jpg', 'https://rev-static.yogiyo.co.kr/104630337034c63d646cdc2da778e7df_tn.jpg']"
1,5,"['제육볶음 도시락', '김치두루치기 도시락']",정말 맛있고 계란후라이 서비스 정말 좋네요 매우 만족!,[]
2,5,"['소불고기 도시락', '김치두루치기 도시락']",점심  잘먹었습니다,[]
3,5,"['제육볶음 도시락', '고등어구이정식 도시락']",정말 맛있게 먹었네요ᆢ밑반찬으로 나온 김치볶음은 정말 맛있게ㅋㅋ계란후라이에ᆢ 정말 배부르고 맛나게 먹었습니다앞으로 자주 시켜서 먹어야겠네요,[]
4,5,"['제육볶음 도시락', '고등어구이정식 도시락']",배달도 빠르고 간도 적당해서 편하게 맛있게 먹었습니다.서비스로 계란후라이도 주시고 자주 시켜 먹을것 같아요,[]
5,5,"['소불고기 도시락', '김치두루치기 도시락']",맛있습니다.. 후라이 서비스도 감사하구요..ㅎ 근대 배달하다 뚜껑이 열렸나 너무 많이 흐른듯요. 뚜껑에 고무줄이라도 해서 배달하는게 좋을듯합니다. 여튼 맛은 있어요~~,"['https://rev-static.yogiyo.co.kr/435f7588e60c006e3fb1f7eb722c1421_tn.jpg', 'https://rev-static.yogiyo.co.kr/59353c61ca35309a9165bb57943ca0fc_tn.jpg']"
6,4,"['제육볶음 도시락', '오징어볶음 도시락']",개인적 으로 맛있게 먹었네요.그러나 저 같이 대식가를 위해 곱배기 가 있었음하는 아쉬움이 듬..,[]
7,5,"['제육볶음 도시락', '소불고기 도시락']",우선 친절과 신속배달에 높은 점수를 드립니다.그냥 툭 주는 배달이 아니고 인사도 잘해주십니다.배달은 문자 대비 25분 일찍 도착해 입속까지 식어가는 온도치를 정확히 예상해 마지막 한입까지 따뜻했습니다.사진은 기름기많은 제 손이 앵글을 지나쳐 화소가 조금 저하됐으니 참고. 실제 때깔은 딱 침 두번 삼킬정도입니다. 맛은 혀에서 녹을정도는 아니지만 반찬까지 고루고루 정성의 맛이 느껴졌습니다.그리고 저를 생각하시면서 만든 계란후라이는 집나간 며느리가 문을 뻥차고 왔습니다.더중요한건!!!! 앗 글자제한으로 직접 드셔보시기 바랍니다.,"['https://rev-static.yogiyo.co.kr/ba4d4705e7b061b5f6264d45fac51639_tn.jpg', 'https://rev-static.yogiyo.co.kr/2dbae5df40e0d8fbc0bc7189c80b23b9_tn.jpg', 'https://rev-static.yogiyo.co.kr/d322dea2e95578e233f61ea6b4361974_tn.jpg']"
8,5,"['소불고기 도시락', '오징어볶음 도시락']",도시락 시켜먹은곳중에 제일 혜자입니다. 계란후라이 서비스 잘먹을께요.,['https://rev-static.yogiyo.co.kr/102e674cd2ad53c3f946235d7080b8be_tn.jpg']
9,5,"['돈육김치찌개 도시락', '김치두루치기 도시락', '수제등심돈까스 도시락']",잘먹겠습니다. 좋네요.,"['https://rev-static.yogiyo.co.kr/c69f36c727977928e63ebfa299849fa8_tn.jpg', 'https://rev-static.yogiyo.co.kr/6599e55c3ee208ef5f100b38dddccb4d_tn.jpg']"
10,4,"['제육볶음 도시락', '고등어구이정식 도시락']",양 퓨짐하고 깔끔하게 잘 오네요~~ 계란 후라이 서비스는 없어졌나봐요. 잘 먹었습니다.,"['https://rev-static.yogiyo.co.kr/d1dcd02801ebb1f7e4dfc98493504706_tn.jpg', 'https://rev-static.yogiyo.co.kr/443cb37cc736ef873a272b1d7292c733_tn.jpg']"
11,5,"['제육볶음 도시락', '수제등심돈까스 도시락']",돈까스랑 제육도시락 맛 모두 만족합니다.ㅎ 배달시간도 예상시간에 비해서 오래걸리지 않았구요. 계란후라이도 반숙 서비스로 가져다주셔서 맛있게 먹었습니다.ㅎ 담에 또 주문하겠습니당ㅎ,[]
12,5,"['소불고기 도시락', '김치두루치기 도시락']",사소한 것부터 깔끔한 포장에 맛도 넘 깔끔합니다.사장님에 정성이 보이네요.배달음식이여도 대우 받는 느낌입니다.고추장 찌게도 꼭 먹어보고 싶네요.번창하시길^^후라이도.써비스 잘 받았습니다.,"['https://rev-static.yogiyo.co.kr/8dd220055845640e68e53ccb1a5db2f6_tn.jpg', 'https://rev-static.yogiyo.co.kr/2081f8f3b955d9a7b7f4fb9429168dc6_tn.jpg']"
13,5,"['순두부찌개 도시락', '고등어구이정식 도시락', '수제등심돈까스 도시락']",대에바악!여태왜여기를몰랐을까요.너무깔끔하고너무맛있고애들도 너무잘먹고단골접수할게요~,[]
