,별점,주문메뉴,리뷰,사진
0,5,[],반신반의하고 시켜먹었는데 개꿀,[]
1,4,[],맛 괜찮음,[]
2,5,[],너무맛있어요 불고기잘안시켜먹는데 여긴 냄새도안나고 쌈도푸짐하게주시고 마늘장아찌 처음먹어봤는데 새콤한게 다맛있엇어요 약간 곱창전골비슷한맛이랄까?술안주로도제격이네용♥ 배달이밀려 멘붕오신사장님 화이팅!,[]
3,4,"['직화 오징어제육불고기（2人）', '날치알계란찜', '볶음밥']",괜찮습니다...식신되기까지 리뷰는 한번도 올리지 않았는데 올만에 맛난 배달음식이네요..,[]
4,5,[],며칠전에여기서시켜먹엇는데진짜맛잇어요ㅜㅜ깻잎이랑무쌈도주시고마늘초절임도주시고가격도저렴하고냄새도안나고양도많고종종시켜먹으려구요,[]
5,5,[],넘  맛있어요~,[]
6,3,[],제육은 맛났어요 직화제육인데도 맵고 좋았어요 근데 어묵탕은 좀짰어요 그래도 믓먹을정돈 아니였네요 포장도 좋았구여,[]
7,5,"['직화 제육불고기（2人）', '날치알계란찜', '공기밥', '깻', '무쌈']",양도 많고 진짜 완전 맛잇음 근데 밥은 추가로 시켜야되눈데 양이적음 밥만. 쌈에 먹으면 대박 또 시켜먹을의향10000%,[]
8,3,"['직화 오징어제육불고기（2人）', '공기밥']",그냥 그냥 먹었어요,[]
9,4,[],맵긴햇는데 맛잇엇어용 ♥♥,[]
10,4,"['직화 제육불고기（2人）', '깻', '무쌈']",35분 걸리신다 그랬는데 정말 딱 35분만에 배달왔네요 ! 양도 많고 깻잎이랑 쌈무 많이 달라 그랬는데 많이 주셨네요~! 매운맛 먹으려다가 그냥 직화 제육 시켰는데 이것도 살짝 맵네요 맛있어요 :) 굿굿,"['https://rev-static.yogiyo.co.kr/09cf1c5bacf21a3b9e1a840c2d9cf594_tn.jpg', 'https://rev-static.yogiyo.co.kr/45c001e87e5be84123570ca89b2ed018_tn.jpg', 'https://rev-static.yogiyo.co.kr/ceee0e8eb3da647c6df4a9cea6e3bde5_tn.jpg']"
11,5,[],여기 정말 맛있네요 자주 시켜먹어도 질리지않는 맛,[]
12,5,"['직화 제육불고기（2人）', '공기밥', '볶음밥']",역시 또 먹어도 맛잇네요 냉장고에 놧다가 렌지에 돌려먹어도 맛잇어요 볶음밥시켜서 제육남은 소스랑 비벼먹엇는데 맛잇어요 계란찜도 맛잇구요 잘먹엇습니다~,[]
13,3,['직화 오징어제육불고기（2人）'],그냥 그랬습니다.,[]
14,5,[],맛있습니다. 변치말고 꾸준히 지켜주셨으면 좋겠습니다. (맛있다가도 변하는 집이 많더군요. 맛이고 서비스고..) 금요일 퇴근해서 술과함께 하고있는데~ 맛나네요~ 맛나맛나~ 추천합니다~,[]
15,1,[],내입맛엔 좀안맞네요,[]
16,3,"['직화 오징어제육불고기（2人）', '공기밥']","추가금내고 오징어제육시켰는데, 매운제육이 왔네요 ㅠㅠ 다른분과 바뀐듯~ 넘 매워요~ 내 오징어 먹은사람 손 -_-)/",[]
17,5,[],맛잇어요,[]
18,5,[],리뷰가 정직하네요. 맛있어요. 근데 매움..ㅠㅠ포장도 잘되어있고.. 만족,[]
19,5,['직화 제육불고기（2人）'],배달 시간 정확하고 맛있습니다,[]
20,5,[],맛도 쵝옥 서비스도 쵝오에요,[]
21,4,['직화 오징어제육불고기（2人）'],오늘 리뷰보고 첨시겼는데 ~ 배달도 빠르고  맛도 매콤하고   간결 아주 맛나게  먹었음...야채는 여러가지 주었음 합니다 ~~ ^-^,[]
22,5,[],항상매워서 덜맵게 부탁했는데 더맛있게먹었어요 저처럼 매운거 잘못먹는사람 들을위해  순한맛 추가해주심안될까요?ㅋ,[]
23,5,[],맛잇어요,[]
24,5,[],치즈제육 맛있게 먹었습니다다만 치즈가 촘촘히 얽혀있어서 식혀뒀다 먹으면 좀 미묘함,[]
25,5,[],배달음식중에 제육은 처음 시켜먹어봣는데맛있네요 앞으로 자주이용할게요,[]
26,5,[],또 시켜먹었는데 여전히 맛있습니다,[]
27,5,"['직화 제육불고기（2人）', '공기밥', '땡초볶음밥']",완전 좋습니다 맛잇게 맵고 무쌈도 많이주셔서 맛이좋앗습니다 고추도 센스잇게 달달매운걸로주시고  고기도 적당한크기로 되어잇어 맛잇엇습니다자주이용할게요,[]
28,4,[],아이들이 먹기에 매웠어요 맛리 나누어져 있으면좋겠어요,[]
29,4,[],매콥하고 맛있어요,[]
30,4,"['직화 제육불고기（2人）', '공기밥']",저는 가격에비해 양이 약간아쉬웠습니다,[]
31,4,"['직화 오징어제육불고기（2人）', '볶음밥']",맛있는데 좀 짰어요,[]
32,5,['직화 오징어제육불고기（2人）'],맛나요 매워요,[]
33,5,[],배송 빠르고 친절하고 아주 맛있습니다적극 추천 합니다,[]
34,5,"['직화 오징어제육불고기（2人）', '깻', '무쌈']",배달도 빠르고 양도 많고 다만 살짝 매웠다는...그래도 만족...^^,[]
35,5,[],"맛있어요 깻잎도 넉넉, 무쌈은 엄청 많이 주셔서 매번 남네요..",[]
36,5,['직화 오징어제육불고기（2人）'],덜맵게주문해도 매워욤그래도 맛은 있음,[]
37,5,['직화 치즈제육불고기（2人）'],두번째 주문...역시 매워여...그래도 맛나여...,[]
38,5,['직화 오징어제육불고기（2人）'],맛있쪄,[]
39,5,['직화 제육불고기（2人）'],너무너무너무너므너무 맛있었어요!!!!!!!!!!!!!,[]
40,4,[],가끔 시켜 먹는데  먹을만한,[]
41,4,['직화 제육불고기（2人）'],맛잇어요 약간 질기지만,[]
42,5,[],쵝오^^ 다만 포장용기에 뚜껑이 있었으면하는 작은 바람이ㅎㅎ 혼자 먹기엔 많아서 남기면 다른그릇으로 옮겨놔야하는 귀찮음이 있다는... 설거지귀차나~~~,[]
43,4,"['직화 오징어제육불고기（2人）', '깻', '무쌈']",배달은  좀  오래걸력지맘  포장깔끔하고  매콤하니  맛있어요~,[]
44,5,"['직화 제육불고기（2人）', '공기밥', '볶음밥', '사이다 1.25L']",평점도 나쁘지 않고 깔끔해보여서 시켜봤는데 좋았어요. 담에 또 시켜먹을것같아요,[]
45,4,['직화 오징어제육불고기（2人）'],두번째 주문인데 매콤달콤하니  맛있네요^^  불맛도 많이 나고 고기만 좀만 질이 좋았음 좋겠네요,[]
46,1,[],그냥. .,[]
47,5,[],개존맛,[]
48,5,[],두번째 시켜먹었는데 역쉬나 맛있네용~~잘먹었습니당~~^^,[]
49,4,"['직화 제육불고기（2人）', '오징어 사리 ']",깔끔하고 정갈하게왔는데  맛이좀 약간부족했던 느낌입니다. 제 점수는 3.5점입니다.,[]
50,5,['직화 제육불고기（2人）'],2명이서 시켜먹으면 OO배부름 ㄹㅇ개꿀많이들 시켜드세요,[]
51,5,['직화 제육불고기（2人）'],맛있어요,[]
52,1,"['직화 오징어제육불고기（2人）', '공기밥']",전에그냥오징어불고기잇엇던걸로알아서시켯는데 오징어제육 이거넘한거아녜요?고기안먹는데 오징어다리 몇개딸랑ㅡㅡOOO,[]
53,5,['직화 제육불고기（2人）'],자주 시키는곳인데 굿굿입니다,[]
54,4,"['직화 제육불고기（2人）', '깻', '무쌈', '사이다 1.25L']",양도 괜찮으면서 맛도 좋은데요. 깻잎이랑 무쌈 제공인줄 모르고 더시켜버렷네요. 제공되는거 알앗으면 안시켯을건데...밋은 정말 좋네요 번창하세요.ㅎ,[]
55,4,[],"진짜 먹을만함. 스키다시는 무쌈, 마늘짱아찌 딱두개임국물이아쉽",[]
56,5,['직화 제육불고기（2人）'],매장이랑 가까운건지 원래 빠르신건지 배달 20분만에 짱빨리 왔구요 쌈무좀 더 챙겨달라고 남겼는데 진짜 많이 주심 ㅋㅋ 깻잎도 많고 고기도 맛있어용 ㅋㅋ뒤적거리니 떡도 들어있네요 ㅋㅋㅋ 쌈싸먹으니 꿀맛이네요~많이 파세요~^^,"['https://rev-static.yogiyo.co.kr/f37b808128354d25f124dc7f4eed00f6_tn.jpg', 'https://rev-static.yogiyo.co.kr/64862d9c4c94fcd34ccd8da776ca811a_tn.jpg', 'https://rev-static.yogiyo.co.kr/9f204ea47df010063e1612db7ac2bc3c_tn.jpg']"
57,5,['직화 불타는 제육불고기（2人）'],군더더기 없이 깔끔해서 만족햇습니다,[]
58,5,[],배날두 빠르구 맛두나구 아주아주 좋아여벌써 여러번 먹었는데도 훌륭하네여~~^^,[]
59,5,[],지짜 제일 마싯서요 ㅠㅡㅠ 짱 근데 양배추?가 넘 많지만 ! 최고예요 ㅎㅎ 또 먹으야지,[]
60,5,"['직화 제육불고기（2人）', '공기밥', '땡초볶음밥']",45분 걸린다 하셨는데 20분만에 왔어요! 맛도 좋네요. 담에 또 시켜먹으려구요^^,['https://rev-static.yogiyo.co.kr/6730e06155ece8bad3eaff5214af4cc0_tn.jpg']
