,별점,주문메뉴,리뷰,사진
0,4,[],나름 괜츈,[]
1,5,"['순살파닭두마리세트2（치킨두마리선택）', '치킨 선택2(치즈스노잉', '음료 추가 변경(변경 안함)']",파도많이주시고 불고추맛 매콤하니맛있어요! 재주문할의향100%,['https://rev-static.yogiyo.co.kr/48326c04f7f5b930a0ddf4b601e49c21_tn.jpg']
2,5,[],.,[]
3,3,[],좋아요,[]
4,5,[],양은 기분좋게 배부른 정도이고 맛나용,[]
5,5,[],굿,[]
6,5,"['순살파닭두마리세트2（치킨두마리선택）', '치킨 선택2(간장', '음료 추가 변경(콜라 1.25L로 변경)']",역시 맛있습니다!!!,[]
7,5,[],굿굿!!!! 또먹을꺼에요!!,[]
8,5,[],재구매!!^^ 오늘은 부추닭 먹었어요 ~~,[]
9,5,[],언제나 최고 맛있어요 ~~^^,[]
10,5,"['순살파닭두마리세트2（치킨두마리선택）', '치킨 선택2(핫칠리', '음료 추가 변경(변경 안함)']",먹다가 사진찍어서 양이비어보이네욬ㅋㅋ 맛있아요~ 남아서 다음날먹엇능데 보통 닭냄새 개심한곳이 많은데 요긴 안나네요~ 아 그리고 핫칠리는 핫은아닌거같아요~~! 근데 맛있어욬ㅋㅋ 또시켜먹을것같네여,['https://rev-static.yogiyo.co.kr/333a555e0fabbf6c84a66b20b619eb63_tn.jpg']
11,5,"['순살파닭한마리세트1（치킨한마리선택）', '음료 추가 변경(변경 안함)']",다음에는 두마리 세트 시켜야겠어요!!!너무 맛있는데욥?!,[]
12,5,[],먹어도 먹어도 맛있어용~~,[]
13,5,[],맛있어요 ㅎㅎ,[]
14,1,[],쿠폰 1장 안왔습니다. 주문하고 딱 정확히 60분만에 왔습니다,[]
15,5,[],👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍끝판왕 영통에서 이집 만한곳이 잇을까요?? 자체 VIP가 나깁니다 ~~ 3번상 시켜먹고 서비스에 감동 했습니다!!^^ 항상 승승장구 번창 하세요~~!!,[]
16,4,[],맛있어요,[]
17,5,[],언제 오나요 ..배달시킨지 75분 지났어요,[]
