,별점,주문메뉴,리뷰,사진
0,3,['실속세트（국물닭발 or 구이닭발 or 무뼈닭발 中 택1＋주먹밥＋계란찜＋쿨피스500mL）'],처음 이용했는데 괜찮아요~,[]
1,4,['실속세트（국물닭발 or 구이닭발 or 무뼈닭발 中 택1＋주먹밥＋계란찜＋쿨피스500mL）'],깻잎 상태도 좋아요~^^,[]
2,4,"['실속세트（국물닭발 or 구이닭발 or 무뼈닭발 中 택1＋주먹밥＋계란찜＋쿨피스500mL）', '오뎅탕 ']",맛잇는데 양이 좀 적었어요 ㅠㅠㅠ,[]
3,5,"['세트0（국물닭발 or 구이닭발 or 무뼈닭발 中 택2＋주먹밥＋쿨피스500mL）', '메뉴 선택2(무뼈닭발)']",드디어 어플에도 미녀닭발이 생겼네요오랜단골이에요 닭발은 여기가 젤 맛나요,[]
4,5,"['국물닭발 2人', '주먹밥']",국물닭발 강추~^^,[]
5,5,['실속세트（국물닭발 or 구이닭발 or 무뼈닭발 中 택1＋주먹밥＋계란찜＋쿨피스500mL）'],엄청 맛있습니다......,[]
6,3,['구이 닭발 2人'],간혹 매운게 땡길때 닭발은 여기서만 시켜먹는데... 배달료때문에 쫌...,[]
7,5,"['실속세트（국물닭발 or 구이닭발 or 무뼈닭발 中 택1＋주먹밥＋계란찜＋쿨피스500mL）', '주먹밥']",미녀닭발 정말 매일 먹어도 질리지 않는 맛이에요국물닭발이 정말 최고임,[]
8,4,['실속세트（국물닭발 or 구이닭발 or 무뼈닭발 中 택1＋주먹밥＋계란찜＋쿨피스500mL）'],계란찜이 조금 짠거 빼고 맛좋아요~~,[]
9,5,"['실속세트（국물닭발 or 구이닭발 or 무뼈닭발 中 택1＋주먹밥＋계란찜＋쿨피스500mL）', '맵기 선택(1단계（초보）)']",배달 빨랐어여  남김없이 먹었습니다 계란찜 좀만 싱거웠으면해여  존맛탱 또 시켜먹을거에여 덜매운맛 했더니 딱조아여 맛있어여 맛있더여어어어,['https://rev-static.yogiyo.co.kr/15fcee5fc4cdf093c3e294d6d4c41f84_tn.jpg']
10,5,['무뼈 닭발 2人'],몇번시켜먹었는데혼자먹긴 양이많아그렇지잘먹고있어요,[]
11,5,['후라이드치킨'],미녀닭발 단골됐어요...국물메뉴도 맛있지만 치킨이 정말 맛있네요..,[]
12,5,"['세트0（국물닭발 or 구이닭발 or 무뼈닭발 中 택2＋주먹밥＋쿨피스500mL）', '메뉴 선택2(국물닭발', '메뉴 선택(구이닭발', '맵기 선택(1단계（초보）)']",처음시켜본곳인데 맛도 양도 딱 좋아요자주 시켜먹을께요~,[]
13,5,"['국물닭발 2人', '똥집튀김']",수원 닭발 중 최고같아요,[]
14,5,"['국물닭발 2人', '똥집튀김']",일주일에 두번이나 먹었네요 느무 맛남,[]
15,5,['국물닭발 2人'],맛있게 잘 먹었어요^^*,[]
16,4,"['실속세트（국물닭발 or 구이닭발 or 무뼈닭발 中 택1＋주먹밥＋계란찜＋쿨피스500mL）', '맵기 선택(2단계（중수）)']",맛있어요 저번에 시켜먹은 무뼈보다 국물닭발이 훨씬맛있네요!,[]
17,5,"['국물닭발 2人', '후라이드치킨']",한x포차 본점보다 더 맛나요,[]
18,5,"['세트1（국물닭발 or 구이닭발 or 무뼈닭발 中 택1＋후라이드＋주먹밥＋쿨피스500mL）', '맵기 선택(1단계（초보）)']",배달빠른건물론 닭발양도 많고 항상맛있게 조리해주셔서 여기서만 시켜먹게되네요~,['https://rev-static.yogiyo.co.kr/01a71627ff5f3a80e88f98fd17866378_tn.jpg']
19,5,"['실속세트（국물닭발 or 구이닭발 or 무뼈닭발 中 택1＋주먹밥＋계란찜＋쿨피스500mL）', '맵기 선택(2단계（중수）', '추가 선택 가능(메추리알 추가)']",2단계 중수로 시켰는데 기분좋게 맵고 존맛탱실속세트가 최고인듯.. 콩나물국 콩나물 건져서 섞어 먹으니까 더 존맛탱,['https://rev-static.yogiyo.co.kr/e85776b3122b1843ad908f6299f9525e_tn.jpg']
20,1,"['무뼈 닭발 2人', '주먹밥']",호텔애서 배달시켰는데 젓가락 숟갈 장갑 뭐 아무것도안갖다주고전화받는 알바생인지 누군지모르겠는데전화응대도 아주개판이네요?ㅋㅋ갖다드릴까요? 라는 소리가나오나 승질나네진짜,[]
21,5,['국물닭발 2人'],국물닭발이 먹고싶어서 처음 시켜봤는데 지금까지 시켜먹었던 국물닭발중에 젤 맛있었어요~~ 안매운거같으면서 적당히 매웠습니다 초보로 했는데 중수했으면 저는 못먹었을 것 같기도..ㅎㅎ 양도 둘이먹기에 충분했습니다 감사합니다~,['https://rev-static.yogiyo.co.kr/185efa6e50b29eba049d56bcec885074_tn.jpg']
