,별점,주문메뉴,리뷰,사진
0,1,['미스터보쌈1인'],배달시킨지 정확하게 83분후에 도착했도 예상도착시간 보다 33분 늦었네요 배달온 음식 다 식었고 짜증자고 먹기도 싫네요,[]
1,5,"['미스터보쌈2인', '옵션선택(막국수세트변경)']",권선점이였나 거기 미스터보쌈이 사라져서 너무 슬펐는데 새로 생겨서 행복해요 ㅎㅎㅎ 보쌈이 약간 식어서 오긴한게 아쉽지만 ㅠㅠ 그래두 잘 먹었습니다~ 사업 번창하세용ㅎㅎ,[]
2,5,"['미스터보쌈1인', '옵션선택(막국수（미니）)']",사진은 없지만 맛과양 모두 괜찮았습니다.,[]
3,5,"['미스터삼겹1인', '옵션선택(막국수（미니）)']",기본 제공되는 밥 양이 남성 기준으로 조금 적을 수 있어요.,[]
4,5,"['미스터보쌈1인', '추가메뉴(무김치 추가)']",너무 잘 먹었네요,"['https://rev-static.yogiyo.co.kr/9a649d13b65a19de37d951ceffcf6b76_tn.jpg', 'https://rev-static.yogiyo.co.kr/911c9c3728dbc16fb78659b9bb75d6ce_tn.jpg']"
5,4,"['미스터보쌈1인', '옵션선택(막국수（미니）)']",1인분임에도 양도 많이 주시고 정말 정갈하게 잘 나오네요 맛있게 잘 먹었습니다만 분명 아쉬운 건 있어요 보쌈 좋아하는 사람들 대부분 생마늘이랑 생고추 좋아해요.. 마늘장아찌랑 고추장아찌로 보내주시면 쌈장이 필요가 없겠지요? 고기 말고는 다 너무 짜니까 고기 말고는 먹을 게 없다고 느껴진다는 느낌이었어요 국물도 맑은 된장국일 줄 알았는데 우동국물이라 조금 아쉬웠지만 쌀밥은 잡곡밥도 주시고 고마웠어요 보쌈 고기도 잡냄새 하나 없는 좋은 고기 쓰셨더라구요 마늘 고추 국물만 수정하시면 정말 정갈하고 맛있는 음식이 될 거 같아요,['https://rev-static.yogiyo.co.kr/b5c79dbe85871665027287d8ec5ea42c_tn.jpg']
6,5,"['미스터족발1인', '콜라（500ml）¸']",배달도 예상시간보다 빨리왔고 서비스로 주신 막국수도 잘 먹었습니다! 족발도 막상 열어봤을때는 적나?싶었는데 먹어보니까 딱 적당하게 들어있었습니당🙃 1인분이 가능하다 보니까 전 종종 시켜먹을 것 같아요,"['https://rev-static.yogiyo.co.kr/bec454a7e2cb0c50f79f6fa5a92bfdc3_tn.jpg', 'https://rev-static.yogiyo.co.kr/dcc45eacbd214f2f165591c0f833ae49_tn.jpg', 'https://rev-static.yogiyo.co.kr/361e383e6482e44f1e6e9937f300c0bf_tn.jpg']"
7,5,['미스터족발1인'],만족합니다. 요즘 어디서 돈만원에 호사를 누리나요너무 잘먹었어요,[]
8,5,['미스터보쌈1인'],맛있어요~~ 감사합니다,['https://rev-static.yogiyo.co.kr/1604a041441f0dd8d27ce6d01936d368_tn.jpg']
9,5,"['미스터보쌈2인', '추가메뉴(공기밥)']",맛있게 잘 먹었습니다^^,['https://rev-static.yogiyo.co.kr/fe79abfe5ee9bfc82fd2a5bcb89b8a1e_tn.jpg']
10,5,"['훈제보쌈1인', '추가메뉴(공기밥)']",딛ㄱㅈㄷㄱㅈㄱㄷㄱ지ㅣ닂ㄱ,['https://rev-static.yogiyo.co.kr/fded8f5613bef5f600b5acf2b8147f1b_tn.jpg']
11,5,['수제도시락（오리제육）'],제육시켰는데 불고기가 온거 같아요.. 맛 있고 국도 따뜻하고 배달도 빨랐는데 제육이 아니라 아쉽네요..,[]
