,별점,주문메뉴,리뷰,사진
0,5,[],굿,[]
1,5,[],맛있어요~,[]
2,5,[],배달원두친절하고~ 버거두마싯구 파스타도마싯어요~~ 파스타는 뜨겁게가져오려구 무슨 보온가방 같은거에 넣어서주시더라구요 만족만족!! 앞으로자주시켜먹을거같아요,[]
3,5,"['통새우버거', '모듬후라이', '웰치스캔 딸기']",아주 푸짐하고 맛있어요^^,[]
4,5,[],크림파스타가 너무맛있어요^^ 샐러드도 맛있고 좋아요,[]
5,5,"['통새우버거', '치즈앤치즈버거', '모듬후라이', '사이다 1.5L']",감자모듬 생각했던 것보다 양이 엄청 많더군요 ㅎㅎ 맛도 좋았고 통새우버거는 정말 귀신감추듯 먹어버렸습니다. 배달도 빠르고 모든것에 만족하면서 잘 먹었습니다. ^^,[]
6,5,[],가격은 좀 비싸지만 역시 미스터빅은 맛있다,[]
7,5,[],참 언제 먹어도 맛있는것같아요 바빠서 가게까지 못가는데 회사에서 맛있는 음식을 먹을 수 있어 좋았어요,[]
8,5,"['통새우버거', '크림해산물파스타', '파스타 사이즈 선택(S)']",크림파스타랑 새우버거 먹었는데 둘다 넘 맛있어요 가격도 저렴하고 괜찮은것 같아요 파스타 먹고 싶어도 배달하는곳들이 많지 않아서 아쉬웠는데 이젠 먹고싶을때마다 찾게될듯해요 ~,[]
9,5,[],맛있어요,[]
10,4,"['불고기버거', '까르보나라']",맛있어요~,[]
11,5,[],맛있어요!,[]
12,5,[],맛있게 먹었어요~,[]
13,5,[],여기 햄버거 완전 맛있었어요.... ㅠㅠ 비오는데 주문 넣어서 죄송했습니다... 하지만 정말 잘 먹었습니다!! 감사합니다 :),['https://rev-static.yogiyo.co.kr/5118ae9be2b67ee0793a75e3d8fab5d7_tn.jpg']
14,5,[],맛있어요.,[]
15,5,"['불고기버거', '세트A（버거 S＋프렌치후라이 1／2＋탄산음료 1개）', '탄산음료 선택 1(사이다 300mL)']",너무 맛있어요! 잘 먹었습니다♡,['https://rev-static.yogiyo.co.kr/83e6d20e2f50f29d0ed2f9cf0841176f_tn.jpg']
16,1,[],돈아까움,[]
17,3,[],가격대비해돈카스는괜찮았는데 블러이드버거는좀....,[]
18,4,"['불고기버거', '토마토해산물파스타', '파스타 사이즈 선택(S)']",불고기버거 맛있네요!! 또 시켜먹을 것 같아요~토마토해산물파스타 맛은 별로예요ㅠ매운맛 주문했는데 전혀 맵지도 않고 또 시켜먹진 않을 것 같아요햄버거는 자주 주문해서 먹을게요~~,['https://rev-static.yogiyo.co.kr/ed5ae68f2174a660faf16875f13006bf_tn.jpg']
19,5,"['불고기버거', '그릴소시지（2개）', '스위트프렌치후라이（고구마）', '캔콜라 355mL']",먹어본 빵이 커서 퍽퍽 하고 그럴 줄 알았는데 정말 맛있었어요!! 고구마는 조금 별로..,[]
20,4,[],맛은 있네여.포장도 깔끔하구,[]
21,5,"['불고기버거', '까르보나라']",파스타는 두번째시켰먹고 햄버거는 처음이였는데 파스타보단 햄버거가 제일인거같아요! 일단 패티가 두툼해서 고기맛이 나서 너무좋았고 또 좋앗던건 야채가 매우 아삭아삭했아요!! 제일맘에들었습니다ㅠㅠ 다른 일반 햄버거매장은 눅눅해진 야채들이여서 이런신선한야채는 오랜만인거같아요! 앞으로 햄버거먹고싶을때 여기서 시켜먹을꺼같네요~!!! ( 물론 파스타도 맛있습니당ㅎㅎ) 많이파세요~!,"['https://rev-static.yogiyo.co.kr/8ea86a93c3f421e8ca4d3d95e7e5b00c_tn.jpg', 'https://rev-static.yogiyo.co.kr/ed8e5ab440c4f2e0e01904fc48a8dfb4_tn.jpg']"
22,2,[],이가격에 이건 아닌듯... 스파게티도 면발을 얼마나 삶았는지 씹지도 않아도 뚝뚝 그냥 끊기고 흐물거림...기본인 면 삶기도 제대로 안되고... 간이 하나도 안되서 느끼한 크림 파스타가 그렇지 않아도 더 느끼했음... 게살파스타에 게살 찾아보기 힘듬...햄버거 레귤러 사이즈 가격확인 안한것도 내잘못은 있지만 스몰사이즈에서 레귤러사이즈가 어떻게 3배가 넘는지...햄버거도 그냥 버거킹이나 롯데리아에서 먹는게 나은듯...ㅡ.ㅡ,[]
23,4,"['세트 커플2（파스타 S＋버거 S＋가든샐러드＋탄산음료 2개）', '세트 음료선택 2(사이다（컵）300mL', '세트 파스타 선택(까르보나라', '버거 선택(불고기버거)']",맛있네요  양도많고,[]
24,4,['뉴욕 찹 스테이크'],맛있는데 넘 짜요ㅠㅠ,[]
25,5,"['핫츠버거', '빠네파스타', '캔콜라 355mL']",거라가먼데도 배달해주셔서 감사합니다,[]
26,4,"['불고기버거', '치즈앤치즈버거', '가든샐러드', '캔콜라 355mL']",양이 많고 먹을만 해요~빵이 맛맀내요,[]
27,5,"['불고기버거', '그레이트더블버거']",사장님 맛잇엇어요 ^^,[]
28,5,"['불고기버거', '까르보나라']",괜찮습니다 맛있어요,[]
29,5,"['까르보나라', '닭가슴살 필라프']",맛있게잘먹었습니다맛있게잘먹었습니다맛있게잘먹었습니다,[]
30,3,"['핫츠버거', '까르보나라', '캔콜라 355mL']",까르보나라는 완전 별로버거는 평타,[]
31,4,"['통새우버거', '참이슬']",이게 피자보다 나은거같아요,[]
32,4,"['미스터빅오리지널버거', '까르보나라']",수제햄버거답게. 크기가 무지 크네요 애들이랑 커팅해서 먹었는데 커서 아이들도 한입에 안들어가서 좀 질질흘리긴했어요까르보나라는 둘째가 너무 맛있답니다고소하네요,[]
33,5,"['미스터빅오리지널버거', '불고기버거', '빠네파스타']",요번엔 빠네파스타 주문했는데 까르보나라보다 맛있네요햄버거는 불고기보다 저는 빅오리지널이 맛있고요잘먹었습니다.,[]
34,5,"['불고기버거', '그릴드치킨버거', '스위트프렌치후라이（고구마）']",괜찮아여 맛있네여ㅋㅋ,[]
35,3,[],와양도많고 첨먹어보는데 맛있네요ㅎ앞으로 자주이용해야징ㅎ,['https://rev-static.yogiyo.co.kr/e94997a266d7591cfcf2ac679f9a7b3b_tn.jpg']
