,별점,주문메뉴,리뷰,사진
0,5,[],양 많고  맛있네요,[]
1,3,"['미스터제육불고기', '부추볶음밥', '날치알계란찜']",맛있긴한데 너무비싸네요ㅡ제육세트도 아니고 제육만 17천원은 오바인듯... 포장은 깔끔하니 좋아요,[]
2,5,"['불매운맛제육불고기', '땡초볶음밥', '콜라 355mL']",배달두 빠르고 양은기대안하고 있었는데 이렇게 많을줄은 몰랐네요~~맛있게 잘먹었어용~~종종 이용할께용~~,['https://rev-static.yogiyo.co.kr/55fcc0ecd4947018214b6f3e706e4b19_tn.jpg']
3,5,"['미스터제육불고기', '공기밥', '날치알계란찜']",맛있읍니다,[]
4,2,"['불매운맛제육불고기', '공기밥']",고기가 별루양념은 괜찮은데.....,[]
5,5,"['미스터제육불고기', '떡사리 추가)']",빠르네요!,[]
6,4,"['매콤치즈제육불고기', '공기밥']","치즈가 없었어요.23:50분에 주문해서 그런거라고 생각합니다!밤 늦게 저녁 못먹고 먹었는데,진짜 너무 맛있어서다음날 계속 생각났어요!!맛잇어요",['https://rev-static.yogiyo.co.kr/7d2571c2bf97269958a3e6ed18f0de88_tn.jpg']
7,5,[],간장제육 맛있어요 배달로 먹은 제육중에 제일 맘에 들었어요! 간이 조금 약한편이고 볶음밥은 많이싱겁고 별로였어요 제육은 맛있음,[]
8,5,"['미스터제육불고기', '부추볶음밥']",쏘쏘~,[]
9,3,"['미스터제육불고기', '볶음밥']",양념은 맛있지만 고기가 너무 얇아요 그렇게 얇게 썰기도 힘들듯 ㅋㅋ 암튼 중간이상은함,[]
10,3,"['미스터제육불고기', '볶음밥']",맛남 단 고기두께 불만임 ㅋㅋ,[]
11,3,[],저는 그냥그렇네요 치킨이낳은듯,[]
12,4,"['미스터제육불고기', '땡초볶음밥']",항상 맛있어요,[]
13,4,[],"맛있어요. 깔끔한 포장도 좋고, 무엇보다 빠른 배달이 좋았는데...고추장불고기 생각보다 매워요ㅜㅜ 간장불고기 시킬껄 후회했네요~ 매운거 잘못먹기도한데, 친구는 잘먹는데도 맵다고했어요ㅜㅜ참고로 볶음밥도 좀 매워요",[]
14,4,[],그냥그래여,[]
15,2,"['미스터부대햄불고기', '계란볶음밥', '사이다 1.25L']",그닥 별로임  양 적음요,[]
16,4,[],굿,[]
17,4,[],맛있어요,[]
18,5,"['불타는 제육불고기 ', '매콤볶음밥', '날치알계란찜']",나는 삼시세끼를 배달시켜먹는데여기괜찮네요 깔끔하고,[]
19,5,"['불타는 제육 콩불', '공기밥']",자주 먹숩니더 맛나요 ㅎㅎ,[]
20,5,"['미스터 제육 콩불', '매콤볶음밥']",매콤하고 맛있네요!! 양도 정말 많구여~ 제가 생각했던 콩불은 아니였지만요 이건 국물많고 제육에 파채와 콩나물이 들어있는건데 나름 진짜맛있네요 ㅎㅎㅎ 떡사리 추가했더니 가래떡이 왔네요  참고하세용하나 아쉬운점은 콩불과 볶음밥을 같이먹으니 넘 매워서 흰밥 생각이 간절했네요 ㅎㅎㅎ 때마침 흰밥이 없어서 그냥 먹었어요 그래도 정말 잘먹었습미다~~~~~,"['https://rev-static.yogiyo.co.kr/e606ac4bbe46eafddb0314d5c09a9c1e_tn.jpg', 'https://rev-static.yogiyo.co.kr/c36edb358c0c479696eeb692bbe9abfc_tn.jpg']"
21,5,"['불타는 제육 콩불', '공기밥']",아 맛있게 맵습니다 맵습니다,[]
22,5,"['미스터 제육 콩불', '유부어묵탕']",양도 푸짐하고 맛도 있어요.콩나물이 조금 더 많았으면 좋겠어요.배달시간이 오래 소요되었지만...,"['https://rev-static.yogiyo.co.kr/0a87519e1db0fb2eec231210946c3e9f_tn.jpg', 'https://rev-static.yogiyo.co.kr/b210f4247c5c492590cef48ed25d36c2_tn.jpg', 'https://rev-static.yogiyo.co.kr/73cafa2b08aa3cff26872cf702edb969_tn.jpg']"
23,5,"['미스터 제육 콩불', '유부어묵탕']",맛있어요!! 앞으로 자주 먹을것 같네요!!집에 있던 콜라랑 같이 먹었네용^^,['https://rev-static.yogiyo.co.kr/91bbcafad0ba8122789092b5918be258_tn.jpg']
24,5,"['미스터 제육 콩불', '매콤볶음밥']",정말 좋아요!! 포장도 깔끔하게 오고 맛도 있었어요~ 밥이 맵다는 후기를 봤는데 저는 괜찮았던 것 같아요! 맛있게 잘 먹었습니다 ㅎㅎ,[]
25,5,"['미스터 제육 콩불', '공기밥', '치즈볶음밥', '얼큰 유부 만두탕']",일반적인 제육과는 느낌이 좀 다른데 맛 있어요!친구가 제육볶음 좋아하는데 맛있다고 많이 먹음ㅎㅎ치즈볶음밥은 매운거 잘 못드시는 분들에게 좀 매울 것 같아요 친구가 매운 걸 잘 못먹는데 매운데 맛있다며 일반 밥이랑 같이 먹었어용~얼큰만두는 날씨가 너무 춥다보니 약간 식어서 왔지만 괜찮았어요!전체적으로 맛있었어요!,['https://rev-static.yogiyo.co.kr/267eb68f54690927987b81cd48a9f8ef_tn.jpg']
26,5,"['미스터 제육 콩불', '깻잎무쌈알마늘 추가', '공기밥', '콜라 1.25L']",맛있어요 생각보다 양도 많고 푸짐해요,[]
27,4,"['미스터 제육 콩불', '깻잎무쌈알마늘 추가', '공기밥', '콜라 1.25L']",우리가알고있는콩불은아니고 콩나물제육같은 느낌이에요,[]
28,5,"['불타는 제육 콩불', '공기밥']",자주 먹습니다. 뭐먹지 고민될땨 시키면 절대 실패하지 않습니다.,[]
29,5,"['미스터 제육 콩불', '공기밥']",처음 시켜봤지만  맛나세잘먹었어요,[]
30,4,"['오징어 제육 콩불', '공기밥', '치즈볶음밥', '콜라 1.25L']",맛있었습니다~ 잘먹었어요,[]
31,4,"['미스터 제육 콩불', '공기밥', '날치알계란찜']",맛있었어요 잘먹었습니다~,[]
32,5,"['미스터 제육 콩불', '공기밥']",다필요없고 배고플땐 여기인거같네여..최고요진짜,[]
33,3,"['미스터 제육 콩불', '유부어묵탕']",어묵탕이 더 괜찮으면 좋겠네요,[]
34,5,"['미스터 제육 콩불', '콜라 1.25L']",쪼꼼 짜네요 ㅠㅠ,[]
35,3,"['미스터 제육 콩불', '치즈볶음밥']",저는 제육보다는 콩나물이 더 많았음 좋겠었는데 고기가 훨씬 많았어요 ! 다음본에 주문할때는 오징어인가 ? 그고랑 콩나물 많이 달라고 해야겠어욤 밥이랑 같이 먹기에는 딱 적당해여!,[]
36,3,"['오징어 제육 콩불', '매콤볶음밥', '유부 매운어묵탕', '콜라 355mL']",콩나물이 너무 적네요..양은 진짜많습니다!간이 전체적으로 싱겁습니다.,[]
37,5,"['불타는 제육 콩불', '계란볶음밥']",맛있네요 자주시켜먹을듯 해요~,[]
38,5,"['미스터 제육 콩불', '매콤볶음밥']",세번째 시켜먹는데 양많고 맛있어요^-^,[]
39,5,"['미스터 제육 콩불', '공기밥', '유부어묵탕']",콩나물이 적긴하지만 맛있어여,[]
40,3,['미스터 제육 콩불'],고기가 탄게많앗어요 조금탄거같아서 그냥먹엇는데 더 심하게탄것도 잇네요...콩나물이랑 같이먹으면 참좋을거같을거같운데 콩나물찾기어렵..쪕,['https://rev-static.yogiyo.co.kr/e57b1df16b92411ab3aa9695e3520f3e_tn.jpg']
41,5,"['오징어 제육 콩불', '공기밥']",양도 많고 맛있게 잘먹었어요~~~,[]
42,5,"['미스터 제육 콩불', '공기밥', '날치알계란찜']","맛있어요~~ 콩나물이 좀 없네요 ,,",['https://rev-static.yogiyo.co.kr/a9ae577b7074d25e2087861ca38a9dee_tn.jpg']
43,5,['미스터 제육 콩불'],"양도 진짜 많고 맛도 너무 맛있어요~~!~!~!~~!!!~! 처음 시키는거라 걱정했는데 배불리 맛있게 잘 먹었습니다 :D 앞으로도 종종 시켜먹을 것 같아요 ,,!.!!.!",['https://rev-static.yogiyo.co.kr/f57016d4fd5f9917dca3f78199ab4f2c_tn.jpg']
44,5,['미스터 제육 콩불'],언제나 쏘 딜리셔스 입니다,['https://rev-static.yogiyo.co.kr/4e384575f902e5d363f2c3d8eafa52a2_tn.jpg']
45,5,"['오징어 제육 콩불', '깻잎무쌈알마늘 추가)', '날치알계란찜', '콜라 1.25L']",맛있어요~~~~~~~,['https://rev-static.yogiyo.co.kr/b2b5b118be381fc3461d785db39e2efd_tn.jpg']
46,5,['미스터 제육 콩불'],양 많구 맛있게 잘 먹었습니다~,"['https://rev-static.yogiyo.co.kr/29ef1379e28cc2213280b9fe2187c746_tn.jpg', 'https://rev-static.yogiyo.co.kr/7bfc6bc3fc07669ce1c787ae95fe54e3_tn.jpg']"
47,5,"['미스터 제육 콩불', '치즈볶음밥']",맛있어요 한끼잘먹었어여 ㅋㅋ 계란찜도 시킬껄,['https://rev-static.yogiyo.co.kr/7812116232672cd7fc387c5f27e76ac6_tn.jpg']
48,5,['미스터 제육 콩불'],역시나 언제나 맛있오요,['https://rev-static.yogiyo.co.kr/d01f8edb4de0b4764ece47b2bdb39df7_tn.jpg']
49,5,['미스터 제육 콩불'],깔끔하니 맛잇어요~!고기도 많이 들엇고 고기누린내도 안나용~!,[]
50,5,['미스터 제육 콩불'],양도 많고 맛있어요~,[]
51,5,"['미스터 제육 콩불', '콜라 355mL']",무난햇습니다 솔직히 가격에 비해 양이 좀...,[]
52,5,"['치즈 제육 콩불', '콜라 1.25L']",오랜만에 시켜먹으니끼 넘 맛있었어요 ^^,[]
53,5,['미스터 제육 콩불'],몇번째 먹는건지 너무 맛있어요,['https://rev-static.yogiyo.co.kr/2c385174ce10a6da9804800fe21ba9fc_tn.jpg']
54,5,['미스터 제육 콩불'],양도많고 맛있어요!!,[]
55,4,"['미스터 제육 콩불', '매콤볶음밥']",양 진짜 많아서 다음날에도 먹었어요ㅎㅎ 밥은 따로시켜야된다는게... ㅜㅜ,[]
