,별점,주문메뉴,리뷰,사진
0,4,[],맛있음,[]
1,5,[],저렴한 가격대비 괜찮네요 피자가 아주 뜨거워서 놀랬어요 총알배달 오셨나봐요 ㅋㅋ,[]
2,5,[],잘먹었습니다,[]
3,2,"['치즈크러스트 새우피자 M', '치즈오븐스파게티']",미스터피진 쉬림프골드가 먹고싶어서 새우피자 시켰더니 통새우가아니네요 하긴 이가격에 바라는 제가 이상한거겠죠ㅠ,['https://rev-static.yogiyo.co.kr/42fe9bafc2d5daa035e5587bedfec7dd_tn.jpg']
4,5,['세트6（수타피자L＋치즈오븐스파게티＋콜라1.25L）'],맛나게잘먹엇습니다~번창하세요,[]
5,5,"['단호박아몬드골드피자 L', '세트6（수타피자L＋치즈오븐스파게티＋콜라1.25L）']",두번째인데  뜨거운피자  맛있네요,[]
6,5,['페퍼로니피자 M'],도우가 살짝 팍팍하지만 맛있네요!! 금액대비 훌륭해요,['https://rev-static.yogiyo.co.kr/b88f9c947f1fd05fde90ab3a2ab0d94d_tn.jpg']
7,4,"['단호박아몬드골드피자 L', '세트6（수타피자L＋치즈오븐스파게티＋콜라1.25L）']",맛있어요  개인절으로  고기들어간  피자  안좋아하는데  맛도  양도  괜찮아요,[]
8,5,['치즈크러스트 슈퍼슈프림피자 L'],맛있었어요!! 생각보다 양도 많아용,[]
9,5,['세트4（스폐셜피자M＋치즈오븐스파게티＋버팔로윙5＋치즈스틱5＋콜라1.25L）'],배달진짜 빠르고 하나도 안식고 따끈따끈한 상태에 도착했어요!,[]
10,4,['치즈크러스트 불고기피자 L'],대체적으로 만족스럽습니다.불고기 치즈크러스트 라이 시켰는데  동생이랑 둘이 피맥한잔하기 좋았습니다,[]
11,1,['세트6（수타피자L＋치즈오븐스파게티＋콜라1.25L）'],별루 피자스쿨이더 낳은듯,[]
12,1,['세트6（수타피자L＋치즈오븐스파게티＋콜라1.25L）'],피자스쿨보다 못하네요,[]
13,1,['불고기피자 M'],솔직히.................먹어본 피자중에 제일 별로에요 죄송해요...... 그래도 배는 채우긴 채웠네요.. 배달은 20분 걸림 ㅜㅜ,['https://rev-static.yogiyo.co.kr/445b9eea8fa6107c0db115373d4e0b48_tn.jpg']
14,4,['세트6（수타피자L＋치즈오븐스파게티＋콜라1.25L）'],맛있어요! 가격도 좋고 양도 많네요!피자가 엄청 뜨겁게 와서 좋네요!,['https://rev-static.yogiyo.co.kr/351b93543bb53e984718c417f1fc488c_tn.jpg']
15,3,['슈퍼슈프림피자 M'],맛있게 먹었습니다!,[]
16,4,['페퍼로니피자 L'],맛있게잘먹었습니다ㅋ,[]
17,5,['세트6（수타피자L＋치즈오븐스파게티＋콜라1.25L）'],개꿀맛용~~~~~~ 바로 한판 해치웠습니다,[]
18,5,['베이컨피자 M'],늦은시간에 배달시켰는데도 빨리 오시고 피자도 뜨끈뜨끈하니 살아있네요. 맛있게 잘 먹었습니다.,['https://rev-static.yogiyo.co.kr/a3f577b302a3fb271cc7c3248884805b_tn.jpg']
19,5,['치즈크러스트 슈퍼슈프림피자 M'],몇일전에 보쌈 시켜 먹고 쓴소리 했는데 피자 맛나네요^^ 배달딕원 분도 배달 대행 아니신듯... 친절하고 좋네요... 배달 대행 없어졌음 좋겠네요^^ 직영 배달해야지 직원들도 친절하지 배달 대행 하는 분들 툭 던지고 가는 느낌... 피자 맛나요 ㅎ,[]
20,5,['감자말이새우 M'],두번째 주문입니다. 아저씨도 친절하시고 피자 또한 입이 데일정도로 뜨겁게 와서 감사했습니다. 잘 먹었습니다.,['https://rev-static.yogiyo.co.kr/9a26556f8c589f769c5ad1969f39f0a0_tn.jpg']
21,5,['세트6（수타피자L＋치즈오븐스파게티＋콜라1.25L）'],맛있었어요 감사해여,[]
22,5,['치즈크러스트 불고기피자 M'],엄청 뜨겁게 배달와서 좋앗어요!! 가격대비 크고 괜찮네요. 저렴해서 콜라 안주실줄 알앗는데 패트로 와서 너무 좋았어요. 번창하세여,['https://rev-static.yogiyo.co.kr/8f779825f0094d2736679e363001e2c4_tn.jpg']
23,5,['세트6（수타피자L＋치즈오븐스파게티＋콜라1.25L）'],이사와서 여긴 첨 시켜봣는데 대박이네요 ㅋㅋ치즈추가해서먹엇는데 넘 맛잇어여 ㅠ추가비 3처넌인게 좀 비싼듯하지만전체적인금액이 워낙 저렴하니 패스~무엇보다 스파게티 소스를 듬~뿍 주셔서 너무너무좋았습니다 ㅠㅠ맛도 무엇? 하나 빠지지않아요 ㅋ가성비 정말정말 대박인듯..앞으론 여기서만 시켜먹을거에여ㅠㅠ,['https://rev-static.yogiyo.co.kr/36589e5969747eb31008d9143c058b04_tn.jpg']
24,5,['슈퍼슈프림피자 L'],굿따,[]
25,1,['슈퍼슈프림피자 M'],살면서 이렇게 맛없고 냄사나는 피자 처음 먹어봄,[]
26,4,['세트6（수타피자L＋치즈오븐스파게티＋콜라1.25L）'],가격대비 괜찮은 맛이네요 다만 스파게티는 맛이 좀 밍밍해서 다음번에 다시 주문하게 된다면 피자만 시킬듯하네요,[]
