,별점,주문메뉴,리뷰,사진
0,5,"['[행사]랍스터몽땅L', '사이드 선택(콜라1.25', '핫소', '갈릭디핑소스)']",소스 추가했더니 듬뿍주셨네요ㅋㅋ 감사합니다.어제 너무 맛있게먹어서 지금 또 생각나네요!!,"['https://rev-static.yogiyo.co.kr/28d625a342b097106c442afc9c56194a_tn.jpg', 'https://rev-static.yogiyo.co.kr/1c0b1a3572554a4afaf80a830dd36775_tn.jpg']"
1,2,"['[행사]씨푸드빠에야앤스테이크L', '사이드 선택(콜라1.25', '핫소', '갈릭디핑소', '[BEST사이드] 핫 윙（4조각）)', '국내산오이피클']",콜라 주문했는데 오지도않고 맛도 예전보다 못합니다,[]
2,5,"['불고기피자R', '사이드 선택(콜라1.25L)']",아주맛있습니다 ㅎㄹㅎ,[]
3,3,"['[행사]하프앤하프L', '사이드 선택(콜라1.25L)']",바쁜 시간에 주문해서 그런지 피자가 다 식어왔어요.,[]
4,5,['[행사]랍스터몽땅L'],잘먹었어요ㅋㅋ조만간 또먹을겁니다!!,[]
5,4,"['[행사]랍스터몽땅 하프L', '사이드 선택(핫소', '갈릭디핑소', '[BEST사이드] 오븐미트스파게티)']",맛도 좋고 좋아요,[]
6,5,['[행사]씨푸드빠에야앤스테이크L'],맛있어요~~ 다음에 또 시켜먹을께요~~,[]
7,5,"['[행사]랍스터몽땅L', '사이드 선택(사이다1.25L)']",오랜만에 미스터피자 시켰는데 맛있네요~^^,['https://rev-static.yogiyo.co.kr/91d031b709a0c47250429d00feb99369_tn.jpg']
8,5,['[행사]랍스터몽땅L'],믿고 먹는 미스터피자ㅎㅎ 넘넘 맛나요,[]
9,1,"['[행사]씨푸드빠에야앤스테이크L', '오븐치즈 씨푸드 김치 리조또']",다신 안먹어요 ~ 요샌 동네피자가 더 맛잇음배달하시는분은 이런말 하기 좀 그렇게만 싸가지 없음그럴거면 왜하는지 모르겟음,[]
10,5,['[행사]쉬림프골드L'],잘먹었어요 ㅎㅎ빠르구요,[]
11,5,['[행사]치우천왕L'],너무좋아용 최고!!,[]
12,1,['[행사]랍스터몽땅L'],사진과 달리 랍스터가 너무 작네요. 그리고 통살이 아니라 살을 갈았네요. 실망입니다. 더군다나 배달오시는 분이 다른 아파트로 잘못  갔다가 늦게 오셔서 피자도 식었고 오래 기다렸음에도 오히려 제게 화를 내셔서 너무 어이가 없었네요. 손님오셔서 시킨건데 민망했습니다.,[]
13,5,"['[행사]치즈블라썸스테이크L', '사이드 선택(콜라1.25L)']",치즈와 스테이크 고기가 잘어울려요 요즘은 피자는 이것만먹어요,[]
14,4,"['[행사]랍스터몽땅 하프L', '사이드 선택([BEST사이드] 핫 윙（4조각）)']",정말 맛있게 잘먹었어요,[]
15,1,"['[행사]랍스터몽땅L', '사이드 선택(핫소', '갈릭디핑소스)']",사진을 변경하든 제품을 변경하든지요사진이랑 실물이랑 달라도 너무다르자나요이래서 시켜먹겠나요? 배달이라고 이렇게 보내주시는건가요??,['https://rev-static.yogiyo.co.kr/60e26c935cc13554014572334b4c9688_tn.jpg']
16,3,['불고기피자L'],ㅇㅇ,[]
17,5,['포테이토L'],금방 배달왔어요쿠폰까지받아 저렴히잘먹었습니다,[]
18,5,['[행사1만]올댓미트L'],따끈하게 빨리 오고 맛있어요,['https://rev-static.yogiyo.co.kr/8c58bd2d58f7e279c6c5109f6e22ce72_tn.jpg']
19,5,['[행사1만]칠리치킨L'],매콤하고 아주 맛있어요,['https://rev-static.yogiyo.co.kr/10c3e622387bdee69b57528169e23343_tn.jpg']
20,5,"['[행사1만]올댓미트L', '갈릭디핑소스)']",도우도 넘두껍지않고 여러가지 맛을 맛볼수 있어서 좋아요 넘 맛있어요,['https://rev-static.yogiyo.co.kr/c472db440bb7fc0ad67f48dfffe9f7c9_tn.jpg']
21,5,[],고기 푸짐해서 더 맛있었어요. 배달 빠릅니다,['https://rev-static.yogiyo.co.kr/7f4aa91d4b3c2d02ba09ac8df2fe268e_tn.jpg']
22,5,['[행사1만]올댓미트L'],세가지 맛을 골고루 먹으니 좋네요. 매운 닭고기가 입을 개운하게 만들어 줍니다.,['https://rev-static.yogiyo.co.kr/0de815bbf0a3729c6e42d0d972d2ba4d_tn.jpg']
23,5,['홈샐러드'],풍부한 토핑! 크림치즈가 짱!!,[]
24,4,"['[행사1만]올댓미트L', '[BEST사이드] 오븐치즈 미트스파게티)', '사이다500ml']",맛있었어요 근데 바쁘셔서 그런지 콜라 시켰는데 안가져다주셨어요ㅠㅠ,[]
25,4,['[행사1만]풀드포크L'],맛있는데 조금 짰어요,[]
26,4,"['올댓미트R（6천원할인가）', '베이컨 크림 리조또', '사이다1.25L']",리조또는 양파 리조또 인줄 알았네요,[]
27,4,['[행사1만]올댓미트L'],맛있게 잘 먹었어요,[]
28,5,['[행사1만]올댓미트L'],세가지 맛세가지 감성세가지 느낌^^,[]
29,5,"['[행사1만]올댓미트L', '갈릭디핑소스)']","매우 맛있고,다시 먹고 싶습니다!",['https://rev-static.yogiyo.co.kr/2f1a0ed905ef1d441270fe07ea4c9504_tn.jpg']
