,별점,주문메뉴,리뷰,사진
0,5,['뼈없는2마리세트3（양념치킨＋간장치킨）'],맛있습니다. 파닭은 여기서만 시켜먹을꺼같아요~ 파가 많아서 너무좋았습니다! 양도 많아요.. 순살이라고 적을줄알았는데 엄청배부르게 잘먹었습니다!,['https://rev-static.yogiyo.co.kr/d56dec097907c874abf2f0db495378b9_tn.jpg']
1,4,"['세마리치킨', '치킨2 맛 선택(치즈시즈닝', '치킨3 맛 선택(양념)']",맛있어요,[]
2,5,[],맛있습니다,[]
3,5,[],"맛있어요, 양도 많구 자주 먹을게요",[]
4,5,[],간만에 파닥 시켰는데 역시 친절하고 맛도있음,[]
5,5,['뼈없는2마리세트1（양념치킨＋후라이드）'],파닭에 눈을 뜨게한곳~맛있어서 요기에서만 시켜먹네요🙆,[]
6,5,"['뼈없는2마리세트3（양념치킨＋간장치킨）', '생맥주 1000cc']",언제나 대만족♡,[]
7,4,['뼈없는2마리세트1（양념치킨＋후라이드）'],양도많고 맛도 좋네요,[]
8,5,['뼈없는2마리세트1（양념치킨＋후라이드）'],배달하시는분 친절하셔서 별 다드립니다.맛도있어요,[]
9,5,['뼈없는2마리세트2（간장치킨＋후라이드）'],먹을만해용 파가너무많지만,[]
10,4,['뼈없는2마리세트2（간장치킨＋후라이드）'],간장 소스의 맛이 아쉽다,[]
11,4,['뼈없는 핫부르 2마리세트3（핫부르＋간장치킨）'],교촌 레드핫치킨처럼 매운맛을 먹어볼려고 시켰는데 많이 맵지는 안네요,[]
12,5,['뼈없는 핫부르 2마리세트1（핫부르＋후라이드）'],배달 빠르고 양많고 맛잇어요!,[]
13,5,['뼈없는2마리세트2（간장치킨＋후라이드）'],맛있습니다양도 많고,[]
14,4,['뼈없는2마리세트4（양념치킨＋겨자치킨）'],맛과 양 배달 모두 무난합니다,[]
15,5,['뼈없는2마리세트1（양념치킨＋후라이드）'],맛있어용 양엄청많음,[]
16,4,['뼈없는2마리세트1（양념치킨＋후라이드）'],항상 맛있네요 근데 좀더 따뜻하게  배달되었으면 더 맛있을것 같아요~~,[]
17,5,['뼈없는 핫부르 2마리세트1（핫부르＋후라이드）'],항상 푸짐하고 너무 맛있어요ㅠㅠ,[]
