,별점,주문메뉴,리뷰,사진
0,5,"['갈비찜', '맛 선택(매운맛', '음료 선택(사이다500mL)']",밥을 부르는 갈비찜이네요 고기에서 냄세도안나고 양도 만족 맛도 만족합니다  자주시켜먹을꺼같아요~,['https://rev-static.yogiyo.co.kr/976f354ca4c723735de422baf4c05d13_tn.jpg']
1,5,"['갈비찜', '맛 선택(매운맛', '음료 선택(콜라500mL)']","이쪽으로 이사오고 시켜먹은 갈비찜 중 최고 !!! !! 아주 만족스러워요 ㅎㅎ ㅎ 전에 살던곳은 이런 맛집이 없어서 거의 집밥만 .. 먹었는데 ㅜㅜ ㅜ앞으로 자주 이용할거같아요 이런 맛집이 배달까지빠르다니 놀라움의 연속인 갈비찜이였습니다 이 맛 오래 오래 유지해주시길 ,,,, ❤️",['https://rev-static.yogiyo.co.kr/0dde9e9e5188e1b40c55c197bbfad2be_tn.jpg']
2,4,"['갈비찜', '맛 선택(중간맛', '음료 선택(콜라500mL)', '공기밥', '카스병맥주']",배달은 한시간 정도 걸렸구요 맛잇엇어요아쉬운 점은 저는 오이랑 당근이랑 상추 마늘 이런거 주시는줄 알았는데 그냥 김치랑 오댕 이런 반찬으로 바꼇더라구요ㅠㅠ거의 안먹엇어요 당근 오이 상추가 더 조아요 ㅠ,['https://rev-static.yogiyo.co.kr/2c5606b3ee440e50110f012d0fb30458_tn.jpg']
3,4,"['갈비찜', '맛 선택(중간맛', '음료 선택(사이다500mL)', '계란찜', '공기밥']",생각보다 국물이 많았지만 맛있어요~,[]
4,5,"['갈비찜', '맛 선택(중간맛', '음료 선택(콜라500mL)', '물냉면', '공기밥']",완전 적극추천이요 감사히 잘먹었습니다,[]
5,5,"['갈비찜', '맛 선택(매운맛', '음료 선택(콜라500mL', '사이드 추가(메추리알 추', '치즈토핑 추가)', '공기밥']",맛잇는데매웟어요살딱 ㅜㅠ,[]
6,5,"['갈비찜', '맛 선택(매운맛', '음료 선택(콜라500mL)', '공기밥']",맛있어여 양도많고 굳굳,[]
7,5,"['갈비찜', '맛 선택(매운맛', '음료 선택(콜라500mL)', '공기밥']",좀더매웠음좋았을듯해요,[]
8,3,"['갈비찜', '맛 선택(중간맛', '음료 선택(콜라500mL)']",조금 냄새가 나네요. 좀 매워서 밥이랑 같이 먹으니 적당했어요,[]
9,5,"['갈비찜', '맛 선택(매운맛', '음료 선택(콜라500mL)', '공기밥']",양도 너무 많고 맛있어요!다음엔 좀 더 안 맵게 시켜야겠어요 ㅠㅠ중간맛도 저는 맵네요ㅠㅠ!맛있게 잘 먹었습니다 :),[]
10,5,"['갈비찜', '맛 선택(매운맛', '음료 선택(사이다500mL)']",냄새도 안나고 맛있게 잘 먹었어요!고기가 퍽퍽살만 있을줄 알았는데 부드러운 부위도 지방부분도 섞여있어서 좋았어요!배달도 빠르고 양도 만족스러웠어요!나중에 또 시킬께요 많이 파세요~,['https://rev-static.yogiyo.co.kr/4d2d9008f7ff341f15d580e5b01b1741_tn.jpg']
11,1,"['갈비찜', '맛 선택(중간맛', '음료 선택(콜라500mL)']",누린내 나서 먹다 버렸습니다와이프도 못먹겠데요 소주랑 같이 먹어도 제입맛에 누린내가 납니다맘같아선 환불하고싶어요,[]
12,3,"['갈비찜', '맛 선택(순한맛', '음료 선택(콜라500mL)']",구냥 괜츈한데 쬐끔 질겨요...,[]
13,5,"['갈비찜', '맛 선택(중간맛', '음료 선택(콜라500mL)']",잘먹었습니다~~~!,[]
14,1,"['갈비찜', '맛 선택(순한맛', '음료 선택(콜라500mL)', '계란찜']","배달 음식이라 큰 기대를 안하는 편인데정말 기대 이상으로 맛없습니다.순한맛 시켰는데, 비린내가 랩 뜯자마자 올라오고 비려서 못먹겠네요.잡내를 이리 못잡고 음식을 팔수 있나 생각이 드네요.",[]
15,5,"['갈비찜', '맛 선택(중간맛', '음료 선택(콜라500mL)', '공기밥']",배달시간은 적당하구요맛은 돼지냄새가 좀 났어요누린내만 잡으면 좋을 듯 합니다.,[]
16,1,"['갈비찜', '맛 선택(순한맛', '음료 선택(콜라500mL)']",회사에서 배달할 때 맛있어서 주문했는데오늘은 냄새가 많이 나네요 ㅠㅠ,[]
17,5,"['안동찜닭', '음료 선택(콜라500mL)', '물냉면']",(^-^)vcccccvvc,[]
18,1,"['김치갈비찜', '맛 선택(중간맛', '음료 선택(사이다500mL', '사이드 추가(치즈떡 추', '주먹밥 추가)']",김치찜 시켰는데 갈비찜왔어요이건 그렇다치는데떡이...그냥쌩떡을 넣어주셨나봐요안씹혀서 다시 끓이고있네요..ㅜㅜ힝,[]
