,별점,주문메뉴,리뷰,사진
0,3,['2SET（후라이드＋간장치킨＋콜라 or 쿨피스）'],간장치킨은 밥이랑 드셔야 할 정도고 후라이는 보통 펴균적인 맛 입니다배달은 1시간 생각 하셔야 하고 전화 문의했더니 불친절 합니다,[]
1,3,['3SET（양념치킨＋간장치킨＋콜라 or 쿨피스）'],간장치킨이 너무 짯어요 제것만 그런가요??,['https://rev-static.yogiyo.co.kr/abe1436faf5286652c4b5960af6be03d_tn.jpg']
2,3,"['반반치킨', '양념)']",음... 피자 시켰을 때 만족도가 높아서 치킨 시키려고 보니까 같은 집이 있어서 시켜봤는데...우선 맛은 평범해요 후라이드는 간이 잘 된 부분 짠 부분 안 된 부분이 갈렸습니다양념은 그냥 양념이었어요 무엇보다 튀김 상태가 바삭하지 않아요..양은 보자마자 놀랄 정도로 많긴 한데 다리 날개만 먹고 그만 먹었어요 그리고 같이 들어간 웨지감자도 넣으셨는데 너무 눅눅해요 개인적으로 빼는게...개선은 가능할거라 믿지만 지금 느낀 맛으로선 재주문은 안 할 것 같아요...시간이 지나고 개선이 되었겠다 싶을 때쯤에 다시 시켜볼게요..,['https://rev-static.yogiyo.co.kr/42a13d21230ad885c96b46cb8566518b_tn.jpg']
3,5,['3SET（양념치킨＋간장치킨＋콜라 or 쿨피스）'],배달도 빠르고 양도 많네요 ㅎㅎ맛은 튀김이 옛날 튀김맛? 고소하네요 ㅋㅋ,['https://rev-static.yogiyo.co.kr/64eeac2e90d75593f89267f0aa662768_tn.jpg']
4,5,['1SET（후라이드＋양념치킨＋콜라 or 쿨피스）'],유명브랜드 가격으로 여기서는 두마리를 먹을수있어서 좋았고치킨맛 무난했으며 배달은 50분걸린다더니 30분걸렸습니다. 굿굿치킨만 먹으면 물리는 감이 있었을텐데 감자가 같이 있어서 괜찮았어요.,['https://rev-static.yogiyo.co.kr/1fd7b3617776ae9c5c4a22e0dfaf780b_tn.jpg']
5,3,['후라이드'],야간에 늦게 까지 배달해주셔서 감사드립니다,[]
6,5,['2SET（후라이드＋간장치킨＋콜라 or 쿨피스）'],24시간 치킨치곤  맛도 배달시간도 괜찮아요간장치킨 다른 리뷰들보고 궁금해서 시켜봤는데 안짜요 바뀐건가요?ㅎㅎ,['https://rev-static.yogiyo.co.kr/0e887bd75fd523326592efbf565b48e5_tn.jpg']
7,5,['2SET（후라이드＋간장치킨＋콜라 or 쿨피스）'],헐 별생각없이 시켰는데 맛잇네요. 정말요ㅋㅋ,[]
8,1,['1SET（후라이드＋양념치킨＋콜라 or 쿨피스）'],"굉장히 형편없네요 주문은 누락시키고 요기요에 등록된 전화번호로 전화를 걸어 문의했더니 피자집에 잘못 거신거 아니냐고 이상한소리를 하시고, 주문 누락시킨것도 화나는데 자기들이 전화등록을 잘못 해둔걸 고객 잘못으로 돌리네요 한달 사이에 3번주문했었는데 다시 주문하긴 힘들꺼 같네요",[]
9,1,['1SET（후라이드＋양념치킨＋콜라 or 쿨피스）'],주문 누락시키고 전화를  잘못했다고 고객에게 잘못을 돌리신 사장님 이 사진 꼭 보시길 바랍니다.이걸 보고도 피자집에 잘못 전화했다고 하실껀가요?,['https://rev-static.yogiyo.co.kr/c168821fa621d2921830e9f85611725c_tn.jpg']
10,4,['2SET（후라이드＋간장치킨＋콜라 or 쿨피스）'],잘 먹었습니다 늦은시간에 ㅎㅎ,[]
11,4,"['순살후라이드', '콜라 1.25L']",맛있고  양도 착하네요 친절하고,[]
12,5,"['반반치킨', '양념)']",양념 반 후라이드 반 뼈치킨을 시켜봤는데 양념소스가 다 떨어져서 칠리로 대신 받았구요칠리는 음 기대 이하였어요 단짠단짠한 맛보다 그냥 짠 느낌이여서.. 후라이드는 맛있었네요,['https://rev-static.yogiyo.co.kr/1a7e17817daa1b8dec96aafff5394acd_tn.jpg']
13,4,['1SET（후라이드＋양념치킨＋콜라 or 쿨피스）'],맛있게 잘먹었습니다.,[]
14,4,['3SET（양념치킨＋간장치킨＋콜라 or 쿨피스）'],솔직히 양념은 별로 간장은 맛있었어요,[]
15,4,"['반반치킨', '양념)']",아침에 시켰는데 배달이 조금 오래걸리네요맛은 좋습니다 ㅎ,[]
16,5,"['2SET（후라이드＋간장치킨＋콜라 or 쿨피스）', '크런치새우 5조각']",맛있었습니다 ㅎㅎㅎㅎ,[]
17,4,"['반반치킨', '간장)']",간장은 맛있는데 양념은 제 입맛에 안맞더라구요 전체적으로 좋았어요,[]
18,5,['2SET（후라이드＋간장치킨＋콜라 or 쿨피스）'],리뷰들보고 맛없어졌나싶엇는데 그냥맛잇게잘먹음,[]
19,4,['2SET（후라이드＋간장치킨＋콜라 or 쿨피스）'],후라이드에 양념 소스같은게 있으면 더 맛있을거 같아용,[]
20,3,['2SET（후라이드＋간장치킨＋콜라 or 쿨피스）'],순살인줄도 모르고 시켰네요~ 시켜드시려는분들 참고하시길,[]
21,4,['1SET（후라이드＋양념치킨＋콜라 or 쿨피스）'],적당하네요 근데 너무달아요,[]
22,4,['2SET（후라이드＋간장치킨＋콜라 or 쿨피스）'],간장치킨이 약간 짜지만 맛있네요~,"['https://rev-static.yogiyo.co.kr/8823cb0b918e2614ffd5a8cf5c1b069a_tn.jpg', 'https://rev-static.yogiyo.co.kr/64a187f4f049e09a62258636f71eda49_tn.jpg', 'https://rev-static.yogiyo.co.kr/5a80e150fd702888aa4466da39533271_tn.jpg']"
23,4,['3SET（양념치킨＋간장치킨＋콜라 or 쿨피스）'],간장&양념 시켰는데 3명에서 먹기엔 너무 많이 남았어요!! 양이 진짜 많고 맛도 괜찮았어요!! 개인적으로는 양념보단 간장이 더 맛있었어요,['https://rev-static.yogiyo.co.kr/4bd7f1fe1ba2a5d3c3033be0254dd528_tn.jpg']
24,5,['순살후라이드'],맛있어요 잘먹었습니다,[]
25,5,"['순살양념치킨', '생맥주 1000cc']",앗~ 감싸합니다.^^,[]
26,5,['3SET（양념치킨＋간장치킨＋콜라 or 쿨피스）'],맛있어요~ 양도 많고사장님 전화까지 주셨는데 직원분 실수 안하셨어요~저희집이 아닌거같아요다음에 또 주문할게요,['https://rev-static.yogiyo.co.kr/a0c2e850a9ae81289654d64bef0b381b_tn.jpg']
