,별점,주문메뉴,리뷰,사진
0,4,['페파로니피자 M'],음 치즈가 살짝 굳어있어서 맛만 보자면 원래 먹던 곳이 괜찮은 것 같기도 하지만거기서 먹으면 항상 얼굴에 트러블이 생겼었는데 이 집 피자는 하나도 안 올라오더라구요이제 여기서만 먹을 것 같습니다먹었을 때가 개업 일주일도 안 됐을 때라 충분히 개선 가능할 것 같아요무엇보다 은근히 짜증나는 배달요금도 안 받으시고 가격 비교해보니까 5천원 넘게 차이나더라구요 ㄷ ㄷ원래 반판만 먹으려고 했는데 정신차리니까 사라져있었습니다..배달은 너무 빨라요! 너무 빨라서 문제에요저는 퇴근하면서 시켜서 ㅠㅠ 요청사항도 반영해주시면 더 좋을듯!,['https://rev-static.yogiyo.co.kr/b5fc1b624c58458ed527008ce68b4126_tn.jpg']
1,5,"['불고기피자 M', '윙（5조각）']",맛있습니다......^^,[]
2,4,"['통새우피자 L', '윙（5조각）', '생맥주 1000cc']",피자는 전체적으로 만족하고 맛 또한 좋습니당~~^^사이드로 시킨 윙은 사실 조금 아쉽네요ㅜ덜 익어 온거 같아서요ㅜㅜ윙빼고는 만족합니다 별 4개♡,"['https://rev-static.yogiyo.co.kr/b3bd0a575acd25aa37265c7779c177d9_tn.jpg', 'https://rev-static.yogiyo.co.kr/e4c0f2913d86ba6253a4937eb06daec6_tn.jpg']"
3,5,"['치킨피자 M', '사이다 500mL', '소주']",치킨피자가 궁금했는데 사진이 없어서 시켜봤어요. ~ 적당히 매콤하고 치킨도 많이 들어가 있어 좋네요. 배달도 빠르구요. 잘 먹었습니다. ^^~,['https://rev-static.yogiyo.co.kr/2413f090c590b6136db132c7dcee813b_tn.jpg']
4,5,['밀라노 10오리지널 피자 L（4색피자）'],토핑 완전 푸짐하고 요청사항도 잘 들어주셨습니다. 고구마가 엄청 크네요 ㅎㅎ 타 앱에서 시켜먹고 3일만에 또 시키네요,['https://rev-static.yogiyo.co.kr/b9b4a0eb36b790899324c65c655dd204_tn.jpg']
5,5,['불고기피자 L'],일주일 새 벌써 3판째네요 핫소스 치즈 2개씩 챙겨주시고 여전히 토핑은 푸짐하네요 4가지 맛만 먹다가 단일시켜봤습니다. 제가 고구마를 선호하지 않아서 2가지인 하프앤하프를 시키려 했는데 요건 가격 차이가 많이 나서 아쉬웠어요. 그래도 맛나요,['https://rev-static.yogiyo.co.kr/0eb59bc72aa3906f88ec4252bc8b6869_tn.jpg']
6,3,"['고구마피자 M', '사이다 500mL']",토핑 양이 엄청 나요 건강한 맛입니당 배달 시간도 빠르구,"['https://rev-static.yogiyo.co.kr/c8451cad4b6c2d107c6cf6fc258588f0_tn.jpg', 'https://rev-static.yogiyo.co.kr/ae700adfe3ae7c815a1cd794c011e45f_tn.jpg']"
7,5,"['밀라노 10오리지널 피자 L（4색피자）', '불고기피자 L', '콤비네이션피자 L', '통새우피자 L', '콜라 1.25L', '사이다 1.25L']",싸고 맛있었습니다 .,[]
8,4,['밀라노 10오리지널 피자 M（4색피자）'],새벽에 피자가 땡길때 먹을수있는 맛집 찾음,['https://rev-static.yogiyo.co.kr/c7342029ffd22280dc79c8dddd0a8eec_tn.jpg']
9,4,['밀라노 10오리지널 피자 M（4색피자）'],페퍼로니가 더 나아요..,[]
10,5,"['밀라노 10오리지널 피자 L（4색피자）', '콜라 500mL']",맛있게 싹 다 먹고 잤습니다,['https://rev-static.yogiyo.co.kr/fdd156ebf50ad431fa5a91b818cef410_tn.jpg']
11,5,['페파로니피자 M'],페페로니피자 잘먹었습니다.,[]
12,5,['밀라노 10오리지널 피자 L（4색피자）'],제가 고구마 싫어한다고 하니까 고구마 빼고 가져다 주셨어요 완전 감동입니다. 풍성한 토핑은 덤,['https://rev-static.yogiyo.co.kr/33e7fcbeb251c7b227bcc7b62a50619f_tn.jpg']
13,5,['밀라노 10오리지널 피자 M（4색피자）'],빠른 배달 맛잇어요오오,"['https://rev-static.yogiyo.co.kr/af8ebe3000c4c81cd217e5777a97654a_tn.jpg', 'https://rev-static.yogiyo.co.kr/8d88e7c855a0ad1342a18b79d067ebb6_tn.jpg', 'https://rev-static.yogiyo.co.kr/01267f43d1b1ee1f3748b9ebf1ff5370_tn.jpg']"
14,5,"['밀라노 10오리지널 피자 L（4색피자）', '치즈스틱', '콜라 1.25L']",토핑 대박 맛도 대박 자주 이용하겠습니다 ㅋ,['https://rev-static.yogiyo.co.kr/f0abdb2db29ba0c207e9edda55cba501_tn.jpg']
15,4,"['밀라노 10오리지널 피자 M（4색피자）', '생맥주 1000cc']",토핑양이 많았고 추운날인데도 피자가 따뜻해서 좋았음!!!! 생맥은 쪼끔 별로였..ㅎ,"['https://rev-static.yogiyo.co.kr/3b6eca9d0238bfaaebee0e59ddf9d428_tn.jpg', 'https://rev-static.yogiyo.co.kr/80100f22e2947c2b7bf416042d553d30_tn.jpg']"
16,5,"['통새우피자 L', '콜라 1.25L']",주문이 약간 늦는거 빼곤 다 좋습니다,[]
17,5,['밀라노 10오리지널 피자 M（4색피자）'],배달은 한시간 가까이 걸리는데 이거 감안하세요 제대로 만들기 땜에 성의없이 올 수가 없습니다. 이야~~ 배달집인데 제대로 된 피자 처음봐요 식지도 않았고 치즈도 늘어나고 토핑도 많고 심지어 맛도 있고 가격도 적당하고 피자도 통통하고 이건 뭐 ... 백종원 선생님이 와도 인정하겠네요 . 앞으로 피자먹을 땐 무조건 여깁니다.,[]
18,5,"['밀라노 10오리지널 피자 M（4색피자）', '콜라 1.25L']",배달이 쫌만 빨리 와주셨으면 좋았을텐데 배달이 마니 늦네요!!!,[]
19,5,['밀라노 10오리지널 피자 L（4색피자）'],맛있어요~!사진은 먹어치우느라 깜박하고 못찍구 ㅜㅜ사장님께서 엄청 친잘하세용 ㅎㅎ,['https://rev-static.yogiyo.co.kr/aa274b21ed2fcb1830340662bb7373f7_tn.jpg']
20,4,"['밀라노 10오리지널 피자 M（4색피자）', '콜라 1.25L']",맛있는데 고구마맛이 퍽퍽해서 좀 아쉬워요,[]
21,5,"['밀라노 10오리지널 피자 L（4색피자）', '쿨피스 750mL']",토핑이 매우 많아서 놀랫어요 가격대비 최고예요,['https://rev-static.yogiyo.co.kr/9b83964b6dcf1ef7642ca0e735d01c36_tn.jpg']
22,2,"['밀라노 10오리지널 피자 L（4색피자）', '치킨텐더', '콜라 1.25L']",리뷰보구 시켯는데ᆢ넘 기대를 햇나봐요ᆢㅜㅜ 도우에 토마토소스가 넘 적게 발라졋어요ᆢㅜㅜ실망ᆢㅜㅜ,[]
23,3,"['밀라노 10오리지널 피자 L（4색피자）', '생맥주 1000cc']",토핑 많았음 굿굿굿굿,[]
24,5,"['밀라노 10오리지널 피자 L（4색피자）', '콜라 1.25L']",새벽에 배고파서 혹시나해서 열어보니 진짜잇엇네요 와..감사합니다,['https://rev-static.yogiyo.co.kr/b23d2185bd9d86291dba90c1f484102d_tn.jpg']
25,5,"['밀라노 10오리지널 피자 L（4색피자）', '콜라 1.25L']",또 새벽에 시키니까 빠르게오더군요 굳굳,['https://rev-static.yogiyo.co.kr/8ab78776904808d26d53f78c8ec15195_tn.jpg']
26,3,"['고구마피자 M', '사이다 1.25L']",저번에는 진짜 맛있었는데 고구마 피자만 먹어서 그런가 정말 느끼하네요 .....,[]
27,1,"['하프앤하프 L', '통새우피자', '도우 선택(추가 안함)', '오징어링']",주문한지 한시간이 넘어서 배달완료 메세지가 떠서 확인해보니 모르고 있더라...사과도 미적 미적...뭐 이딴데가 있냐...바쁜 시간도 아니었는데,[]
