,별점,주문메뉴,리뷰,사진
0,5,"['바른 콩국수', '참치 김밥']",콩국수 맛있었어요~!,[]
1,5,"['가락 떡볶이', '새우 표고 만두', '달래향간장 비빔밥', '돈가스 김밥']",건강한맛이에요~~~,[]
2,3,"['치즈 등심 돈가스', '달래향간장 비빔밥']",가격대비 비추에요 ㅠㅠ,['https://rev-static.yogiyo.co.kr/ae1d94ec14b7936914e93b0fddcda5a6_tn.jpg']
3,5,"['가락 떡볶이', '김선생 비빔면', '매운 제육 쌈 김밥']",맛있었어요! 특히 비빔면 ㅎㅎ,[]
4,4,"['크림치즈 호두 김밥', '매콤 장아찌 김밥', '매운 멸추 김밥', '사이다 355ml']",배달시간은 예상 시간보다 빨리왔어요!다 처음 먹어보는 김밥으로 주문했는데 매운멸추김밥은 입이 얼얼할 정도로 맵네요!신선하고 맛있게 잘 먹었습니다.,"['https://rev-static.yogiyo.co.kr/27cf3c51c6506aa0c64aa93196f92f6f_tn.jpg', 'https://rev-static.yogiyo.co.kr/0195f11af7c644935a57d50303103057_tn.jpg', 'https://rev-static.yogiyo.co.kr/c64187cfe4cfbc660e3a645130028746_tn.jpg']"
5,5,"['가락 떡볶이', '갈비 만두', '크림치즈 호두 김밥', '바른 김밥']",30분만에 배달해주셨어요~굿~입니다~,[]
6,5,"['김선생 비빔면', '바른 김밥', '사이다 355ml']",최소금액이 좀 비싸서 하나더시키면서 받긴했는데 최소금액만 조금 적어지면 혼자먹기에 좋을거같아요~맛은 좋아요^^,['https://rev-static.yogiyo.co.kr/a75b32a2b21cc1fd09b4a1c616f78650_tn.jpg']
7,5,"['바른 등심 돈가스', '바른 김밥']",요기요 할인할때 먹음 괜찮아요,[]
8,5,"['갈비 만두', '철판 제육 덮밥', '새우튀김 김밥']",맛있습니다 양도 많음,[]
9,5,"['가락 떡볶이', '철판 불고기 덮밥']",배달도 빠르고 맛있게 잘 먹었습니다~,[]
10,5,"['가락 떡볶이', '돈가스 김밥']",너무 맛있어욤 ㅠㅠ 요기요 잘 안써서 쿠폰 있는줄 몰랐는데 전화주문 하니까 사장님께서 너무 친절하게 요기요에 할인 쿠폰 있다고 하셔서 싸고 맛있게 잘먹었습니다 또 주문 할게요 ^.^,['https://rev-static.yogiyo.co.kr/a06b7e0493a7ca226fcd0f2c03128ef0_tn.jpg']
11,5,"['달래향간장 비빔밥', '철판 제육 덮밥']",따끈한 음식이 배달되어왔어요,[]
12,4,"['순메밀 회냉면', '철판 불고기 덮밥']",면이 불어서 잘 비벼지지 않았어요 ㅜㅜ,[]
