,별점,주문메뉴,리뷰,사진
0,5,"['새우 표고 만두', '튀김어묵우동', '바른 김밥']",너무맛있어요 특히 만두가!!!!!!!!!!,[]
1,4,"['갈비 만두', '새우튀김 김밥', '크림치즈 호두 김밥', '바른 김밥']",배달도 빠르고 맛도 있는데 배달료 2000원이 있다는걸 배달 하시는 분이 달라고 하셔서 알았네요.아무리 주문 페이지를 봐도 제 눈엔 안보이는데 제가 잘못 보는건가요?잘 보이는 곳에 배달료는 2000원이고 배달기사님께 직접 내야 한다고 적어주셨음  좋겠네요~갑자기 배달 기사님이 달라고 하시니 당황스러웠습니다.,[]
2,5,"['새우 표고 만두', '치즈 등심 돈가스', '바른 김밥']",또먹었어요~~ 맛있어요,[]
3,5,"['가락 떡볶이', '바른 등심 돈가스', '바른 김밥']",바르다 김선생 괜찮습니다.,[]
4,4,"['갈비 만두', '매운 제육 쌈 김밥', '바른 김밥', '매운 멸추 김밥']",배달료2천원 따로 받네요,[]
5,4,"['가락 떡볶이', '갈비 만두', '바른 삼계죽']",맛있고 좋은데 배달비를 현금 결재하게 하는게 불편하네요 쿠폰도 못쓰게 되구..,[]
6,4,"['2인세트', '튀김어묵우동', '바른 김밥']",깔끔하고 맛도 좋아요 양은 푸짐하진 않네요,[]
7,4,"['가락 떡볶이', '쫄깃 냉우동', '바른 김밥']",포장도 깔끔하고 배달도 빨랐어요 냉우동과 김밥이 맛있어요,"['https://rev-static.yogiyo.co.kr/aa6afcab526677596ced41eb1ba40aeb_tn.jpg', 'https://rev-static.yogiyo.co.kr/ad006812aaf3acaee8c689763747fc32_tn.jpg', 'https://rev-static.yogiyo.co.kr/ea3f6d32e2157db84bb092da095be47c_tn.jpg']"
8,4,"['치즈 가락 떡볶이', '튀김어묵우동', '바른 김밥']",배달비가 후불이여서 불편했었는데 개선이 되서 좋아요 맛도 좋고 양은 적당합니다.,[]
9,5,"['순메밀 회냉면', '쫄깃 냉우동', '김선생 비빔면', '바른 김밥']",너무 맛있게 먹었읍니다!,[]
