,별점,주문메뉴,리뷰,사진
0,5,[],맛있었어요~^~^~,[]
1,5,[],맛있었어요  죠금 아쉬운건 들 매워요  매운단게정할수있음좋겠습니다,[]
2,5,[],맛잇어요,[]
3,5,[],맛있어요,[]
4,5,['매운소갈비 김치찜'],잘먹었습니다,[]
5,1,['부대찌개 小'],저희 방금 막시켰는데 수세미 조각나왓어요 좀너무하네요 이미먹고잇는지라어떻게해야할지도모르겟네요,"['https://rev-static.yogiyo.co.kr/439d812c2d3751b6797fdaba523543a4_tn.jpg', 'https://rev-static.yogiyo.co.kr/ab9f28401e3bd292403976857462c25d_tn.jpg']"
6,3,"['매운돼지갈비 김치찜', '열무비빔냉면']",그냥저냥 야식으론 괜찮은데 자주애용하진 않을거같아요~,[]
7,3,[],음식에서 머리카락나왔어요ㅡㅡ 이거는 아니든...,[]
8,2,[],ㄷ,[]
9,5,['앞다리살김치찜'],이틀에 걸쳐 먹었는데 또 시켜먹을거에요 맛있네요,[]
10,5,['앞다리살김치찜'],ㄹㅇ 개존맛 두번드세여 존맛임,[]
11,1,[],너무 맛없음 진짜 개맛없음....진짜 개맛없고 서비스도 별로 진짜 돈아깝고 너무 기분나쁘게 맛없음,[]
12,4,['앞다리살김치찜'],생각보다 양이 좀 적었지만 맛은 괜찮네요,['https://rev-static.yogiyo.co.kr/c050483c944dd527041acd90adcab891_tn.jpg']
13,5,"['등갈비김치찜', '공기밥', '계란말이']",맛있게 잘먹었습니다~,[]
14,5,"['등갈비김치찜', '추가 선택(고기 추가)', '계란말이']",너무 너무 맛있어요,[]
15,5,"['앞다리살김치찜', '공기밥']",양 많고 맛있었어요~ 김치가 조금믄 덜 시면 좋을 것 같아요,[]
16,4,"['앞다리살김치찌개', '공기밥']",양이 되게 많아서 남겼네요~ 김치가 너무 셨어요 ㅠㅠ,[]
17,1,"['등갈비김치찜', '공기밥', '사이다 1.25L']",철 쑤세미에 김치에는 모래가 씹히고등갈비 김치찜 3인분에 등갈비는 6~7개나머지는 김치 한포기와 통당근 1개 4등분정말 시켜먹은 음식중 최악이였습니다,['https://rev-static.yogiyo.co.kr/afffb130ec3409822f057aeb41dbdc4c_tn.jpg']
18,4,"['닭도리탕', '공기밥']",아주아주 잘 먹엇습니다,[]
19,5,['닭도리탕'],맛있게 잘먹었습니다,[]
20,5,"['앞다리살김치찜', '공기밥']",맛있어요~~오늘은고기가조금들어갔네요 그래도마싯게잘머것습니나,['https://rev-static.yogiyo.co.kr/811333c48b76a23327f37b7abef280f3_tn.jpg']
21,5,['앞다리살김치찌개'],잘먹었습니다~~~!,[]
22,1,[],.,[]
23,5,['앞다리살김치찜'],넘넘 맛있어요^^또주문할게요,[]
24,4,"['앞다리살김치찜', '콜라 1.25L']",맛은 보통이네요 나머지는 만족 하네요,[]
25,2,['등갈비김치찜'],무슨 23000에갈비가 달랑5개,[]
26,1,['등갈비김치찜'],등갈비 한조각에 나머지 잡고기 어이상실찜 소자면 최소 뼈다귀해장국 1인분 용기의 양은 되어야 하는거 아님? 그것도 장사하는 분 생각해서 현금결제했는데;;사기당한 기분이다,[]
27,5,"['등갈비김치찜', '추가 선택(고기 추가)']",맛나네여 부침개 잘먹었습니다,['https://rev-static.yogiyo.co.kr/d97e1dd2c287d3eac8bb72c2abbfa302_tn.jpg']
28,4,"['돼지갈비김치찜', '추가 선택(고기 추가)', '참이슬 오리지날']",고기가 생각보다 적었오요ㅠ,['https://rev-static.yogiyo.co.kr/8e94b25f2df8f386586754babe0cc02d_tn.jpg']
29,3,"['앞다리살김치찜', '공기밥']",김치가 너무맛있습니다,[]
30,5,"['감자탕', '공기밥']",부침개도 맛있고 무엇보다 감자탕 최고예요 감자탕에 대한 평이 없어서 긴가민가 했는데 너무 맛있습니다 다음에 또 먹을거예요!!!!,[]
