,별점,주문메뉴,리뷰,사진
0,5,['순살양념게장비빔밥'],"리뷰처음써봅니다.양념게장밥 주문했는데 맛있게 먹는 방법 TIP먼저 밥을 비비고, 게장을 밥위에 얹어먹으면그냥 밥도둑이다. 최고",[]
1,5,['감칠나는 순살간장게장 350g'],사장님 마인드와 서비스가 대기업 AS 급,[]
2,5,"['순살간장게장비빔밥', '순살양념게장비빔밥']",간단하게 게장 즐기실분들 추천해요 깔끔하고 맛있어요♡,[]
3,5,"['순살간장게장비빔밥', '순살양념게장비빔밥']",맛있게 잘먹었습니다 종종 시켜먹어야겟어요ㅎㅎ전화로 맛잇게 먹는법도 친절히 알려주시고 좋앗습니다 서비스로 사과음료도 받아서 입가심햇네요ㅎㅎ 또 시킬게요ㅎㅎ,"['https://rev-static.yogiyo.co.kr/d79c656c981d2c1a62fce4c66806eafd_tn.jpg', 'https://rev-static.yogiyo.co.kr/279b33438d6cc5c3de95f517b346784b_tn.jpg']"
4,5,"['순살간장게장비빔밥', '순살양념게장비빔밥']",진짜 밥순삭이네요 ㅋㅋ 뚜껑따자마자 다먹었어요..ㅋㅋㅋ 존맛게장을 푸짐하게 주셔서 한번에 다 부었더니 짜서 밥 더 넣었어요. 기호에 따라 조절하며 먹으시면 될듯!!ㅋㅋ  다음에 또 시켜먹을게용~! 서비스도 감사합니다^3^,[]
5,5,['순살양념게장비빔밥'],아이고 배고파서 허겁지겁먹느라 사진이없네요ㅠ두번짼데 어찌알고 양도 넉넉히주시고ㅠ 감사합니다 잘먹었습니다,[]
6,5,"['순살간장게장비빔밥', '순살양념게장비빔밥']",괜찮은 배달음식점 찾은 것 같아요. 깔끔하고 맛도 좋고 메뉴도 좋습니다~,[]
7,5,['순살간장게장비빔밥'],"간장게장비빔밥으로 주문했어요^0^ 너무 맛있었고 사장님도 친절하시고 서비스로 주신 요구르트도 잘먹었습니당게장이 짜지 않고 적당해서 먹기좋았어용 정말 말그대로 밥순삭...ㅎㅎ연어장이랑 소고기무국, 파김치도 짱맛있어요! 다만 양이 조금 적은거같고 오늘 수저를 깜박하고 안넣어주신부분은 아쉬웠어요ㅠㅠ 그래도 만족스러워서 다음에 또 시켜먹을거같아요!! 🦀🦀",['https://rev-static.yogiyo.co.kr/2cc36f0f2fe94663110766848dd105b9_tn.jpg']
8,5,"['순살간장게장비빔밥', '순살양념게장비빔밥']",사장님이 친절하게 먹는 방법도 설명해주셔서 좋았고 포장도 깔끔하고 무국도 맛있네요 ~성인 남자가 먹기에는 양이 조금 모자랄 것 같아요잘 먹었습니당~^^,[]
9,5,['감칠나는 순살간장게장 350g'],진짜 맛있고 사장님이 친절하시네요 많이 파세요,"['https://rev-static.yogiyo.co.kr/7d6e5fe2a629c0b7a969ea118b43bff4_tn.jpg', 'https://rev-static.yogiyo.co.kr/ea4309a48ca10e96c7e35c6229f73c04_tn.jpg']"
10,5,['순살양념게장비빔밥'],이 집 이거 안되겠는데여? 자주 시켜서 사장님 귀찮게 해드려야겠네요. 이거 참 허허 맛나네요 .ㅠㅠ,[]
11,5,['감칠나는 순살간장게장 350g'],다먹어버려서 사진은 없지만 맛있습니다 양도 많구요주의할점은 게장위에있던 0000.00.00 이 유통기한인줄 알았는데 아니더라구요...,[]
12,5,['감칠나는 순살간장게장 350g'],맛있게먹었어요 하나사놓고 먹으면 밥도둑드득,['https://rev-static.yogiyo.co.kr/e7b820b40324f5cbfb057294d3e5a935_tn.jpg']
13,5,"['순살간장게장비빔밥', '순살양념게장비빔밥']",아주아주 맛있습니다. 사장님도 너무 친절하세요 번창하세요,[]
14,5,"['순살간장게장비빔밥', '순살양념게장비빔밥']","게장 양이 적은편이라고 생각했는데 비벼먹으니 또 많으면 짤것같기도해요 ㅎㅎ,,근데 저 저번꺼 환불은 언제되나요 ㅜㅜ",['https://rev-static.yogiyo.co.kr/026e44f21856616dbd42d48d4c8f9cea_tn.jpg']
