,별점,주문메뉴,리뷰,사진
0,5,"['04.그린파파야 샐러드', '09.뿌빳꿍 커리（소프트 크랩）', '17.새우 팟타이']",배달도 빨랐구요 맛도 정말 좋았어요.,[]
1,5,"['09.뿌빳꿍 커리（소프트 크랩）', '19.베트남 소고기 쌀국수']",뿟빳뽕 커리 넘만나요^^,[]
2,5,['09.뿌빳꿍 커리（소프트 크랩）'],메뉴 하나 시키는데 엄청 세분화되어서 온거 보이시죠? 사장님이 신경 많이 쓰신다는게 느껴져서 좋았습니당덕분에 튀김도 바삭바삭하게 먹을수있었고 피클은 제가 많이 달라고 부탁드렸는데 엄~청 많이주셔서 보관해놨다가 다음에 또 먹어야겠어요ㅎㅎ..요즘 쌀국수에 꽂혀서 찾다가 간만에 뿌 먹고싶어서 기대없이 시켰는데 너무너무 만족하고 여기 메뉴 전부 먹어보고싶어용!사장님 맛있게 잘먹었습니다~~,['https://rev-static.yogiyo.co.kr/1d2f2274a31a713ae2db8bf363193c24_tn.jpg']
3,5,"['17.새우 팟타이', '19.베트남 소고기 쌀국수']",진짜 맛있어요!!양두 완전 많았어요!!친절하시고 또 이용할게요^^,[]
4,4,"['01.에그롤（짜조）', '05.똠양꿍', '15.파인애플 볶음밥', '19.베트남 소고기 쌀국수']",정말정말 맛있고 배부르게 먹었습니다.다만 배달이 조금 느렸습니다.. 그리고 포장용기가 너무 작아서.. 되게 큰 대야에다가 부어서 먹었습니다 ㅋㅋㅋ 포장용기 조금만 신경써주시면 될거같아요~ 맛은 보장합니다!오랜만에 똠양꿍먹으니까 행복하네요ㅎㅎㅎ,[]
5,1,[],낚였다.ㅠ호불호가갈릴수있겠다...좋게생각해보려해도...이건아니다싶네요...별은하나도아까운데어쩔수없네요...ㅠ,[]
6,5,"['17.새우 팟타이', '망고스틴']",배달도 예상시간 지켜 주셨고요 새우 팟타이 하나만 시켰는데도 깔끔하게 배달해 주셔서 너무 맛있게 잘 먹었고요 쌀국수가 배달이 된다니 너무 좋았어요,[]
7,5,"['04.그린파파야 샐러드', '05.똠양꿍', '09.뿌빳꿍 커리（소프트 크랩）', '17.새우 팟타이', '19.베트남 소고기 쌀국수', '망고스틴', '콜라355mL']",이것저것 먹어보고 싶어서 식성좋은 남편과 둘이 실컷 시켜놓고 먹었네요~~전 고수를 좋아하는데 죄금 아쉬운점은 고수가 따로 더 주문할수 있었으면 좋겟어요~~그리서 사장님의 서비스!!너무 좋았어요^^ 잘먹엇습니다^^다음에 또 시킬세요^^,['https://rev-static.yogiyo.co.kr/7cf720df097f912391262b89f40e92b0_tn.jpg']
8,5,"['16.밥 추가', '20.태국 쌀국수']",어러어오노노냔내너ㅠ,[]
9,5,['17.새우 팟타이'],맛있습니다!! 양도 푸짐!!,['https://rev-static.yogiyo.co.kr/340851999c933c98b19533e6c8785145_tn.jpg']
10,5,"['04.그린파파야 샐러드', '17.새우 팟타이', '구아바쥬스']",메뉴에 솜땀(그린파파야샐러드)보고 주문했는데 맛있었어요. 근데 가격대비 양이 조금 작은것 같아요ㅠㅠ새우팟타이도 맛있게 잘먹었구요 양은 괜찮았어요.다음에는 파인애플 볶음밥도 먹어보고 싶어요. 그리고 구아바주스시켰는데 전 리얼주스인줄알았는데 캔이더라구요. 어쩐지... 싸다고 생각했어요ㅎㅎ생각보다 빨리온건 좋았는데요 전화한통없이 노크만하셔서 노크소리도 못듣고 좀 당황했어요. 다음에는 전화한통 부탁드려요,"['https://rev-static.yogiyo.co.kr/3e19efa6602f946c58460ea17156f3e4_tn.jpg', 'https://rev-static.yogiyo.co.kr/f0581b9ba122597d6eb3543dd73cdf65_tn.jpg']"
11,5,"['01.에그롤（짜조）', '15.파인애플 볶음밥', '18.치킨 팟타이']",오늘 처음 시켜먹어봤는데 영통에서 먹어본 팟타이 중에서 가장 맛있네요!!! 에그롤도 너무 퀄리티가 훌륭해요. 타이 음식 먹고 싶을때마다 무조건 여기서 시켜먹으려구요~ 너무 맛있는 음식 만들어주셔서 감사합니다!,[]
12,2,"['01.에그롤（짜조）', '17.새우 팟타이', '20.태국 쌀국수']",팟타이넘느끼하고간이심심해서못먹겠어요ㅠ양은많은데 맛이ㅜ뭐가양념이빠졌나봐요먹어본팟타이중에젤맛이없었어요ㅠ후기는다좋던데 내것만 그런건지ㅠ아쉽네요전체적으로ㅠ,[]
13,5,"['09.뿌팟퐁 커리（소프트 크랩）', '17.새우 팟타이']",배달 오신분이 사장님이신것같은데너무 친절했어요~^^음식도 흐리지않게 랩으로 싸주시는 센스와날씨도 추웠는데 음식도 아직 따뜻하더라고요용기도 귀여워서 웃었네요~팟타이도 너무맛있고 푸팟퐁커리도 짱짱~😂사장님 장사 오래해주세용ㅋㅋㅋ 맛있는 음식 계속 먹고싶네용,"['https://rev-static.yogiyo.co.kr/eee960b2ef790e2f506f6d40f1e54ea7_tn.jpg', 'https://rev-static.yogiyo.co.kr/cb57c729242c75da7e0e08f8643094ff_tn.jpg', 'https://rev-static.yogiyo.co.kr/19510b4d22e21e2a2a2d31a5d1177a6b_tn.jpg']"
14,5,"['09.뿌팟퐁 커리（소프트 크랩）', '19.베트남 소고기 쌀국수']",항상 실망하지 않는 깔끔한 맛입니다^^,[]
15,4,"['13.팟카프오무쌈（다진 돼지고기 볶음）', '17.새우 팟타이']",맛은있지만 가격에비해 양이 적어요..,[]
