,별점,주문메뉴,리뷰,사진
0,5,"['족발', '비빔 막국수']",진짜 빨리 왔어요~!예쁜 손편지랑 뇌물 정말 감사했어요^^ㅋㅋㅋ사진을 찍었어야 했는데ㅠㅠ 정신없이 먹느라 미처 못해서 넘넘 아쉽네요ㅠㅠ양도 완전 많구요~진짜 맛있게 잘 먹었습니다~~!종종 시켜먹을께요:),[]
1,4,"['족발＋보쌈', '주먹밥']",평소 맛있게 먹던 집인데 오늘은 족발이 냄새가 좀 나네요 그래도 다 먹었습니다.   서비스로 보내주신 순두부는 낼 아침에 끓여 먹을꺼예요 한끼 찌게 걱정 덜었네요,[]
2,5,"['족발小', '비빔막국수 小']",Goooooooood,[]
3,5,"['매운족발 小', '사이즈 선택(中)']",사장님 친절하십니다,[]
4,5,['보쌈 小'],늘 시켜 먹어요 맛집♡,[]
5,4,['족발＋매운양념족발'],"보쌈맛은 신선한 맛이에요^^허나 막국수 불포함이고, 반찬 정족수불만족;;;",[]
6,5,"['보쌈 小', '서비스 선택(순두부찌개)', '비빔막국수 小']",보쌈 고기도 좋고 너무 맛있어요~~~특히 비빔막국수는 맛있어서  흡입했네요♡,[]
7,5,"['족발小', '서비스 선택(순두부찌개)', '비빔막국수 小']",엄청 빠른배달맛있었어요,[]
8,5,"['족발小', '서비스 선택(순두부찌개)', '주먹밥']",생각보다 좋은 퀄리티와 맛 그리고 세심한 글까지 감사합니다 잘먹었습니다!!순두부찌개는 끓여먹어야 된다는것까지! 맛있네요ㅎ,['https://rev-static.yogiyo.co.kr/a7a2a375cdee43bffa49f35831057750_tn.jpg']
9,5,"['족발＋매운양념족발', '서비스 선택(주먹밥)']",정말 빨리 왔고 너무 맛있었어요 배달해주신 분도 너무 친절하셨어요~,['https://rev-static.yogiyo.co.kr/25ec5a3da6f5d11e6bdaafaac3c70188_tn.jpg']
10,5,"['매운족발 小', '사이즈 선택(中', '서비스 선택(주먹밥)']",손편지도 정성스럽고음식맛도 굉장히 뛰어납니다.자주 시켜 먹을게요~,['https://rev-static.yogiyo.co.kr/7b37981af45e36134017be5b39f12fa2_tn.jpg']
11,5,['cool세트 （냉채족＋일반족반반 ＋막국수 ）'],둘이서 적당히 배부르게 먹었어요,['https://rev-static.yogiyo.co.kr/bc45f4ddb122564a72d2bcde68413391_tn.jpg']
12,5,"['보쌈 小', '서비스 선택(주먹밥)']",맛이 담백하고 좋았어요~,[]
13,5,"['족발小', '서비스 선택(주먹밥)', '비빔막국수 小']",양도많고 맛있어요  서비스최고,[]
14,5,"['족발小', '서비스 선택(순두부찌개)']",다 좋았는데 반찬의 양이 너무 적어서 아쉽네요.,[]
15,5,"['보쌈 小', '서비스 선택(주먹밥)']","사장님 손편지에 감동했어요♡ 배달도 예상시간보다 빨리 도착했어요. 막국수, 주먹밥 서비스 너무 감사합니다. 리뷰이벤트 콜라도 감사해요♡ 다음에 야식먹을 때 또 주문할게요^^",['https://rev-static.yogiyo.co.kr/e91fc6fa620c5f602dd446816cd14ee2_tn.jpg']
16,5,"['족발小', '서비스 선택(순두부찌개)']",배달도 빠르고 맛있게 잘먹었습니다,[]
17,3,"['보쌈 小', '서비스 선택(주먹밥)']",음식 잘 받았습니다 막국수랑  주먹밥도 맛있게 잘먹었습니다 다만 보쌈을 시켰는데 비계가 너무 많아서 조금 아쉬웠습니다. 고기 부분보다  비계가 더 많네요 ㅠㅠ,[]
18,5,"['족발小', '서비스 선택(순두부찌개)']",맛있게잘먹었습니다~양도많고 서비스도감사합니다~,['https://rev-static.yogiyo.co.kr/66102a1fbe86e11eadb3542322d8cd11_tn.jpg']
19,5,"['족발＋보쌈', '서비스 선택(주먹밥)']",족발이랑 보쌈 따뜻하게 잘 배달해주셔서너무 맛있게 잘 먹었습니다~양도 푸짐하고 맛있어요~!!^^,[]
20,5,"['족발＋매운양념족발', '서비스 선택(주먹밥)', '콜라 500ml']",맛있습니다 양도 많고 서비스도 좋네여,[]
21,2,"['족발＋매운양념족발', '서비스 선택(주먹밥)']",이사온 첫 날이라 동네맛집 잘 몰라서 평점보고 시켰는데.. 별로였어요.. 매운족발 양념은 맛있는데 미니족이고 냄새도 약간 났어요,[]
22,4,"['족발小', '서비스 선택(주먹밥)']",맛있어요~^^ 막국수맛있고 족발도맛있어요.  이번주에만드셨다는 특제소스도 맛있는데 쪼끔만 더 진했으면좋겠어요~~,['https://rev-static.yogiyo.co.kr/0c35cc4d454ae19211f5496f101b1b8e_tn.jpg']
23,3,"['족발＋보쌈', '서비스 선택(순두부찌개)']",배달도 빠르고  맛있어요.,[]
24,5,"['족발＋매운양념족발', '서비스 선택(주먹밥)']",이집은 두번째인데 맛있었다 이말이야~,[]
