,별점,주문메뉴,리뷰,사진
0,5,[],배달 엄청 빨리해주셧고 고기양도 많고 다 만족스러웟어욯ㅎ,[]
1,5,[],맛있고 포장도 제대로고  만족만족 배달만 좀빨랐으면 배고플때는 너무지친다.,[]
2,5,"['나홀로 오리지날', '혀르가즘소스（치즈머스타드）']",우아 사장님 엄청 친절하시고... 배달도 엄청 깔끔하게오네요맛잇고욤 번창했으면 좋겟어요!! 저렴한 가격에 이정도 면대박입니당 ㅎㅎ!!,['https://rev-static.yogiyo.co.kr/17a8d840f975997dc87050a1f06121b3_tn.jpg']
3,5,['오리지날set（고기 400g＋찌개＋반찬＋쌈＋콜라 500mL）'],맛있네요 양도 적당하고,['https://rev-static.yogiyo.co.kr/54fae68c714d30fcf0be360cd97c344a_tn.jpg']
4,3,['나홀로 오리지날'],반찬구성이나 고기는 괜찮아요. 제법 푸짐합니다. 소세지 옵션은 추가하지마세요. 저렴이 소시지라 좀 별로네요,['https://rev-static.yogiyo.co.kr/201c22ef1326407ac44109c6504de8eb_tn.jpg']
5,4,[],맛있어여  양도적당하구ㅎ,[]
6,5,['오리지날set（고기 800g＋찌개＋반찬＋쌈＋콜라 500mL）'],고기 겁나많아요!!! 다른곳보다 더 깔끔하게 포장해주시는것같구 맛도 좋습니다!!!! 이제 삼겹살 여기에만 시켜먹으려구요!ㅎㅎㅎ,[]
7,5,"['오리지날set（고기 400g＋찌개＋반찬＋쌈＋콜라 500mL）', '공기밥 추가(공기밥 추가)']",여긴 고기가 맛있음!! 딴집 시켜먹다가 여기 한번 시켜먹은 후로 애용함,[]
8,5,['오리지날set（고기 400g＋찌개＋반찬＋쌈＋콜라 500mL）'],맛있게 잘먹었습니다~~ !!,['https://rev-static.yogiyo.co.kr/d7943e1dda2152b058dbf29e7f8357e5_tn.jpg']
9,5,['오리지날set（고기 400g＋찌개＋반찬＋쌈＋콜라 500mL）'],김치찌개가 평소보다 많이 기름진것 빼고는. 고기 찌개 모두 양이 만족스러웠음. 맛있음! 고기 안질겨서 좋음. 밥은 평소보다 적게 담겨있었움ㅠ,[]
10,5,['나홀로 오리지날'],진짜 고기를 너무 많이 줘요. 맛도 있고..,[]
11,5,"['오리지날set（고기 400g＋찌개＋반찬＋쌈＋콜라 500mL）', '새송이버섯 토핑 추가)']",맛있어요~ 아기도 너무 잘먹었어요~~,['https://rev-static.yogiyo.co.kr/1f30c1610168d51427fd4859db96bb7c_tn.jpg']
12,5,"['오리지날set（고기 800g＋찌개＋반찬＋쌈＋콜라 500mL）', '공기밥 추가(공기밥 추가)', '명이나물', '쌈무 추가']",먹을때마다 감동ㅜㅜ 맛있어요 명이나물도 추가하니까 존맛탱이네요 양도 많구 냄새도 안나고~,[]
13,5,['오리지날set（고기 400g＋찌개＋반찬＋쌈＋콜라 500mL）'],가격도 좋고 고기도 진짜 맛있었어요 양도 많구!!벌써 주변에 홍보도 했어용!다음에 또 먹을꺼에용!!,['https://rev-static.yogiyo.co.kr/0b9fa6e49f460cc006894a1420c7c815_tn.jpg']
14,4,['나홀로 오리지날'],맛있어요 양도 좋고 찌개도 맛나요 파절이만 있었음 완벽했을듯,[]
15,5,"['오리지날set（고기 400g＋찌개＋반찬＋쌈＋콜라 500mL）', '혀르가즘소스（겨자소스）']",어제저녁에 남편이랑 주문해 먹었는데 양도 많고 너무 맛있게 먹었어요!!,[]
16,5,['오리지날set（고기 800g＋찌개＋반찬＋쌈＋콜라 500mL）'],양도많고 맛있었어요~^^친구들이랑먹었는데 다른친구는 다른데 배달해주는데보다 훨씬낫다고하네요ㅎ,[]
17,4,['반반set（오리지날반＋땡초반 600g＋찌개＋반찬＋쌈＋혀르가즘소스＋콜라 500mL）'],양도 많은편이고 맛있고 깔끔했어요 고기가 타지 않아서 좋았어요~,[]
18,5,['오리지날set（고기 400g＋찌개＋반찬＋쌈＋콜라 500mL）'],좋아요 굿굿 자주 시켜먹을게요,[]
19,5,['오리지날set（고기 400g＋찌개＋반찬＋쌈＋콜라 500mL）'],맛있습니다 다음에 또 주문하겠습니다,[]
20,5,"['나홀로 땡초', '공기밥 추가(공기밥 추가)', '김치찌개']",괜찮은데 여기  나중에 또 시켜야겄당   맛이  변함이 없으면   진짜  괜찮은덴뎅 난  대박  이라고 하고싶다   ㅋ,[]
21,5,['오리지날set（고기 400g＋찌개＋반찬＋쌈＋콜라 500mL）'],역시 맛있어요ㅎㅎㅎ,[]
22,5,['오리지날set（고기 400g＋찌개＋반찬＋쌈＋콜라 500mL）'],아기때문에 집에서 고기를 잘 못구워 먹는데 편하고 좋네요~다만 저는 바싹 구워 먹는데 보통으로 구어져와서 조금 더 구워 먹었어요~,[]
23,4,"['오리지날set（고기 400g＋찌개＋반찬＋쌈＋콜라 500mL）', '공기밥 추가(공기밥 추가)']",삼겹살 처음시켜봣는데 나쁘지않네요,[]
24,5,['오리지날set（고기 400g＋찌개＋반찬＋쌈＋콜라 500mL）'],역시 손님맞이도 배달돼지가 최고네요!삼겹살에 소주 한잔!  항상 감사합니다!!,[]
25,5,['나홀로 오리지날'],맛도 너무 좋았구 가성비 진짜 짱인듯,['https://rev-static.yogiyo.co.kr/fe1253a1ce6e98ce7eaf79b5f7fc163e_tn.jpg']
26,5,['오리지날set（고기 600g＋찌개＋반찬＋쌈＋콜라 500mL）'],밥 많이 달라고 부탁드렸더니 용기 3개에 넉넉히 담아주셨어요~~! 감사합니다! 돼지고기 냄새도 안나고 너무 잘 구워져서 오고 쌈하고 반찬 다 넉넉히 주셔서 맛있게 잘 먹었어요! 너무너무 만족해서 다음에 또 시키려구요 bbb,[]
27,5,['나홀로 오리지날'],밥 반찬 고기 국 까지 4박자가 딱 맞네요.양도 혼자 배부르게 먹었습니다.굿굿,['https://rev-static.yogiyo.co.kr/c41611a8d45ab666d740633a1f4e01a5_tn.jpg']
28,5,"['나홀로 오리지날', '혀르가즘소스（머스타드）']",고기가 딱 적당하게 익어서 너무 맛있다 기본 반찬들도 잘 어울리고 찌개도 무난해서 한끼 때우기 딱이다,[]
29,5,['오리지날set（고기 400g＋찌개＋반찬＋쌈＋콜라 500mL）'],너무 빨리 배달이 와서 놀랬어요~~포장도 깔끔하고 맛도 좋았어요~~다만 고기를 좀 더 바싹 구워주셨으면 (제 취향이라~~) 다음에 또 주문해서 먹을께요~~^^,[]
30,5,['오리지날set（고기 400g＋찌개＋반찬＋쌈＋콜라 500mL）'],맛있어요 진짜👍🏻👍🏻👍🏻,[]
31,5,"['오리지날set（고기 400g＋찌개＋반찬＋쌈＋콜라 500mL）', '토핑 추가(구운마늘 토핑 추', '새송이버섯 토핑 추가)']",시켜본 삼겹살 중에 제일 나았어요!!고기도 괜찮고 파채랑 김치찌개 넘 좋았습니다~,[]
32,5,['반반set（오리지날반＋땡초반 400g＋찌개＋반찬＋쌈＋혀르가즘소스＋콜라 500mL）'],맛도 괜찮고 깔끔하네요. 파채도 써비스 주시고 감사합니다.,[]
33,5,"['오리지날set（고기 600g＋찌개＋반찬＋쌈＋콜라 500mL）', '음료 사이즈 변경(콜라 1.25L로 변경)']",배달료 별도가 별로네요. 맛이랑 양은 좋아요.,[]
34,4,"['오리지날set（고기 400g＋찌개＋반찬＋쌈＋콜라 500mL）', '새송이버섯 토핑 추가)', '참치주먹밥', '파절이', '상추 추가', '쌈무 추가', '혀르가즘소스（머스타드）']",굳굳 고기 기름기만 좀 덜하면 진짜 좋을 거 같아요,[]
35,5,"['나홀로 오리지날', '혀르가즘소스（머스타드）']",믿고 먹능 삼겹살도착예정시간보다 20분빨리도착했어요~혼자먹기딱👍맛있어요 ㅎㅎ,['https://rev-static.yogiyo.co.kr/d06f71b91c81560e49cd0fb942adc50e_tn.jpg']
36,5,['나홀로 오리지날'],소새지 같이 구워주눈 거 너무 좋아요 *.*,[]
37,5,['오리지날set（고기 400g＋찌개＋반찬＋쌈＋콜라 500mL）'],배달도 빠르고맛있어서 ㅣ단골됐어요ㅎ,[]
38,4,['오리지날set（고기 400g＋찌개＋반찬＋쌈＋콜라 500mL）'],맛도 깔끔. 반찬도 좋고 한끼식사로 비싸긴 하지만 먹을만함,[]
39,5,['나홀로 오리지날'],배달 삼걉 처음먹어보는데 맛있었어요,[]
40,4,['나홀로 오리지날'],양도 푸짐하고 맛도 있습니다. 가격이 살짝 비싸긴 해도 좋습니다!,[]
41,3,['나홀로 오리지날'],갠찬았어요 ㅎㅎ 배달도 빠르시고 한명이서먹기에양도많아요 !,[]
42,5,"['오리지날set（고기 600g＋찌개＋반찬＋쌈＋콜라 500mL）', '공기밥 추가(공기밥 추가)']",55분걸린다했는데20분만에온거같아요 ㅎㅎ 양도많고 무엇보다  고기가 집에서구워먹는거랑은 맛이 너무달라요..!너무맛있게 잘먹었습니다~~~더더욱 번창하세요!!😍,[]
43,4,"['나홀로 땡초', '혀르가즘소스（머스타드）']",맛있어요 양도 혼자 먹다가 배터질뻔했어요 너무 배불러요 ㅎㅎ 단지 기름이 좀 많은 편이어서 조금 느끼하네요그래도 맛있고 배부르게 잘 먹었습니다 ㅎㅎ,['https://rev-static.yogiyo.co.kr/9b30d33f295f0155bc109eb4f8941954_tn.jpg']
