,별점,주문메뉴,리뷰,사진
0,5,"['오리지날', '고기 선택(삼겹)']",맛있어요~~ 배달하시는 분도 친절하고 좋았어요 양도 많았어요,['https://rev-static.yogiyo.co.kr/e5a88284e7dfd8ae9a63e1f9c8e93e4f_tn.jpg']
1,5,"['오리지날', '고기 선택(삼겹)']",오픈기념 행사라 그런지 솔로 시켰는데 혼자 먹기에 많을 만큼 양이 많네요. 사소한 부분이지만 젓가락도 좋은거 쓰시고 사장님 손쪽지에 기분좋은 주문이었습니다. 주문하시면 후회하지 않으실겁니다,['https://rev-static.yogiyo.co.kr/edf24e91036773f91aad162bda91e7ff_tn.jpg']
2,5,"['오리지날', '고기 선택(섞어（삼겹＋목살）)', '야끼우동', '밥']",아주 맛나게 먹었어요,[]
3,5,"['오리지날', '고기 선택(삼겹)']",아주좋습니다 굿굿굿~~~~,['https://rev-static.yogiyo.co.kr/6a60db8d70f8d245f3b8fc1adc34b3c0_tn.jpg']
4,5,"['반반（오리지날＋양념1종）', '고기 선택(섞어（삼겹＋목살）', '맛 선택(꽃추장)', '밥']",넘 맛있어요ㅠㅠ 배달도 빠르고 친절하세요!자주 시켜먹을게요~! 더운날 건강 조심하시구 맛있는 음식 잘 부탁드려요!,"['https://rev-static.yogiyo.co.kr/9c5e99ff1721c8dc07f7c43dedd54394_tn.jpg', 'https://rev-static.yogiyo.co.kr/f956ca9d8e73bc85f4c24b49e39e973f_tn.jpg']"
5,5,"['반반（오리지날＋양념1종）', '고기 선택(섞어（삼겹＋목살）', '맛 선택(뿅갈비)']",양도 많고 맛있었어요!,['https://rev-static.yogiyo.co.kr/5e43717527abd8400add7f184f2a742b_tn.jpg']
6,5,"['양념', '고기 선택(섞어（삼겹＋목살）', '맛 선택(밥도둑)']",후기 좋아서 시켰는데 실제로 너무 맛있고 양도 많고 서비스로 콜라랑 소세지도 넣어주셔서 좋았어요 ㅎㅎ 원래 맛은 양념으로 시켰는데 오리지널이 왔지만 ㅜ 그래도 맛있어서 괜찮았어요!김치찌개도 고기 많이 들어가있고 반찬도 잘 와서 좋았습니다! 다음에 또 시켜먹을게요~~,['https://rev-static.yogiyo.co.kr/d11e2448278fdbd08493f10f01cf9616_tn.jpg']
7,5,"['오리지날', '고기 선택(삼겹)']",맛있어요~~❤️ 다음에 또 시킬게요,[]
8,5,"['오리지날', '고기 선택(삼겹살', '음료 선택(콜라)']",두번째 시켜먹었는데 역시 양많고 깔끔합니다. 맛도 좋고 배달도 빠르네요!,[]
9,5,"['오리지날', '고기 선택(섞어（삼겹＋목살）', '음료 선택(콜라', '더 추가 선택(공기밥)']",저번보다 양도 많고 맛있게 먹었습니다 감사합니다. 자주자주 시켜먹을께요  사장님 대박 나세요 화이팅!!!^(@@)^ ㅋㅋㅋㅋㅋㅋ,['https://rev-static.yogiyo.co.kr/a579e12fa273ec88ddd52b8ebc17b27c_tn.jpg']
10,5,"['오리지날', '고기 선택(목살', '음료 선택(콜라', '고기 추가 선택(목살 100g)']",어쩌다보니 4번째 시켜먹는 단골 고기집인데 맛이 변함없이 좋아서 넘 좋았어용😙❤👍 많이 먹는 편이라 200g 모자를까봐 100g 더 추가했는데 다 못 먹을 정도로 양 많아요ㅠㅠ👍👍,['https://rev-static.yogiyo.co.kr/c0176fae9418f81aa1bb90e7b78e9111_tn.jpg']
11,5,"['양념', '고기 선택(섞어（삼겹＋목살）', '양념 선택(밥도둑', '음료 선택(콜라)']",두번째 시켜먹는데 넘 맛있어요~밥도둑 양념도 매콤하니 맛있고 배달도 20분만에 와서 좋았어요!다음에 또 시켜먹을게요~,['https://rev-static.yogiyo.co.kr/494ded0dca11367325c6c1c040726ef0_tn.jpg']
12,5,"['기사식당 돼지불백', '맛 선택(밥도둑', '음료 선택(콜라)']",배달도 완전 빠르고 너무 맛있게 잘 먹었어요 양이 너무 많아서 다 못먹고 남겼어요 ㅠ 잘 보관해서 저녁때 또 먹으려구요 ㅎㅎ 그리고 저희집 강아지때문에 그냥 문앞에 두고 가달라고 요청드렸는데 배달완료 전화까지 주시고.. 기사님이 너무 친절하셔서 좋았습니다 다음에 또 시켜먹을게요 감사합니다,"['https://rev-static.yogiyo.co.kr/b5a393d76b1ecc1176e3ad69710fd479_tn.jpg', 'https://rev-static.yogiyo.co.kr/1fd0bbdb75bdf3485fa7c16f0ca1eebb_tn.jpg', 'https://rev-static.yogiyo.co.kr/48ed4465bfcbc00c51f8c6fd2a170b62_tn.jpg']"
13,5,"['오리지날', '고기 선택(섞어（삼겹＋목살）', '음료 선택(콜라)']",맛있고 양도 많아요,['https://rev-static.yogiyo.co.kr/eff1946983bf3cb1921ece6cea723081_tn.jpg']
14,5,"['오리지날', '고기 선택(섞어（삼겹＋목살）', '음료 선택(콜라', '고기 추가 선택(삼겹 100', '목살 100g)']",너무 많아서  다 못먹었어요ㅎㅎ 담에도 시킬게요,[]
15,5,"['양념', '고기 선택(삼겹살', '양념 선택(밥도둑', '음료 선택(콜라', '더 추가 선택(공기밥)', '공기밥']",맛도좋고 양도괜찮네요 ㅎㅎ,[]
16,5,"['양념', '고기 선택(삼겹살', '양념 선택(불', '음료 선택(콜라', '더 추가 선택(공기밥)']",맛도 양도 센스도 짱짱 매운맛 시켰더니 밥을 천천히 먹게해주네요 ㅋㅋㅋㅋㅋ 짱짱 매니아분들만 추천,['https://rev-static.yogiyo.co.kr/c9c1f246ca71ca45bcb185af226dd0cc_tn.jpg']
17,5,"['양념', '고기 선택(삼겹살', '양념 선택(밥도둑', '음료 선택(콜라', '토핑 추가 선택(양파', '더 추가 선택(공기밥)']",배달이 너무 빨리와서 리뷰를 못쓰게하네요 ㅋㅋㅋ 정말 맛있게먹었습니다. 짱맛있어요! 평소에 김치찌개에 들어있던 돼지고기들이 행방불명 돼서 깜짝놀랐네요 그래도 고기양이 많아서 좋았어요~ㅅ~ 월요일에먹고 리뷰를 늦게쓰네요,['https://rev-static.yogiyo.co.kr/91d5a238f421db5b38af32f0f457ea5a_tn.jpg']
18,5,"['양념', '고기 선택(삼겹살', '양념 선택(뿅갈비', '음료 선택(콜라', '토핑 추가 선택(양파', '더 추가 선택(공기밥)']",맛있게 먹었어용 실수로 맛을 선택안해서... 매콤한맛을 못먹었네용 ㅠㅠ 다음엔 매콤!,['https://rev-static.yogiyo.co.kr/7678d463fbb0d00a9ee804ae27078f8d_tn.jpg']
19,5,"['오리지날', '고기 선택(삼겹살', '음료 선택(콜라)']","양도 짱 많고 맛있어요!!아쉬운점은 찌개랑 리뷰로 받은 소세지가 조금 아쉽다는점,,이거 빼고는 진짜 최곱니당 가성비 짱-;!;!!;!;!",['https://rev-static.yogiyo.co.kr/e2460e44a954f2081de5897b07d5ecc4_tn.jpg']
20,5,"['양념', '고기 선택(삼겹살', '양념 선택(밥도둑', '음료 선택(콜라)', '별미막국수', '소떡소떡']",소떡소떡이랑 막국수 김치찌개 엄~~청 맛있었어요 고기는 당연히 맛있고~ 가격도 다른 곳 비해서 싼 편이고! 특히 배달이 엄청 빨랐네요~ 아주 만족합니다! 번창하세요~!,"['https://rev-static.yogiyo.co.kr/11bd1be35dfb55d707be1bac24070e9b_tn.jpg', 'https://rev-static.yogiyo.co.kr/abe564776c001c444113510e89508456_tn.jpg', 'https://rev-static.yogiyo.co.kr/794d3f9457f46c012993f385e7c875ce_tn.jpg']"
21,5,"['양념', '고기 선택(삼겹살', '양념 선택(밥도둑', '음료 선택(콜라', '더 추가 선택(공기밥)']",너무배달이빨라서 리뷰를못쓰다가 이제쓰네오 정말 맛있어요 ㅎㅎ,[]
22,5,"['오리지날', '고기 선택(삼겹살', '음료 선택(콜라)']",사진에는 콜라가 500인데 배달은 작은 캔이네,[]
23,5,"['반반', '고기 선택(삼겹살', '양념 선택(오리지날＋불', '음료 선택(콜라)', '별미막국수']",양도 많고 고기에서 냄새도 안나고 맛있었습니다!!,[]
24,5,"['반반', '고기 선택(섞어（삼겹＋목살）', '양념 선택(오리지날＋뿅갈비', '음료 선택(콜라)', '별미막국수']",배달기사님 너무 친절하세요~~ㅎㅎ오리지널이랑 간장 반반시켰는데 양도 많고 비빔막국수도  맛있었어요~~,['https://rev-static.yogiyo.co.kr/890f695e1d272aec0d2d7ba6564fcd21_tn.jpg']
25,5,"['기사식당 돼지불백', '맛 선택(돼지불백（간장맛）', '음료 선택(콜라)']",배달 잘못온줄 알고 전화까지 했는데..잘왔네요 ㅋㅋ맛있어요!!,['https://rev-static.yogiyo.co.kr/c3501bdb59980d184d8dac26b476e38a_tn.jpg']
26,5,"['오리지날', '고기 선택(삼겹살', '음료 선택(콜라', '토핑 추가 선택(새', '비엔나', '더 추가 선택(공기', '쌈무)', '공기밥']",맛잇어야~~~~ㅋㅋㅋ,['https://rev-static.yogiyo.co.kr/7fab14bb9e92cd72d7bf68c96ecd075a_tn.jpg']
27,5,"['오리지날', '고기 선택(삼겹살', '음료 선택(콜라)']",만족합니다 감사합니다,['https://rev-static.yogiyo.co.kr/a0ac23f5746583f81f091bbd3a73ab13_tn.jpg']
28,4,"['양념', '고기 선택(섞어（삼겹＋목살）', '양념 선택(꽃추장', '음료 선택(콜라)']",맛도 양도 괜찮은 편인데요 배달비 한번에 결제 되게 시스템상 되어있어서 3000원 추가 결제 했는데 전화 오셔서 배달거리가 4.5키로 넘어가서 배달료가 8천원이 된다고 기사님께 1천원 정도만 더 지불해 달라고 하셨어요ㅎㅎ 그냥 처음 결제시에 한꺼번에 지불 되게 되면 더 편리하고 좋을 것 같아여:-),['https://rev-static.yogiyo.co.kr/fdde04a5914fcc415a3797a971988160_tn.jpg']
29,4,"['반반', '고기 선택(삼겹살', '양념 선택(오리지날＋꽃추장', '음료 선택(콜라', '토핑 추가 선택(치즈떡', '더 추가 선택(공기밥)', '별미막국수', '카스']",양도 많고 먹을만했어요 근데 고기냄새가 좀..,[]
30,5,"['오리지날', '고기 선택(삼겹살', '음료 선택(콜라)']",고기도 냄새안나고 맛있고 구성도 알차네요.김치국도 맛나요 다음에 또 시켜먹을꺼에요~!!,"['https://rev-static.yogiyo.co.kr/fa21606e089bf9fb778cc897e8ab0cad_tn.jpg', 'https://rev-static.yogiyo.co.kr/e7ce57406fd0a24a85ac28cf27ba824c_tn.jpg']"
31,5,"['반반', '고기 선택(섞어（삼겹＋목살）', '양념 선택(오리지날＋밥도둑', '음료 선택(콜라)']",맛있었어요!원래 삼겹을 좋아하는데첫주문이라 삼겹반 목살반 시켰는데목살이 너무...맛있었어요!!!,['https://rev-static.yogiyo.co.kr/cd7dfb03a5aca402d945271b6977a843_tn.jpg']
32,4,"['오리지날', '고기 선택(삼겹살', '음료 선택(콜라)', '별미막국수']",배달 시간 굿~1인식사로 삼겹살 오리지날 set 좋아요~,[]
33,5,"['양념', '고기 선택(섞어（삼겹＋목살）', '양념 선택(밥도둑', '음료 선택(콜라', '토핑 추가 선택(새우)']",큰 기대 없이 시켰는데 너무 맛있네요 ㅜㅜ소스도 너무 맛있고 상추쌈까지 제대로 싸서 먹으니까한끼 든든히 먹은 것 같아서 너무 좋아요 '^',"['https://rev-static.yogiyo.co.kr/f7d1f06b87516f16a056b2a99453b06e_tn.jpg', 'https://rev-static.yogiyo.co.kr/c23320d95e068237659010020a2d1c7a_tn.jpg', 'https://rev-static.yogiyo.co.kr/273cbf2a5ce7fb683ef26eb2a8a073d0_tn.jpg']"
34,5,"['반반', '고기 선택(목살', '양념 선택(오리지날＋밥도둑', '음료 선택(콜라)']",예전에 시켰을때 양도 너무 적고 양념인데도 소스맛이 안느껴져서 실망한 뒤로 안시키다가 다시 시켜봤는데 전이랑 다른집같을정도로 괜찮아요.양도 엄청 많고 토핑들도 많고 고기 냄새가 간혹 조금씩 나서 아쉽지만 맛있어요.밥도둑맛 시켰는데 양념도 듬뿍 발려있고 좋아요 저번엔 왜그랬는지..ㅜㅜ앞으로 더 시켜먹을거같아요 개인적으로 밥도둑맛 진짜 맛있음 먹어보세여,['https://rev-static.yogiyo.co.kr/4882d4aff07f58cb35ccdd662195f19f_tn.jpg']
35,5,"['오리지날', '고기 선택(삼겹살', '음료 선택(콜라', '토핑 추가 선택(새', '비엔나', '찍어먹는소스 추가 선택(어니언디핑소스', '더 추가 선택(공기', '김치찌개', '음료 추가 선택(콜라 1.25L)']",여기가 삼겹살은 최고에요. 여러곳 시켰는데 여기가 최고에요!,[]
36,5,"['신메뉴', '메뉴 선택(화이트어니언삼겹살', '고기 선택(섞어（삼겹＋목살）', '음료 선택(콜라', '찍어먹는소스 추가 선택(어니언디핑소스)']",첨보는메뉴여서시켰는데 우려와는 다르게 은근어울러서 맛있게먹었습니다 ㅎㅎ,['https://rev-static.yogiyo.co.kr/e4d63892c3138df0947ca797cfe7aa11_tn.jpg']
37,5,"['오리지날', '고기 선택(삼겹살', '음료 선택(콜라)']",쌈무는 제가 잘 안먹어서 냉장고에 넣어뒀구요 버섯 빼달라했는데 빼주셔서 감사하고 맛있었어요~,['https://rev-static.yogiyo.co.kr/fae71de8dd0fdd0a396c52ad373d8adc_tn.jpg']
38,5,"['양념', '고기 선택(섞어（삼겹＋목살）', '양념 선택(밥도둑', '음료 선택(콜라)']",배달도 빠르고 맛있어요!,['https://rev-static.yogiyo.co.kr/77bf7761a9448eb9174c2d36c1f85345_tn.jpg']
