,별점,주문메뉴,리뷰,사진
0,5,"['혼밥세트1（쌀국수＋튀김）', '사이드 메뉴 선택(치킨가라아게)']",쌀국수는 워낙좋아해서 먹었지만 향이 깊고입맛에 딱 맞네요~치킨가라아게는 치킨집 저리가라는 맛으로 ㅋㄱㄱ암튼 배달도빠르고 잘먹었습니다~자주 이용하겠습니다 콜라도 감사합니다~^^,['https://rev-static.yogiyo.co.kr/9a0011190b2342a4e8b9555e009899d9_tn.jpg']
1,5,"['소고기 쌀국수', '새우 볶음밥']",음식의 맛과 양 모두 만족스럽습니다배달도 제때 되었네요잘  먹었습니다  감사합니다,"['https://rev-static.yogiyo.co.kr/b12fd5e27382d6925d5ec3a1ad4f7dfe_tn.jpg', 'https://rev-static.yogiyo.co.kr/d640fec2c193b2d048a534214ff6b229_tn.jpg']"
2,5,"['소고기 쌀국수', '나시고랭 볶음밥', '야채춘권']",면이 불지도 않고 적당하니 맛있었습니다. 양이 진짜 많아서 좋아요! 볶음밥도 맛있게 잘 먹었습니다.,['https://rev-static.yogiyo.co.kr/91d3f9eafe23c5f2cd29b7a16d187db0_tn.jpg']
3,5,"['소고기 쌀국수', '왕새우튀김']",쌀국수도 새우튀김도 맛나네요.,[]
4,5,"['소고기쌀국수＋볶음밥', '볶음밥 메뉴 선택(새우볶음밥)']","친절한 손편지와 서비스, 깔끔하고 꼼꼼한 포장에 만족합니다. 쌀국수는 간도 맞고 좋아요. 새우복음밥은 얀간 짭조름한데 쌀국수랑 먹기 좋아요.",['https://rev-static.yogiyo.co.kr/8fcccc405528bde94e99760bf355d9db_tn.jpg']
5,5,"['혼밥세트1（쌀국수＋튀김）', '사이드 메뉴 선택(치킨가라아게)']",맛있게 잘먹었습니다. 담에또시킬게요,[]
6,5,"['매운 소고기 쌀국수', '하노이 볶음밥', '콜라']",너무 맛있어요^^ 손편지 너무 감동이였어용^^,[]
7,5,"['소고기쌀국수＋볶음밥', '쌀국수 추가 선택(면 추가', '볶음밥 메뉴 선택(하노이볶음밥)']",아기랑 먹으려고 면추가 하기는 했지만..감안해도 양 엄청 많았어요~볶음밥은 제 입엔 좀 짰어요..소스 덜 넣으셔도 될것같아요~서비스로 주신 짜조도 좋았네요~맛있게 잘 먹었습니다~,['https://rev-static.yogiyo.co.kr/8e940c83195a7820fd0794a7632e0743_tn.jpg']
8,4,"['혼밥세트2（볶음밥＋튀김）', '사이드 메뉴 선택(새우롤)']",맛도 좋고 직접 메모도 남겨주시고 계락후라이도 주시고 너무 귀엽네요 ㅎㅎ,['https://rev-static.yogiyo.co.kr/c1f338cf9a614de74670d849986278dc_tn.jpg']
9,5,"['소고기쌀국수＋볶음밥', '볶음밥 메뉴 선택(새우볶음밥)']",맛이 끝내주네요!!국물도 시원하고 해장에는 최고입니다^^속풀려서 또 한잔하러 나갑니다...ㅋㅋ,['https://rev-static.yogiyo.co.kr/fec3d1fd24208b406b7e11fc3c3c14f0_tn.jpg']
