,별점,주문메뉴,리뷰,사진
0,5,['통돼지 김치찌개'],정확하기 20분만에 왔습니다.콩나물에 고기까지 중자인데 대자같이 왔습니다.강추합니다^^,['https://rev-static.yogiyo.co.kr/15712b8d76646acfe681b71005ab583d_tn.jpg']
1,3,"['동태탕', '사이즈 선택(中)', '제육볶음']",제육은 가격대비 양이 부족,[]
2,5,['꼬막무침'],맛잇게 잘먹엇어요~~짜지않고 양념 정말 잘하셧네요~흥덕점이라 배달이 늦을거같앗는데알맞게 잘온거같아요~동태탕을 매장에서 맛잇게 먹엇던기억에 주문햇는데역시 너무 맛잇어요~또주문할게요👍👍,"['https://rev-static.yogiyo.co.kr/dede576c8141b04f130a7dc15fd22f6f_tn.jpg', 'https://rev-static.yogiyo.co.kr/bf1f6019e8d414497341795dee1af262_tn.jpg', 'https://rev-static.yogiyo.co.kr/d39b7225ef115be0bc280952ba1880c2_tn.jpg']"
3,5,['꼬막무침'],아직먹기전이긴한데 정갈하고 맛있어보여요.배송이 빠르고 좋았습니다. 맛있게먹고 또 주문하려구요.,['https://rev-static.yogiyo.co.kr/d79c04a6ddaa16912335231966d2eaea_tn.jpg']
4,5,"['동태탕', '사이즈 선택(中)']",시원하고 얼큰해요 잘먹엇습니다~~,"['https://rev-static.yogiyo.co.kr/d031a7f7235fa6cba7d170f37b04ae4a_tn.jpg', 'https://rev-static.yogiyo.co.kr/3c97132a1e28775059429958e1e5379a_tn.jpg']"
5,5,"['통돼지 김치찌개', '사이즈 선택(中)', '계란말이', '공기밥']",가서 먹던맛이에요 괜찮아요,[]
6,5,['국물 닭볶음탕'],매장에서 먹는 그맛!맛잇음 안매워요~우동사리.추가해드세요,['https://rev-static.yogiyo.co.kr/7211c39782c9ea99538b80489f24eddf_tn.jpg']
7,3,"['동태탕', '사이즈 선택(中)']","맛도 있고 양도 많음 배안에 흙있는 동태 잇엇움 ,,,반찬도 없고 소스도 없이 탕만 옴",['https://rev-static.yogiyo.co.kr/9317b2311592441092f5edfd03d9e8c0_tn.jpg']
8,5,"['동태탕', '사이즈 선택(中)']",배달도 빠르고 양도 많고 여전히 맛있는집 다만 사리도 같이 끓여주시면 좋을텐데...,['https://rev-static.yogiyo.co.kr/5cc7b57cb22b301603fa3eb35a78892b_tn.jpg']
9,5,"['동태탕', '사이즈 선택(中)']",여전히 맛잇네요 ㅋㅋ배달료 아깝지않은 배달속도👍👍자주애용할게요 넘맛잇어요👍👍,['https://rev-static.yogiyo.co.kr/1109097c43d7b173bf2bb8dbdacdb67e_tn.jpg']
10,5,['세트1（김치찌개＋꼬막무침）'],김치찌개가 너무 먹고싶어서 시켰는데양도많고 정말 맛있어요^^,['https://rev-static.yogiyo.co.kr/a7703b815b448c0b29777bc514d85017_tn.jpg']
11,5,['꼬막무침'],맛있어요. 꼬막무침이 칼칼하고 시원한맛입니다. 김이랑 날치알이랑 같이와서 먹으면 밥반찬으로도 좋네요.,['https://rev-static.yogiyo.co.kr/7e6d522c5b1525e041e0186381585061_tn.jpg']
12,5,"['통돼지 김치찌개', '사이즈 선택(中)']",리뷰 조금 늦었네요~ㅠㅠ맛있어요! 배달 시켜먹어본 김치찌개 중에 1순위네요 ㅎㅎ고기나 김치가 통으로 오니 시켜드시는 분들 가위 있으셔야 좋을 것 같네요,['https://rev-static.yogiyo.co.kr/867df6122ef789b739e23d594bba6537_tn.jpg']
13,4,"['통돼지 김치찌개', '사이즈 선택(大)']",스쿠터 5분거리를 배달원이 딴짓하다가 20분도 넘게 걸려서 오네요.양은 꽤 많습니다.밥 기본 미포함.,[]
14,5,"['동태탕', '사이즈 선택(中', '추가선택(동태내장 추가)']",얼큰하고 맛잇어요~항상 감사합니다~이번에는 봉투에 다 흘러서 도착햇어요ㅠㅠ흑....,"['https://rev-static.yogiyo.co.kr/5ecb7a3ff9b6a4a39eedf88303dc2017_tn.jpg', 'https://rev-static.yogiyo.co.kr/e444d23bcf92594578af904f22f2c259_tn.jpg']"
15,3,"['통돼지 김치찌개', '사이즈 선택(中', '추가선택(공기밥 추가)']",매장에서 먹는게 더 맛있네요. 공기밥 시켰는데 누락되서 햇반 사서 먹었어요... 환불 처리는 바로해주셨는데 요기요에서 3~5일 걸린데요 ㅠㅠ,[]
16,5,"['통돼지 김치찌개', '사이즈 선택(中)']",맛있어서 또 시켜 먹었어요!!양도많고 여전히 맛있네요ㅎㅎ!!!,['https://rev-static.yogiyo.co.kr/56243b12655ad6e48f9a3698f8ae9d7c_tn.jpg']
17,5,"['동태탕', '사이즈 선택(中', '추가선택(동태내장 추가)']",항상 같은맛으로 정성껏주셔서 매우감사해요♡오늘도 배부르게 잘먹엇습니다👍👍👍,['https://rev-static.yogiyo.co.kr/b4cb16c126081d6e32feaf2fcb066517_tn.jpg']
18,5,['부채살육전'],비가와서 육전시켜봣는데 부드럽고 너무맛잇엇어요그리고 궁금한게 ㅋㅋㅋㅋ헬기로 배달되나요 ㅋㅋㅋㅋㅋㅋㅋㅋ비가와도 빠른배송에 감사합니다,['https://rev-static.yogiyo.co.kr/a801ddbfdfb9001733c473a153995636_tn.jpg']
19,3,['국물 닭볶음탕'],닭복음탕에 수제비를 추가하였다가 리뷰 이벤트를 보고 수제비를 빼고 요청하였지만 받고 보니 수제비가 없네요 ㅡㅜ아.. ㅡㅜ 먹는 내내 아쉬웠습니다.,['https://rev-static.yogiyo.co.kr/bcc0359657f27d68a2cdcdca650b7eaa_tn.jpg']
