,별점,주문메뉴,리뷰,사진
0,5,['갈릭보쌈小'],"우앙 넘 맛있어요.지난번 한 번 먹었는데, 이 맛이 자꾸 생각나요.갈릭보쌈 정말강추!젓가락 티슈 상자등 모든곳에 사장님 센스가!그리고 손으로 쓴 행운의 편지ㅋㅋ아놔..ㅋㅋ신랑과 한참 웃었네요^^집에 손님오면 꼭 맛보게 해주고싶어요~배사장님 넘 맛나게 잘 먹었습니다~사장님ㅋ직원들이 양 많이줘서 넘 기뻤으니 혼내지마세요~♡","['https://rev-static.yogiyo.co.kr/d6f30e91d380aacad8e451c0231f780c_tn.jpg', 'https://rev-static.yogiyo.co.kr/fc558a8823b85b931b6de6b6d4b28e99_tn.jpg', 'https://rev-static.yogiyo.co.kr/f109cc0f26bc36143f59b2322e45dc08_tn.jpg']"
1,5,['보쌈小'],맛있구 양도 많아서 만족스럽게 먹었습니다.남자 2명이서도 양 충분해요배부르게 잘 먹었습니다ㅎㅎ,['https://rev-static.yogiyo.co.kr/f74ca3bd9a8bf1652277443c1093fcc0_tn.jpg']
2,5,['보쌈小'],양도 많고 배달도 빠르고 맛있습니다 리뷰 2개있는게 평이 좋아서 시켰는데 진짜 만족스러워서 저도 리뷰남깁니다,"['https://rev-static.yogiyo.co.kr/c07a0e052fc992fe58a3d44869274069_tn.jpg', 'https://rev-static.yogiyo.co.kr/22148eb34097c522c6798fca85451f69_tn.jpg']"
3,5,['갈릭보쌈小'],친한친구에게 대접하고 싶어서 또주문^^늘 친절히 배달해주셔서 감사^^역시 맛있음ㅎㅎ친구도 만족~~ 근데 이번엔ㅠㅠ 야채쌈이 빠졌어요ㅜㅜ지난번엔 무김치가 빠졌었는데ㅜㅜ우엉우엉그래도 맛있으니까 이해할게요~~,"['https://rev-static.yogiyo.co.kr/75cef095acd62c85870aef89399210a1_tn.jpg', 'https://rev-static.yogiyo.co.kr/411def7e23286c850f3cd6c119929d64_tn.jpg']"
4,5,['갈릭보쌈도시락'],저. 리뷰작성 거의 안하는데요 배달출발 했다고 문자까지 보내주시는곳 첨입니다 ~맛도 좋고 갈릭도시락 고기가적을까 추가주문했는데 양이 많아서 남겼네요. 무엇보다 도시락열었을때 정성이 보이는것같아요 물론센스있게 넵킨 물티슈까지 ㅎㅎㅎ넘잘먹었어요 감사합니다,['https://rev-static.yogiyo.co.kr/ad18a659405a2c20c156d8b09a1fb939_tn.jpg']
5,5,"['갈릭보쌈도시락', '막국수']",배달 출발할때도 문자로 연락해주시고 도시락인데 박스가 되게 커서 놀랬어요!양도 많고 뭣보다 맛이 되게 좋았어요사장님이 되게 재밌으신분 같아요 ㅎㅎㅎ정말 강추하는 집입니당!,['https://rev-static.yogiyo.co.kr/192d36c6527bebdb0f7b23310a7fc3a2_tn.jpg']
6,5,['갈릭보쌈小'],양많고 맛있고 서비스좋고 굿이에요.,[]
7,5,"['꿀마늘족발도시락', '막국수', '스프라이트1.5L']",저번에 한번 시키고 다른 메뉴로 재주문한건데 족발도 정말 맛있네요:)설마 사장님이 리뷰 쓴거 보시고 다른 메시지를 써놓으신줄은 몰랐네요꿀마늘 족발도 정말 강추합니당,['https://rev-static.yogiyo.co.kr/d5b4123cffd7c34aa0d033bc57f26b87_tn.jpg']
8,5,['갈릭보쌈小'],구운마늘이 같이 있어서 맛있어요!,['https://rev-static.yogiyo.co.kr/0845bdd0fa9091c3de2269e94cd5e9b1_tn.jpg']
9,5,"['족발도시락', '보쌈도시락', '막국수']",족발집중에 이런곳은 처음인듯 푸짐하고 좋네요~~사장님 대박나세요~~,"['https://rev-static.yogiyo.co.kr/98448adcbcdbeb5ac3a583328f342256_tn.jpg', 'https://rev-static.yogiyo.co.kr/b7a486ddcdb01fd43c28a86085441b8c_tn.jpg']"
10,5,"['데리야끼보쌈도시락', '스프라이트1.5L']",이젠 뭐 말로 하기도 지치네요너무 맛있어서!너무 자주 시켜먹는거 아닌가 모르겠네용ㅋㅋ짱짱맛!,['https://rev-static.yogiyo.co.kr/2d038c739c165fcd6252d3cfa393bb95_tn.jpg']
11,5,"['불족발도시락', '갈릭보쌈도시락']",맛 양 배달 모두만족합니다 너무맛있게 잘먹었어요~!!다만 엄청엄청 조금아쉬운게있다면 부추가 너무적었어요ㅠ 어찌됫든 따듯하게 너무맛있게 잘먹었습니다 감사합니다!!번창하세요!!,['https://rev-static.yogiyo.co.kr/5319e10c4e911a83fd5bbfd0b86104cb_tn.jpg']
