,별점,주문메뉴,리뷰,사진
0,5,"['족발＋족발', '불족발', '사이즈 선택(中)', '소주']",아니 세상.... 배달의민족 보고 평점이 5점만점이길래 주문했는데남는거 있으세요....??서비스- 막국수 주먹밥 콜라 기본 김치두종류에 파절이 쌈가득 콩나물국족발자체도 숯불향이 가득하구 받자마자 놀랍네요포대기채로 온 박스크기에 놀라고 내용구성에 놀라고서비스에 놀랍니다 살짝 간이좀있는데 쏘주랑먹으니 궁합최고네요 기본족발자체에 훈연향이 있고 부들부들해 먹기좋구요그 거대한족발뼈가 없이 다 잘려져있어 먹기가편해요글자수가 거의 다됐네요ㅠㅠ원래 sns에 글안올리는데 sns에 상세후기 남기러갑니당 !! 핵존맛집이에요,"['https://rev-static.yogiyo.co.kr/4496e3fe82a381f04b91c45a121b3c1e_tn.jpg', 'https://rev-static.yogiyo.co.kr/f11b92b3004b6308b18856f0f9383b63_tn.jpg', 'https://rev-static.yogiyo.co.kr/c46396637f2a86be48371d18e6a29020_tn.jpg']"
1,5,"['족발도시락', '공기밥']",와 엄청 맛있어요 강추요 ㅎ,[]
2,5,"['족발도시락', '보쌈도시락', '막국수']",포장 박스 크기보고 놀라고 열어보고 놀라고..ㅋㅋ먹어보고 또 놀랐어요 양도 많고 깔끔하고 너무 맛나요!잘먹었습니다~!,"['https://rev-static.yogiyo.co.kr/bd8d473f9cb8ea5bc1b7148710943f13_tn.jpg', 'https://rev-static.yogiyo.co.kr/3c0352bd8b99a27ae94a22f245589195_tn.jpg']"
3,5,"['족발＋족발', '불족발', '사이즈 선택(中)', '주먹밥', '모듬쌈야채（추가）']",오~리뷰보고  시켰는데  ..장난  아니네요  👍👍👍👍👍👍👍 이제 요기에서만 시켜 먹어야 겠어요 ~ 양.맛 무지 푸짐하네요 . 맛나게  잘  먹었습니당^^,[]
4,5,['꿀마늘족발도시락'],꿀마늘족발 주문해서먹었는데 역시 맛잇어요 ㅎ,[]
5,5,"['미니족＋보쌈', '보쌈선택(갈릭보쌈)']",Goodgoodgood!,['https://rev-static.yogiyo.co.kr/9ecfed0f1f15981fa842b2935d207984_tn.jpg']
6,3,"['냉채족발도시락', '보쌈도시락']",비오는날 빠르게 음식을 가져다 주셔서 감사드립니다 여러가지로 신경써서 영업하시는것같아 더 번창하시라고 아쉬운점도 적습니다 족발에서 잡내가 납니다  그리고 김치가..보쌈김치가 아니네요 단맛이 전혀 없어요 머 요런스타일을 좋아하시는 분들도 있다면 취향차이 지만..여러가지 서비스도 주시고 포장패키지도 넘 이쁜데요 결정적으로 메인메뉴 맛을 좀 보완하셔야할것같아요 볶음밥은 고슬고슬 한게 맛있고 보쌈고기도 괜찮습니다,"['https://rev-static.yogiyo.co.kr/c155717dcfb710447d105f3263d64109_tn.jpg', 'https://rev-static.yogiyo.co.kr/cbf5d80b2d2ff0f33e4922367868b8d6_tn.jpg']"
7,5,"['미니족＋보쌈', '보쌈선택(바베큐보쌈)', '코카콜라1.25L']",정말 맛있게 잘 먹었습니다!,"['https://rev-static.yogiyo.co.kr/023fcdbef432f607a82970ecc662cd58_tn.jpg', 'https://rev-static.yogiyo.co.kr/68225565d3c2b60d709a85023cd7511d_tn.jpg', 'https://rev-static.yogiyo.co.kr/4a3281b83f2d17c980ff5574a157540b_tn.jpg']"
8,5,['꿀마늘보쌈小'],저는 분명히 소를 시켰는데 양이 정말 엄청나게 많이 와서 당황했어요ㅎㅎ배부르게 잘먹었습니다ㅎㅎ근데 마늘 향이 조금 강해서 조금 아쉬웠어요 그래도 멋있게 먹었어요 감사합니다,"['https://rev-static.yogiyo.co.kr/fa9c9e9a2149a66699c08d171c053d66_tn.jpg', 'https://rev-static.yogiyo.co.kr/0d220228ba40e41eb6aaaf2d8bb2d4fb_tn.jpg', 'https://rev-static.yogiyo.co.kr/74f863b07e1ccfd570ca142d08167e1f_tn.jpg']"
9,5,['갈릭보쌈中'],양 많고 맛있습니다.,[]
