,별점,주문메뉴,리뷰,사진
0,5,"['꿀마늘보쌈도시락 ', '모듬쌈야채 ', '5찬', '막국수 小', '김치찌개 ']","배달은 그리 빨리 오진 않았지만 보통이었던거 같아요. 저는 꿀마늘보쌈 도시락이랑 막국수 소, 김치찌개, 사이드 조금 해서 시켰는데 양도 많고 고기도 싱싱해서 좋았어요. 새로 오픈하신거 같은데 자주 이용하겠습니다!! 담에도 잘 부탁드려요!! 번창하세요!!",['https://rev-static.yogiyo.co.kr/8a1d1556f747bb30a3887ca6b6762871_tn.jpg']
1,3,['꿀마늘보쌈도시락 '],총체적 난국입니다쏘스만 않샜어도...정성이 묻어나는 포장과 아이디어도 좋았는데...조그만 실수가...,"['https://rev-static.yogiyo.co.kr/0a775d4f6a1b665676e7037ed52bb075_tn.jpg', 'https://rev-static.yogiyo.co.kr/53e7ad5e662963611f6ff3f4d47332cf_tn.jpg', 'https://rev-static.yogiyo.co.kr/71567dd4e580171a3645c3f7343656dc_tn.jpg']"
2,4,"['꿀마늘족발도시락 ', '막국수 小']",가격대비 양 많고 맛도 좋음불가한 희망사항이 있다면 않뿔는 잔치국수였으면...,"['https://rev-static.yogiyo.co.kr/954c5f5ca083d6468ddcf3c0f4c7de42_tn.jpg', 'https://rev-static.yogiyo.co.kr/eb2a62d926d04510ebe189e0e3d6d7c5_tn.jpg']"
3,4,"['꿀마늘보쌈도시락 ', '공기밥 ', '5찬', '막국수 小', '김치찌개 ']",국수가 퍽퍽 ㅠㅠ 약간의 육수가 있어도 좋겠어요 ㅠㅠ,[]
4,5,"['꿀마늘보쌈도시락 ', '막국수 小']",양 핵많아서 남겼어요! 푸짐합니다ㅎㅎ근데 막국수 소스가 약간 부족해요ㅠㅠ,[]
5,5,"['꿀마늘보쌈 ', '막국수 小']",배달 넘 깔끔하고 좋았어요근데 마늘보쌈이 먹다보니까 물리더라고요ㅠㅠ 담엔 그냥 보쌈 먹을래요!!!고기는 냄새도 안나고 최고에여그리거 막국수 시켰는데 서비스로 또 막국수 주셔가지고 못먹고 버렸어여ㅠㅠㅠ흑흑 박스는 고양이가 조아하네요,"['https://rev-static.yogiyo.co.kr/86cadfe13e3e1fbbccf35f7b5cae7712_tn.jpg', 'https://rev-static.yogiyo.co.kr/5b70422a560ed208e33153884be95db8_tn.jpg', 'https://rev-static.yogiyo.co.kr/959169837307d93fbbb8cdb41ef0c356_tn.jpg']"
6,5,['데리야끼보쌈도시락 '],매우 맛있었어요 서비스도 받았고요!,['https://rev-static.yogiyo.co.kr/d4c66cf81a87e84e68ea10de070d80c4_tn.jpg']
7,5,['보쌈 도시락 '],족발 여기저기 자주 시켜먹는데 영통에서는여기 배사장 고기가 제일 나음쟁반국수도 우리가 상상하는 대부분 좋아하는 맛으로 양념되서호불호없이 그냥 호포장은 요즘 다른 곳도 깔끔해서 패스배송 빠름 20분만에 옴,[]
8,5,['보쌈 도시락 '],배달이 생각보다 빨랐어요 고기가 약간? 느끼한 것 같지만 양이 푸딤하고 먹기 좋았어요,[]
9,5,"['미니족＋보쌈', '보쌈 선택(갈릭보쌈)']",너무 맛있었어요!미니족 수율이 약간 낮긴 했지만 전체적으로는 만족입니다!,[]
10,5,['보쌈 도시락 '],"배달도 진짜 빠르고 생각보다 양도 진짜 많고 맛있어서 놀랬어요!! 여기 완전 좋아요ㅠㅠㅠㅠ앞으로 보쌈, 족발은 여기서 시켜먹을거에용!!감사합니다!!","['https://rev-static.yogiyo.co.kr/a71ac9c6dbb727840caf4c72a64b2beb_tn.jpg', 'https://rev-static.yogiyo.co.kr/45267ad94e4ecdfd6b5c1a46351145d0_tn.jpg', 'https://rev-static.yogiyo.co.kr/a12af0586b9f8505366723b8616b561c_tn.jpg']"
11,4,['직화족발도시락 '],당골입니다만족합니다 리뷰 않써도될만큼 잘 먹고 있습니다,[]
12,5,['보쌈 도시락 '],푸짐하고 고기 맛나요~~~~또시킬께요,"['https://rev-static.yogiyo.co.kr/07d517792c40800aeda0abe5e42db870_tn.jpg', 'https://rev-static.yogiyo.co.kr/69b0a698eb4550c8ec9f365a50bbf962_tn.jpg', 'https://rev-static.yogiyo.co.kr/a868712898e5a77402a781386c7f996e_tn.jpg']"
13,4,"['족발＋족발', '메뉴 선택(불족', '족발)']",막국수 맛있어요 족발은 냄새 안나고 괜찮아요,['https://rev-static.yogiyo.co.kr/bd7863af27147801bd3cbc5cf8f6b647_tn.jpg']
14,5,"['족발＋보쌈', '족발 선택(직화족발', '보쌈 선택(꿀마늘보쌈)']",꿀마늘보쌈 처음이었는데 맛있었어요~ 직화족발도 맛나구요~ 낮엔 배사장의시켜족보쌈족발에서  ~고고,[]
15,5,"['꿀마늘보쌈도시락 ', '펩시  500mL ']",매번 먹을때마다 맛에놀라고~양에 놀랍니다!!,[]
16,5,['꿀마늘보쌈도시락 '],맛나게 잘먹었습니다~~^^,"['https://rev-static.yogiyo.co.kr/ab9ed32fbbf0ec4288b9d0f91c636c97_tn.jpg', 'https://rev-static.yogiyo.co.kr/5503d1c8dff419c55acb6c789b48b75e_tn.jpg', 'https://rev-static.yogiyo.co.kr/475223e708cb96f8703d067f462d3ab5_tn.jpg']"
17,4,['꿀마늘보쌈도시락 '],이름부터 꿀마늘보쌈이긴한데 그래도 그렇다고해도 너무 달아요. 맛있는데도 배 차기 전에 질립니다. 달아서 그런지 좀 느끼한 거 같기도 하네요. 다음에는 그냥 보쌈을 먹어보고 싶어요,[]
18,5,"['족발＋보쌈', '족발 선택(족발', '보쌈 선택(보쌈)']",오랜만에 족발 보쌈이 먹고싶어서리뷰 믿고 주문해 봤습니다😎전날부터 요기요 켜놓고 검색해놨었거든요 ㅋㅋ후기대로 빠른 배달과 센스있는 포장에 1차로 기분좋았구요보쌈도 족발도 굿굿!! 최고 맛있었어요 >.<소자 시켰는데도 양이 많아서 여자둘이 먹었더니 꽤 남아서저녁에 또 먹으려구요ㅋㅋㅋ막국수는 보내주신 야채랑 양푼이에 넣고 비볐더니푸짐한 양!! 매콤 새콤 달콤 넘 좋아요 별미❤️정말 맛있게 잘 먹었습니다 (｡˃ ᵕ ˂ )ƅ다음번엔 시켜락! 도시락류도 주문해 봐야겠어요:),"['https://rev-static.yogiyo.co.kr/41b064ac58bb428eb283a1e25b9e30d2_tn.jpg', 'https://rev-static.yogiyo.co.kr/b590c76bacf0a18732086becdbc29b5a_tn.jpg', 'https://rev-static.yogiyo.co.kr/60b6f2aeb9f55ca28a20b4a676027b4b_tn.jpg']"
19,4,"['보쌈 도시락 ', '부추전 ']",가격대비 양도많고 맛있었어요ㅎ 주문할때보니 막국수서비스라고 써있길래 따로주문안했는데 아니였나보네요ㅎㅎ;걍시킬걸ㅋ; 배달도빠르고 만족합니다~담에또시켜먹을께요^^,['https://rev-static.yogiyo.co.kr/bbf0c39b25d8b5ffb2ad422dd5e69680_tn.jpg']
20,4,"['보쌈 도시락 ', '막국수 小']",양이 대박~~~ 맛도 있네요. 감사합니다.감동주는 패키지 긋~~~,"['https://rev-static.yogiyo.co.kr/08180e925a2ae1c3f4a6c5326463f85e_tn.jpg', 'https://rev-static.yogiyo.co.kr/94dc1a62923e9bbd8c4bef71f4a2fa75_tn.jpg', 'https://rev-static.yogiyo.co.kr/07ce54f122e7167b3d121317afe64e61_tn.jpg']"
21,5,"['족발＋보쌈', '족발 선택(직화족발', '보쌈 선택(보쌈)']",가격 대비 양이 진짜 맛아요 맛도 괜찮구요 포장 박스도 마음에 듭니다,[]
22,5,"['족발＋보쌈', '족발 선택(직화족발', '보쌈 선택(바베큐보쌈)']",맛있어요~~바베큐양념맛있네요 족발직화도 짱!,['https://rev-static.yogiyo.co.kr/a5a8a776cd1440205c7babf69e9ae50d_tn.jpg']
23,5,"['보쌈 도시락 ', '막국수 小']",밥에 간이되어있어서 쪼금짰어요도시락인데 크기와 양에 감동🙀😆다음에 또 시켜먹을께요~,"['https://rev-static.yogiyo.co.kr/56c522ebbae2d63f889b3835df2f23c4_tn.jpg', 'https://rev-static.yogiyo.co.kr/9b97fde61e50355bcd602a28badc64f0_tn.jpg']"
24,4,['꿀마늘족발'],바쁘지 않은 시간대에 주문해서 빨리오긴했는데 정말 너무 빨라서 놀랐어요 ㅎㅎ음식도 리뷰보고 혹시나하는 마음에 시켰는데 다행히 실망시키지않았어요 ㅋㅋ음식마다 붙어있는 스티커 읽는재미가 쏠쏠 했습니다^^,"['https://rev-static.yogiyo.co.kr/4844ff656ede1c6e12577c69c8f1e9db_tn.jpg', 'https://rev-static.yogiyo.co.kr/c78da87e951293082dd60dab60b68a9d_tn.jpg']"
25,3,['족발 '],포장이나 비쥬얼이 너무 이쁘고 맛도 있는데 양이 너무 적어서 아쉬웠어요.,[]
26,3,['보쌈 도시락 '],개인 적으로 무말랭이 별로인듯,[]
