,별점,주문메뉴,리뷰,사진
0,5,"['삼겹살＋삼겹살 ', '메뉴 선택(삼겹', '갈릭 삼겹살', '서비스 선택(음료)']",맛있어요 파절이내스타일~ 포장이정성스럽고용번창하세요,['https://rev-static.yogiyo.co.kr/fae56b49653a18af521f10ca25e10402_tn.jpg']
1,5,"['삼겹살＋삼겹살 ', '메뉴 선택(삼겹', '갈릭 삼겹살)']",맛있네요~ 최근 삼겹살배달이 잘나오는편이라 즐기는데 저희입맛에는 최고네요. 잘먹었어요^^,['https://rev-static.yogiyo.co.kr/5b2b46b92f377f7f811e1dd6abf8563f_tn.jpg']
2,5,"['삼겹살＋삼겹살 ', '메뉴 선택(삼겹', '바베큐 삼겹살', '추가 선택(파채)', '스프라이트 500mL ']",첨시켜먹엇는데 깔끔하게 포장도 되잇고 서비스도 대박 ㅋㅋㅋㅋ 너무너무맛잇게 잘먹엇습니다!!! 담에도 지금처럼 ㅋㅋㅋㅋ사진찍을시간없이 바로바로 냠냠 >_<,[]
3,5,"['삼겹살 or 목살 ', '메뉴 선택(삼겹살)']",역시나 언지 ㅅ시켜 먹어도 맛남,[]
4,5,"['고추장삼겹살 or 고추장목살', '메뉴 선택(삼겹살)']",혼자 먹기에 엄청 푸짐하니 좋았습니다!잘 먹었습니당,[]
5,5,[],포장깔끔하고 맛있어요 추천!!,[]
6,5,"['삼겹살 or 목살 ', '메뉴 선택(삼겹살)']",맛있었어용 짱입니다웅,[]
7,5,"['고추장삼겹살 or 고추장목살', '메뉴 선택(목살)']",배달이 조금 오래걸리긴했지만 맛있어요~~~ ^^김치찌개까지 보내주실줄 몰랐는데 맛도 너무 너무 맛있더라구요! 파채도 고기도 ㅎㅎㅎ 뭐 하나 빠지는거없이 다 맛있어서 배부르게 먹었습니다 감사해요,"['https://rev-static.yogiyo.co.kr/0a3d358d068c84400ea65bbdf6424e24_tn.jpg', 'https://rev-static.yogiyo.co.kr/f3802994aa6d35c22b6212ebede02264_tn.jpg', 'https://rev-static.yogiyo.co.kr/9eeb0928543e16491645f088c0f13155_tn.jpg']"
8,5,"['바베큐삼겹살 or 바베큐목살', '메뉴 선택(목살', '추가 선택(새송이)', '공기밥 ']",진짜 맛있고 배달도 너무 깨끗하게 오고 기분이 너무 좋아요..❤️ 감사합니다 번창하세요 다들 시켜드세요~~~!!!,"['https://rev-static.yogiyo.co.kr/ee36bcf277083853ad61e4aca0a41337_tn.jpg', 'https://rev-static.yogiyo.co.kr/b4f691cee091d1b34a3151f732a862ba_tn.jpg', 'https://rev-static.yogiyo.co.kr/1711ffd61ece6a6324ebc9993f02a2d1_tn.jpg']"
9,5,"['바베큐삼겹살 or 바베큐목살', '메뉴 선택(삼겹살', '추가 선택(소세지)']",기대가 되네요!맛있게 잘먹겠습니다 ㅎㅎ,['https://rev-static.yogiyo.co.kr/19e8860865ed3ad4fe8f2f7a508e7cfb_tn.jpg']
10,5,"['삼겹살 or 목살 ', '메뉴 선택(삼겹살)']",이집이 맛집이네 개꿀맛,[]
11,5,"['데리야끼삼겹살 or 데리야끼목살', '메뉴 선택(삼겹살', '추가 선택(떡사리)']",주말오후를 맛있는 삼겹살과 함께해서 좋네요역시 믿고먹는 배사장네삼겹살!,['https://rev-static.yogiyo.co.kr/f8a506964ca61d2c9959d63b715615c0_tn.jpg']
12,5,"['고추장삼겹살 or 고추장목살', '메뉴 선택(목살)']",역시 혼자 먹을 때 짱입니다!,[]
13,5,"['삼겹살 or 목살 ', '메뉴 선택(삼겹살)']",아주 잘먹었습니다!!!! 꺼억~~~,['https://rev-static.yogiyo.co.kr/3484b57c9e513f50210021ab691d7cc2_tn.jpg']
14,5,"['바베큐삼겹살 or 바베큐목살', '메뉴 선택(삼겹살)']",양부터 감동 맛도 감동 자주 이용할게용~,['https://rev-static.yogiyo.co.kr/381264a1b2ad890369e59aa9ab1987bc_tn.jpg']
15,5,"['삼겹살 or 목살 ', '메뉴 선택(삼겹살)']",수많은 고기집중에 제일 깔끔하게 배달되는곳입니다 오늘도 맛있게 잘먹었어요,['https://rev-static.yogiyo.co.kr/188b78ba4a5ef8868c0355ac66ece31c_tn.jpg']
16,5,"['삼겹살＋삼겹살 ', '메뉴 선택(삼겹', '갈릭 삼겹살)']",요기요에서 첨 시켜봤는데...여기 맛있네요~~~^^품목마다 센스있게 달아놓은 멘트도 넘 재밌어요^^앞으로 단골 될게요~~~!,['https://rev-static.yogiyo.co.kr/8358290cea1e9aa4dbf186922a640946_tn.jpg']
17,5,"['삼겹살 or 목살 ', '메뉴 선택(삼겹살)']",혼자 시켜먹어봤는데 양도 많고 맛있어요특히 파절이랑 고기가 넘 맛있네요근데 김치찌개는 넘 짰어요ㅜ,"['https://rev-static.yogiyo.co.kr/3b7499ba598c5b209df8c844a201bcbd_tn.jpg', 'https://rev-static.yogiyo.co.kr/226fca05fb325b0976046c763e201a8b_tn.jpg', 'https://rev-static.yogiyo.co.kr/73b94669c2bdc39a1f69a0a7a8ca4aba_tn.jpg']"
