,별점,주문메뉴,리뷰,사진
0,5,"['쿼터', '아이스크림 선택（쿼터）(사랑에 빠진 딸기', '쿼터 스푼 선택(스푼 5개)', '쿼터', '아이스크림 선택（쿼터）(체리쥬빌', '바람과 함께 사라지', '사랑에 빠진 딸', '뉴욕치즈케이크', '쿼터 스푼 선택(스푼 5개)']",쿼터만 두개시켰는대 뚜껑에 귀여운글씨로 친절하게 표시해주셔서 안열어보고 잘 먹구있어용ㅋㅋㅋㅋ 문자는 85분걸린다해서 엄청놀랐는대 그거보다 훨빨리왔어요 걍 치킨시켜먹는정도?ㅋㅋㅋㅋ,['https://rev-static.yogiyo.co.kr/1a8d55c8eb70df203d8fb4c890b17d64_tn.jpg']
1,4,"['하프갤런', '아이스크림 선택（하프갤런）(민트 초코렛', '피스타치오 아몬', '바람과 함께 사라지', '뉴욕치즈케이', '초코나무 ', '봉쥬르 마카롱', '하프갤런 스푼 선택(스푼 8개)']",영통빌리지쪽은 1시간 반이 걸리던데여긴 20분걸린듯 대박,[]
2,5,"['하프갤런', '아이스크림 선택（하프갤런）(피스타치오 아몬', '아몬드봉', '31-요거', '베리베리 스트로베', '바람과 함께 사라지', '사랑에 빠진 딸기', '하프갤런 스푼 선택(스푼 2개)']",배달도 빠르고 친절하셔서 좋고 마싯어여,[]
3,4,[],배달도 괜찮구친절하니 좋아요!,[]
4,5,[],역시 좋음 ㅋㅋㅋㅋ 빨라서 ㅎㅎㅎ 감사해용 수고하세요,[]
5,5,"['파인트', '자모카아몬드훠', '봉쥬르 마카롱', '대체맛 선택（파인트）(（대체）초코나무 숲', '포장 이동시간(1시간', '파인트 스푼 선택(스푼 1개)', '파인트', '사랑에 빠진 딸', '아몬드봉봉', '대체맛 선택（파인트）(（대체）초콜릿 무스', '포장 이동시간(1시간', '파인트 스푼 선택(스푼 1개)']",항상 빠르고 양도많아서좋아요,[]
6,5,[],배달도 빠르고 친절하게 해주셔서 매번 받을때마다 기분이 좋고 맛도 변함없이 좋아요,[]
7,5,"['버블버블 핑크퐁', '스푼 선택(스푼 10개', '큰 초 선택(큰 초 5개', '작은 초 선택(작은 초 5개)']",배송도 빠르고 너무 좋으네요,[]
8,5,"['쿼터', '아이스크림 선택（쿼터）(아몬드봉', '초콜', '베리베리 스트로베', '이상한 나라의 솜사탕', '대체맛 선택（쿼터）(（대체）초콜', '（대체）베리베리 스트로베리', '쿼터 스푼 선택(스푼 2개)']",좋아요 맛있어요 굿 교,[]
9,3,"['패밀리', '아이스크림 선택（패밀리）(바람과 함께 사라지', '민트 초코렛', '초코나무 ', '미니미니 미니언', '워싱턴 블루베리 쥬빌레', '대체맛 선택（패밀리）(（대체）쿠키 앤 크', '（대체）뉴욕치즈케이크', '스푼 선택(스푼 5개)']",전엔 젊은 남성분이 배달왔었는데 이번엔 나이드신 분이 오심  배달 잘못해놓고 미안하단 말도 없으시고 제가 내려가서 받아와서 보니 이미 많이 녹아잇고기분은 몹시 안좋았어요저희 건물 이랑 바로 앞에 마주보는 건물이 동일한 집주인이에요 근데 주소도 문제없고 전에 배달마다 이런적 없었고 잘못적은줄 알고 확인햇는데 문제없었어요근데 본인휴대폰 지도로는 앞건물이라며 제가 주소를 잘못 말한 탓이라고 하더라고요? 솔직히 배달업체 쓴다고 하지만 이런식이면 전 주문안할거같아요,[]
10,5,"['쿼터', '아이스크림 선택（쿼터）(베리베리 스트로베', '슈팅스', '레인보우 샤베', '이상한 나라의 솜사탕', '대체맛 선택（쿼터）(（대체）슈팅스', '（대체）봉쥬르 마카롱', '쿼터 스푼 선택(스푼 1개)']",맛잇어용 배달도 빠르시고,[]
11,5,"['하프갤런', '아이스크림 선택（하프갤런）(쿠키 앤 크', '그린', '바닐', '슈팅스', '민트 초코렛', '바나나 쥬빌레', '대체맛 선택（하프갤런）(（대체）자모카 아몬드 훠', '（대체）피스타치오 아몬', '（대체）핑크퐁 상어가족', '하프갤런 스푼 선택(스푼 2개)']",양을 뚜껑이 터질것처럼 주셌네욬ㅋㅋ 감사합니당,[]
