,별점,주문메뉴,리뷰,사진
0,5,"['패밀리', '아이스크림 선택（패밀리）(그린', '31-요거', '바닐', '레인보우 샤베', '망고 탱고', '스푼 선택(스푼 6개)']",고맙습니다 24시간만의 첫끼니 바닐라 ㅎㅎ,"['https://rev-static.yogiyo.co.kr/3a81ac9ca6cfb29739da3a86dc01b62a_tn.jpg', 'https://rev-static.yogiyo.co.kr/a759ffe4e7b083f14281342b05bbd3d2_tn.jpg']"
1,1,[],후기보고 패밀리사이즈에 두가지맛만 보내달라고요청사항에적고 아무거나 추가3가지 찍었는데요청사항안보고 다섯가지 다주셨네ㅡㅡ거지같은 매장 다신안시킨다요청사항 폼으로 달아놨니?,[]
2,5,"['쿼터', '아이스크림 선택（쿼터）(피스타치오 아몬', '아몬드봉', '레인보우 샤베', '마이레몬트리', '쿼터 스푼 선택(스푼 5개)']",녹지도않고 배달도 빠르네오,[]
3,4,"['달콤한 스타', '스푼 선택(스푼 10개', '큰 초 선택(큰 초 1개', '작은 초 선택(선택 안함)']",신랑. 아기 생일이여서 주문해서 시켜봤는데 엄청 빨리와서 놀랬어요 :) 기분좋게 축하파티 했네요~,[]
4,4,"['쿼터', '아이스크림 선택（쿼터）(민트 초코렛', '쿠키 앤 크', '31-요거', '초코나무 숲', '쿼터 스푼 선택(스푼 5개)']",맛있게 잘 먹었습니다~:),[]
5,5,"['쿼터', '아이스크림 선택（쿼터）(그린', '엄마는 외계', '뉴욕치즈케이', '봉쥬르 마카롱', '쿼터 스푼 선택(스푼 5개)']",아스크림 배달 좋음 왜냐하면 전 아스크림을 좋아함,[]
6,5,"['패밀리', '아이스크림 선택（패밀리）(초콜릿 무', '슈팅스', '엄마는 외계', '이상한 나라의 솜사', '봉쥬르 마카롱', '스푼 선택(스푼 6개)']",개이더개시애가액그ㅇㅇ,[]
7,5,"['쿼터', '아이스크림 선택（쿼터）(엄마는 외계', '아몬드봉', '이상한 나라의 솜사', '체리쥬빌레 31', '대체맛 선택（쿼터）(（대체）사랑에 빠진 딸', '（대체）초코나무 숲', '쿼터 스푼 선택(스푼 1개)']",배달빠르고 늘 좋아요~,[]
8,5,"['쿼터', '아이스크림 선택（쿼터）(엄마는 외계', '쿠키 앤 크', '민트 초코렛', '핑크퐁 상어가족', '대체맛 선택（쿼터）(（대체）엄마는 외계', '（대체）피스타치오 아몬드', '쿼터 스푼 선택(스푼 2개)']",역시 베라....후식 원탑이네여!!!,"['https://rev-static.yogiyo.co.kr/06001d2141b1f2da15933e3d2e5540ca_tn.jpg', 'https://rev-static.yogiyo.co.kr/f7684761ecb297fb91c966f02783ebe7_tn.jpg']"
9,5,"['쿼터', '아이스크림 선택（쿼터）(뉴욕치즈케이', '봉쥬르 마카', '미니미니 미니언', '체리쥬빌레', '대체맛 선택（쿼터）(（대체）쿠키 앤 크', '（대체）너는 참 달고나', '쿼터 스푼 선택(스푼 2개)']",핵죤맛이구 배달 넘무빨라요ㅜㅜㅜ,[]
