,별점,주문메뉴,리뷰,사진
0,1,"['쿼터', '포장 이동시간(1시간', '아이스크림 선택（쿼터）(자모카 아몬드 훠', '아몬드봉', '엄마는 외계', '애플 민트)', '더블 쿠키샌드 （화이트&초콜릿무스）']",1점도 아깝다5/21 오후 8:21분 주문해서 55분걸린다고 문자가 왔다.9:25이 되도 안오길래 전화해서 물어보니까 애플민트가 없었는데 지금 재고가 생겨서 지금 막 퍼서 배달시킨단다. 약속시간을 늦은 것도 화가 나지만 기본적으로 전화를 받으면 안녕하세요 영통 홈플러스 베스킨라빈스입니다. 라는 말이라도 해야하는거 아닌가요? 전화 받고도 아무말도 안하시길래 제가 당황해서 거기 베라맞냐고 물어봤네요 ㅋㅋ 그리고 요기요에서 1시간 전에 시켰는데 아직 안와서 전화했다니까 그냥 네..이러고 가만있더라구요 . 또 제가 당황해서 언제 오는지 알려주실수있냐고 물어봤네요 ㅋ  알바생이 애플민트 재고가 없었는데 이제 막 재고가 들어와서 이제 포장해서 주겠다던데 약속시간보다 늦을 것 같으면 미리 연락을 주고 맛을 바꿀건지 묻던가 양해를 구하는게 정상 아닌가요? 또 제가 그럼 얼마나 더 걸리냐고 물었더니 30-40분 더 걸린다더라구요. 그럼 저는 55분안에 받아야 할 베라를 2시간넘게 기다리는건데 죄송하다는 한마디도 없고 장난치나요? 알바생 교육을 제대로 시키던가 하세요. 저도 알바하면서 실수해본적이 있기에 화내려다가 참았습니다. 교육 제대로 시키세요. 요기요에서 주문해서 2시간넘게 기다리는건 처음이네요 ㅋ 이거 작성하는데도 아직도 배달 안왔습니다. 베라는 전문 라이더가 있는게 아니니까 타업체 배달 알바생 탓은 아니겠지요. 여기 베라 어이가 없네요; 별점 0점은 왜 안되는건지 ㅋㅋㅋ,[]
1,2,"['패밀리', '아이스크림 선택（패밀리）(자모카 아몬드 훠', '아몬드봉', '사랑에 빠진 딸', '뉴욕치즈케이', '스트라이크캐슈넛', '스푼 선택(스푼 6개)']",괜찬아요 번창하세여,[]
2,3,"['쿼터', '아이스크림 선택（쿼터）(아몬드봉', '그린', '31-요거', '초코나무 숲', '쿼터 스푼 선택(스푼 5개)']",소요시간보다 빠른배달 감사합니당,[]
3,5,[],오래 걸리긴 하지만 굴맛굴맛,[]
4,1,"['패밀리', '아이스크림 선택（패밀리）(31-요거', '바람과 함께 사라지', '럭키 카라멜 터', '허니치즈트랩', '스푼 선택(스푼 6개)']",안 받었어요 ...,[]
5,5,"['쿼터', '아이스크림 선택（쿼터）(엄마는 외계', '사랑에 빠진 딸', '바람과 함께 사라지', '아몬드봉봉', '대체맛 선택（쿼터）(（대체）엄마는 외계', '（대체）사랑에 빠진 딸기', '쿼터 스푼 선택(스푼 2개)']",엄청 빠르네요 넘 좋습니다.,[]
6,4,"['쿼터', '아이스크림 선택（쿼터）(그린', '민트 초코렛', '초코나무 ', '바나나 쥬빌레', '대체맛 선택（쿼터）(（대체）엄마는 외계', '（대체）뉴욕치즈케이크', '쿼터 스푼 선택(스푼 5개)']",맛있어요 ㅎㅎ항상맛있고 배달도 빨라요,[]
7,5,"['쿼터', '초콜릿 무', '슈팅스', '이상한 나라의 솜사탕', '대체맛 선택（쿼터）(（대체）엄마는 외계', '（대체）사랑에 빠진 딸기', '포장 이동시간(1시간', '쿼터 스푼 선택(스푼 1개)']",아이들이 좋아하는,[]
8,5,"['하프갤런', '뉴욕치즈케이', '이상한 나라의 솜사', '너는 참 달고', '쫀떡궁', '꿀꿀 허니', '대체맛 선택（하프갤런）(（대체）엄마는 외계', '（대체）바람과 함께 사라지', '（대체）레인보우 샤베트', '포장 이동시간(2시간', '하프갤런 스푼 선택(스푼 4개)']",맛이써요♡♡♡♡♡배달빨라오,[]
9,4,"['패밀리', '바람과 함께 사라지', '초콜릿 무', '레인보우 샤베', '체리쥬빌레', '대체맛 선택（패밀리）(（대체）31-요거', '（대체）슈팅스타', '포장 이동시간(1시간', '스푼 선택(스푼 1개)']",배달이 진짜 두시간반은 걸렸나봐요ㅠㅠㅠㅠㅠㅠㅠㅠ,['https://rev-static.yogiyo.co.kr/4c5d2f1612643be77f9a9d3e2501e9fe_tn.jpg']
