,별점,주문메뉴,리뷰,사진
0,5,['1人）해물순두부'],저번에 고기듬뿍 김치찌게 먹어보고 맛있어서 해물순두부도 시켜먹어봤는데 역시나 맛있고 양도 든든하네요 ㅎㅎ 많이 이용하겠습니다 ~,[]
1,5,['1人）고기듬뿍 김치찌개'],처음 시켜 먹었는데 양도 진짜 많고 맛있었습니다!!특히 반찬에 소세지 볶음 좋구요!!후식 커피믹스도 센스굿~!!!,[]
2,4,['1人）고기듬뿍 김치찌개'],기대안하고 시켰는데 맛잇고 배달도빠르고 좋았어요반찬이 양이 조금 아쉬웠던거 말곤 정말 기분좋은 한끼였네요!,[]
3,5,['1人）고기듬뿍 김치찌개'],별 기대없이 시켰는데 맛있습니다.약간 짜글이 느낌나는데요 다음에는 순두부찌개 시켜먹어봐야겠어요. 번창하세요~,['https://rev-static.yogiyo.co.kr/a3dd709007b3319ad8a4861b4b67eed1_tn.jpg']
4,4,['1人）고기듬뿍 김치찌개'],배달도 적당시간내에 오시고 음식도 너무맛있네요~ 리뷰이벤트덕에 든든하게먹었습니다~,['https://rev-static.yogiyo.co.kr/53619d6bd94e209abb65552c43eb3c39_tn.jpg']
5,5,['1人）고기듬뿍 김치찌개'],두부와 고기를 통한 단백질섭취,['https://rev-static.yogiyo.co.kr/0994ff0fe2add500eaf5da850f449e9b_tn.jpg']
6,5,['1人）고기듬뿍 김치찌개'],김치찌개 맛있게 먹었습니다조만간 휴일에 또 시켜먹을게요~,[]
7,5,"['1人）고기듬뿍 김치찌개', '1人）제육로제 파스타', '공기밥']",사장님이 굉장히 친절하시고 맛도 최고였습니다 사이다 잘 마셨습니다 !,[]
8,5,['1人）고기듬뿍 김치찌개'],고기듬뿍 든든하게 잘먹었습니다.,['https://rev-static.yogiyo.co.kr/8eb9ad1f59ca9df0eb8db56bed047231_tn.jpg']
9,5,['1人）해물순두부'],반찬도 맛있고 1인분 배달되는 게 정말 좋네요. 순두부가 짬뽕맛인 게 취향이 아니라서 아쉬웠지만 그래도 맛있게 먹었습니다,[]
10,5,['1人）제육불고기 파스타'],맛도 있고 고기양도 적지 않고 매우 만족함,[]
11,5,['1人）제육로제 파스타'],역시나! 저번에 느꼈던 그 감동 그대로네요. 제육로제 파스타. 맛있습니다. 두 번 시켜드세요! 저녁시간에 혼자 밥 시켜드시는 분들에게 이 집 꼭 한 번 추천합니다. ㅋㅋㅋ  자주 시켜먹게되실 거에요!배달앱이 식기전에 또 주문하러 돌아오겠습니다.,[]
12,5,['1人）고기듬뿍 김치찌개'],너무 맛있고 고기도 많네용 ㅎㅎ소세지 반찬이 없는건 아쉽습니다 ㅠ,['https://rev-static.yogiyo.co.kr/6e0728613996c4913d9af7745b984135_tn.jpg']
13,5,['1人）고기듬뿍 김치찌개'],김치찌개 처음시켜봤어요솔찍히 이런건 해먹을수있으니까 시켜먹기는 아깝다고생각해서ㅜㅜㅠ하.지.만양 푸짐 무엇..고기듬뿍 거짓말이 아니었어요 ㅠㅠ사각통에담겨서 먹기가 조금 힘들었디만...그래도 완밥했답니다^.^리뷰이벤트 나중에보고 나는왜 더 달라고 안했을까..잠시 후회했던 제가 너무 웃기네요ㅋㅋ더 달래서 더 주셔도 다 먹지도 못할거면서...ㅋㅋㅋㅋ큭큭어쨋든 한입먹자마자 눈떠졌어요!!힘내서 일하러갑니다!!총총총+배달기사님 뭐죠..너무도 친절한목소리로 문앞에서 전화주시고 인사까지 해주시고 가셨는데....뭐이런기사님이다계실까♡,"['https://rev-static.yogiyo.co.kr/6866841de61a49bfb210d5cd1500a86d_tn.jpg', 'https://rev-static.yogiyo.co.kr/202680f3cc0332a02e0bf95081947be1_tn.jpg', 'https://rev-static.yogiyo.co.kr/44db5536b7bf549a41d2dbe5c9fc75d7_tn.jpg']"
14,4,"['김치찜갈비', '공기밥']",맛있네요 적당히 매콤하고 고기도 꽤들어있어요!!다음에또시켜먹을게요~,['https://rev-static.yogiyo.co.kr/20e6191b8456704b53f9683a62ffbf9f_tn.jpg']
15,5,"['1人）고기듬뿍 김치찌개', '1人）돼지고기 된장찌개']",맛잇어요 ㅎㅎㅎㅎㅎㅎ,[]
16,5,['1人）고기듬뿍 김치찌개'],맛있어요깔끔한 배달 맘에 듭니다,[]
17,5,['김치찜갈비'],"비와서 배달 늦을까봐 사이다도 추가로 서비스 주시고 김치갈비도 매우 맛있었어요! 믹스커피2봉다리에 물티슈,휴지도 챙겨주시고 세심한 배려에 즐거운 마음으로 먹었습니다",['https://rev-static.yogiyo.co.kr/6c8b5df62f5e71958638ca0cabfe8b09_tn.jpg']
18,5,"['1人）고기듬뿍 김치찌개', '1人）얼큰알탕']",양 대박이에요.. 요청 사항도 잘 들어주시구 넘 맛있어요ㅠㅠ 마지막 입가심 믹스커피도 감사해유,['https://rev-static.yogiyo.co.kr/80a16c765e5e9bcc2c59c73474429957_tn.jpg']
