,별점,주문메뉴,리뷰,사진
0,5,"['백년아구찜大', '추가 메뉴 선택(곤이 추가)']",양많고 깔끔하니 최고예요 아귀살도 두툼하고 추가한 고니도 싱싱하구요~!!알도 고소고소 미더덕도 입안에서 팡팡 터져주네요~!아귀찜인가 콩나물찜인가 그런 가게들과 비교 불가예요~!!쐬쥬를 부르는 마법의 안주 등극이요^^뇌물로 주신 콜라도 입가심으로 잘 마셨어요♡,"['https://rev-static.yogiyo.co.kr/65ec91749f69d4f6d36d22560ea65515_tn.jpg', 'https://rev-static.yogiyo.co.kr/aa031fda33b167b9c114f1f3285a688c_tn.jpg']"
1,5,"['백년아구찜小', '공기밥']",첨인데 맛있게잘먹었습니다,[]
2,5,[],맛있었어요. 아구찜시켜먹어봤는데 제일맛있었어요,[]
3,5,"['백년아구찜小', '공기밥']",맛있게 잘 먹었습니다.,[]
4,4,"['백년아구찜小', '추가 메뉴 선택(알 추가)', '공기밥']",양이너무많고 맛있었어요ㅎㅎㅎ,[]
5,5,"['백년낙지찜小', '추가 메뉴 선택(곤이 추가)']",일단 품짐한 양에 놀라고 맛 역시 실망 시키지 않습니다!! 먹다보니 사진이 패스됐네요ㅠ식당 찾아가서 아구도 먹어볼 예정입니다~!!,[]
6,5,['백년아구찜小'],맛있게 잘먹었어요 동치미만 있었으면 더좋았을텐데,[]
7,5,['백년아구찜中'],넘맛있었어요 재주문합니다^^,[]
8,3,"['백년아구찜中', '처음처럼']",배달의민족에서 주문했을때는 낙지도 들어있었는데 요기요에서 주문하니 없네요. 그때 맛있어서 소자에서 중자로 주문했는데.. 아구도 물컹하고 뼈가 큰 부위만 잔뜩 들어있어서 소자 시켰을때보다 아이가 먹을게 없어서 밥을 거의 안먹었어요. 쿠폰써서 그런가요? 실망했어요,[]
9,5,"['백년아구찜小', '알 추가']",맛있게  잘 먹었습니다  아쉬운건 밑반찬이  전혀 없네요  다른데는 주던데  ...,[]
10,5,"['백년아구찜中', '추가 메뉴 선택(곤이 추', '알 추', '새우 추', '미더덕（만다기） 추가)']",배불리잘먹었습니다ㅎ,[]
11,4,['백년아구찜大'],잘 먹었습니다.~~,[]
12,5,['백년아구찜小'],맛있네요 다 먹고 남은 양념에 밥볶아먹으니 아주 맛남 ㅎ,['https://rev-static.yogiyo.co.kr/59f9855a95863f57f54513651b4912f1_tn.jpg']
13,5,['백년아구찜中'],"배달은 별로 기대를 안하는데, 양도 진짜 많고 콩나물보다 아구가 더 많네옄ㅋㅋㅋ추천추천 👏👏👏",['https://rev-static.yogiyo.co.kr/a7a6f5b6618c1b04cf3bc1121d7209c5_tn.jpg']
14,2,"['백년아구찜小', '사이드 메뉴 추가 선택(날치알 주먹밥)']",약간 냄새가 나서 거진 먹지도 못하구 버렸네요~ 리뷰가 좋아 시켜봤늣데ㅜㅜ,[]
15,5,['백년아구찜小'],소짜인데도 양이 어마어마해요! 맛있게 잘먹었습니다,"['https://rev-static.yogiyo.co.kr/2715de0e551f6bafc7915eb40e753943_tn.jpg', 'https://rev-static.yogiyo.co.kr/92767f42c046fee0cdd67b81a9484719_tn.jpg', 'https://rev-static.yogiyo.co.kr/ff88966dfaf0a9736c93707dd63ea413_tn.jpg']"
16,5,['백년알곤이탕中'],역시 여기는 최고네요~!!맛 양 ㅎㄷㄷ 합니다~,[]
17,5,['백년아구찜小'],종종시켜먹어요~~ 맛있어요^^,[]
18,5,"['백년낙지찜小', '추가 메뉴 선택(곤이 추', '알 추가', '사이드 메뉴 추가 선택(날치알 주먹밥)']",배달이 정말 많이 늦어서 진짜 좌절했는데와 서비스 진짜 대박이였습니다 맛있습니다 진짜사장님 감사합다🙏,['https://rev-static.yogiyo.co.kr/51bbcb6f40c64dd96d22d9f743515fc7_tn.jpg']
19,5,['백년낙지찜小'],맛있었어요 매운맛 시켰는데 많이 맵진 않아요,[]
20,5,"['백년아구찜中', '공기밥']",ㅅㅈ슷ㄷㄱ지잉ㆍㄱㄷㄱㅅㄱ,[]
21,5,"['세트2.백년해물찜小＋계란찜＋날치알주먹밥', '수저 선택(수저 X)']",양이 워낙 많으 두명이서 같이 나누어 먹어도 남았어요맛도 간이 적절하니 제 기준에서는 정말 맛있었어요😊,['https://rev-static.yogiyo.co.kr/aa814d1a96a70904c5a82f5f04751e78_tn.jpg']
22,5,"['백년낙지찜小', '수저 선택(수저 X)']",이렇게 깔끔하게 포장된 낙지찜은 첨입니다.게다가 양도 많구요 소짜에 낙지가 글쎄 두마리!맛까지 기가막히니 별점 5개 박고 갑니다.그럼 이만... 아디다스...,['https://rev-static.yogiyo.co.kr/2ebd223c121a0a5b10b5fb255a3f32d9_tn.jpg']
23,1,['백년아구찜小'],3번 시켜 먹어도 괜찮았는데 4번째 결국 순한 맛 시켰는데 매운 맛으로 와 다 버림,[]
24,5,"['백년아구찜小', '수저 선택(수저 O', '추가 메뉴 선택(낙지 추가)', '참이슬 후레쉬']",티비에 아구찜나와 급 시켜먹었는대 넘 맛있었습니다.후회하지않을맛!! 강추합니다,[]
25,5,"['백년아구찜中', '수저 선택(수저 O)']",아귀찜 본질의 맛에 매우 충실합니다.정말 맛나요!!,[]
26,5,"['백년아구찜小', '수저 선택(수저 O', '사이드 메뉴 추가 선택(공기밥)', '공기밥']",진짜 너무 맛있었어요,"['https://rev-static.yogiyo.co.kr/0694066f63e7e1633177b95610e6f3f9_tn.jpg', 'https://rev-static.yogiyo.co.kr/4da484ecf8aa15007113096c42d52c94_tn.jpg']"
27,5,"['세트3.백년낙지찜小＋계란찜＋날치알주먹밥', '수저 선택(수저 O)', '미더덕（만디기）추가 ', '공기밥']",맛있게 잘먹었습니다^^,[]
28,5,"['백년아구찜小', '수저 선택(수저 X)']",여긴 무조건 추천!!! 저희 시어머님 살짝 까다로우신데맛있다구 다음에 또 시켜먹자고 하셨어요 ㅎㅎ,[]
29,5,"['백년아구찜小', '수저 선택(수저 O', '사이드 메뉴 추가 선택(시원한 물냉면)', '공기밥', '펩시500mL']",맜있습니다~~~기대이상으로 물냉면도 너무맜있습니다,['https://rev-static.yogiyo.co.kr/fb06591f142e1088cf6d087c278f3a96_tn.jpg']
30,3,"['백년낙지찜小', '수저 선택(수저 X', '추가 메뉴 선택(알 추가)']","잘억았습니다...,,,,,",[]
31,5,"['백년해물찜大', '수저 선택(수저 O)']",너무 맛있게 먹었습니다.가족 4명이 먹었는데.. 밥까지 볶아 먹으니 다들 배가 너무 부르네요!!다음에도 꼭 시켜 먹도록 할게요!!,"['https://rev-static.yogiyo.co.kr/511374840a95d0a82c41b9e732b90d7a_tn.jpg', 'https://rev-static.yogiyo.co.kr/63f0457e70c78366e877da38df972b78_tn.jpg', 'https://rev-static.yogiyo.co.kr/015d1e392a15a752c0d964ae6f0b75e6_tn.jpg']"
32,5,"['백년낙지찜小', '수저 선택(수저 O)', '사이다500mL']",리뷰 보고 기대를 많이 해서 그런지.......그래도 맛있었습니다~~~||,['https://rev-static.yogiyo.co.kr/8e7e4a3fbde82dc6df931ada2550f331_tn.jpg']
33,5,"['백년아구찜小', '수저 선택(수저 O)']",진심 너무맛있어요~~,[]
34,5,"['백년아구찜小', '수저 선택(수저 X', '추가 메뉴 선택(곤이 추가)']",너무 맛있어요~~~두번째 주문입네당,['https://rev-static.yogiyo.co.kr/e7cf57e1378034589aef5c90ba2b44f1_tn.jpg']
35,5,"['세트1.백년아구찜小＋계란찜＋날치알주먹밥', '수저 선택(수저 X)']",리뷰보고 주문했는데요 정말 다른집보다 아구가 많아요소자 시켜도 많아  혼자 며칠째 먹고있어요 고니 안먹어서 요청드렸는데 요청사항도 잘 들어주시네요단골이 있었는데 그집은 늦게 열어서 주문했는데 새로운 단골집이네요주문전 많이 망설였는데 다행이예요계란찜도 뜨겁고 맛있었어요 주먹밥은 아이들이 잘 안먹어 속상했지만 양도 많고 맛도 괜찮았어요,"['https://rev-static.yogiyo.co.kr/e8b351acc5e1c7450f285a920c94c3aa_tn.jpg', 'https://rev-static.yogiyo.co.kr/d1ed584621d3526906db133188ba9dd3_tn.jpg']"
36,5,"['백년아구찜小', '수저 선택(수저 O', '추가 메뉴 선택(낙지 추가)']",앗.. 바로 먹어버려서 사진은 못찍었어요... 맛있어요 씁씁후후하면서 매콤하게 진짜 맛있어요 흐뭇합니다,[]
37,5,"['세트1.백년아구찜小＋계란찜＋날치알주먹밥', '수저 선택(수저 X)']",양도 엄청 많고 살도 많고 너무 맛있었습니다,[]
38,5,"['백년아구찜小', '수저 선택(수저 O', '사이드 메뉴 추가 선택(시원한 물냉면)']",진짜 맛있어서 또 먹고 싶은 맛이에요~^^,[]
39,5,"['백년아구찜小', '수저 선택(수저 O', '추가 메뉴 선택(곤이 추가)']",짱 맛있었어요 양념이 진짜 최고 ~~,[]
40,4,"['세트1.백년아구찜小＋계란찜＋날치알주먹밥', '수저 선택(수저 X', '추가 메뉴 선택(알 추', '쭈꾸미 추가)']",살짝 짜긴햇지만 넘 맛잇어요,['https://rev-static.yogiyo.co.kr/d8a77df96f0654cc7957eaff5fd504da_tn.jpg']
41,5,"['백년아구찜中', '수저 선택(수저 O', '추가 메뉴 선택(곤이 추가)']",리뷰보고 시켰는데 너무 맛있네요,[]
42,5,"['백년아구찜小', '수저 선택(수저 O)']",맛이 적당히 맛있게 매워서 좋네요,[]
43,5,"['백년해물찜小', '수저 선택(수저 O', '추가 메뉴 선택(낙지 추', '미더덕（만다기） 추가)']",마싯고 양많아요  또 시켜먹을꺼같아요ㅎ,"['https://rev-static.yogiyo.co.kr/0b43bbf5aefd82b6a871719549e27fb3_tn.jpg', 'https://rev-static.yogiyo.co.kr/b2c6766fa41713bc8b27766e9a6a0410_tn.jpg', 'https://rev-static.yogiyo.co.kr/88702ad04cdac5d10cfb6c07dc3cad37_tn.jpg']"
44,5,"['백년해물찜小', '수저 선택(수저 X)']",맛있어요. 늘 여기서 시켜먹습니닷~!!^^,[]
45,4,"['백년아구찜小', '수저 선택(수저 X)']",매운맛 시킬걸 그랬나봐요  잘 먹었습니다.,[]
46,5,"['백년아구찜小', '수저 선택(수저 O)']",맛있어요 아구찜 굿굿,['https://rev-static.yogiyo.co.kr/db43a7757800a92f923335a9ca11b8de_tn.jpg']
47,5,"['세트1.백년아구찜小＋계란찜＋날치알주먹밥', '수저 선택(수저 O)']",배가 뻥하고 터져버렸따,[]
48,3,"['백년해물찜小', '수저 선택(수저 O', '추가 메뉴 선택(낙지 추', '미더덕（만다기） 추가)']",전에는 괜찮았는데 오징어에서 소독맛이 너무납니다같이 먹었던사람도 소독맛땜에 못먹었습니다오징어에서만 소독맛이 너무강해요혹시 상한걸 재탕한이유는아니겠죠?담에시킬땐 부디 맛있기를요담에도 이번과동일하면 못시켜먹을듯요,"['https://rev-static.yogiyo.co.kr/f01df6220e7b086c0845ffcf6e3954c7_tn.jpg', 'https://rev-static.yogiyo.co.kr/2728b7a772c0bc03d915097c4419cf4d_tn.jpg', 'https://rev-static.yogiyo.co.kr/73ec90ef2973d588dfacb6dc69dd0f9b_tn.jpg']"
49,5,"['백년아구찜小', '수저 선택(수저 O', '추가 메뉴 선택(곤이 추가)']","☆☆☆☆☆☆☆ 진짜 맛있어요.☆☆☆☆☆☆☆별이 부족해서 리뷰에도 드립니다.ㅋㅋㅋㅋ양도 많고, 배달도 빠른편이고 뭐하나 빠지는게 없네요.ㅋㅋㅋ 식재료들도 신선한거 같고, 너무 맛있게 먹었습니다.  양념이 무슨 비법이 있는지 완전 밥도둑이네요. ^^    ☆ 인생 아구찜이네요. 여지껏 먹었던 아구찜중  젤 맛있네요.ㅋㅋㅋ. 앞으론 아구찜 생각나면 무조건 여기서만 시켜야 겠네요. ☆ 앞으로도 변치 않는 맛 과 양 부탁드립니다.  ※ 사장님 그럼 사업 더욱더 번청하시고,  우리동네 착한맛집으로 오래 오래 남아주세요. ^^","['https://rev-static.yogiyo.co.kr/f046a8c88b231fabd410a04910302c4b_tn.jpg', 'https://rev-static.yogiyo.co.kr/5a6a4597fc16c51d7ad12352be52e7c7_tn.jpg', 'https://rev-static.yogiyo.co.kr/0af8cd173487b693045e3e6d3a889b97_tn.jpg']"
50,3,"['백년해물찜中', '수저 선택(수저 O', '추가 메뉴 선택(알 추가', '사이드 메뉴 추가 선택(고소한 계란', '공기밥)', '공기밥']",리뷰에서 기대를너무많이한듯..,[]
51,5,"['백년아구찜中', '수저 선택(수저 X)']",양도 많고 간도 딱이고 단골예약이용,['https://rev-static.yogiyo.co.kr/c0ff2fb8fb777b18d3a78b1652a7bd31_tn.jpg']
52,5,"['백년아구찜小', '수저 선택(수저 X', '추가 메뉴 선택(곤이 추가)']","역시 맛있게 먹었네요. 적당히 매콤해서, 자꾸 땡기는 맛이라 밥조절하기가 어렵네요.ㅋㅋㅋㅋㅋ 양도 푸짐하고, 아구찜 좋아하는데 종좀 시킬테니까. 변치 않는 맛과양 부탁드려요.오늘은 배달이 좀 느려서. 배달 별 한개 뺍니다.맛 과 양. 최고인듯.ㅋㅋㅋ","['https://rev-static.yogiyo.co.kr/00a16c7b10c387646f17fd9d7f91c614_tn.jpg', 'https://rev-static.yogiyo.co.kr/bc6ce65acfa6132a0568379ffd121859_tn.jpg']"
53,5,"['백년아구찜小', '수저 선택(수저 O', '추가 메뉴 선택(곤이 추가)']",배달빠르고 맛 좋습니다.,[]
54,5,"['백년아구찜小', '수저 선택(수저 O)']",양도 많고 역시 맛있어요!!,[]
55,4,"['백년아구찜小', '수저 선택(수저 X)']",살이 없네요...아귀찜이 보통그렇지만 뼈덩어리만 많이왔어요,['https://rev-static.yogiyo.co.kr/2f136187026ae02fcf7cac9e0b7dad8a_tn.jpg']
56,5,"['백년아구찜中', '수저 선택(수저 X)']",맛있어요~담에또시킬거같네영ㅎ,[]
57,5,"['백년해물찜中', '수저 선택(수저 O)']",양념도 맛있고 맵기도적당하고 맛있게 잘먹었습니다,[]
58,5,"['백년아구찜小', '수저 선택(수저 X', '사이드 메뉴 추가 선택(시원한 물냉면)']",늘 맛있게 먹고 있어요. 아구 진짜 넘나 실해요~,[]
59,5,"['백년아구찜小', '수저 선택(수저 O)', '공기밥']",오랜만에 먹었는ㄷㅔ 너무 맛있게 먹었습니당ㅎㅎ,[]
60,5,"['백년아구찜小', '수저 선택(수저 O)', '공기밥']","JMT ,  존맛탱 그자체",[]
61,5,"['백년해물찜小', '수저 선택(수저 O)']",it is so something delicious,[]
62,5,"['백년아구찜中', '수저 선택(수저 X', '추가 메뉴 선택(낙지 추가)']",맛 좋고 양도 많아요~~,[]
63,1,"['백년아구찜中', '수저 선택(수저 O', '추가 메뉴 선택(곤이 추가', '사이드 메뉴 추가 선택(공기밥)', '공기밥']",선결제로 시켯는데 배달시간지나고도 안오고 서비스끝났다고 전화도 안받으시면 어쩌라는거죠?,[]
64,5,"['백년해물찜小', '수저 선택(수저 O', '추가 메뉴 선택(꽃게 추', '미더덕（만다기） 추가)']",여기는 진짜 일주일에 한번씩 먹어줘야해여한번 먹으면 잊을수가없음  맨날 생각나는 맛ㅜㅜ,['https://rev-static.yogiyo.co.kr/550eee62d0286e63a52312baf9a21a99_tn.jpg']
65,5,"['세트2.백년해물찜小＋계란찜＋날치알주먹밥', '수저 선택(수저 X)']",맛있게 잘먹었습니다. 감사합니다.,['https://rev-static.yogiyo.co.kr/86d9ce770966bf9aedac54375564d11a_tn.jpg']
66,5,"['백년해물찜小', '수저 선택(수저 O', '추가 메뉴 선택(꽃게 추', '미더덕（만다기） 추가)']",진짜 너무너무너무너무  세상 제일 개 대존맛,['https://rev-static.yogiyo.co.kr/f17a8ce94dddff834935606cd7764f2b_tn.jpg']
67,5,"['백년아구찜小', '수저 선택(수저 X', '추가 메뉴 선택(곤이 추가', '사이드 메뉴 추가 선택(유부 듬뿍 우동)']",맛있었어요! 양도 많고 좋았어요~! 담에 또 시켜먹을게요,['https://rev-static.yogiyo.co.kr/0a991634b0ef6e15618001e155857905_tn.jpg']
68,5,"['백년아구찜小', '수저 선택(수저 O)', '카스']",맛잇게잘먹엇습니다 ㅎ,['https://rev-static.yogiyo.co.kr/bb0574ed5b8060d7cd4464c0deb9d872_tn.jpg']
69,5,"['백년해물찜小', '수저 선택(수저 X', '사이드 메뉴 추가 선택(공기밥)', '공기밥']",매번 시켜먹는데 너무 맛있어요음식 맛도 깔끔하고 배달도 빨라서 좋아요,[]
70,4,"['백년아구찜小', '수저 선택(수저 O)']",양이 많은줄 알았는데 뼈만 클뿐...양은 적어도 많이 적은듯,[]
71,5,"['세트1.백년아구찜小＋계란찜＋날치알주먹밥', '수저 선택(수저 O)']",진짜맛있어요 ㅠㅠ 곤이 많이주셔서 감사합니당👍🏻전화받으신 남자분도 너무 친절해서 감동받았어요 흐,['https://rev-static.yogiyo.co.kr/1a153dcda46271d31a20145050e781e2_tn.jpg']
72,5,"['백년아구찜小', '수저 선택(수저 X)']","맛있어요!딱 맛있는 매운맛단맛 없는, 제가 좋아하는 스타일의 매운맛이예요맛있게 잘 먹었습니다♡","['https://rev-static.yogiyo.co.kr/2fb927e23201ecb906e9f0743d282f85_tn.jpg', 'https://rev-static.yogiyo.co.kr/f42b6bf7760d967145e2d3a248b0d629_tn.jpg']"
73,5,"['세트1.백년아구찜小＋계란찜＋날치알주먹밥', '수저 선택(수저 O)']",맛잇게 잘 먹었습니다,['https://rev-static.yogiyo.co.kr/0752435ed5b8788914144270643c8642_tn.jpg']
